date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,29,19,0.0,8.7,6,97,05:16 PM,05:37 AM,06:46 AM,05:53 PM,11,26,26,26,6,4,41,0.0,1010,29,10,178,5,Hyderabad
2018-01-02,29,19,0.0,8.7,6,100,06:20 PM,06:41 AM,06:46 AM,05:54 PM,10,25,25,25,9,5,40,0.0,1011,29,10,111,7,Hyderabad
2018-01-03,28,19,0.0,8.7,6,89,07:25 PM,07:44 AM,06:47 AM,05:54 PM,9,25,25,25,11,6,39,0.0,1013,28,10,77,9,Hyderabad
2018-01-04,28,19,0.0,8.7,6,81,08:29 PM,08:41 AM,06:47 AM,05:55 PM,7,25,25,24,10,6,35,0.0,1014,28,10,73,9,Hyderabad
2018-01-05,28,19,0.0,8.7,6,74,09:30 PM,09:34 AM,06:47 AM,05:56 PM,6,25,25,25,9,4,31,0.0,1012,28,10,85,7,Hyderabad
2018-01-06,27,19,0.0,8.7,6,67,10:27 PM,10:22 AM,06:48 AM,05:56 PM,7,25,25,25,8,4,33,0.0,1012,27,10,89,7,Hyderabad
2018-01-07,28,19,0.0,8.7,6,59,11:23 PM,11:06 AM,06:48 AM,05:57 PM,9,25,25,24,9,6,39,0.0,1012,28,10,132,7,Hyderabad
2018-01-08,27,19,0.0,8.7,6,52,No moonrise,11:48 AM,06:48 AM,05:57 PM,9,24,24,24,11,6,39,0.0,1014,27,10,105,9,Hyderabad
2018-01-09,27,18,0.0,8.7,6,45,12:15 AM,12:27 PM,06:48 AM,05:58 PM,11,25,25,24,10,7,45,0.0,1016,27,10,91,9,Hyderabad
2018-01-10,28,19,0.0,8.7,6,38,01:06 AM,01:07 PM,06:49 AM,05:59 PM,9,25,25,25,10,7,38,0.0,1016,28,10,78,8,Hyderabad
2018-01-11,30,20,0.0,8.7,6,30,01:56 AM,01:47 PM,06:49 AM,05:59 PM,11,27,27,26,8,8,39,0.0,1015,30,10,74,6,Hyderabad
2018-01-12,31,21,0.0,11.5,7,23,02:45 AM,02:28 PM,06:49 AM,06:00 PM,8,27,27,27,8,4,30,0.0,1014,31,10,53,7,Hyderabad
2018-01-13,30,22,0.0,11.5,7,16,03:35 AM,03:11 PM,06:49 AM,06:00 PM,8,27,27,28,9,3,29,0.0,1014,30,10,50,8,Hyderabad
2018-01-14,30,22,0.0,11.5,7,9,04:24 AM,03:56 PM,06:49 AM,06:01 PM,9,27,27,27,8,8,32,0.0,1014,30,10,83,7,Hyderabad
2018-01-15,30,22,0.0,11.5,7,1,05:14 AM,04:42 PM,06:49 AM,06:02 PM,12,27,27,27,9,25,43,0.0,1014,30,10,71,8,Hyderabad
2018-01-16,30,22,0.0,11.5,7,0,06:02 AM,05:31 PM,06:49 AM,06:02 PM,10,26,26,27,11,4,35,0.0,1013,30,10,57,9,Hyderabad
2018-01-17,30,21,0.0,11.5,6,0,06:48 AM,06:20 PM,06:49 AM,06:03 PM,8,26,26,27,9,4,31,0.0,1013,30,10,82,8,Hyderabad
2018-01-18,29,20,0.0,11.5,6,6,07:34 AM,07:11 PM,06:50 AM,06:03 PM,8,26,26,26,10,4,32,0.0,1014,29,10,62,8,Hyderabad
2018-01-19,29,20,0.0,11.5,6,13,08:16 AM,08:01 PM,06:50 AM,06:04 PM,7,26,26,27,8,0,29,0.0,1014,29,10,48,7,Hyderabad
2018-01-20,28,19,0.0,11.6,6,20,08:58 AM,08:51 PM,06:50 AM,06:05 PM,4,26,26,26,8,0,25,0.0,1014,28,10,65,7,Hyderabad
