date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-18,-23,0.0,8.7,2,97,05:27 PM,07:21 AM,08:06 AM,05:31 PM,-21,-29,-20,-29,21,32,91,0.0,1042,-18,9,294,13,Indianapolis(IN)
2018-01-02,-14,-25,0.0,8.7,2,100,06:33 PM,08:24 AM,08:06 AM,05:32 PM,-21,-26,-19,-26,17,12,88,0.0,1039,-14,9,243,10,Indianapolis(IN)
2018-01-03,-7,-15,0.0,5.2,2,89,07:44 PM,09:21 AM,08:06 AM,05:33 PM,-15,-19,-12,-19,25,56,82,0.0,1023,-7,10,249,15,Indianapolis(IN)
2018-01-04,-12,-19,0.0,3.5,1,81,08:55 PM,10:09 AM,08:06 AM,05:34 PM,-17,-24,-16,-24,23,79,94,0.0,1026,-12,7,300,14,Indianapolis(IN)
2018-01-05,-13,-22,0.0,8.7,2,74,10:04 PM,10:50 AM,08:06 AM,05:35 PM,-19,-25,-18,-25,20,10,89,0.0,1031,-13,9,294,11,Indianapolis(IN)
2018-01-06,-11,-20,0.0,8.7,2,67,11:11 PM,11:27 AM,08:06 AM,05:36 PM,-17,-21,-16,-21,14,13,88,0.0,1037,-11,9,251,7,Indianapolis(IN)
2018-01-07,-0,-14,0.0,5.2,1,59,No moonrise,11:59 AM,08:06 AM,05:37 PM,-11,-13,-6,-13,31,75,73,0.0,1027,-0,10,168,18,Indianapolis(IN)
2018-01-08,2,-1,0.0,3.5,1,52,12:15 AM,12:30 PM,08:06 AM,05:38 PM,0,-4,1,-4,25,95,96,0.1,1020,2,7,239,16,Indianapolis(IN)
2018-01-09,1,-4,0.0,8.7,2,45,01:17 AM,01:00 PM,08:06 AM,05:39 PM,-2,-3,-1,-3,12,46,93,0.0,1026,1,8,159,7,Indianapolis(IN)
2018-01-10,11,2,0.0,3.5,2,38,02:16 AM,01:31 PM,08:05 AM,05:40 PM,6,3,7,3,36,100,96,0.5,1018,11,9,168,18,Indianapolis(IN)
2018-01-11,13,12,0.0,3.5,3,30,03:14 AM,02:04 PM,08:05 AM,05:41 PM,12,11,13,11,32,100,94,3.2,1012,13,10,185,19,Indianapolis(IN)
2018-01-12,2,-7,0.0,3.5,1,23,04:11 AM,02:39 PM,08:05 AM,05:42 PM,-5,-11,-3,-11,38,100,88,1.3,1015,2,8,256,28,Indianapolis(IN)
2018-01-13,-8,-14,0.0,5.2,2,16,05:07 AM,03:17 PM,08:05 AM,05:43 PM,-12,-16,-10,-16,21,34,84,0.0,1034,-8,10,247,13,Indianapolis(IN)
2018-01-14,-8,-16,0.2,8.7,2,9,06:00 AM,04:00 PM,08:04 AM,05:44 PM,-13,-14,-11,-14,12,37,84,0.2,1038,-8,9,163,8,Indianapolis(IN)
2018-01-15,-4,-15,0.0,3.5,1,1,06:50 AM,04:47 PM,08:04 AM,05:45 PM,-10,-15,-8,-15,26,96,92,0.0,1028,-4,10,215,18,Indianapolis(IN)
2018-01-16,-14,-21,0.0,3.5,1,0,07:37 AM,05:38 PM,08:04 AM,05:46 PM,-18,-25,-17,-25,20,94,93,0.0,1037,-14,8,252,13,Indianapolis(IN)
2018-01-17,-9,-18,0.0,7.0,1,0,08:20 AM,06:31 PM,08:03 AM,05:47 PM,-14,-20,-13,-20,19,73,95,0.0,1037,-9,4,257,11,Indianapolis(IN)
2018-01-18,-2,-12,0.0,8.7,2,6,08:59 AM,07:28 PM,08:03 AM,05:48 PM,-10,-15,-8,-15,35,3,84,0.0,1027,-2,10,223,21,Indianapolis(IN)
2018-01-19,1,-6,0.0,8.7,2,13,09:35 AM,08:25 PM,08:02 AM,05:49 PM,-4,-8,-2,-8,36,8,87,0.0,1019,1,10,209,21,Indianapolis(IN)
2018-01-20,4,-1,0.0,5.3,1,20,10:07 AM,09:25 PM,08:02 AM,05:50 PM,1,-3,2,-3,31,56,94,0.1,1018,4,9,212,17,Indianapolis(IN)
2018-01-21,8,4,0.0,3.6,2,28,10:38 AM,10:24 PM,08:01 AM,05:52 PM,6,4,6,4,26,98,99,0.1,1017,8,6,187,12,Indianapolis(IN)
2018-01-22,11,8,0.0,3.6,4,35,11:08 AM,11:26 PM,08:00 AM,05:53 PM,8,7,10,7,41,57,87,2.1,1007,11,10,188,23,Indianapolis(IN)
2018-01-23,5,-1,0.2,3.6,1,42,11:39 AM,No moonset,08:00 AM,05:54 PM,-1,-3,2,-3,27,95,81,1.5,1012,5,9,262,20,Indianapolis(IN)
