date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,15,5,0.0,8.7,3,97,04:25 PM,06:02 AM,07:15 AM,04:56 PM,-16,10,11,10,16,4,14,0.0,1020,15,10,86,9,Isfahan
2018-01-02,17,7,0.0,8.7,4,100,05:30 PM,07:08 AM,07:15 AM,04:57 PM,-18,10,11,10,22,13,12,0.0,1011,17,10,83,12,Isfahan
2018-01-03,14,8,0.0,8.7,4,89,06:38 PM,08:08 AM,07:16 AM,04:58 PM,-11,9,10,9,19,46,23,0.0,1009,14,10,213,12,Isfahan
2018-01-04,9,6,0.0,7.0,3,81,07:48 PM,09:01 AM,07:16 AM,04:59 PM,1,6,8,6,17,70,64,2.0,1018,9,10,152,12,Isfahan
2018-01-05,11,5,0.0,8.7,3,74,08:57 PM,09:46 AM,07:16 AM,04:59 PM,-0,6,8,6,20,9,57,0.0,1018,11,10,82,12,Isfahan
2018-01-06,13,5,0.0,8.7,3,67,10:03 PM,10:26 AM,07:16 AM,05:00 PM,-7,7,9,7,18,7,33,0.0,1017,13,10,80,10,Isfahan
2018-01-07,11,5,0.0,3.7,2,59,11:06 PM,11:02 AM,07:16 AM,05:01 PM,-7,7,8,7,12,88,37,0.0,1023,11,10,222,8,Isfahan
2018-01-08,6,3,0.0,8.7,2,52,No moonrise,11:35 AM,07:16 AM,05:02 PM,0,2,5,2,14,71,73,0.4,1030,6,8,275,10,Isfahan
2018-01-09,7,1,0.0,7.0,2,45,12:07 AM,12:06 PM,07:16 AM,05:03 PM,-1,4,5,4,7,31,67,0.0,1029,7,10,78,5,Isfahan
2018-01-10,12,4,0.0,8.7,3,38,01:06 AM,12:38 PM,07:16 AM,05:04 PM,-2,6,8,6,16,20,52,0.0,1025,12,10,147,9,Isfahan
2018-01-11,7,1,0.0,8.7,2,30,02:03 AM,01:11 PM,07:15 AM,05:05 PM,-4,3,5,3,19,4,51,0.0,1030,7,10,182,12,Isfahan
2018-01-12,12,3,0.0,8.7,3,23,03:00 AM,01:47 PM,07:15 AM,05:06 PM,-5,6,8,6,17,14,42,0.0,1024,12,10,73,10,Isfahan
2018-01-13,15,7,0.0,8.7,3,16,03:55 AM,02:24 PM,07:15 AM,05:07 PM,-10,10,11,10,15,17,22,0.0,1020,15,10,174,8,Isfahan
2018-01-14,11,5,0.0,8.7,3,9,04:48 AM,03:06 PM,07:15 AM,05:08 PM,-7,6,8,6,19,32,33,0.0,1026,11,10,151,10,Isfahan
2018-01-15,15,5,0.0,8.7,3,1,05:40 AM,03:51 PM,07:14 AM,05:09 PM,-10,8,9,8,20,18,25,0.0,1018,15,10,114,12,Isfahan
2018-01-16,4,-1,0.0,3.7,1,0,06:28 AM,04:40 PM,07:14 AM,05:10 PM,-6,-3,1,-3,26,58,57,0.0,1024,4,10,266,19,Isfahan
2018-01-17,4,-2,0.0,8.7,2,0,07:13 AM,05:33 PM,07:14 AM,05:11 PM,-5,-1,1,-1,16,21,62,0.0,1026,4,10,111,11,Isfahan
2018-01-18,11,2,0.0,8.7,3,6,07:54 AM,06:27 PM,07:13 AM,05:12 PM,-5,3,6,3,23,39,47,0.0,1021,11,10,79,13,Isfahan
2018-01-19,15,6,0.0,8.7,3,13,08:32 AM,07:23 PM,07:13 AM,05:13 PM,-7,8,10,8,21,12,31,0.0,1021,15,10,91,12,Isfahan
2018-01-20,17,7,0.0,8.7,4,20,09:07 AM,08:20 PM,07:13 AM,05:14 PM,-9,10,11,10,21,0,23,0.0,1017,17,10,84,11,Isfahan
2018-01-21,15,6,0.0,8.7,3,28,09:40 AM,09:19 PM,07:12 AM,05:15 PM,-9,10,11,10,18,0,25,0.0,1015,15,10,229,11,Isfahan
2018-01-22,9,3,0.0,8.7,3,35,10:12 AM,10:17 PM,07:12 AM,05:16 PM,-5,5,6,5,12,16,45,0.0,1022,9,10,246,8,Isfahan
2018-01-23,13,4,0.0,8.7,3,42,10:43 AM,11:18 PM,07:11 AM,05:17 PM,-5,7,9,7,20,9,38,0.0,1018,13,10,81,12,Isfahan
2018-01-24,16,6,0.0,8.7,3,49,11:17 AM,No moonset,07:10 AM,05:19 PM,-9,11,12,11,11,3,24,0.0,1015,16,10,101,6,Isfahan
2018-01-25,13,5,0.0,8.7,3,57,11:52 AM,12:20 AM,07:10 AM,05:20 PM,-7,8,10,8,14,12,31,0.0,1022,13,10,247,9,Isfahan
2018-01-26,11,3,0.0,8.7,3,64,12:31 PM,01:25 AM,07:09 AM,05:21 PM,-6,8,8,8,6,6,36,0.0,1024,11,10,300,4,Isfahan
2018-01-27,7,2,0.0,8.7,2,71,01:16 PM,02:32 AM,07:09 AM,05:22 PM,-12,1,4,1,20,49,30,0.1,1024,7,10,275,14,Isfahan
2018-01-28,-0,-7,0.4,7.1,2,78,02:07 PM,03:40 AM,07:08 AM,05:23 PM,-15,-8,-3,-8,21,63,42,0.5,1028,-0,9,286,17,Isfahan
2018-01-29,-7,-8,4.0,3.8,1,86,03:06 PM,04:45 AM,07:07 AM,05:24 PM,-10,-13,-8,-13,16,82,83,4.7,1029,-7,6,258,12,Isfahan
2018-01-30,1,-9,0.1,8.7,2,93,04:11 PM,05:48 AM,07:06 AM,05:25 PM,-7,-8,-3,-8,22,4,77,0.1,1029,1,10,66,13,Isfahan
2018-01-31,1,-2,0.6,3.8,1,97,05:21 PM,06:44 AM,07:06 AM,05:26 PM,-5,-3,-0,-3,18,62,70,0.7,1022,1,9,183,11,Isfahan
