date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,10,8,0.0,8.7,3,97,05:24 PM,07:22 AM,08:29 AM,05:47 PM,4,8,10,8,18,11,67,0.0,1017,10,10,219,13,Istanbul
2018-01-02,13,10,0.0,8.7,4,100,06:28 PM,08:27 AM,08:29 AM,05:47 PM,6,10,12,10,21,39,70,0.0,1011,13,10,182,13,Istanbul
2018-01-03,11,9,0.0,6.9,3,89,07:38 PM,09:26 AM,08:29 AM,05:48 PM,8,9,10,9,17,68,86,2.6,1009,11,10,51,12,Istanbul
2018-01-04,11,9,0.0,8.7,3,81,08:49 PM,10:16 AM,08:29 AM,05:49 PM,7,9,10,9,16,73,84,0.0,1006,11,10,97,11,Istanbul
2018-01-05,10,8,0.0,8.7,3,74,10:00 PM,10:59 AM,08:29 AM,05:50 PM,4,8,9,8,13,32,71,0.0,1014,10,10,203,10,Istanbul
2018-01-06,11,8,0.0,8.7,3,67,11:09 PM,11:36 AM,08:29 AM,05:51 PM,5,11,11,11,7,5,67,0.0,1022,11,10,140,6,Istanbul
2018-01-07,13,10,0.0,8.7,4,59,No moonrise,12:09 PM,08:29 AM,05:52 PM,5,11,12,11,17,3,63,0.0,1027,13,10,201,12,Istanbul
2018-01-08,13,11,0.0,8.7,4,52,12:14 AM,12:40 PM,08:29 AM,05:53 PM,9,12,12,12,12,20,78,0.0,1031,13,10,204,8,Istanbul
2018-01-09,11,10,0.0,3.5,3,45,01:17 AM,01:10 PM,08:29 AM,05:54 PM,8,9,11,9,20,69,85,0.1,1032,11,10,115,13,Istanbul
2018-01-10,11,9,0.0,7.0,4,38,02:18 AM,01:40 PM,08:28 AM,05:55 PM,7,8,10,8,22,65,77,0.0,1023,11,10,60,15,Istanbul
2018-01-11,12,9,0.0,3.5,3,30,03:17 AM,02:10 PM,08:28 AM,05:56 PM,5,10,11,10,12,67,68,0.0,1013,12,10,77,8,Istanbul
2018-01-12,11,9,0.0,3.5,2,23,04:15 AM,02:44 PM,08:28 AM,05:57 PM,7,8,10,8,19,99,85,1.5,1017,11,8,30,14,Istanbul
2018-01-13,9,6,0.0,3.5,2,16,05:12 AM,03:21 PM,08:28 AM,05:58 PM,5,3,8,3,52,99,80,0.0,1021,9,10,52,38,Istanbul
2018-01-14,6,4,0.0,3.5,2,9,06:06 AM,04:02 PM,08:27 AM,05:59 PM,1,0,5,0,45,90,72,0.5,1025,6,10,35,34,Istanbul
2018-01-15,6,4,0.0,6.5,2,1,06:58 AM,04:47 PM,08:27 AM,06:00 PM,0,2,5,2,20,77,69,0.1,1029,6,10,79,15,Istanbul
2018-01-16,10,6,0.0,4.9,2,0,07:46 AM,05:37 PM,08:26 AM,06:01 PM,4,6,9,6,24,84,74,0.1,1018,10,10,193,16,Istanbul
2018-01-17,13,10,0.0,9.8,4,0,08:29 AM,06:30 PM,08:26 AM,06:03 PM,7,8,11,8,43,33,74,0.1,1005,13,10,206,27,Istanbul
2018-01-18,12,5,0.0,8.2,2,6,09:09 AM,07:27 PM,08:25 AM,06:04 PM,2,4,8,4,40,70,69,6.3,1001,12,9,295,29,Istanbul
2018-01-19,9,4,0.0,9.8,3,13,09:45 AM,08:24 PM,08:25 AM,06:05 PM,-1,4,7,4,27,6,54,0.0,1016,9,10,230,19,Istanbul
2018-01-20,12,8,0.0,9.8,4,20,10:18 AM,09:24 PM,08:24 AM,06:06 PM,3,8,11,8,40,36,58,0.3,1014,12,10,199,24,Istanbul
2018-01-21,12,7,0.0,6.6,2,28,10:49 AM,10:24 PM,08:24 AM,06:07 PM,7,8,10,8,25,83,83,4.0,1010,12,10,154,15,Istanbul
