date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,22,9,0.0,8.7,4,97,05:10 PM,06:04 AM,07:16 AM,05:45 PM,2,16,17,16,13,2,41,0.0,1015,22,10,147,7,Jaipur
2018-01-02,21,8,0.0,8.7,4,100,06:14 PM,07:10 AM,07:16 AM,05:46 PM,-0,16,16,16,10,0,34,0.0,1016,21,10,120,6,Jaipur
2018-01-03,22,7,0.0,8.7,4,89,07:21 PM,08:11 AM,07:16 AM,05:46 PM,2,17,16,17,7,0,39,0.0,1016,22,10,164,4,Jaipur
2018-01-04,22,8,0.0,8.7,4,81,08:27 PM,09:06 AM,07:17 AM,05:47 PM,2,16,16,16,13,0,40,0.0,1015,22,10,135,8,Jaipur
2018-01-05,22,8,0.0,8.7,4,74,09:32 PM,09:56 AM,07:17 AM,05:48 PM,2,17,17,17,9,0,38,0.0,1015,22,10,146,5,Jaipur
2018-01-06,22,8,0.0,8.7,4,67,10:33 PM,10:40 AM,07:17 AM,05:48 PM,3,16,16,16,10,4,41,0.0,1014,22,10,129,6,Jaipur
2018-01-07,22,10,0.0,8.7,4,59,11:32 PM,11:21 AM,07:17 AM,05:49 PM,0,16,16,16,16,0,35,0.0,1016,22,10,166,9,Jaipur
2018-01-08,21,8,0.0,8.7,4,52,No moonrise,11:59 AM,07:17 AM,05:50 PM,-1,16,16,16,8,0,31,0.0,1018,21,10,158,4,Jaipur
2018-01-09,23,8,0.0,8.7,4,45,12:28 AM,12:35 PM,07:17 AM,05:51 PM,-1,17,17,17,9,0,30,0.0,1020,23,10,100,5,Jaipur
2018-01-10,24,8,0.0,8.7,4,38,01:22 AM,01:11 PM,07:17 AM,05:51 PM,-3,17,17,17,11,0,26,0.0,1020,24,10,193,6,Jaipur
2018-01-11,24,9,0.0,8.7,5,30,02:15 AM,01:48 PM,07:18 AM,05:52 PM,-7,17,17,17,16,2,19,0.0,1018,24,10,320,9,Jaipur
2018-01-12,25,10,0.0,8.7,5,23,03:08 AM,02:26 PM,07:18 AM,05:53 PM,-2,17,17,17,12,8,28,0.0,1017,25,10,284,7,Jaipur
2018-01-13,26,11,0.0,8.7,5,16,04:00 AM,03:07 PM,07:18 AM,05:54 PM,3,19,19,19,12,5,37,0.0,1016,26,10,268,7,Jaipur
2018-01-14,26,10,0.0,8.7,5,9,04:51 AM,03:50 PM,07:18 AM,05:54 PM,1,19,19,19,12,1,32,0.0,1017,26,10,212,7,Jaipur
2018-01-15,26,10,0.0,8.7,5,1,05:42 AM,04:36 PM,07:17 AM,05:55 PM,-3,18,18,18,12,0,25,0.0,1017,26,10,214,7,Jaipur
2018-01-16,26,9,0.0,8.7,5,0,06:30 AM,05:25 PM,07:17 AM,05:56 PM,-0,18,18,18,12,0,31,0.0,1014,26,10,248,7,Jaipur
2018-01-17,26,11,0.0,8.7,5,0,07:16 AM,06:15 PM,07:17 AM,05:57 PM,4,18,19,18,14,5,39,0.0,1014,26,10,134,8,Jaipur
2018-01-18,26,11,0.0,8.7,5,6,07:59 AM,07:08 PM,07:17 AM,05:58 PM,7,20,20,20,9,3,43,0.0,1015,26,10,148,5,Jaipur
2018-01-19,26,11,0.0,8.7,5,13,08:40 AM,08:01 PM,07:17 AM,05:58 PM,7,20,20,20,13,0,46,0.0,1017,26,10,169,7,Jaipur
2018-01-20,25,10,0.0,8.7,5,20,09:19 AM,08:54 PM,07:17 AM,05:59 PM,-1,18,18,18,14,0,30,0.0,1016,25,10,242,8,Jaipur
2018-01-21,25,7,0.0,10.8,5,28,09:56 AM,09:48 PM,07:17 AM,06:00 PM,-2,18,18,18,10,0,27,0.0,1015,25,10,114,5,Jaipur
2018-01-22,25,10,0.0,10.9,5,35,10:32 AM,10:42 PM,07:16 AM,06:01 PM,5,19,19,19,16,3,42,0.0,1012,25,10,126,9,Jaipur
2018-01-23,24,13,0.0,10.1,5,42,11:08 AM,11:38 PM,07:16 AM,06:01 PM,2,18,18,18,22,33,36,0.0,1010,24,10,214,13,Jaipur
2018-01-24,22,10,0.0,10.9,4,49,11:46 AM,No moonset,07:16 AM,06:02 PM,1,16,16,16,16,0,38,0.0,1014,22,10,290,9,Jaipur
2018-01-25,22,8,0.0,10.9,4,57,12:25 PM,12:36 AM,07:15 AM,06:03 PM,5,17,17,17,10,0,50,0.0,1014,22,10,298,6,Jaipur
2018-01-26,24,9,0.0,10.9,5,64,01:09 PM,01:36 AM,07:15 AM,06:04 PM,0,18,18,18,13,0,33,0.0,1014,24,10,176,8,Jaipur
2018-01-27,25,9,0.0,10.9,5,71,01:57 PM,02:38 AM,07:15 AM,06:05 PM,3,18,18,18,10,0,41,0.0,1014,25,10,142,6,Jaipur
2018-01-28,25,9,0.0,10.9,5,78,02:51 PM,03:43 AM,07:14 AM,06:05 PM,5,19,19,19,11,0,43,0.0,1015,25,10,145,6,Jaipur
2018-01-29,27,10,0.0,10.9,5,86,03:51 PM,04:47 AM,07:14 AM,06:06 PM,6,20,20,20,11,0,44,0.0,1017,27,10,153,6,Jaipur
2018-01-30,28,11,0.0,10.9,5,93,04:55 PM,05:50 AM,07:13 AM,06:07 PM,3,21,21,21,16,0,32,0.0,1017,28,10,278,10,Jaipur
2018-01-31,29,14,0.0,11.0,5,97,06:02 PM,06:48 AM,07:13 AM,06:08 PM,3,20,20,20,18,7,33,0.0,1016,29,10,311,10,Jaipur
2018-02-01,29,13,0.0,11.0,6,88,07:09 PM,07:42 AM,07:13 AM,06:08 PM,5,22,22,22,12,0,35,0.0,1015,29,10,276,8,Jaipur
2018-02-02,28,14,0.0,11.0,5,81,08:14 PM,08:29 AM,07:12 AM,06:09 PM,3,21,21,21,16,0,30,0.0,1014,28,10,252,10,Jaipur
2018-02-03,26,13,0.0,11.0,5,73,09:16 PM,09:13 AM,07:11 AM,06:10 PM,1,19,19,19,17,0,32,0.0,1016,26,10,60,9,Jaipur
2018-02-04,25,11,0.0,11.0,5,66,10:15 PM,09:54 AM,07:11 AM,06:11 PM,-3,18,18,18,12,3,25,0.0,1017,25,10,115,7,Jaipur
2018-02-05,25,12,0.0,7.0,4,58,11:12 PM,10:32 AM,07:10 AM,06:11 PM,-1,18,18,18,14,44,27,0.0,1018,25,10,87,8,Jaipur
2018-02-06,26,16,0.0,11.0,5,51,No moonrise,11:09 AM,07:10 AM,06:12 PM,-1,20,20,20,14,25,24,0.1,1018,26,10,34,9,Jaipur
2018-02-07,26,12,0.0,11.0,5,43,12:07 AM,11:46 AM,07:09 AM,06:13 PM,-4,19,19,19,12,2,21,0.0,1016,26,10,111,7,Jaipur
2018-02-08,25,12,0.0,11.1,5,36,01:01 AM,12:24 PM,07:08 AM,06:14 PM,-2,18,18,18,14,10,27,0.0,1014,25,10,121,8,Jaipur
2018-02-09,25,9,0.0,11.1,5,28,01:54 AM,01:05 PM,07:08 AM,06:14 PM,1,19,19,19,10,1,33,0.0,1014,25,10,151,6,Jaipur
