date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,33,27,0.0,12.7,7,97,05:24 PM,04:33 AM,05:42 AM,06:10 PM,22,34,34,30,13,18,63,0.1,1007,33,10,262,10,Jakarta
2018-01-02,32,27,0.0,12.7,7,100,06:28 PM,05:36 AM,05:42 AM,06:11 PM,22,34,34,30,11,25,64,5.9,1007,32,10,254,8,Jakarta
2018-01-03,32,27,0.0,12.7,7,89,07:30 PM,06:40 AM,05:43 AM,06:11 PM,23,34,34,30,6,30,67,0.1,1007,32,10,173,5,Jakarta
2018-01-04,32,27,0.0,12.7,7,81,08:28 PM,07:43 AM,05:43 AM,06:11 PM,23,34,34,30,11,41,67,3.8,1008,32,10,212,9,Jakarta
2018-01-05,31,26,0.0,12.7,7,74,09:23 PM,08:42 AM,05:44 AM,06:12 PM,22,31,31,28,19,48,70,3.0,1009,31,9,237,14,Jakarta
2018-01-06,27,25,0.0,10.6,6,67,10:12 PM,09:38 AM,05:44 AM,06:12 PM,22,29,29,27,19,57,76,2.4,1009,27,10,237,14,Jakarta
2018-01-07,29,25,0.0,12.7,7,59,10:59 PM,10:31 AM,05:45 AM,06:13 PM,22,31,31,28,15,55,72,0.6,1010,29,10,266,11,Jakarta
2018-01-08,31,26,0.0,12.7,7,52,11:44 PM,11:21 AM,05:45 AM,06:13 PM,22,32,32,29,12,39,67,1.4,1009,31,10,303,10,Jakarta
2018-01-09,30,26,0.0,12.7,7,45,No moonrise,12:08 PM,05:46 AM,06:13 PM,22,32,32,29,10,36,69,5.3,1010,30,10,309,8,Jakarta
2018-01-10,31,26,0.0,12.7,7,38,12:27 AM,12:55 PM,05:46 AM,06:14 PM,21,31,31,29,15,36,64,1.4,1011,31,10,272,12,Jakarta
2018-01-11,30,26,0.0,12.7,7,30,01:10 AM,01:42 PM,05:47 AM,06:14 PM,20,30,30,28,23,45,64,0.0,1010,30,10,271,18,Jakarta
2018-01-12,31,27,0.0,12.7,7,23,01:54 AM,02:28 PM,05:47 AM,06:14 PM,20,31,31,28,18,44,62,0.0,1009,31,10,286,14,Jakarta
2018-01-13,30,27,0.0,12.7,7,16,02:38 AM,03:16 PM,05:48 AM,06:15 PM,20,30,30,28,25,47,60,0.0,1009,30,10,283,19,Jakarta
2018-01-14,29,26,0.0,12.7,7,9,03:24 AM,04:03 PM,05:48 AM,06:15 PM,21,29,29,27,24,47,71,2.5,1010,29,10,279,18,Jakarta
