date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,25,23,0.0,3.9,5,97,05:23 PM,05:58 AM,07:01 AM,05:52 PM,18,26,26,24,36,53,69,0.5,1015,25,10,346,29,Jeddah
2018-01-02,26,21,0.0,8.7,6,100,06:27 PM,07:02 AM,07:01 AM,05:53 PM,13,25,25,23,33,21,52,0.0,1015,26,10,342,26,Jeddah
2018-01-03,29,23,0.0,8.7,7,89,07:33 PM,08:04 AM,07:02 AM,05:54 PM,11,26,26,26,21,20,41,0.0,1014,29,10,209,15,Jeddah
2018-01-04,26,24,0.0,8.7,6,81,08:37 PM,09:00 AM,07:02 AM,05:54 PM,16,26,26,25,21,18,59,0.3,1015,26,10,314,16,Jeddah
2018-01-05,25,22,0.0,8.7,6,74,09:40 PM,09:51 AM,07:02 AM,05:55 PM,13,25,25,23,26,0,52,0.0,1016,25,10,174,21,Jeddah
2018-01-06,26,21,0.0,8.7,6,67,10:38 PM,10:37 AM,07:03 AM,05:56 PM,13,25,25,23,29,0,53,0.0,1015,26,10,220,23,Jeddah
2018-01-07,27,21,0.0,8.7,6,59,11:35 PM,11:20 AM,07:03 AM,05:56 PM,14,25,25,24,31,0,54,0.0,1017,27,10,259,23,Jeddah
2018-01-08,29,22,0.0,8.7,7,52,No moonrise,11:59 AM,07:03 AM,05:57 PM,9,26,26,26,46,2,35,0.0,1017,29,10,123,33,Jeddah
2018-01-09,29,22,0.0,8.7,7,45,12:28 AM,12:37 PM,07:03 AM,05:58 PM,8,25,25,25,42,2,33,0.0,1018,29,10,41,30,Jeddah
2018-01-10,29,22,0.0,8.7,7,38,01:21 AM,01:16 PM,07:03 AM,05:58 PM,9,26,26,25,27,0,36,0.0,1018,29,10,149,18,Jeddah
2018-01-11,28,23,0.0,8.7,7,30,02:12 AM,01:54 PM,07:03 AM,05:59 PM,12,26,26,25,18,0,45,0.0,1017,28,10,173,12,Jeddah
2018-01-12,28,23,0.0,11.0,7,23,03:03 AM,02:34 PM,07:04 AM,06:00 PM,14,26,26,26,10,0,51,0.0,1017,28,10,233,7,Jeddah
2018-01-13,28,24,0.0,11.0,7,16,03:53 AM,03:16 PM,07:04 AM,06:00 PM,16,27,27,26,11,0,56,0.0,1015,28,10,141,8,Jeddah
2018-01-14,28,24,0.0,11.0,7,9,04:43 AM,04:01 PM,07:04 AM,06:01 PM,18,27,27,26,12,2,62,0.0,1015,28,10,211,9,Jeddah
2018-01-15,27,23,0.0,11.0,6,1,05:33 AM,04:47 PM,07:04 AM,06:02 PM,17,26,26,25,31,0,63,0.0,1017,27,10,345,23,Jeddah
2018-01-16,28,23,0.0,11.0,7,0,06:21 AM,05:36 PM,07:04 AM,06:02 PM,14,26,26,25,21,0,53,0.0,1016,28,10,249,15,Jeddah
2018-01-17,27,23,0.0,11.0,6,0,07:07 AM,06:26 PM,07:04 AM,06:03 PM,17,26,26,25,21,3,62,0.0,1013,27,10,284,15,Jeddah
2018-01-18,25,23,0.0,11.0,6,6,07:52 AM,07:18 PM,07:04 AM,06:04 PM,17,26,26,24,21,10,63,0.1,1014,25,10,205,16,Jeddah
2018-01-19,26,22,0.0,11.0,6,13,08:33 AM,08:09 PM,07:04 AM,06:04 PM,13,25,25,24,19,3,52,0.0,1015,26,10,335,15,Jeddah
2018-01-20,24,21,0.0,11.0,6,20,09:14 AM,09:00 PM,07:04 AM,06:05 PM,12,25,25,23,27,0,53,0.0,1017,24,10,217,21,Jeddah
2018-01-21,29,22,0.0,11.0,7,28,09:52 AM,09:52 PM,07:03 AM,06:06 PM,11,26,26,25,23,3,41,0.0,1015,29,10,109,15,Jeddah
2018-01-22,27,24,0.0,11.0,7,35,10:30 AM,10:45 PM,07:03 AM,06:06 PM,17,27,27,25,15,5,62,0.0,1014,27,10,203,11,Jeddah
2018-01-23,27,24,0.0,11.0,6,42,11:09 AM,11:39 PM,07:03 AM,06:07 PM,18,26,26,25,24,16,66,0.1,1013,27,10,174,18,Jeddah
2018-01-24,27,23,0.0,11.1,6,49,11:49 AM,No moonset,07:03 AM,06:08 PM,14,26,26,24,27,13,53,0.0,1013,27,10,345,21,Jeddah
2018-01-25,24,23,0.0,5.5,5,57,12:30 PM,12:34 AM,07:03 AM,06:08 PM,15,25,25,23,22,61,59,0.1,1013,24,10,305,17,Jeddah
2018-01-26,24,22,0.0,11.1,6,64,01:17 PM,01:33 AM,07:03 AM,06:09 PM,13,25,25,23,31,28,55,0.0,1015,24,10,174,25,Jeddah
2018-01-27,23,20,0.0,11.1,6,71,02:07 PM,02:33 AM,07:02 AM,06:09 PM,12,21,22,21,39,0,55,0.0,1017,23,10,347,31,Jeddah
2018-01-28,26,20,0.0,11.1,6,78,03:03 PM,03:37 AM,07:02 AM,06:10 PM,10,23,23,22,36,2,48,0.0,1016,26,10,346,27,Jeddah
2018-01-29,27,23,0.0,11.1,6,86,04:04 PM,04:40 AM,07:02 AM,06:11 PM,8,25,25,24,34,37,36,0.0,1014,27,10,180,25,Jeddah
2018-01-30,26,23,0.0,11.1,6,93,05:08 PM,05:43 AM,07:01 AM,06:11 PM,13,25,25,24,29,29,51,0.0,1015,26,10,330,22,Jeddah
2018-01-31,27,23,0.0,10.1,6,97,06:14 PM,06:41 AM,07:01 AM,06:12 PM,14,26,26,25,15,39,50,0.1,1015,27,10,219,11,Jeddah
2018-02-01,27,23,0.0,8.6,5,88,07:19 PM,07:36 AM,07:01 AM,06:13 PM,15,26,26,25,13,59,56,0.1,1016,27,10,173,9,Jeddah
2018-02-02,29,24,0.0,11.1,7,81,08:21 PM,08:25 AM,07:00 AM,06:13 PM,14,26,26,26,22,39,49,0.0,1016,29,10,223,15,Jeddah
2018-02-03,29,24,0.0,11.1,7,73,09:20 PM,09:11 AM,07:00 AM,06:14 PM,10,26,26,26,27,3,36,0.0,1016,29,10,96,18,Jeddah
2018-02-04,28,24,0.0,11.1,7,66,10:17 PM,09:53 AM,07:00 AM,06:14 PM,13,26,26,26,21,1,46,0.0,1017,28,10,162,14,Jeddah
2018-02-05,29,23,0.0,11.6,7,58,11:12 PM,10:33 AM,06:59 AM,06:15 PM,13,26,26,26,12,0,47,0.0,1016,29,10,190,8,Jeddah
2018-02-06,28,23,0.0,11.6,7,51,No moonrise,11:13 AM,06:59 AM,06:16 PM,15,26,26,25,10,13,53,0.0,1016,28,10,140,8,Jeddah
2018-02-07,27,23,0.0,11.6,7,43,12:04 AM,11:52 AM,06:58 AM,06:16 PM,15,26,26,25,14,5,55,0.0,1015,27,10,281,10,Jeddah
2018-02-08,27,23,0.0,11.6,7,36,12:57 AM,12:32 PM,06:58 AM,06:17 PM,16,26,26,25,10,17,58,0.0,1014,27,10,296,7,Jeddah
2018-02-09,27,23,0.0,11.6,7,28,01:48 AM,01:14 PM,06:57 AM,06:17 PM,16,26,26,25,11,1,58,0.0,1012,27,10,294,8,Jeddah
2018-02-10,28,24,0.0,11.6,7,20,02:38 AM,01:57 PM,06:57 AM,06:18 PM,18,27,27,26,13,0,63,0.0,1011,28,10,232,10,Jeddah
2018-02-11,30,25,0.0,11.6,7,13,03:28 AM,02:43 PM,06:56 AM,06:18 PM,20,29,29,27,13,3,65,0.0,1011,30,10,152,9,Jeddah
2018-02-12,32,25,0.0,11.6,7,5,04:16 AM,03:32 PM,06:56 AM,06:19 PM,19,30,30,28,37,0,58,0.0,1010,32,10,169,24,Jeddah
2018-02-13,31,26,0.0,11.6,7,0,05:04 AM,04:21 PM,06:55 AM,06:20 PM,20,30,30,28,39,0,61,0.0,1012,31,10,206,25,Jeddah
2018-02-14,30,24,0.0,11.6,7,0,05:49 AM,05:12 PM,06:55 AM,06:20 PM,21,28,28,26,15,8,71,0.0,1014,30,10,276,11,Jeddah
2018-02-15,29,25,0.0,11.6,7,0,06:31 AM,06:04 PM,06:54 AM,06:21 PM,20,28,28,26,14,2,69,0.0,1013,29,10,259,11,Jeddah
