date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,13,11,0.0,3.8,4,97,04:19 PM,05:34 AM,06:39 AM,04:46 PM,7,11,12,11,25,49,70,0.7,1016,13,10,217,18,Jerusalem
2018-01-02,15,13,0.0,3.8,3,100,05:24 PM,06:39 AM,06:39 AM,04:47 PM,10,13,14,13,21,68,77,0.2,1019,15,10,222,14,Jerusalem
2018-01-03,18,12,0.0,8.7,4,89,06:31 PM,07:39 AM,06:39 AM,04:48 PM,7,15,15,15,11,16,61,0.0,1018,18,10,199,7,Jerusalem
2018-01-04,16,12,0.0,8.7,4,81,07:40 PM,08:32 AM,06:39 AM,04:48 PM,6,13,14,13,29,25,58,0.0,1014,16,10,202,21,Jerusalem
2018-01-05,14,13,0.0,5.4,3,74,08:46 PM,09:20 AM,06:40 AM,04:49 PM,8,11,14,11,45,64,70,0.7,1009,14,10,225,32,Jerusalem
2018-01-06,16,13,0.0,8.7,4,67,09:49 PM,10:02 AM,06:40 AM,04:50 PM,10,14,15,14,13,20,76,2.1,1018,16,10,265,9,Jerusalem
2018-01-07,17,11,0.0,8.7,4,59,10:50 PM,10:39 AM,06:40 AM,04:51 PM,9,16,16,16,8,1,64,0.0,1027,17,10,82,6,Jerusalem
2018-01-08,19,12,0.0,8.7,4,52,11:48 PM,11:15 AM,06:40 AM,04:52 PM,5,16,16,16,13,2,48,0.0,1028,19,10,45,8,Jerusalem
2018-01-09,19,12,0.0,8.7,4,45,No moonrise,11:49 AM,06:40 AM,04:52 PM,9,16,16,16,9,2,64,0.0,1027,19,10,213,6,Jerusalem
2018-01-10,19,12,0.0,7.1,5,38,12:44 AM,12:23 PM,06:40 AM,04:53 PM,10,17,17,17,10,18,64,0.0,1023,19,10,98,6,Jerusalem
2018-01-11,23,15,0.0,8.7,5,30,01:39 AM,12:58 PM,06:40 AM,04:54 PM,2,18,19,18,17,10,33,0.0,1018,23,10,155,9,Jerusalem
2018-01-12,19,14,0.0,8.7,5,23,02:33 AM,01:36 PM,06:40 AM,04:55 PM,9,17,17,17,12,0,61,0.0,1020,19,10,195,8,Jerusalem
2018-01-13,21,13,0.0,8.7,5,16,03:27 AM,02:15 PM,06:40 AM,04:56 PM,9,17,17,17,13,1,59,0.0,1017,21,10,154,8,Jerusalem
2018-01-14,17,13,0.0,8.7,4,9,04:19 AM,02:58 PM,06:39 AM,04:57 PM,8,14,15,14,31,11,65,0.0,1017,17,10,247,22,Jerusalem
2018-01-15,18,13,0.0,8.7,4,1,05:09 AM,03:44 PM,06:39 AM,04:58 PM,10,15,15,15,14,8,72,0.0,1024,18,10,276,10,Jerusalem
2018-01-16,18,12,0.0,7.1,4,0,05:57 AM,04:33 PM,06:39 AM,04:59 PM,9,16,15,16,6,20,67,0.0,1023,18,10,266,5,Jerusalem
2018-01-17,15,12,0.0,7.1,4,0,06:42 AM,05:25 PM,06:39 AM,04:59 PM,9,13,14,13,13,31,72,0.0,1017,15,10,231,9,Jerusalem
2018-01-18,18,12,0.0,8.7,4,6,07:25 AM,06:18 PM,06:39 AM,05:00 PM,7,14,15,14,40,13,61,0.0,1011,18,10,206,27,Jerusalem
2018-01-19,14,11,0.0,8.7,4,13,08:04 AM,07:13 PM,06:38 AM,05:01 PM,6,10,12,10,45,31,64,0.1,1013,14,10,277,33,Jerusalem
2018-01-20,16,10,0.0,8.7,4,20,08:40 AM,08:08 PM,06:38 AM,05:02 PM,8,14,14,14,10,15,66,0.0,1022,16,10,206,7,Jerusalem
2018-01-21,20,12,0.0,4.0,4,28,09:16 AM,09:04 PM,06:38 AM,05:03 PM,4,15,16,15,15,75,47,0.0,1018,20,10,100,8,Jerusalem
2018-01-22,19,14,0.0,8.7,5,35,09:50 AM,10:00 PM,06:37 AM,05:04 PM,3,16,16,16,25,8,40,0.0,1012,19,10,216,15,Jerusalem
2018-01-23,17,13,0.0,8.7,4,42,10:24 AM,10:59 PM,06:37 AM,05:05 PM,8,13,14,13,31,38,67,0.0,1013,17,10,231,22,Jerusalem
2018-01-24,16,12,0.0,8.7,4,49,11:00 AM,11:59 PM,06:37 AM,05:06 PM,8,14,14,14,12,31,67,0.0,1015,16,10,223,8,Jerusalem
2018-01-25,14,11,0.0,7.1,4,57,11:38 AM,No moonset,06:36 AM,05:07 PM,7,11,13,11,27,50,70,0.0,1013,14,10,212,19,Jerusalem
2018-01-26,12,9,0.0,7.1,4,64,12:19 PM,01:01 AM,06:36 AM,05:08 PM,4,7,10,7,41,52,68,3.5,1016,12,10,210,30,Jerusalem
2018-01-27,13,9,0.0,8.7,4,71,01:07 PM,02:05 AM,06:35 AM,05:09 PM,7,10,11,10,15,22,77,0.1,1021,13,10,209,10,Jerusalem
2018-01-28,15,9,0.0,8.7,4,78,02:00 PM,03:11 AM,06:35 AM,05:10 PM,7,12,12,12,7,14,70,0.0,1025,15,10,226,5,Jerusalem
2018-01-29,15,10,0.0,8.7,4,86,03:01 PM,04:16 AM,06:34 AM,05:11 PM,7,13,13,13,6,18,70,0.0,1024,15,10,194,4,Jerusalem
2018-01-30,16,9,0.0,8.7,4,93,04:06 PM,05:19 AM,06:33 AM,05:12 PM,9,15,15,15,7,2,69,0.0,1024,16,10,226,5,Jerusalem
2018-01-31,17,10,0.0,8.7,4,97,05:14 PM,06:15 AM,06:33 AM,05:12 PM,8,15,15,15,9,0,66,0.0,1023,17,10,152,7,Jerusalem
2018-02-01,19,11,0.0,8.7,4,88,06:22 PM,07:07 AM,06:32 AM,05:13 PM,6,16,16,16,9,0,54,0.0,1023,19,10,42,6,Jerusalem
