date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,9,-0,0.0,8.7,2,97,04:27 PM,06:02 AM,07:25 AM,05:07 PM,-7,6,7,6,8,0,37,0.0,1026,9,10,137,6,Jinan
2018-01-02,5,-1,0.0,7.0,2,100,05:31 PM,07:09 AM,07:25 AM,05:07 PM,-5,-1,3,-1,18,36,56,0.0,1032,5,10,58,14,Jinan
2018-01-03,-0,-3,0.0,5.4,2,89,06:39 PM,08:09 AM,07:25 AM,05:08 PM,-18,-5,-1,-5,16,48,30,0.0,1039,-0,10,25,12,Jinan
2018-01-04,-1,-3,0.0,3.7,1,81,07:49 PM,09:03 AM,07:25 AM,05:09 PM,-19,-5,-2,-5,9,84,25,0.0,1034,-1,10,181,7,Jinan
2018-01-05,2,-6,0.0,8.7,2,74,08:58 PM,09:50 AM,07:25 AM,05:10 PM,-19,-2,-1,-2,5,21,25,0.0,1028,2,10,289,4,Jinan
2018-01-06,3,-3,0.0,8.7,2,67,10:04 PM,10:30 AM,07:25 AM,05:11 PM,-15,-0,1,-0,7,46,29,0.0,1028,3,10,47,5,Jinan
2018-01-07,1,-1,0.4,3.7,1,59,11:08 PM,11:07 AM,07:25 AM,05:12 PM,-4,-1,0,-1,5,95,74,0.5,1023,1,8,250,4,Jinan
2018-01-08,1,-3,0.0,8.7,2,52,No moonrise,11:40 AM,07:25 AM,05:13 PM,-17,-7,-2,-7,25,13,37,0.0,1021,1,10,285,18,Jinan
2018-01-09,4,-5,0.0,8.7,2,45,12:09 AM,12:12 PM,07:25 AM,05:14 PM,-18,-5,-1,-5,23,3,27,0.0,1023,4,10,288,16,Jinan
2018-01-10,-1,-6,0.0,8.7,2,38,01:08 AM,12:44 PM,07:25 AM,05:15 PM,-20,-7,-3,-7,12,14,25,0.0,1029,-1,10,174,9,Jinan
2018-01-11,-4,-9,0.0,8.7,2,30,02:05 AM,01:17 PM,07:25 AM,05:16 PM,-28,-10,-6,-10,16,2,16,0.0,1037,-4,10,48,13,Jinan
2018-01-12,1,-9,0.0,8.7,2,23,03:01 AM,01:52 PM,07:25 AM,05:16 PM,-21,-6,-2,-6,16,1,24,0.0,1034,1,10,203,12,Jinan
