date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,31,18,0.0,13.9,6,97,06:27 PM,04:29 AM,05:19 AM,07:04 PM,1,26,26,28,15,0,19,0.0,1007,31,10,244,11,Johannesburg
2018-01-02,30,17,0.0,13.8,6,100,07:30 PM,05:31 AM,05:20 AM,07:04 PM,5,23,23,24,18,6,33,0.3,1011,30,10,131,14,Johannesburg
2018-01-03,27,14,0.0,13.8,6,89,08:27 PM,06:37 AM,05:20 AM,07:04 PM,8,21,21,21,15,6,44,0.0,1019,27,10,83,12,Johannesburg
2018-01-04,28,14,0.0,13.8,6,81,09:20 PM,07:44 AM,05:21 AM,07:04 PM,6,22,22,22,13,4,39,0.0,1020,28,10,93,11,Johannesburg
2018-01-05,31,16,0.0,13.8,6,74,10:06 PM,08:49 AM,05:22 AM,07:05 PM,4,25,25,26,13,2,27,0.0,1013,31,10,186,10,Johannesburg
2018-01-06,34,18,0.0,13.8,7,67,10:48 PM,09:51 AM,05:22 AM,07:05 PM,5,28,28,29,7,12,24,0.0,1008,34,10,166,6,Johannesburg
2018-01-07,34,19,0.0,13.8,7,59,11:27 PM,10:50 AM,05:23 AM,07:05 PM,2,27,27,28,10,20,20,0.0,1008,34,10,172,7,Johannesburg
2018-01-08,34,22,0.0,13.8,7,52,No moonrise,11:47 AM,05:24 AM,07:05 PM,2,27,27,28,22,23,20,0.0,1008,34,10,262,16,Johannesburg
2018-01-09,28,18,0.0,13.8,6,45,12:04 AM,12:42 PM,05:25 AM,07:05 PM,13,22,23,22,19,17,57,7.5,1013,28,10,78,13,Johannesburg
2018-01-10,24,16,0.0,13.8,5,38,12:40 AM,01:35 PM,05:25 AM,07:05 PM,12,20,21,20,16,37,62,0.2,1019,24,10,81,13,Johannesburg
2018-01-11,26,15,0.0,13.8,6,30,01:17 AM,02:27 PM,05:26 AM,07:05 PM,11,21,22,21,10,26,55,0.0,1019,26,10,34,8,Johannesburg
2018-01-12,31,16,0.0,13.8,6,23,01:55 AM,03:20 PM,05:27 AM,07:05 PM,10,24,24,25,9,10,43,0.0,1016,31,10,308,6,Johannesburg
2018-01-13,33,18,0.0,13.8,7,16,02:35 AM,04:11 PM,05:28 AM,07:05 PM,9,28,28,28,7,4,35,0.0,1013,33,10,91,5,Johannesburg
