date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,9,-1,0.0,8.7,2,97,04:22 PM,05:48 AM,07:00 AM,04:54 PM,-21,2,4,2,16,0,15,0.0,1019,9,10,277,9,Kabul
2018-01-02,9,-0,0.0,8.7,2,100,05:26 PM,06:53 AM,07:00 AM,04:54 PM,-22,3,4,3,10,7,14,0.0,1016,9,10,151,5,Kabul
2018-01-03,5,-3,0.0,8.7,2,89,06:34 PM,07:54 AM,07:00 AM,04:55 PM,-19,-0,1,-0,10,8,21,0.0,1016,5,10,236,6,Kabul
2018-01-04,-1,-4,0.1,8.7,2,81,07:43 PM,08:47 AM,07:01 AM,04:56 PM,-13,-3,-2,-3,7,42,43,0.1,1019,-1,10,250,4,Kabul
2018-01-05,3,-5,0.0,8.7,2,74,08:50 PM,09:34 AM,07:01 AM,04:57 PM,-10,-1,0,-1,5,4,46,0.0,1020,3,10,256,4,Kabul
2018-01-06,5,-4,0.0,8.7,2,67,09:56 PM,10:14 AM,07:01 AM,04:58 PM,-16,2,2,2,4,2,26,0.0,1018,5,10,213,3,Kabul
2018-01-07,6,-2,0.0,8.7,2,59,10:58 PM,10:51 AM,07:01 AM,04:58 PM,-17,1,2,1,8,13,24,0.0,1021,6,10,251,4,Kabul
2018-01-08,5,-2,0.0,5.3,1,52,11:57 PM,11:26 AM,07:01 AM,04:59 PM,-14,0,1,0,7,50,31,0.0,1022,5,10,197,4,Kabul
2018-01-09,3,-2,0.1,7.0,2,45,No moonrise,11:59 AM,07:01 AM,05:00 PM,-9,-0,1,-0,6,55,48,0.2,1025,3,10,275,4,Kabul
2018-01-10,5,-1,0.3,8.7,2,38,12:55 AM,12:31 PM,07:01 AM,05:01 PM,-8,2,3,2,5,14,47,0.3,1026,5,9,210,4,Kabul
2018-01-11,7,-1,0.0,8.7,2,30,01:51 AM,01:06 PM,07:01 AM,05:02 PM,-11,2,4,2,14,0,34,0.0,1025,7,10,254,9,Kabul
2018-01-12,8,-1,0.0,8.7,2,23,02:46 AM,01:42 PM,07:00 AM,05:03 PM,-19,2,4,2,15,12,17,0.0,1022,8,10,254,8,Kabul
2018-01-13,9,-0,0.0,8.7,2,16,03:41 AM,02:20 PM,07:00 AM,05:04 PM,-17,4,5,4,9,2,19,0.0,1020,9,10,242,5,Kabul
2018-01-14,8,-1,0.0,8.7,2,9,04:34 AM,03:02 PM,07:00 AM,05:05 PM,-16,3,5,3,13,3,22,0.0,1023,8,10,281,7,Kabul
2018-01-15,9,-1,0.0,8.7,2,1,05:25 AM,03:48 PM,07:00 AM,05:06 PM,-20,4,5,4,9,1,15,0.0,1021,9,10,238,5,Kabul
2018-01-16,6,-2,0.0,8.7,2,0,06:13 AM,04:36 PM,07:00 AM,05:07 PM,-21,0,2,0,10,27,17,0.0,1017,6,10,219,6,Kabul
2018-01-17,2,-3,0.0,8.7,2,0,06:58 AM,05:29 PM,06:59 AM,05:08 PM,-15,-2,0,-2,9,17,31,0.0,1020,2,10,106,6,Kabul
2018-01-18,4,-4,0.0,8.7,2,6,07:40 AM,06:22 PM,06:59 AM,05:09 PM,-18,-1,0,-1,7,7,23,0.0,1024,4,10,209,5,Kabul
2018-01-19,6,-4,0.0,8.7,2,13,08:19 AM,07:18 PM,06:59 AM,05:10 PM,-17,2,3,2,7,2,22,0.0,1024,6,10,266,4,Kabul
2018-01-20,10,-1,0.0,8.7,2,20,08:55 AM,08:14 PM,06:58 AM,05:11 PM,-18,5,6,5,9,0,16,0.0,1021,10,10,219,5,Kabul
2018-01-21,8,-1,0.0,8.7,2,28,09:29 AM,09:11 PM,06:58 AM,05:12 PM,-25,3,5,3,13,0,10,0.0,1017,8,10,246,7,Kabul
2018-01-22,6,-3,0.0,8.7,2,35,10:02 AM,10:09 PM,06:57 AM,05:13 PM,-23,-1,2,-1,16,6,13,0.0,1017,6,10,255,9,Kabul
2018-01-23,6,-2,0.0,8.7,2,42,10:34 AM,11:08 PM,06:57 AM,05:14 PM,-17,1,3,1,13,2,21,0.0,1017,6,10,257,7,Kabul
2018-01-24,7,-1,0.0,8.7,2,49,11:09 AM,No moonset,06:56 AM,05:15 PM,-17,3,4,3,11,2,19,0.0,1016,7,10,147,6,Kabul
2018-01-25,7,-2,0.0,8.7,2,57,11:45 AM,12:09 AM,06:56 AM,05:16 PM,-16,1,3,1,15,0,24,0.0,1019,7,10,291,10,Kabul
2018-01-26,7,-2,0.0,8.7,2,64,12:25 PM,01:13 AM,06:55 AM,05:17 PM,-15,1,4,1,14,0,24,0.0,1021,7,10,271,8,Kabul
2018-01-27,6,-1,0.0,8.7,2,71,01:11 PM,02:18 AM,06:55 AM,05:18 PM,-16,2,3,2,9,16,25,0.0,1019,6,10,214,5,Kabul
2018-01-28,6,-2,0.0,8.7,2,78,02:03 PM,03:25 AM,06:54 AM,05:19 PM,-13,0,2,0,9,16,33,0.0,1018,6,10,188,6,Kabul
2018-01-29,-0,-3,3.1,5.6,1,86,03:03 PM,04:30 AM,06:53 AM,05:20 PM,-6,-4,-2,-4,10,73,74,3.6,1019,-0,7,143,7,Kabul
2018-01-30,3,-4,0.1,8.7,2,93,04:08 PM,05:33 AM,06:53 AM,05:21 PM,-8,-3,-1,-3,10,27,59,0.1,1024,3,10,229,5,Kabul
2018-01-31,-0,-4,0.6,7.1,2,97,05:17 PM,06:30 AM,06:52 AM,05:22 PM,-8,-4,-2,-4,10,43,64,0.7,1020,-0,9,276,6,Kabul
2018-02-01,3,-4,0.0,8.7,2,88,06:26 PM,07:21 AM,06:51 AM,05:23 PM,-8,-2,0,-2,12,4,54,0.0,1023,3,10,279,7,Kabul
2018-02-02,3,-4,0.0,8.7,2,81,07:35 PM,08:06 AM,06:51 AM,05:24 PM,-13,-1,1,-1,12,0,35,0.0,1022,3,10,279,7,Kabul
2018-02-03,2,-6,0.0,8.7,2,73,08:40 PM,08:46 AM,06:50 AM,05:25 PM,-14,-5,-1,-5,19,0,37,0.0,1027,2,10,270,10,Kabul
2018-02-04,3,-5,0.0,8.7,2,66,09:43 PM,09:23 AM,06:49 AM,05:26 PM,-18,-3,-0,-3,14,0,26,0.0,1025,3,10,256,7,Kabul
2018-02-05,2,-5,0.0,8.7,2,58,10:43 PM,09:57 AM,06:48 AM,05:27 PM,-18,-4,-1,-4,13,13,26,0.0,1025,2,10,317,8,Kabul
2018-02-06,3,-5,0.0,8.7,2,51,11:42 PM,10:31 AM,06:47 AM,05:28 PM,-14,-3,-0,-3,11,15,35,0.0,1027,3,10,262,7,Kabul
2018-02-07,4,-3,0.0,8.7,2,43,No moonrise,11:05 AM,06:47 AM,05:29 PM,-14,-2,1,-2,15,5,32,0.0,1024,4,10,294,9,Kabul
2018-02-08,4,-3,0.0,8.7,2,36,12:38 AM,11:41 AM,06:46 AM,05:30 PM,-14,-1,1,-1,10,11,30,0.0,1022,4,10,300,6,Kabul
2018-02-09,1,-4,0.0,7.2,2,28,01:34 AM,12:19 PM,06:45 AM,05:31 PM,-15,-4,-1,-4,10,47,35,0.1,1020,1,10,209,8,Kabul
