date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,16,0.0,11.6,6,97,05:47 PM,05:51 AM,06:46 AM,06:12 PM,-3,21,21,21,31,4,20,0.0,1017,28,10,63,20,Kano
2018-01-02,27,15,0.0,11.6,6,100,06:51 PM,06:55 AM,06:47 AM,06:13 PM,-3,21,20,21,32,2,20,0.0,1016,27,10,64,21,Kano
2018-01-03,27,13,0.0,11.6,6,89,07:55 PM,07:57 AM,06:47 AM,06:14 PM,-3,20,20,20,31,0,22,0.0,1017,27,10,64,20,Kano
2018-01-04,27,13,0.0,11.6,5,81,08:57 PM,08:55 AM,06:47 AM,06:14 PM,-6,19,19,19,32,0,18,0.0,1019,27,10,62,21,Kano
2018-01-05,26,13,0.0,11.6,5,74,09:56 PM,09:48 AM,06:48 AM,06:15 PM,-4,19,19,19,29,0,22,0.0,1017,26,10,70,18,Kano
2018-01-06,27,13,0.0,11.6,5,67,10:51 PM,10:37 AM,06:48 AM,06:15 PM,-5,19,19,19,24,0,20,0.0,1016,27,10,73,15,Kano
2018-01-07,29,14,0.0,11.6,6,59,11:43 PM,11:23 AM,06:48 AM,06:16 PM,-4,20,20,20,21,0,20,0.0,1015,29,10,79,13,Kano
2018-01-08,30,15,0.0,11.6,6,52,No moonrise,12:06 PM,06:49 AM,06:16 PM,-4,22,22,22,20,0,18,0.0,1016,30,10,70,12,Kano
2018-01-09,31,16,0.0,11.6,6,45,12:33 AM,12:47 PM,06:49 AM,06:17 PM,-6,22,22,23,23,0,15,0.0,1016,31,10,64,14,Kano
2018-01-10,30,15,0.0,11.6,6,38,01:22 AM,01:29 PM,06:49 AM,06:17 PM,-6,21,21,22,23,0,15,0.0,1015,30,10,58,14,Kano
2018-01-11,29,15,0.0,11.6,6,30,02:10 AM,02:10 PM,06:49 AM,06:18 PM,-6,21,21,21,25,0,16,0.0,1015,29,10,56,16,Kano
2018-01-12,29,14,0.0,11.6,6,23,02:59 AM,02:53 PM,06:50 AM,06:19 PM,-8,21,20,21,23,0,14,0.0,1016,29,10,53,14,Kano
2018-01-13,27,13,0.0,11.6,5,16,03:47 AM,03:37 PM,06:50 AM,06:19 PM,-8,20,20,20,26,0,14,0.0,1016,27,10,59,16,Kano
2018-01-14,28,13,0.0,11.6,6,9,04:35 AM,04:23 PM,06:50 AM,06:20 PM,-7,20,20,20,26,0,16,0.0,1016,28,10,64,16,Kano
2018-01-15,31,15,0.0,11.6,6,1,05:24 AM,05:10 PM,06:50 AM,06:20 PM,-5,22,21,22,26,1,17,0.0,1015,31,10,64,16,Kano
2018-01-16,29,15,0.0,11.6,6,0,06:12 AM,05:59 PM,06:51 AM,06:21 PM,-7,21,21,21,26,0,15,0.0,1016,29,10,66,16,Kano
2018-01-17,28,14,0.0,11.6,6,0,06:59 AM,06:48 PM,06:51 AM,06:21 PM,-10,20,20,20,26,0,12,0.0,1016,28,10,55,16,Kano
2018-01-18,30,14,0.0,11.6,6,6,07:45 AM,07:37 PM,06:51 AM,06:22 PM,-9,21,21,21,25,0,13,0.0,1015,30,10,63,15,Kano
2018-01-19,31,15,0.0,11.6,6,13,08:28 AM,08:26 PM,06:51 AM,06:22 PM,-8,22,21,22,24,0,14,0.0,1014,31,10,71,14,Kano
2018-01-20,31,15,0.0,11.6,6,20,09:11 AM,09:15 PM,06:51 AM,06:23 PM,-6,22,22,22,20,0,16,0.0,1014,31,10,60,12,Kano
2018-01-21,29,15,0.0,11.6,6,28,09:53 AM,10:03 PM,06:51 AM,06:23 PM,-9,21,21,21,19,0,13,0.0,1014,29,10,57,11,Kano
2018-01-22,30,15,0.0,11.6,6,35,10:34 AM,10:53 PM,06:51 AM,06:24 PM,-11,22,21,22,29,0,10,0.0,1015,30,10,60,18,Kano
2018-01-23,28,14,0.0,11.6,6,42,11:16 AM,11:43 PM,06:51 AM,06:24 PM,-7,21,20,21,28,1,15,0.0,1015,28,10,56,17,Kano
2018-01-24,29,15,0.0,11.6,6,49,11:59 AM,No moonset,06:51 AM,06:25 PM,-6,21,20,21,28,0,16,0.0,1015,29,10,63,17,Kano
2018-01-25,31,15,0.0,11.6,6,57,12:45 PM,12:35 AM,06:51 AM,06:25 PM,-5,22,22,22,27,4,16,0.0,1014,31,10,65,16,Kano
2018-01-26,27,16,0.0,8.7,6,64,01:35 PM,01:31 AM,06:51 AM,06:25 PM,-0,21,21,21,27,36,25,0.0,1015,27,10,66,17,Kano
2018-01-27,30,15,0.0,11.6,6,71,02:28 PM,02:29 AM,06:51 AM,06:26 PM,-0,22,21,22,27,40,24,0.0,1014,30,10,69,17,Kano
2018-01-28,30,15,0.0,11.6,6,78,03:26 PM,03:30 AM,06:51 AM,06:26 PM,-3,21,21,21,27,4,21,0.0,1014,30,10,63,17,Kano
2018-01-29,29,14,0.0,11.6,6,86,04:28 PM,04:32 AM,06:51 AM,06:27 PM,-9,21,20,21,29,1,13,0.0,1016,29,10,64,18,Kano
2018-01-30,28,13,0.0,11.6,5,93,05:32 PM,05:35 AM,06:51 AM,06:27 PM,-10,20,20,20,31,0,13,0.0,1016,28,10,59,19,Kano
2018-01-31,28,12,0.0,11.6,5,97,06:35 PM,06:35 AM,06:51 AM,06:28 PM,-5,19,19,19,30,0,19,0.0,1015,28,10,70,19,Kano
2018-02-01,30,14,0.0,11.6,6,88,07:37 PM,07:32 AM,06:51 AM,06:28 PM,-4,21,21,21,27,0,18,0.0,1013,30,10,73,17,Kano
2018-02-02,31,16,0.0,11.6,6,81,08:35 PM,08:24 AM,06:51 AM,06:28 PM,-4,22,22,23,22,0,17,0.0,1013,31,10,73,14,Kano
2018-02-03,34,18,0.0,11.6,7,73,09:31 PM,09:13 AM,06:51 AM,06:29 PM,-6,24,24,25,20,1,13,0.0,1012,34,10,64,12,Kano
2018-02-04,35,19,0.0,11.6,7,66,10:23 PM,09:59 AM,06:50 AM,06:29 PM,-6,25,25,27,21,0,12,0.0,1011,35,10,64,13,Kano
2018-02-05,35,19,0.0,11.6,7,58,11:15 PM,10:42 AM,06:50 AM,06:29 PM,-6,26,26,27,22,0,12,0.0,1011,35,10,63,13,Kano
2018-02-06,36,19,0.0,11.6,7,51,No moonrise,11:25 AM,06:50 AM,06:30 PM,-6,26,26,27,20,0,11,0.0,1010,36,10,79,12,Kano
2018-02-07,36,19,0.0,11.6,7,43,12:04 AM,12:07 PM,06:50 AM,06:30 PM,-8,26,26,27,16,0,10,0.0,1010,36,10,66,9,Kano
2018-02-08,37,19,0.0,11.6,7,36,12:53 AM,12:50 PM,06:50 AM,06:30 PM,-8,27,27,29,16,0,9,0.0,1009,37,10,69,9,Kano
2018-02-09,38,22,0.0,11.6,7,28,01:42 AM,01:34 PM,06:49 AM,06:31 PM,-7,29,29,31,14,0,8,0.0,1008,38,10,202,8,Kano
2018-02-10,37,22,0.0,11.6,7,20,02:31 AM,02:19 PM,06:49 AM,06:31 PM,-10,29,29,30,15,1,7,0.0,1007,37,10,260,8,Kano
2018-02-11,36,21,0.0,11.6,7,13,03:20 AM,03:06 PM,06:49 AM,06:31 PM,-4,28,28,29,16,0,12,0.0,1009,36,10,333,9,Kano
