date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,24,19,0.0,8.7,6,97,04:42 PM,05:21 AM,06:39 AM,05:26 PM,15,23,24,23,12,2,62,0.0,1019,24,10,56,10,Kaohsiung
2018-01-02,24,20,0.0,8.7,6,100,05:46 PM,06:25 AM,06:39 AM,05:26 PM,17,24,26,24,9,13,66,0.0,1019,24,10,215,7,Kaohsiung
2018-01-03,24,20,0.0,8.7,6,89,06:52 PM,07:28 AM,06:39 AM,05:27 PM,18,24,26,24,7,16,70,0.0,1019,24,10,230,6,Kaohsiung
2018-01-04,24,21,0.0,5.6,6,81,07:57 PM,08:25 AM,06:40 AM,05:28 PM,17,25,25,23,10,47,70,0.8,1017,24,10,262,8,Kaohsiung
2018-01-05,24,21,0.0,7.2,6,74,09:00 PM,09:17 AM,06:40 AM,05:28 PM,17,25,25,22,18,64,72,0.1,1015,24,10,52,13,Kaohsiung
2018-01-06,24,21,0.0,8.7,6,67,10:01 PM,10:04 AM,06:40 AM,05:29 PM,18,25,25,23,10,52,75,0.0,1016,24,10,183,8,Kaohsiung
2018-01-07,27,21,0.0,8.7,6,59,10:58 PM,10:46 AM,06:40 AM,05:30 PM,19,26,26,24,13,43,73,0.0,1015,27,10,137,10,Kaohsiung
2018-01-08,26,23,0.0,8.7,6,52,11:53 PM,11:26 AM,06:40 AM,05:30 PM,19,27,27,25,16,25,68,0.0,1014,26,10,189,12,Kaohsiung
2018-01-09,22,17,0.0,4.1,5,45,No moonrise,12:04 PM,06:41 AM,05:31 PM,14,19,20,19,24,69,70,0.3,1020,22,9,54,19,Kaohsiung
2018-01-10,19,17,0.0,8.7,5,38,12:45 AM,12:41 PM,06:41 AM,05:32 PM,10,18,18,18,20,42,60,0.9,1023,19,10,60,16,Kaohsiung
2018-01-11,18,16,0.0,8.7,5,30,01:37 AM,01:20 PM,06:41 AM,05:33 PM,8,17,17,17,20,28,54,0.0,1024,18,10,32,15,Kaohsiung
2018-01-12,19,15,0.0,8.7,5,23,02:28 AM,01:59 PM,06:41 AM,05:33 PM,6,17,17,17,20,5,49,0.0,1025,19,10,81,15,Kaohsiung
2018-01-13,19,14,0.0,8.7,5,16,03:19 AM,02:40 PM,06:41 AM,05:34 PM,8,19,19,19,11,1,49,0.0,1025,19,10,123,9,Kaohsiung
2018-01-14,21,16,0.0,8.7,5,9,04:10 AM,03:25 PM,06:41 AM,05:35 PM,9,20,21,20,11,5,50,0.0,1021,21,10,151,9,Kaohsiung
2018-01-15,23,18,0.0,8.7,6,1,05:00 AM,04:10 PM,06:41 AM,05:35 PM,13,22,23,22,11,4,56,0.0,1018,23,10,142,9,Kaohsiung
2018-01-16,24,19,0.0,8.7,6,0,05:48 AM,04:59 PM,06:41 AM,05:36 PM,14,24,24,22,17,22,61,0.0,1014,24,10,139,13,Kaohsiung
2018-01-17,26,22,0.0,8.7,6,0,06:34 AM,05:49 PM,06:41 AM,05:37 PM,16,26,26,24,11,26,61,0.0,1014,26,10,44,8,Kaohsiung
2018-01-18,25,22,0.0,7.2,6,6,07:19 AM,06:40 PM,06:41 AM,05:37 PM,19,26,26,24,9,37,73,0.0,1016,25,10,216,7,Kaohsiung
2018-01-19,26,22,0.0,8.7,6,13,08:01 AM,07:32 PM,06:41 AM,05:38 PM,19,26,26,24,10,28,74,0.0,1017,26,10,257,8,Kaohsiung
2018-01-20,25,21,0.0,8.7,6,20,08:41 AM,08:23 PM,06:41 AM,05:39 PM,19,26,26,24,9,9,71,0.0,1016,25,10,255,8,Kaohsiung
2018-01-21,25,21,0.0,8.7,6,28,09:20 AM,09:16 PM,06:41 AM,05:40 PM,18,26,26,24,12,18,68,0.0,1014,25,10,210,10,Kaohsiung
2018-01-22,26,22,0.0,8.7,6,35,09:58 AM,10:08 PM,06:41 AM,05:40 PM,16,25,25,24,18,38,61,0.0,1013,26,10,133,13,Kaohsiung
2018-01-23,25,21,0.0,8.7,6,42,10:35 AM,11:02 PM,06:40 AM,05:41 PM,16,25,25,24,13,20,62,0.0,1015,25,10,139,11,Kaohsiung
2018-01-24,25,20,0.0,8.7,6,49,11:15 AM,11:58 PM,06:40 AM,05:42 PM,14,24,24,23,13,13,57,0.0,1015,25,10,100,10,Kaohsiung
2018-01-25,24,21,0.0,8.7,6,57,11:56 AM,No moonset,06:40 AM,05:42 PM,15,25,25,23,16,29,64,0.0,1015,24,10,145,13,Kaohsiung
2018-01-26,25,21,0.0,8.7,6,64,12:40 PM,12:56 AM,06:40 AM,05:43 PM,14,25,25,23,18,11,59,0.0,1016,25,10,59,14,Kaohsiung
2018-01-27,22,20,0.0,8.7,6,71,01:30 PM,01:57 AM,06:40 AM,05:44 PM,15,21,23,21,13,30,67,0.0,1017,22,10,54,10,Kaohsiung
2018-01-28,24,20,0.0,7.2,6,78,02:23 PM,02:59 AM,06:39 AM,05:44 PM,16,22,23,22,21,41,71,1.4,1014,24,10,135,16,Kaohsiung
2018-01-29,21,19,0.0,5.7,4,86,03:24 PM,04:03 AM,06:39 AM,05:45 PM,15,20,20,20,17,60,71,0.0,1017,21,10,97,13,Kaohsiung
2018-01-30,21,18,0.0,8.7,5,93,04:27 PM,05:06 AM,06:39 AM,05:46 PM,14,20,20,20,12,54,69,0.0,1018,21,10,152,10,Kaohsiung
2018-01-31,22,19,0.0,8.7,6,97,05:33 PM,06:06 AM,06:38 AM,05:46 PM,14,20,21,20,22,36,65,0.0,1018,22,10,177,17,Kaohsiung
2018-02-01,22,18,0.0,8.7,5,88,06:38 PM,07:01 AM,06:38 AM,05:47 PM,13,19,19,19,20,42,68,0.0,1019,22,10,138,16,Kaohsiung
2018-02-02,22,18,0.0,8.7,5,81,07:42 PM,07:52 AM,06:38 AM,05:48 PM,12,20,20,20,20,20,61,0.0,1020,22,10,185,16,Kaohsiung
2018-02-03,19,16,0.0,8.7,5,73,08:42 PM,08:37 AM,06:37 AM,05:48 PM,11,18,18,18,22,51,67,0.0,1022,19,10,135,18,Kaohsiung
2018-02-04,17,15,0.0,7.2,5,66,09:40 PM,09:20 AM,06:37 AM,05:49 PM,10,16,16,16,22,60,68,0.0,1022,17,10,138,18,Kaohsiung
2018-02-05,16,14,0.0,4.2,4,58,10:35 PM,10:00 AM,06:36 AM,05:50 PM,9,15,15,15,23,66,67,0.0,1023,16,10,180,19,Kaohsiung
2018-02-06,20,15,0.0,8.7,5,51,11:29 PM,10:39 AM,06:36 AM,05:50 PM,8,17,17,17,19,20,56,0.0,1020,20,10,109,15,Kaohsiung
2018-02-07,18,17,0.0,5.7,5,43,No moonrise,11:18 AM,06:35 AM,05:51 PM,9,18,18,18,19,68,56,0.0,1019,18,10,119,15,Kaohsiung
2018-02-08,19,17,0.0,5.7,4,36,12:22 AM,11:57 AM,06:35 AM,05:51 PM,12,18,18,18,14,71,68,0.0,1017,19,10,23,10,Kaohsiung
2018-02-09,23,18,0.0,8.7,6,28,01:14 AM,12:38 PM,06:34 AM,05:52 PM,15,21,23,21,13,34,68,0.0,1016,23,10,181,10,Kaohsiung
2018-02-10,25,20,0.0,8.7,6,20,02:04 AM,01:21 PM,06:34 AM,05:53 PM,16,24,24,23,20,24,66,0.0,1016,25,10,177,15,Kaohsiung
2018-02-11,20,17,0.0,7.2,4,13,02:55 AM,02:06 PM,06:33 AM,05:53 PM,14,19,19,19,20,51,73,0.4,1021,20,9,7,15,Kaohsiung
2018-02-12,22,17,0.0,8.7,5,5,03:44 AM,02:54 PM,06:33 AM,05:54 PM,11,20,21,20,14,10,60,0.0,1024,22,10,147,11,Kaohsiung
2018-02-13,22,17,0.0,8.7,5,0,04:31 AM,03:44 PM,06:32 AM,05:54 PM,12,20,21,20,9,10,58,0.0,1023,22,10,117,7,Kaohsiung
2018-02-14,25,18,0.0,8.7,6,0,05:16 AM,04:34 PM,06:31 AM,05:55 PM,15,24,25,24,12,1,58,0.0,1020,25,10,108,10,Kaohsiung
2018-02-15,27,21,0.0,8.7,6,0,05:59 AM,05:27 PM,06:31 AM,05:55 PM,17,27,27,26,13,2,62,0.0,1017,27,10,131,11,Kaohsiung
2018-02-16,27,24,0.0,8.7,7,2,06:40 AM,06:19 PM,06:30 AM,05:56 PM,17,27,27,25,16,27,61,0.2,1014,27,10,202,11,Kaohsiung
