date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,25,18,0.0,8.7,6,97,05:21 PM,06:07 AM,07:17 AM,05:54 PM,5,25,25,25,9,0,30,0.0,1014,25,10,206,8,Karachi
2018-01-02,25,18,0.0,8.7,6,100,06:24 PM,07:12 AM,07:17 AM,05:55 PM,4,25,25,25,9,0,30,0.0,1013,25,10,195,7,Karachi
2018-01-03,25,18,0.0,8.7,6,89,07:31 PM,08:13 AM,07:17 AM,05:56 PM,9,24,25,24,10,0,39,0.0,1014,25,10,256,8,Karachi
2018-01-04,25,20,0.0,8.7,6,81,08:36 PM,09:10 AM,07:18 AM,05:56 PM,16,23,25,23,17,3,64,0.0,1014,25,10,275,14,Karachi
2018-01-05,25,19,0.0,8.7,6,74,09:41 PM,10:00 AM,07:18 AM,05:57 PM,15,26,26,26,6,0,55,0.0,1013,25,10,202,5,Karachi
2018-01-06,24,18,0.0,8.7,6,67,10:41 PM,10:45 AM,07:18 AM,05:58 PM,12,25,25,25,7,2,46,0.0,1014,24,10,187,6,Karachi
2018-01-07,24,18,0.0,8.7,6,59,11:39 PM,11:26 AM,07:18 AM,05:58 PM,11,25,25,25,8,0,42,0.0,1015,24,10,181,7,Karachi
2018-01-08,24,18,0.0,8.7,6,52,No moonrise,12:05 PM,07:18 AM,05:59 PM,15,25,26,25,8,0,56,0.0,1016,24,10,214,7,Karachi
2018-01-09,26,19,0.0,10.8,6,45,12:34 AM,12:42 PM,07:18 AM,06:00 PM,7,24,24,24,18,0,38,0.0,1017,26,10,121,14,Karachi
2018-01-10,27,19,0.0,10.8,6,38,01:28 AM,01:19 PM,07:18 AM,06:00 PM,2,23,23,23,33,8,25,0.0,1018,27,10,44,21,Karachi
2018-01-11,25,21,0.0,10.8,6,30,02:20 AM,01:56 PM,07:19 AM,06:01 PM,-0,23,23,23,24,21,21,0.0,1017,25,10,44,16,Karachi
2018-01-12,27,22,0.0,10.8,6,23,03:12 AM,02:35 PM,07:19 AM,06:02 PM,3,24,24,25,12,12,25,0.0,1016,27,10,162,8,Karachi
2018-01-13,27,22,0.0,10.8,6,16,04:03 AM,03:16 PM,07:19 AM,06:03 PM,7,26,26,26,12,10,30,0.0,1015,27,10,236,8,Karachi
2018-01-14,28,20,0.0,10.8,6,9,04:54 AM,04:00 PM,07:19 AM,06:03 PM,7,26,26,27,11,0,28,0.0,1015,28,10,315,9,Karachi
2018-01-15,29,21,0.0,10.9,6,1,05:44 AM,04:46 PM,07:19 AM,06:04 PM,7,27,27,28,10,0,28,0.0,1016,29,10,198,8,Karachi
2018-01-16,27,21,0.0,10.9,6,0,06:32 AM,05:35 PM,07:19 AM,06:05 PM,12,26,26,25,18,0,46,0.0,1013,27,10,282,14,Karachi
2018-01-17,26,20,0.0,10.9,6,0,07:18 AM,06:25 PM,07:18 AM,06:05 PM,16,25,25,24,17,0,60,0.0,1012,26,10,265,12,Karachi
2018-01-18,28,19,0.0,10.9,6,6,08:02 AM,07:17 PM,07:18 AM,06:06 PM,5,25,25,26,14,0,29,0.0,1015,28,10,85,12,Karachi
2018-01-19,27,19,0.0,10.9,6,13,08:43 AM,08:09 PM,07:18 AM,06:07 PM,4,25,25,26,11,0,25,0.0,1016,27,10,144,9,Karachi
2018-01-20,26,19,0.0,10.9,6,20,09:23 AM,09:02 PM,07:18 AM,06:08 PM,4,25,25,25,11,0,27,0.0,1016,26,10,158,9,Karachi
2018-01-21,25,19,0.0,10.9,6,28,10:00 AM,09:55 PM,07:18 AM,06:08 PM,12,23,25,23,16,0,50,0.0,1013,25,10,277,14,Karachi
2018-01-22,25,20,0.0,10.9,6,35,10:37 AM,10:49 PM,07:18 AM,06:09 PM,13,23,24,23,25,0,56,0.0,1011,25,10,274,18,Karachi
2018-01-23,24,18,0.0,10.9,6,42,11:14 AM,11:44 PM,07:18 AM,06:10 PM,3,23,23,23,17,0,29,0.0,1012,24,10,269,13,Karachi
2018-01-24,25,17,0.0,10.9,6,49,11:53 AM,No moonset,07:17 AM,06:11 PM,11,24,25,24,12,0,46,0.0,1013,25,10,248,10,Karachi
2018-01-25,25,19,0.0,10.9,6,57,12:33 PM,12:41 AM,07:17 AM,06:11 PM,14,24,25,24,12,0,53,0.0,1013,25,10,276,11,Karachi
2018-01-26,26,18,0.0,11.0,6,64,01:18 PM,01:40 AM,07:17 AM,06:12 PM,14,25,26,25,9,0,54,0.0,1013,26,10,263,8,Karachi
2018-01-27,26,19,0.0,11.0,6,71,02:06 PM,02:42 AM,07:16 AM,06:13 PM,15,25,26,25,10,0,55,0.0,1012,26,10,280,9,Karachi
2018-01-28,26,19,0.0,11.0,6,78,03:01 PM,03:46 AM,07:16 AM,06:14 PM,15,25,26,25,9,0,54,0.0,1013,26,10,272,8,Karachi
2018-01-29,26,19,0.0,11.0,6,86,04:02 PM,04:50 AM,07:16 AM,06:14 PM,16,26,26,25,12,0,59,0.0,1015,26,10,284,11,Karachi
2018-01-30,28,20,0.0,11.0,6,93,05:06 PM,05:52 AM,07:15 AM,06:15 PM,15,28,28,27,8,1,51,0.0,1016,28,10,303,7,Karachi
2018-01-31,27,20,0.0,11.0,6,97,06:12 PM,06:51 AM,07:15 AM,06:16 PM,14,26,26,24,14,7,54,0.0,1016,27,10,285,11,Karachi
2018-02-01,27,21,0.0,11.0,6,88,07:18 PM,07:45 AM,07:15 AM,06:16 PM,16,27,27,26,14,0,57,0.0,1015,27,10,275,12,Karachi
2018-02-02,27,20,0.0,11.0,6,81,08:22 PM,08:34 AM,07:14 AM,06:17 PM,12,26,26,26,10,2,45,0.0,1014,27,10,267,8,Karachi
2018-02-03,27,19,0.0,11.0,6,73,09:23 PM,09:18 AM,07:14 AM,06:18 PM,4,25,25,25,16,0,28,0.0,1015,27,10,116,12,Karachi
2018-02-04,26,20,0.0,11.1,6,66,10:21 PM,09:59 AM,07:13 AM,06:19 PM,-6,23,23,24,17,8,14,0.0,1015,26,10,185,11,Karachi
2018-02-05,26,19,0.0,10.1,6,58,11:18 PM,10:38 AM,07:13 AM,06:19 PM,-1,24,24,24,12,15,20,0.0,1016,26,10,109,9,Karachi
2018-02-06,28,19,0.0,11.1,6,51,No moonrise,11:16 AM,07:12 AM,06:20 PM,0,25,25,26,14,0,19,0.0,1018,28,10,190,11,Karachi
2018-02-07,27,19,0.0,11.1,6,43,12:12 AM,11:54 AM,07:11 AM,06:21 PM,1,24,24,24,13,5,24,0.0,1015,27,10,262,9,Karachi
2018-02-08,27,19,0.0,11.1,6,36,01:05 AM,12:33 PM,07:11 AM,06:21 PM,6,24,24,24,11,9,35,0.0,1013,27,10,219,7,Karachi
2018-02-09,26,19,0.0,11.1,6,28,01:57 AM,01:14 PM,07:10 AM,06:22 PM,11,26,26,25,12,2,43,0.0,1012,26,10,260,10,Karachi
2018-02-10,25,20,0.0,11.1,6,20,02:49 AM,01:57 PM,07:10 AM,06:23 PM,13,25,25,24,14,22,54,0.0,1013,25,10,277,11,Karachi
2018-02-11,25,20,0.0,11.1,6,13,03:39 AM,02:42 PM,07:09 AM,06:23 PM,12,24,24,23,15,21,52,0.0,1013,25,10,243,11,Karachi
2018-02-12,25,20,0.0,11.2,6,5,04:27 AM,03:30 PM,07:08 AM,06:24 PM,14,25,25,24,13,5,53,0.0,1016,25,10,251,11,Karachi
2018-02-13,26,20,0.0,11.2,6,0,05:15 AM,04:20 PM,07:08 AM,06:24 PM,14,26,26,25,13,3,52,0.0,1020,26,10,243,10,Karachi
2018-02-14,29,21,0.0,11.2,6,0,05:59 AM,05:12 PM,07:07 AM,06:25 PM,8,25,25,25,16,21,35,0.0,1021,29,10,166,12,Karachi
2018-02-15,29,21,0.0,11.2,6,0,06:42 AM,06:04 PM,07:06 AM,06:26 PM,8,26,26,26,12,8,33,0.0,1020,29,10,234,9,Karachi
2018-02-16,29,21,0.0,11.2,6,2,07:22 AM,06:57 PM,07:06 AM,06:26 PM,14,28,28,28,11,0,43,0.0,1018,29,10,299,9,Karachi
2018-02-17,30,22,0.0,11.2,7,10,08:01 AM,07:51 PM,07:05 AM,06:27 PM,17,28,28,28,15,0,53,0.0,1014,30,10,279,12,Karachi
2018-02-18,30,23,0.0,11.2,7,17,08:38 AM,08:45 PM,07:04 AM,06:28 PM,17,30,30,29,13,0,51,0.0,1011,30,10,257,11,Karachi
2018-02-19,30,23,0.0,11.3,7,25,09:16 AM,09:40 PM,07:03 AM,06:28 PM,17,28,28,27,14,1,56,0.0,1011,30,10,260,12,Karachi
2018-02-20,30,22,0.0,10.1,7,32,09:54 AM,10:36 PM,07:03 AM,06:29 PM,16,27,27,26,18,18,56,0.0,1012,30,10,274,14,Karachi
2018-02-21,29,22,0.0,11.3,6,40,10:33 AM,11:34 PM,07:02 AM,06:29 PM,17,27,27,26,19,6,61,0.0,1011,29,10,274,15,Karachi
2018-02-22,29,22,0.0,11.3,6,47,11:15 AM,No moonset,07:01 AM,06:30 PM,18,27,27,25,20,26,66,0.0,1010,29,10,272,15,Karachi
2018-02-23,29,22,0.0,11.3,6,55,12:01 PM,12:33 AM,07:00 AM,06:30 PM,18,26,26,25,22,32,66,0.0,1010,29,10,266,17,Karachi
2018-02-24,29,22,0.0,11.6,6,62,12:52 PM,01:34 AM,06:59 AM,06:31 PM,19,27,27,25,18,14,70,0.0,1013,29,10,263,15,Karachi
2018-02-25,32,22,0.0,11.6,7,70,01:48 PM,02:36 AM,06:58 AM,06:32 PM,14,28,28,28,17,6,47,0.0,1015,32,10,117,13,Karachi
2018-02-26,31,25,0.0,11.6,7,77,02:48 PM,03:37 AM,06:57 AM,06:32 PM,12,28,28,29,17,5,36,0.0,1014,31,10,155,12,Karachi
2018-02-27,31,24,0.0,11.6,7,85,03:52 PM,04:35 AM,06:57 AM,06:33 PM,12,27,27,28,16,15,38,0.0,1013,31,10,291,12,Karachi
2018-02-28,31,24,0.0,10.2,7,93,04:56 PM,05:31 AM,06:56 AM,06:33 PM,14,27,27,27,18,28,44,0.0,1012,31,10,283,13,Karachi
2018-03-01,31,24,0.0,11.6,7,96,06:01 PM,06:21 AM,06:55 AM,06:34 PM,14,28,28,28,19,18,43,0.0,1011,31,10,275,14,Karachi
2018-03-02,31,24,0.0,11.6,7,100,07:03 PM,07:07 AM,06:54 AM,06:34 PM,15,28,28,27,22,6,47,0.0,1011,31,10,270,17,Karachi
2018-03-03,30,23,0.0,11.6,7,89,08:04 PM,07:50 AM,06:53 AM,06:35 PM,18,28,28,27,22,6,59,0.0,1010,30,10,259,17,Karachi
2018-03-04,29,23,0.0,11.6,7,82,09:02 PM,08:30 AM,06:52 AM,06:35 PM,16,27,27,26,16,6,53,0.0,1010,29,10,259,13,Karachi
2018-03-05,32,23,0.0,11.6,7,74,09:59 PM,09:10 AM,06:51 AM,06:36 PM,15,30,30,30,12,0,42,0.0,1012,32,10,239,10,Karachi
2018-03-06,33,24,0.0,11.6,7,67,10:54 PM,09:49 AM,06:50 AM,06:36 PM,12,30,30,30,14,1,36,0.0,1013,33,10,245,12,Karachi
2018-03-07,33,25,0.0,11.6,7,60,11:48 PM,10:28 AM,06:49 AM,06:37 PM,9,30,30,31,13,0,27,0.0,1011,33,10,217,11,Karachi
2018-03-08,33,25,0.0,11.6,7,53,No moonrise,11:09 AM,06:48 AM,06:37 PM,11,30,30,31,15,0,30,0.0,1011,33,10,258,12,Karachi
2018-03-09,31,24,0.0,11.6,7,45,12:40 AM,11:52 AM,06:47 AM,06:38 PM,15,28,28,28,20,0,46,0.0,1012,31,10,278,16,Karachi
2018-03-10,30,23,0.0,11.6,7,38,01:32 AM,12:36 PM,06:46 AM,06:38 PM,17,28,28,27,20,0,55,0.0,1012,30,10,280,17,Karachi
2018-03-11,30,23,0.0,11.6,7,31,02:21 AM,01:24 PM,06:45 AM,06:39 PM,17,28,28,27,21,0,57,0.0,1013,30,10,277,17,Karachi
2018-03-12,31,22,0.0,11.6,7,24,03:09 AM,02:13 PM,06:44 AM,06:39 PM,18,28,28,27,22,0,60,0.0,1012,31,10,273,18,Karachi
2018-03-13,29,23,0.0,11.6,7,16,03:55 AM,03:04 PM,06:43 AM,06:40 PM,17,27,27,26,34,1,62,0.0,1011,29,10,261,25,Karachi
2018-03-14,30,24,0.0,11.6,7,9,04:38 AM,03:56 PM,06:42 AM,06:40 PM,18,28,28,26,37,2,64,0.0,1009,30,10,262,27,Karachi
2018-03-15,31,24,0.0,11.6,7,2,05:19 AM,04:49 PM,06:41 AM,06:40 PM,15,28,28,27,34,0,50,0.0,1010,31,10,271,25,Karachi
2018-03-16,31,24,0.0,11.6,7,0,05:58 AM,05:43 PM,06:40 AM,06:41 PM,16,28,28,27,21,1,53,0.0,1010,31,10,268,17,Karachi
2018-03-17,30,23,0.0,11.6,7,0,06:36 AM,06:37 PM,06:39 AM,06:41 PM,16,28,28,27,22,0,54,0.0,1010,30,10,266,18,Karachi
2018-03-18,28,22,0.0,11.6,6,5,07:15 AM,07:34 PM,06:38 AM,06:42 PM,16,27,27,26,21,1,57,0.0,1011,28,10,258,18,Karachi
2018-03-19,29,23,0.0,11.6,7,13,07:53 AM,08:30 PM,06:37 AM,06:42 PM,18,27,27,26,26,9,64,0.0,1013,29,10,262,20,Karachi
2018-03-20,29,23,0.0,11.6,7,20,08:32 AM,09:29 PM,06:36 AM,06:43 PM,19,27,27,26,27,2,65,0.0,1012,29,10,260,21,Karachi
2018-03-21,31,23,0.0,11.6,7,27,09:14 AM,10:28 PM,06:35 AM,06:43 PM,14,28,28,27,24,0,48,0.0,1011,31,10,271,18,Karachi
2018-03-22,30,23,0.0,11.6,7,34,09:59 AM,11:29 PM,06:34 AM,06:44 PM,20,30,30,28,17,0,62,0.0,1011,30,10,256,14,Karachi
2018-03-23,31,23,0.0,11.6,7,42,10:48 AM,No moonset,06:33 AM,06:44 PM,18,29,29,28,19,0,58,0.0,1011,31,10,271,16,Karachi
2018-03-24,33,24,0.0,11.6,7,49,11:42 AM,12:30 AM,06:32 AM,06:44 PM,15,30,30,30,18,0,44,0.0,1014,33,10,279,15,Karachi
