date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,15,4,0.0,8.7,3,97,04:44 PM,05:41 AM,06:54 AM,05:20 PM,-13,8,9,8,14,21,20,0.0,1016,15,10,68,8,Kathmandu
2018-01-02,13,2,0.0,8.7,3,100,05:48 PM,06:46 AM,06:55 AM,05:21 PM,-10,7,8,7,13,1,29,0.0,1016,13,10,107,8,Kathmandu
2018-01-03,14,2,0.0,8.7,3,89,06:54 PM,07:48 AM,06:55 AM,05:22 PM,-11,8,9,8,13,0,24,0.0,1015,14,10,112,8,Kathmandu
2018-01-04,13,1,0.0,8.7,3,81,08:01 PM,08:43 AM,06:55 AM,05:22 PM,-10,8,9,8,11,0,28,0.0,1016,13,10,104,7,Kathmandu
2018-01-05,13,2,0.0,8.7,3,74,09:06 PM,09:33 AM,06:55 AM,05:23 PM,-10,7,9,7,12,0,26,0.0,1015,13,10,104,7,Kathmandu
2018-01-06,12,-0,0.0,8.7,2,67,10:08 PM,10:17 AM,06:56 AM,05:24 PM,-16,7,8,7,12,0,18,0.0,1012,12,10,145,7,Kathmandu
2018-01-07,12,-1,0.0,8.7,2,59,11:07 PM,10:57 AM,06:56 AM,05:25 PM,-11,6,7,6,10,0,32,0.0,1013,12,10,110,6,Kathmandu
2018-01-08,11,-1,0.0,8.7,2,52,No moonrise,11:35 AM,06:56 AM,05:25 PM,-3,7,8,7,8,0,50,0.0,1016,11,10,164,6,Kathmandu
2018-01-09,14,2,0.0,8.7,3,45,12:03 AM,12:11 PM,06:56 AM,05:26 PM,-0,10,10,10,8,0,51,0.0,1017,14,10,127,6,Kathmandu
2018-01-10,14,2,0.0,8.7,3,38,12:58 AM,12:46 PM,06:56 AM,05:27 PM,1,10,11,10,8,0,54,0.0,1017,14,10,216,6,Kathmandu
2018-01-11,15,3,0.0,8.7,3,30,01:52 AM,01:23 PM,06:56 AM,05:28 PM,2,11,11,11,7,0,53,0.0,1016,15,10,160,5,Kathmandu
2018-01-12,15,4,0.0,8.7,3,23,02:45 AM,02:01 PM,06:56 AM,05:28 PM,2,11,11,11,8,2,55,0.0,1015,15,10,290,5,Kathmandu
2018-01-13,15,4,0.0,8.7,3,16,03:37 AM,02:41 PM,06:56 AM,05:29 PM,1,9,10,9,8,8,58,0.0,1015,15,10,167,5,Kathmandu
2018-01-14,13,2,0.0,8.7,3,9,04:28 AM,03:25 PM,06:56 AM,05:30 PM,1,9,9,9,8,3,61,0.0,1016,13,10,155,5,Kathmandu
2018-01-15,13,4,0.0,8.7,3,1,05:19 AM,04:10 PM,06:56 AM,05:31 PM,2,9,10,9,8,4,58,0.0,1015,13,10,123,6,Kathmandu
2018-01-16,14,4,0.0,8.7,3,0,06:07 AM,04:59 PM,06:56 AM,05:32 PM,4,9,10,9,8,7,67,0.0,1015,14,10,116,6,Kathmandu
2018-01-17,16,5,0.0,8.7,3,0,06:53 AM,05:50 PM,06:56 AM,05:32 PM,4,11,12,11,9,3,61,0.0,1016,16,10,126,6,Kathmandu
2018-01-18,16,5,0.0,8.7,3,6,07:37 AM,06:42 PM,06:55 AM,05:33 PM,4,12,12,12,8,2,59,0.0,1016,16,10,115,6,Kathmandu
2018-01-19,16,5,0.0,8.7,3,13,08:17 AM,07:35 PM,06:55 AM,05:34 PM,4,12,12,12,8,2,61,0.0,1017,16,10,159,6,Kathmandu
2018-01-20,16,5,0.0,8.7,3,20,08:56 AM,08:29 PM,06:55 AM,05:35 PM,3,11,12,11,7,2,59,0.0,1015,16,10,120,5,Kathmandu
2018-01-21,15,4,0.0,8.7,3,28,09:33 AM,09:23 PM,06:55 AM,05:36 PM,5,10,10,10,8,9,70,0.1,1015,15,10,110,5,Kathmandu
2018-01-22,16,5,0.0,8.7,3,35,10:08 AM,10:18 PM,06:55 AM,05:36 PM,6,11,11,11,8,7,69,0.0,1014,16,10,111,5,Kathmandu
