date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,4,1,0.0,4.9,1,97,03:23 PM,06:21 AM,07:34 AM,03:44 PM,1,1,3,1,9,72,90,0.0,1016,4,7,72,6,Kharkiv
2018-01-02,3,1,0.0,3.0,1,100,04:27 PM,07:28 AM,07:34 AM,03:45 PM,1,0,2,0,11,78,93,0.0,1018,3,6,139,7,Kharkiv
2018-01-03,4,0,0.0,8.1,2,89,05:41 PM,08:23 AM,07:34 AM,03:46 PM,-2,-3,2,-3,28,48,78,0.0,1016,4,9,138,18,Kharkiv
2018-01-04,1,-1,0.0,4.9,2,81,06:57 PM,09:10 AM,07:33 AM,03:47 PM,-3,-5,-0,-5,22,69,79,0.0,1012,1,10,123,16,Kharkiv
2018-01-05,2,1,0.0,3.1,1,74,08:14 PM,09:47 AM,07:33 AM,03:48 PM,0,-2,1,-2,15,99,91,0.0,1013,2,8,148,11,Kharkiv
2018-01-06,4,1,0.0,6.8,2,67,09:30 PM,10:17 AM,07:33 AM,03:49 PM,1,-1,3,-1,23,65,89,0.1,1019,4,8,208,14,Kharkiv
2018-01-07,5,4,0.0,3.1,1,59,10:41 PM,10:44 AM,07:33 AM,03:51 PM,3,1,4,1,28,91,92,0.3,1021,5,9,247,18,Kharkiv
2018-01-08,2,-2,0.0,8.2,2,52,11:51 PM,11:09 AM,07:32 AM,03:52 PM,-5,-3,1,-3,17,12,66,0.0,1029,2,10,268,13,Kharkiv
2018-01-09,-1,-3,0.0,8.2,2,45,No moonrise,11:33 AM,07:32 AM,03:53 PM,-9,-8,-2,-8,27,9,59,0.0,1030,-1,10,313,19,Kharkiv
2018-01-10,0,-3,0.0,6.8,2,38,12:57 AM,11:57 AM,07:31 AM,03:54 PM,-5,-5,-2,-5,13,40,80,0.0,1029,0,10,291,9,Kharkiv
2018-01-11,-0,-3,0.0,8.3,2,30,02:02 AM,12:23 PM,07:31 AM,03:56 PM,-5,-3,-2,-3,7,38,78,0.0,1025,-0,10,129,5,Kharkiv
2018-01-12,-1,-3,0.0,3.1,1,23,03:06 AM,12:52 PM,07:30 AM,03:57 PM,-6,-7,-2,-7,21,83,73,0.0,1031,-1,10,53,14,Kharkiv
2018-01-13,-4,-7,0.0,3.1,1,16,04:06 AM,01:25 PM,07:29 AM,03:59 PM,-12,-12,-6,-12,24,92,61,0.0,1040,-4,10,61,18,Kharkiv
2018-01-14,-6,-9,0.0,8.7,2,9,05:04 AM,02:03 PM,07:29 AM,04:00 PM,-14,-14,-7,-14,23,8,58,0.0,1039,-6,10,66,17,Kharkiv
2018-01-15,-7,-9,0.0,3.3,1,1,05:58 AM,02:47 PM,07:28 AM,04:01 PM,-14,-15,-8,-15,26,65,61,0.0,1034,-7,10,77,19,Kharkiv
2018-01-16,-5,-8,0.0,5.1,1,0,06:45 AM,03:37 PM,07:27 AM,04:03 PM,-8,-13,-6,-13,24,85,86,0.0,1024,-5,10,138,17,Kharkiv
2018-01-17,0,-4,0.5,3.3,1,0,07:28 AM,04:32 PM,07:26 AM,04:04 PM,-3,-8,-2,-8,37,100,91,3.2,1009,0,8,136,26,Kharkiv
2018-01-18,2,-2,0.0,3.3,1,6,08:04 AM,05:33 PM,07:26 AM,04:06 PM,-1,-6,0,-6,40,99,91,0.2,1006,2,9,132,27,Kharkiv
2018-01-19,-2,-6,0.9,3.3,1,13,08:36 AM,06:35 PM,07:25 AM,04:07 PM,-5,-10,-4,-10,27,99,91,1.0,1010,-2,7,143,20,Kharkiv
2018-01-20,0,-4,2.1,3.3,1,20,09:04 AM,07:40 PM,07:24 AM,04:09 PM,-2,-6,-2,-6,19,88,95,2.5,1013,0,6,158,12,Kharkiv
2018-01-21,-1,-9,3.4,5.1,2,28,09:30 AM,08:46 PM,07:23 AM,04:10 PM,-5,-9,-4,-9,23,70,94,4.0,1012,-1,6,237,15,Kharkiv
2018-01-22,-5,-10,1.1,3.3,1,35,09:53 AM,09:54 PM,07:22 AM,04:12 PM,-8,-13,-7,-13,22,82,94,1.3,1019,-5,6,79,14,Kharkiv
2018-01-23,-4,-10,1.4,3.3,1,42,10:17 AM,11:03 PM,07:21 AM,04:14 PM,-7,-14,-6,-14,41,95,91,2.1,1020,-4,8,26,27,Kharkiv
2018-01-24,-8,-14,0.0,8.7,2,49,10:42 AM,No moonset,07:19 AM,04:15 PM,-12,-18,-11,-18,28,41,92,0.0,1032,-8,8,313,17,Kharkiv
2018-01-25,-9,-17,0.0,5.1,1,57,11:09 AM,12:14 AM,07:18 AM,04:17 PM,-13,-17,-13,-17,12,67,96,0.0,1036,-9,3,67,7,Kharkiv
2018-01-26,-5,-17,0.0,3.4,1,64,11:41 AM,01:28 AM,07:17 AM,04:19 PM,-10,-16,-10,-16,20,86,96,0.0,1038,-5,6,99,13,Kharkiv
2018-01-27,-9,-14,0.0,3.4,1,71,12:19 PM,02:42 AM,07:16 AM,04:20 PM,-12,-17,-11,-17,18,88,96,0.1,1039,-9,6,120,12,Kharkiv
2018-01-28,-4,-10,0.4,3.4,1,78,01:06 PM,03:56 AM,07:14 AM,04:22 PM,-7,-12,-6,-12,18,100,95,0.4,1033,-4,4,166,13,Kharkiv
