date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,9,4,0.0,2.9,2,97,03:47 PM,07:18 AM,08:28 AM,04:01 PM,4,4,7,4,29,72,81,0.0,998,9,10,217,18,Krakow
2018-01-02,5,3,0.0,2.9,1,100,04:52 PM,08:23 AM,08:27 AM,04:02 PM,2,1,4,1,17,87,90,0.2,1005,5,9,228,11,Krakow
2018-01-03,7,2,0.0,2.9,1,89,06:07 PM,09:18 AM,08:27 AM,04:04 PM,2,0,5,0,41,90,84,7.6,987,7,10,205,27,Krakow
2018-01-04,6,5,0.0,2.9,2,81,07:28 PM,10:00 AM,08:27 AM,04:05 PM,4,2,6,2,31,88,86,2.2,991,6,9,237,21,Krakow
2018-01-05,7,3,0.0,7.8,3,74,08:48 PM,10:34 AM,08:27 AM,04:06 PM,3,2,5,2,32,58,83,0.1,993,7,10,235,20,Krakow
2018-01-06,6,2,0.0,2.9,1,67,10:06 PM,11:01 AM,08:26 AM,04:07 PM,3,1,4,1,22,85,91,0.0,1008,6,9,219,14,Krakow
2018-01-07,2,-2,0.0,6.8,2,59,11:21 PM,11:25 AM,08:26 AM,04:09 PM,-4,-4,-0,-4,21,44,78,0.0,1029,2,10,44,13,Krakow
2018-01-08,1,-3,0.0,7.9,2,52,No moonrise,11:46 AM,08:25 AM,04:10 PM,-10,-6,-2,-6,26,5,54,0.0,1034,1,10,83,15,Krakow
2018-01-09,3,-1,0.0,7.9,2,45,12:33 AM,12:07 PM,08:24 AM,04:12 PM,-8,-4,1,-4,39,33,50,0.0,1020,3,10,112,23,Krakow
2018-01-10,4,1,0.0,6.8,1,38,01:43 AM,12:28 PM,08:24 AM,04:13 PM,1,-1,2,-1,16,63,95,0.9,1013,4,5,135,8,Krakow
2018-01-11,2,0,0.0,3.0,1,30,02:51 AM,12:52 PM,08:23 AM,04:15 PM,1,-0,1,-0,10,81,96,1.6,1017,2,3,53,6,Krakow
2018-01-12,2,1,0.0,3.0,1,23,03:57 AM,01:18 PM,08:22 AM,04:16 PM,-0,-2,1,-2,18,99,91,0.0,1028,2,8,92,12,Krakow
2018-01-13,1,-1,0.0,3.0,1,16,05:00 AM,01:49 PM,08:21 AM,04:18 PM,-3,-5,-0,-5,24,92,82,0.0,1032,1,10,117,16,Krakow
2018-01-14,0,-3,0.0,8.0,2,9,05:59 AM,02:26 PM,08:21 AM,04:19 PM,-6,-7,-2,-7,25,8,73,0.0,1028,0,10,120,16,Krakow
