date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,16,9,0.0,10.0,4,97,05:52 PM,06:38 AM,07:54 AM,06:31 PM,9,11,12,11,15,64,84,0.2,1013,16,7,226,11,Kunming
2018-01-02,17,10,0.0,10.0,3,100,06:55 PM,07:44 AM,07:55 AM,06:31 PM,9,12,12,12,12,67,83,0.8,1013,17,8,238,9,Kunming
2018-01-03,10,7,0.0,5.4,2,89,08:01 PM,08:45 AM,07:55 AM,06:32 PM,7,8,8,8,7,97,94,11.6,1014,10,7,204,6,Kunming
2018-01-04,14,6,0.0,10.8,3,81,09:07 PM,09:42 AM,07:55 AM,06:33 PM,5,8,9,8,14,41,80,0.9,1014,14,8,233,10,Kunming
2018-01-05,13,4,0.0,10.8,3,74,10:11 PM,10:32 AM,07:55 AM,06:34 PM,4,7,8,7,14,21,76,0.0,1013,13,9,229,10,Kunming
2018-01-06,15,4,0.0,10.8,3,67,11:12 PM,11:18 AM,07:56 AM,06:34 PM,4,7,9,7,18,28,76,0.0,1011,15,8,231,12,Kunming
2018-01-07,15,5,0.0,10.8,3,59,No moonrise,12:00 PM,07:56 AM,06:35 PM,4,8,10,8,22,30,72,0.0,1010,15,9,236,15,Kunming
2018-01-08,15,6,0.0,10.8,3,52,12:10 AM,12:38 PM,07:56 AM,06:36 PM,3,9,10,9,15,32,69,0.0,1014,15,7,223,10,Kunming
2018-01-09,12,2,0.0,10.8,3,45,01:06 AM,01:16 PM,07:56 AM,06:36 PM,1,5,6,5,9,26,73,0.1,1019,12,10,128,7,Kunming
2018-01-10,4,-1,0.1,7.0,1,38,02:00 AM,01:52 PM,07:56 AM,06:37 PM,-5,-1,2,-1,11,66,60,0.1,1025,4,10,87,9,Kunming
2018-01-11,6,-0,0.0,8.5,2,30,02:52 AM,02:29 PM,07:56 AM,06:38 PM,-2,1,3,1,8,60,69,0.0,1025,6,10,102,6,Kunming
2018-01-12,8,-1,0.0,10.1,2,23,03:44 AM,03:08 PM,07:56 AM,06:39 PM,-2,1,3,1,9,62,69,0.1,1023,8,10,147,7,Kunming
2018-01-13,9,-1,0.0,10.1,2,16,04:35 AM,03:49 PM,07:56 AM,06:39 PM,2,2,4,2,12,50,83,0.1,1018,9,10,198,9,Kunming
2018-01-14,9,3,0.0,10.8,3,9,05:27 AM,04:32 PM,07:56 AM,06:40 PM,4,4,6,4,11,55,86,0.1,1017,9,8,220,8,Kunming
2018-01-15,14,4,0.0,10.9,3,1,06:16 AM,05:19 PM,07:56 AM,06:41 PM,5,7,8,7,19,54,82,0.3,1012,14,7,238,13,Kunming
2018-01-16,12,6,0.0,10.1,3,0,07:05 AM,06:07 PM,07:56 AM,06:42 PM,5,8,8,8,10,48,81,0.3,1014,12,9,235,7,Kunming
2018-01-17,16,3,0.0,10.9,3,0,07:52 AM,06:57 PM,07:56 AM,06:42 PM,4,8,9,8,13,18,73,0.0,1013,16,9,246,9,Kunming
2018-01-18,11,4,0.0,10.1,3,6,08:35 AM,07:49 PM,07:56 AM,06:43 PM,6,7,8,7,11,45,86,0.2,1013,11,9,226,7,Kunming
2018-01-19,14,4,0.0,10.9,3,13,09:17 AM,08:41 PM,07:56 AM,06:44 PM,6,8,9,8,12,49,84,0.2,1015,14,7,194,8,Kunming
2018-01-20,16,4,0.0,10.9,3,20,09:56 AM,09:34 PM,07:56 AM,06:45 PM,5,8,10,8,18,39,77,0.1,1012,16,7,224,12,Kunming
2018-01-21,15,4,0.0,10.9,3,28,10:34 AM,10:27 PM,07:56 AM,06:45 PM,4,9,10,9,10,23,72,0.0,1013,15,9,240,6,Kunming
