date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,22,10,0.0,8.7,4,97,04:37 PM,05:50 AM,07:02 AM,05:10 PM,3,19,19,19,3,0,35,0.0,1013,22,10,174,3,Lahore
2018-01-02,22,10,0.0,8.7,4,100,05:41 PM,06:55 AM,07:02 AM,05:11 PM,3,18,18,18,6,4,38,0.0,1014,22,10,123,4,Lahore
2018-01-03,22,10,0.0,8.7,4,89,06:48 PM,07:56 AM,07:03 AM,05:12 PM,3,19,19,19,4,0,38,0.0,1014,22,10,155,3,Lahore
2018-01-04,21,9,0.0,7.1,4,81,07:56 PM,08:50 AM,07:03 AM,05:13 PM,1,18,18,18,7,16,33,0.0,1014,21,10,118,5,Lahore
2018-01-05,20,9,0.0,8.7,4,74,09:03 PM,09:38 AM,07:03 AM,05:13 PM,-1,16,16,16,7,4,33,0.0,1015,20,10,113,5,Lahore
2018-01-06,20,9,0.0,8.7,4,67,10:06 PM,10:20 AM,07:03 AM,05:14 PM,2,17,18,17,8,0,35,0.0,1013,20,10,314,6,Lahore
2018-01-07,21,9,0.0,8.7,4,59,11:07 PM,10:59 AM,07:03 AM,05:15 PM,-1,18,18,18,7,0,30,0.0,1014,21,10,315,6,Lahore
2018-01-08,22,9,0.0,8.7,4,52,No moonrise,11:35 AM,07:03 AM,05:16 PM,-2,18,18,18,6,0,27,0.0,1015,22,10,307,5,Lahore
2018-01-09,22,9,0.0,8.7,4,45,12:05 AM,12:09 PM,07:03 AM,05:17 PM,-4,18,18,18,8,0,21,0.0,1018,22,10,306,6,Lahore
2018-01-10,24,10,0.0,8.7,4,38,01:01 AM,12:43 PM,07:03 AM,05:17 PM,-4,18,17,18,13,8,22,0.0,1018,24,10,306,9,Lahore
2018-01-11,24,11,0.0,7.1,5,30,01:56 AM,01:18 PM,07:03 AM,05:18 PM,-5,16,17,16,14,59,23,0.0,1016,24,10,298,8,Lahore
2018-01-12,24,12,0.0,7.1,5,23,02:50 AM,01:55 PM,07:03 AM,05:19 PM,-3,18,18,18,9,49,25,0.0,1014,24,10,284,5,Lahore
2018-01-13,23,10,0.0,8.7,5,16,03:44 AM,02:34 PM,07:03 AM,05:20 PM,-2,19,19,19,6,0,24,0.0,1015,23,10,273,5,Lahore
2018-01-14,24,10,0.0,8.7,5,9,04:36 AM,03:17 PM,07:03 AM,05:21 PM,-2,20,19,20,8,0,24,0.0,1015,24,10,307,6,Lahore
2018-01-15,24,10,0.0,8.7,4,1,05:27 AM,04:03 PM,07:03 AM,05:22 PM,-4,18,18,18,12,0,21,0.0,1015,24,10,310,8,Lahore
2018-01-16,24,9,0.0,8.7,5,0,06:15 AM,04:52 PM,07:02 AM,05:23 PM,-5,19,19,19,10,0,21,0.0,1012,24,10,216,7,Lahore
2018-01-17,24,9,0.0,8.7,5,0,07:01 AM,05:43 PM,07:02 AM,05:24 PM,4,17,17,17,18,12,44,0.0,1013,24,10,106,11,Lahore
2018-01-18,25,12,0.0,8.7,5,6,07:44 AM,06:36 PM,07:02 AM,05:25 PM,3,19,19,19,12,5,37,0.0,1015,25,10,297,8,Lahore
