date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,21,10,0.0,10.9,5,97,06:12 PM,06:46 AM,07:24 AM,06:17 PM,3,15,16,15,16,16,44,0.0,1022,21,10,94,11,Leon
2018-01-02,21,9,0.0,10.9,4,100,07:17 PM,07:50 AM,07:25 AM,06:17 PM,6,14,15,14,10,14,60,0.0,1020,21,10,136,7,Leon
2018-01-03,22,13,0.0,10.9,5,89,08:22 PM,08:49 AM,07:25 AM,06:18 PM,6,18,18,18,5,13,48,0.0,1019,22,10,145,4,Leon
2018-01-04,22,10,0.0,10.9,5,81,09:26 PM,09:44 AM,07:25 AM,06:18 PM,5,16,16,16,9,13,49,0.0,1019,22,10,152,7,Leon
2018-01-05,22,11,0.0,10.9,5,74,10:27 PM,10:33 AM,07:25 AM,06:19 PM,7,17,17,17,10,11,56,0.0,1019,22,10,241,7,Leon
2018-01-06,22,10,0.0,10.9,5,67,11:25 PM,11:18 AM,07:26 AM,06:20 PM,2,17,17,17,9,2,38,0.0,1021,22,10,95,6,Leon
2018-01-07,23,9,0.0,10.9,4,59,No moonrise,11:59 AM,07:26 AM,06:20 PM,2,17,17,17,8,1,39,0.0,1019,23,10,187,6,Leon
2018-01-08,23,11,0.0,11.0,5,52,12:19 AM,12:38 PM,07:26 AM,06:21 PM,1,17,18,17,12,1,33,0.0,1018,23,10,204,9,Leon
2018-01-09,23,8,0.0,11.0,4,45,01:13 AM,01:16 PM,07:26 AM,06:22 PM,-4,17,17,17,8,0,30,0.0,1019,23,10,138,5,Leon
2018-01-10,24,9,0.0,11.0,5,38,02:04 AM,01:54 PM,07:26 AM,06:22 PM,-3,18,18,18,11,1,26,0.0,1016,24,10,204,7,Leon
2018-01-11,24,10,0.0,11.0,5,30,02:55 AM,02:33 PM,07:26 AM,06:23 PM,1,17,17,17,12,2,39,0.0,1016,24,10,246,8,Leon
2018-01-12,21,7,0.0,11.0,4,23,03:46 AM,03:15 PM,07:27 AM,06:24 PM,-2,15,16,15,11,1,33,0.0,1020,21,10,111,6,Leon
2018-01-13,22,9,0.0,11.0,4,16,04:36 AM,03:58 PM,07:27 AM,06:24 PM,-2,16,16,16,13,0,30,0.0,1022,22,10,78,9,Leon
2018-01-14,20,4,0.0,11.0,4,9,05:26 AM,04:43 PM,07:27 AM,06:25 PM,-1,13,13,13,9,2,42,0.0,1025,20,10,90,6,Leon
2018-01-15,20,5,0.0,11.0,4,1,06:15 AM,05:31 PM,07:27 AM,06:26 PM,-4,15,15,15,5,2,31,0.0,1021,20,10,122,4,Leon
2018-01-16,21,7,0.0,11.0,4,0,07:02 AM,06:20 PM,07:27 AM,06:26 PM,-2,14,14,14,15,4,36,0.0,1021,21,10,109,10,Leon
2018-01-17,19,5,0.0,11.0,4,0,07:48 AM,07:10 PM,07:27 AM,06:27 PM,2,12,13,12,12,7,55,0.0,1022,19,10,125,8,Leon
2018-01-18,20,6,0.0,11.0,4,6,08:31 AM,08:01 PM,07:27 AM,06:28 PM,0,13,13,13,12,4,42,0.0,1021,20,10,145,8,Leon
2018-01-19,21,9,0.0,11.0,4,13,09:13 AM,08:53 PM,07:27 AM,06:29 PM,3,15,15,15,9,7,47,1.4,1019,21,10,201,6,Leon
2018-01-20,21,9,0.0,11.0,4,20,09:52 AM,09:45 PM,07:27 AM,06:29 PM,1,16,16,16,8,5,40,0.0,1018,21,10,217,5,Leon
2018-01-21,24,9,0.0,11.0,5,28,10:30 AM,10:36 PM,07:26 AM,06:30 PM,-4,17,17,17,13,9,27,0.0,1017,24,10,246,9,Leon
2018-01-22,23,10,0.0,11.1,5,35,11:09 AM,11:30 PM,07:26 AM,06:31 PM,-8,17,17,17,6,12,18,0.0,1016,23,10,166,4,Leon
2018-01-23,23,11,0.0,11.1,5,42,11:48 AM,No moonset,07:26 AM,06:31 PM,5,17,17,17,14,15,48,0.2,1016,23,10,147,10,Leon
2018-01-24,22,9,0.0,11.1,5,49,12:28 PM,12:23 AM,07:26 AM,06:32 PM,5,15,15,15,16,20,50,1.9,1019,22,10,99,12,Leon
2018-01-25,16,9,0.0,11.1,4,57,01:12 PM,01:20 AM,07:26 AM,06:33 PM,6,12,12,12,14,23,65,2.4,1022,16,10,103,11,Leon
2018-01-26,21,8,0.0,11.1,4,64,02:00 PM,02:19 AM,07:26 AM,06:33 PM,5,15,15,15,8,10,57,0.0,1020,21,10,102,5,Leon
2018-01-27,23,10,0.0,11.1,5,71,02:52 PM,03:21 AM,07:25 AM,06:34 PM,5,17,17,17,7,5,46,0.0,1017,23,10,156,5,Leon
2018-01-28,21,10,0.0,11.1,5,78,03:51 PM,04:24 AM,07:25 AM,06:34 PM,6,15,16,15,22,13,57,0.7,1018,21,10,91,17,Leon
2018-01-29,15,9,0.0,11.1,4,86,04:53 PM,05:28 AM,07:25 AM,06:35 PM,6,10,12,10,29,32,66,0.3,1023,15,10,79,22,Leon
2018-01-30,16,6,0.0,11.1,3,93,05:58 PM,06:29 AM,07:25 AM,06:36 PM,-5,8,10,8,21,26,38,0.0,1024,16,10,85,16,Leon
2018-01-31,17,6,0.0,10.1,4,97,07:03 PM,07:27 AM,07:24 AM,06:36 PM,1,11,11,11,7,53,50,2.0,1021,17,8,134,5,Leon
2018-02-01,21,9,0.0,11.1,4,88,08:07 PM,08:19 AM,07:24 AM,06:37 PM,7,15,15,15,8,28,61,0.4,1019,21,10,185,6,Leon
2018-02-02,25,11,0.0,11.1,5,81,09:08 PM,09:07 AM,07:24 AM,06:38 PM,6,17,18,17,19,6,50,0.1,1020,25,10,151,13,Leon
2018-02-03,23,10,0.0,11.2,5,73,10:06 PM,09:51 AM,07:23 AM,06:38 PM,5,16,17,16,12,7,50,0.0,1019,23,10,203,8,Leon
2018-02-04,24,13,0.0,11.2,5,66,11:02 PM,10:32 AM,07:23 AM,06:39 PM,5,20,20,20,5,4,41,0.0,1017,24,10,134,4,Leon
2018-02-05,24,13,0.0,11.2,5,58,11:56 PM,11:13 AM,07:22 AM,06:39 PM,5,20,20,20,7,4,37,0.0,1016,24,10,143,5,Leon
2018-02-06,24,13,0.0,11.2,5,51,No moonrise,11:52 AM,07:22 AM,06:40 PM,5,20,20,20,5,5,40,0.0,1017,24,10,210,3,Leon
2018-02-07,24,13,0.0,11.2,5,43,12:48 AM,12:31 PM,07:21 AM,06:40 PM,6,19,19,19,11,7,45,0.8,1018,24,10,166,7,Leon
2018-02-08,21,12,0.0,11.2,5,36,01:40 AM,01:12 PM,07:21 AM,06:41 PM,8,15,16,15,24,16,61,0.6,1020,21,10,95,18,Leon
2018-02-09,18,11,0.0,8.6,3,28,02:30 AM,01:55 PM,07:20 AM,06:42 PM,8,14,14,14,9,68,71,5.1,1020,18,10,153,7,Leon
2018-02-10,20,9,0.0,11.2,4,20,03:21 AM,02:39 PM,07:20 AM,06:42 PM,6,14,14,14,10,27,61,0.0,1018,20,10,201,8,Leon
2018-02-11,22,10,0.0,11.2,5,13,04:10 AM,03:26 PM,07:19 AM,06:43 PM,4,16,16,16,8,25,47,0.0,1017,22,10,230,6,Leon
2018-02-12,23,11,0.0,11.2,5,5,04:58 AM,04:15 PM,07:19 AM,06:43 PM,5,18,18,18,9,11,44,0.0,1019,23,10,148,6,Leon
2018-02-13,24,12,0.0,11.3,5,0,05:45 AM,05:05 PM,07:18 AM,06:44 PM,7,17,18,17,14,8,54,0.0,1022,24,10,93,9,Leon
2018-02-14,23,10,0.0,11.3,5,0,06:28 AM,05:56 PM,07:18 AM,06:44 PM,8,17,18,17,9,12,59,0.0,1022,23,10,83,6,Leon
2018-02-15,25,13,0.0,11.3,5,0,07:11 AM,06:48 PM,07:17 AM,06:45 PM,9,20,20,20,9,7,52,0.0,1019,25,10,163,6,Leon
2018-02-16,26,13,0.0,11.3,5,2,07:52 AM,07:41 PM,07:16 AM,06:45 PM,7,21,21,21,8,3,44,0.0,1017,26,10,119,5,Leon
2018-02-17,26,13,0.0,11.3,5,10,08:31 AM,08:33 PM,07:16 AM,06:46 PM,6,21,20,21,7,5,40,0.0,1017,26,10,138,4,Leon
2018-02-18,24,12,0.0,11.3,5,17,09:10 AM,09:26 PM,07:15 AM,06:46 PM,6,19,19,19,12,7,43,0.4,1016,24,10,166,8,Leon
2018-02-19,22,14,0.0,11.3,5,25,09:49 AM,10:20 PM,07:15 AM,06:47 PM,8,18,19,18,11,12,53,0.0,1015,22,10,223,8,Leon
2018-02-20,23,12,0.0,11.3,5,32,10:28 AM,11:15 PM,07:14 AM,06:47 PM,6,18,18,18,15,12,49,0.0,1015,23,10,242,10,Leon
2018-02-21,24,11,0.0,11.4,5,40,11:11 AM,No moonset,07:13 AM,06:48 PM,4,18,19,18,8,5,42,0.0,1018,24,10,218,5,Leon
2018-02-22,25,13,0.0,11.4,5,47,11:56 AM,12:12 AM,07:12 AM,06:48 PM,5,20,20,20,7,5,37,0.0,1019,25,10,208,4,Leon
2018-02-23,25,13,0.0,11.4,5,55,12:45 PM,01:11 AM,07:12 AM,06:49 PM,8,20,20,20,8,7,49,0.0,1018,25,10,174,6,Leon
2018-02-24,26,13,0.0,11.4,5,62,01:39 PM,02:12 AM,07:11 AM,06:49 PM,4,20,20,20,18,3,37,0.0,1016,26,10,254,12,Leon
2018-02-25,24,13,0.0,11.4,5,70,02:37 PM,03:13 AM,07:10 AM,06:49 PM,4,19,19,19,12,7,37,0.0,1016,24,10,254,8,Leon
2018-02-26,27,13,0.0,11.4,5,77,03:39 PM,04:13 AM,07:09 AM,06:50 PM,5,22,21,22,6,3,34,0.0,1017,27,10,292,4,Leon
2018-02-27,25,13,0.0,11.4,5,85,04:42 PM,05:11 AM,07:09 AM,06:50 PM,10,20,20,20,9,8,54,0.1,1017,25,10,170,7,Leon
2018-02-28,27,15,0.0,11.4,6,93,05:46 PM,06:04 AM,07:08 AM,06:51 PM,5,21,21,21,14,3,37,0.0,1015,27,10,265,9,Leon
