date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,8,6,0.0,4.9,3,97,04:39 PM,07:43 AM,08:49 AM,04:54 PM,3,3,7,3,37,73,79,5.9,1001,8,10,231,23,Lille
2018-01-02,10,5,0.0,4.9,2,100,05:44 PM,08:48 AM,08:49 AM,04:55 PM,4,3,7,3,37,69,82,1.4,1009,10,9,233,23,Lille
2018-01-03,13,8,0.0,4.9,2,89,06:58 PM,09:44 AM,08:49 AM,04:56 PM,4,6,10,6,61,69,69,5.4,998,13,10,255,39,Lille
2018-01-04,12,7,0.0,3.0,2,81,08:15 PM,10:28 AM,08:49 AM,04:57 PM,6,6,9,6,40,67,82,4.9,998,12,10,236,25,Lille
2018-01-05,10,6,0.0,6.8,3,74,09:33 PM,11:04 AM,08:48 AM,04:58 PM,5,5,8,5,36,50,80,0.5,998,10,9,222,22,Lille
2018-01-06,6,4,0.0,3.0,2,67,10:48 PM,11:34 AM,08:48 AM,04:59 PM,4,3,5,3,16,81,89,0.1,1007,6,10,117,10,Lille
2018-01-07,5,1,0.0,3.2,1,59,No moonrise,12:00 PM,08:48 AM,05:01 PM,-0,-2,3,-2,37,85,80,0.0,1021,5,10,50,25,Lille
2018-01-08,5,1,0.0,5.0,2,52,12:00 AM,12:24 PM,08:47 AM,05:02 PM,0,-2,2,-2,26,57,86,0.0,1020,5,10,62,16,Lille
2018-01-09,6,2,0.0,3.2,1,45,01:10 AM,12:47 PM,08:47 AM,05:03 PM,3,1,4,1,18,82,91,0.0,1010,6,10,144,11,Lille
2018-01-10,8,6,0.0,3.2,2,38,02:17 AM,01:11 PM,08:46 AM,05:05 PM,5,4,7,4,24,94,91,3.3,1008,8,10,186,15,Lille
2018-01-11,7,4,0.0,8.6,2,30,03:23 AM,01:37 PM,08:46 AM,05:06 PM,4,5,6,5,9,40,91,0.0,1016,7,7,70,6,Lille
2018-01-12,6,3,0.0,5.1,1,23,04:25 AM,02:06 PM,08:45 AM,05:07 PM,4,4,5,4,9,66,95,0.1,1026,6,5,150,5,Lille
2018-01-13,6,2,0.0,8.7,2,16,05:27 AM,02:38 PM,08:44 AM,05:09 PM,2,1,4,1,16,28,88,0.0,1023,6,9,119,10,Lille
