date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,8,6,0.0,6.8,3,97,03:48 PM,07:00 AM,08:06 AM,04:02 PM,2,4,7,4,29,32,71,0.4,998,8,10,250,19,London
2018-01-02,11,5,0.0,4.9,2,100,04:54 PM,08:05 AM,08:06 AM,04:03 PM,4,5,8,5,30,66,81,0.0,1006,11,10,230,19,London
2018-01-03,12,8,0.0,6.8,3,89,06:08 PM,09:00 AM,08:06 AM,04:04 PM,2,6,9,6,46,42,62,0.0,996,12,10,262,31,London
2018-01-04,12,6,0.0,3.0,2,81,07:27 PM,09:44 AM,08:06 AM,04:05 PM,5,6,8,6,28,59,78,2.2,995,12,10,228,19,London
2018-01-05,8,5,0.0,8.0,3,74,08:44 PM,10:19 AM,08:05 AM,04:06 PM,3,4,7,4,21,53,75,0.0,994,8,10,237,15,London
2018-01-06,6,3,0.0,6.8,2,67,10:01 PM,10:48 AM,08:05 AM,04:08 PM,1,2,5,2,18,51,76,0.0,1008,6,10,36,12,London
2018-01-07,5,3,0.0,8.0,2,59,11:14 PM,11:14 AM,08:05 AM,04:09 PM,-3,-1,4,-1,35,16,62,0.0,1025,5,10,47,23,London
2018-01-08,5,3,0.0,3.0,1,52,No moonrise,11:37 AM,08:04 AM,04:10 PM,1,1,4,1,23,81,79,0.1,1022,5,10,73,16,London
2018-01-09,7,3,0.0,3.0,1,45,12:23 AM,11:59 AM,08:04 AM,04:12 PM,4,3,5,3,11,90,90,0.3,1008,7,8,129,8,London
2018-01-10,8,6,0.0,8.1,3,38,01:32 AM,12:22 PM,08:03 AM,04:13 PM,6,6,8,6,13,57,91,0.0,1005,8,7,222,9,London
2018-01-11,7,4,0.0,3.0,2,30,02:37 AM,12:48 PM,08:02 AM,04:14 PM,5,5,6,5,11,83,92,0.3,1017,7,5,302,8,London
2018-01-12,7,5,0.0,6.8,3,23,03:42 AM,01:16 PM,08:02 AM,04:16 PM,5,5,7,5,10,54,88,0.3,1026,7,10,160,8,London
2018-01-13,7,5,0.0,3.1,2,16,04:43 AM,01:49 PM,08:01 AM,04:17 PM,3,3,6,3,18,92,80,0.0,1021,7,10,135,13,London
2018-01-14,6,4,0.0,3.1,1,9,05:41 AM,02:26 PM,08:00 AM,04:19 PM,1,4,5,4,9,81,76,0.0,1018,6,10,127,7,London
2018-01-15,10,5,0.0,3.1,2,1,06:34 AM,03:11 PM,08:00 AM,04:20 PM,5,5,8,5,36,73,80,4.4,1000,10,10,231,23,London
2018-01-16,7,5,0.0,8.6,3,0,07:22 AM,04:02 PM,07:59 AM,04:22 PM,-0,2,6,2,34,64,65,0.0,995,7,10,259,24,London
2018-01-17,7,3,0.0,8.7,2,0,08:03 AM,04:58 PM,07:58 AM,04:24 PM,-2,0,5,0,38,41,60,0.0,1004,7,10,263,26,London
2018-01-18,11,5,0.0,8.7,3,6,08:38 AM,05:59 PM,07:57 AM,04:25 PM,2,4,8,4,38,40,68,0.0,1000,11,10,264,26,London
2018-01-19,6,3,0.0,6.9,2,13,09:09 AM,07:03 PM,07:56 AM,04:27 PM,-1,1,5,1,23,14,70,0.0,1009,6,10,258,16,London
2018-01-20,4,2,0.0,3.3,1,20,09:35 AM,08:09 PM,07:55 AM,04:28 PM,1,1,4,1,14,76,83,3.0,1003,4,10,153,10,London
2018-01-21,8,1,0.0,3.3,1,28,09:59 AM,09:17 PM,07:54 AM,04:30 PM,1,1,3,1,17,95,87,3.9,1012,8,10,212,11,London
2018-01-22,9,6,0.0,8.7,3,35,10:22 AM,10:25 PM,07:53 AM,04:32 PM,6,6,8,6,19,52,84,0.0,1012,9,9,272,12,London
2018-01-23,12,6,0.0,3.3,2,42,10:44 AM,11:37 PM,07:51 AM,04:34 PM,8,7,9,7,29,84,90,0.0,1016,12,10,213,18,London
2018-01-24,14,8,0.0,3.3,3,49,11:08 AM,No moonset,07:50 AM,04:35 PM,7,8,11,8,40,82,77,3.2,1007,14,10,224,26,London
2018-01-25,10,7,0.0,6.9,3,57,11:35 AM,12:49 AM,07:49 AM,04:37 PM,3,5,8,5,24,21,71,0.0,1008,10,10,218,16,London
2018-01-26,7,4,0.0,8.7,3,64,12:06 PM,02:04 AM,07:48 AM,04:39 PM,3,5,6,5,8,31,82,0.0,1018,7,10,294,6,London
2018-01-27,11,4,0.0,5.1,2,71,12:43 PM,03:20 AM,07:46 AM,04:41 PM,5,4,7,4,26,70,84,0.1,1026,11,10,213,17,London
2018-01-28,12,9,0.0,3.4,3,78,01:31 PM,04:34 AM,07:45 AM,04:42 PM,9,8,11,8,29,78,88,0.0,1030,12,10,246,18,London
2018-01-29,12,7,0.0,3.4,2,86,02:29 PM,05:43 AM,07:44 AM,04:44 PM,6,8,10,8,30,71,77,0.0,1028,12,10,268,21,London
2018-01-30,8,4,0.0,8.7,3,93,03:38 PM,06:43 AM,07:42 AM,04:46 PM,3,6,7,6,11,34,76,0.0,1027,8,10,233,8,London
2018-01-31,10,4,0.0,5.2,3,97,04:55 PM,07:33 AM,07:41 AM,04:48 PM,2,4,8,4,35,64,69,0.2,1006,10,9,253,24,London
2018-02-01,7,4,0.0,6.9,2,88,06:14 PM,08:13 AM,07:39 AM,04:50 PM,-1,1,5,1,29,41,64,0.3,1002,7,10,291,20,London
2018-02-02,7,4,0.0,6.9,2,81,07:34 PM,08:46 AM,07:38 AM,04:51 PM,-0,2,5,2,23,43,70,0.1,1010,7,10,314,16,London
2018-02-03,5,3,0.0,3.4,1,73,08:51 PM,09:14 AM,07:36 AM,04:53 PM,1,3,4,3,8,86,80,1.0,1008,5,10,157,6,London
2018-02-04,5,2,0.0,3.5,2,66,10:05 PM,09:39 AM,07:34 AM,04:55 PM,-2,-0,4,-0,24,50,69,0.1,1023,5,10,30,17,London
2018-02-05,4,1,0.0,5.2,1,58,11:16 PM,10:02 AM,07:33 AM,04:57 PM,-3,-1,3,-1,21,51,69,0.0,1026,4,10,40,15,London
2018-02-06,4,1,0.0,7.0,2,51,No moonrise,10:26 AM,07:31 AM,04:59 PM,-4,-1,2,-1,17,64,63,0.0,1018,4,10,97,13,London
2018-02-07,5,1,0.0,7.0,2,43,12:24 AM,10:51 AM,07:29 AM,05:01 PM,-3,-1,2,-1,15,58,66,0.0,1020,5,10,334,12,London
2018-02-08,7,0,0.0,5.3,1,36,01:31 AM,11:18 AM,07:28 AM,05:03 PM,-1,1,4,1,18,57,70,0.0,1018,7,10,215,13,London
2018-02-09,6,3,0.0,5.3,1,28,02:34 AM,11:49 AM,07:26 AM,05:04 PM,0,1,5,1,30,70,73,2.7,1010,6,9,264,20,London
2018-02-10,9,1,0.0,3.7,1,20,03:34 AM,12:25 PM,07:24 AM,05:06 PM,2,2,5,2,27,65,80,2.0,1012,9,9,228,18,London
2018-02-11,10,3,0.0,8.7,3,13,04:28 AM,01:07 PM,07:22 AM,05:08 PM,-1,2,6,2,35,38,63,0.0,1003,10,10,274,24,London
2018-02-12,6,1,0.0,8.7,2,5,05:18 AM,01:56 PM,07:20 AM,05:10 PM,-3,0,4,0,21,10,63,0.0,1014,6,10,253,15,London
2018-02-13,5,3,0.0,3.7,1,0,06:01 AM,02:50 PM,07:19 AM,05:12 PM,0,1,4,1,28,76,76,0.2,1003,5,10,149,19,London
