date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,22,15,0.0,11.9,5,97,06:04 PM,04:56 AM,05:50 AM,06:37 PM,17,18,19,18,14,71,94,0.0,1013,22,4,314,9,Lubumbashi
2018-01-02,23,15,0.0,12.9,5,100,07:08 PM,05:59 AM,05:50 AM,06:38 PM,18,19,20,19,9,49,91,0.0,1012,23,6,313,6,Lubumbashi
2018-01-03,25,15,0.0,12.9,5,89,08:08 PM,07:03 AM,05:51 AM,06:38 PM,18,20,21,20,8,50,89,1.1,1012,25,6,192,5,Lubumbashi
2018-01-04,22,16,0.0,11.9,4,81,09:04 PM,08:06 AM,05:52 AM,06:38 PM,17,19,19,19,13,73,91,0.6,1014,22,5,120,9,Lubumbashi
2018-01-05,22,16,0.0,12.9,5,74,09:56 PM,09:07 AM,05:52 AM,06:39 PM,18,19,20,19,6,57,91,2.9,1012,22,8,146,4,Lubumbashi
2018-01-06,22,15,0.0,8.0,4,67,10:43 PM,10:04 AM,05:53 AM,06:39 PM,18,19,20,19,11,71,93,0.0,1011,22,8,305,8,Lubumbashi
2018-01-07,24,15,0.0,12.9,5,59,11:28 PM,10:58 AM,05:53 AM,06:39 PM,17,19,19,19,16,57,90,1.8,1012,24,8,311,11,Lubumbashi
2018-01-08,26,15,0.0,12.9,6,52,No moonrise,11:49 AM,05:54 AM,06:40 PM,17,20,21,20,16,42,85,0.0,1012,26,7,315,11,Lubumbashi
2018-01-09,25,15,0.0,12.9,5,45,12:10 AM,12:38 PM,05:54 AM,06:40 PM,18,20,21,20,14,30,86,0.0,1013,25,6,301,9,Lubumbashi
2018-01-10,27,16,0.0,12.9,6,38,12:51 AM,01:27 PM,05:55 AM,06:40 PM,18,21,21,21,9,29,88,0.0,1013,27,6,238,5,Lubumbashi
2018-01-11,23,16,0.0,12.9,5,30,01:33 AM,02:14 PM,05:55 AM,06:41 PM,17,19,20,19,14,65,90,0.4,1014,23,5,102,9,Lubumbashi
2018-01-12,26,14,0.0,12.9,5,23,02:15 AM,03:03 PM,05:56 AM,06:41 PM,17,19,20,19,10,46,85,0.1,1013,26,7,91,7,Lubumbashi
2018-01-13,25,15,0.0,12.9,5,16,02:58 AM,03:51 PM,05:56 AM,06:41 PM,18,20,21,20,6,49,88,1.1,1013,25,7,145,4,Lubumbashi
2018-01-14,25,17,0.0,11.9,5,9,03:43 AM,04:40 PM,05:57 AM,06:41 PM,17,20,20,20,9,55,88,0.0,1012,25,7,315,5,Lubumbashi
2018-01-15,26,16,0.0,12.8,5,1,04:30 AM,05:28 PM,05:58 AM,06:41 PM,18,20,21,20,7,56,89,0.0,1013,26,7,292,5,Lubumbashi
2018-01-16,25,15,0.0,12.8,5,0,05:18 AM,06:16 PM,05:58 AM,06:41 PM,18,20,21,20,9,45,89,0.0,1012,25,7,287,6,Lubumbashi
