date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,21,10,0.0,8.7,4,97,04:49 PM,05:43 AM,06:55 AM,05:25 PM,8,19,19,19,6,0,50,0.0,1013,21,10,268,5,Lucknow
2018-01-02,21,10,0.0,8.7,4,100,05:53 PM,06:48 AM,06:55 AM,05:25 PM,6,18,18,18,11,1,46,0.0,1013,21,10,316,8,Lucknow
2018-01-03,21,10,0.0,8.7,4,89,06:59 PM,07:50 AM,06:56 AM,05:26 PM,5,17,17,17,13,0,45,0.0,1014,21,10,290,10,Lucknow
2018-01-04,21,9,0.0,8.7,4,81,08:06 PM,08:45 AM,06:56 AM,05:27 PM,6,18,18,18,8,0,47,0.0,1014,21,10,295,6,Lucknow
2018-01-05,20,7,0.0,8.7,4,74,09:10 PM,09:35 AM,06:56 AM,05:28 PM,5,17,17,17,8,0,47,0.0,1014,20,10,313,6,Lucknow
2018-01-06,20,8,0.0,8.7,4,67,10:12 PM,10:19 AM,06:56 AM,05:28 PM,5,17,17,17,11,0,47,0.0,1013,20,10,295,8,Lucknow
2018-01-07,21,9,0.0,8.7,4,59,11:11 PM,11:00 AM,06:56 AM,05:29 PM,5,16,17,16,14,0,48,0.0,1014,21,10,288,11,Lucknow
2018-01-08,21,9,0.0,8.7,4,52,No moonrise,11:38 AM,06:57 AM,05:30 PM,5,17,18,17,10,0,44,0.0,1016,21,10,262,7,Lucknow
2018-01-09,20,9,0.0,8.7,4,45,12:07 AM,12:14 PM,06:57 AM,05:30 PM,6,17,17,17,9,0,48,0.0,1018,20,10,294,7,Lucknow
2018-01-10,21,8,0.0,8.7,4,38,01:01 AM,12:50 PM,06:57 AM,05:31 PM,6,16,17,16,14,0,50,0.0,1017,21,10,283,10,Lucknow
2018-01-11,22,10,0.0,8.7,4,30,01:54 AM,01:27 PM,06:57 AM,05:32 PM,4,17,17,17,16,1,43,0.0,1015,22,10,290,10,Lucknow
2018-01-12,21,9,0.0,8.7,4,23,02:47 AM,02:05 PM,06:57 AM,05:33 PM,5,16,16,16,11,7,49,0.0,1015,21,10,311,7,Lucknow
2018-01-13,23,11,0.0,8.7,5,16,03:39 AM,02:46 PM,06:57 AM,05:34 PM,7,18,18,18,11,4,47,0.0,1015,23,10,296,7,Lucknow
2018-01-14,23,11,0.0,8.7,5,9,04:30 AM,03:30 PM,06:57 AM,05:34 PM,8,19,20,19,9,0,48,0.0,1015,23,10,295,6,Lucknow
2018-01-15,23,11,0.0,8.7,5,1,05:20 AM,04:15 PM,06:57 AM,05:35 PM,7,18,18,18,15,0,50,0.0,1014,23,10,292,10,Lucknow
2018-01-16,21,10,0.0,8.7,4,0,06:08 AM,05:04 PM,06:57 AM,05:36 PM,9,18,19,18,7,0,54,0.0,1014,21,10,241,5,Lucknow
2018-01-17,22,9,0.0,8.7,4,0,06:55 AM,05:55 PM,06:57 AM,05:37 PM,9,19,19,19,5,0,53,0.0,1014,22,10,217,4,Lucknow
2018-01-18,24,10,0.0,8.7,5,6,07:38 AM,06:47 PM,06:56 AM,05:37 PM,10,20,20,20,12,0,54,0.0,1014,24,10,282,9,Lucknow
2018-01-19,25,13,0.0,8.7,5,13,08:19 AM,07:40 PM,06:56 AM,05:38 PM,11,21,21,21,13,0,57,0.0,1014,25,10,297,9,Lucknow
2018-01-20,23,12,0.0,8.7,5,20,08:58 AM,08:33 PM,06:56 AM,05:39 PM,9,19,19,19,15,0,53,0.0,1013,23,10,296,11,Lucknow
2018-01-21,22,10,0.0,8.7,5,28,09:35 AM,09:27 PM,06:56 AM,05:40 PM,8,19,19,19,8,0,49,0.0,1014,22,10,310,6,Lucknow
2018-01-22,22,10,0.0,8.7,5,35,10:11 AM,10:21 PM,06:56 AM,05:41 PM,6,20,19,20,6,0,44,0.0,1013,22,10,274,4,Lucknow
2018-01-23,23,11,0.0,8.7,5,42,10:47 AM,11:17 PM,06:55 AM,05:41 PM,8,18,19,18,12,9,52,1.1,1011,23,10,110,7,Lucknow
2018-01-24,23,12,0.0,8.7,5,49,11:25 AM,No moonset,06:55 AM,05:42 PM,10,18,18,18,16,11,62,0.2,1011,23,10,236,10,Lucknow
2018-01-25,21,10,0.0,8.7,4,57,12:04 PM,12:14 AM,06:55 AM,05:43 PM,11,17,17,17,15,0,70,0.0,1011,21,10,285,11,Lucknow
2018-01-26,21,9,0.0,8.7,4,64,12:48 PM,01:15 AM,06:54 AM,05:44 PM,8,17,17,17,15,0,58,0.0,1013,21,10,298,11,Lucknow
2018-01-27,22,10,0.0,8.7,4,71,01:36 PM,02:17 AM,06:54 AM,05:45 PM,8,17,18,17,15,0,56,0.0,1012,22,10,297,11,Lucknow
2018-01-28,23,10,0.0,8.7,5,78,02:30 PM,03:21 AM,06:54 AM,05:45 PM,6,18,18,18,14,0,47,0.0,1014,23,10,298,10,Lucknow
2018-01-29,24,11,0.0,8.7,5,86,03:30 PM,04:25 AM,06:53 AM,05:46 PM,8,19,19,19,17,0,49,0.0,1015,24,10,292,11,Lucknow
2018-01-30,25,12,0.0,8.7,5,93,04:34 PM,05:29 AM,06:53 AM,05:47 PM,7,19,20,19,30,0,46,0.0,1013,25,10,281,17,Lucknow
2018-01-31,25,15,0.0,8.7,5,97,05:41 PM,06:27 AM,06:52 AM,05:48 PM,7,19,19,19,29,3,47,0.0,1012,25,10,299,17,Lucknow
2018-02-01,25,12,0.0,8.7,5,88,06:48 PM,07:21 AM,06:52 AM,05:48 PM,11,20,21,20,14,1,57,0.0,1013,25,10,299,9,Lucknow
2018-02-02,28,15,0.0,8.7,5,81,07:53 PM,08:08 AM,06:51 AM,05:49 PM,12,23,23,23,12,0,52,0.0,1011,28,10,256,8,Lucknow
2018-02-03,28,16,0.0,8.7,6,73,08:54 PM,08:52 AM,06:51 AM,05:50 PM,13,24,24,24,8,3,53,0.0,1013,28,10,176,5,Lucknow
2018-02-04,26,15,0.0,8.7,5,66,09:54 PM,09:33 AM,06:50 AM,05:51 PM,10,21,21,21,19,0,50,0.0,1014,26,10,296,13,Lucknow
2018-02-05,25,13,0.0,7.2,5,58,10:51 PM,10:11 AM,06:50 AM,05:51 PM,7,19,19,19,17,26,47,0.0,1016,25,10,310,9,Lucknow
2018-02-06,26,13,0.0,8.7,5,51,11:46 PM,10:48 AM,06:49 AM,05:52 PM,6,19,20,19,24,26,41,0.0,1015,26,10,294,13,Lucknow
2018-02-07,25,15,0.0,7.2,5,43,No moonrise,11:26 AM,06:48 AM,05:53 PM,5,20,20,20,25,26,39,0.1,1013,25,10,276,15,Lucknow
2018-02-08,25,12,0.0,8.7,5,36,12:40 AM,12:04 PM,06:48 AM,05:54 PM,5,19,19,19,18,12,41,0.0,1012,25,10,306,10,Lucknow
2018-02-09,25,13,0.0,8.7,5,28,01:33 AM,12:44 PM,06:47 AM,05:54 PM,5,19,19,19,20,3,39,0.0,1012,25,10,303,12,Lucknow
2018-02-10,25,13,0.0,8.7,5,20,02:24 AM,01:27 PM,06:46 AM,05:55 PM,4,19,19,19,17,15,38,0.0,1015,25,10,305,11,Lucknow
2018-02-11,24,14,0.0,5.7,4,13,03:15 AM,02:11 PM,06:46 AM,05:56 PM,7,19,20,19,15,44,45,0.0,1016,24,10,115,8,Lucknow
2018-02-12,23,16,0.0,8.7,4,5,04:04 AM,02:59 PM,06:45 AM,05:56 PM,13,19,20,19,22,31,67,2.6,1018,23,10,125,13,Lucknow
2018-02-13,24,15,0.0,8.7,5,0,04:51 AM,03:49 PM,06:44 AM,05:57 PM,15,20,20,20,11,17,74,0.6,1019,24,10,156,7,Lucknow
2018-02-14,24,14,0.0,8.7,5,0,05:36 AM,04:41 PM,06:44 AM,05:58 PM,12,19,20,19,20,0,65,0.0,1019,24,10,285,13,Lucknow
2018-02-15,25,12,0.0,8.7,5,0,06:17 AM,05:34 PM,06:43 AM,05:58 PM,11,19,20,19,18,1,60,0.0,1017,25,10,292,12,Lucknow
2018-02-16,25,14,0.0,8.7,5,2,06:57 AM,06:27 PM,06:42 AM,05:59 PM,12,21,21,21,15,1,58,0.0,1016,25,10,293,10,Lucknow
2018-02-17,27,14,0.0,11.6,5,10,07:36 AM,07:22 PM,06:41 AM,06:00 PM,11,21,21,21,14,2,54,0.0,1011,27,10,293,10,Lucknow
2018-02-18,28,15,0.0,11.6,6,17,08:12 AM,08:17 PM,06:40 AM,06:00 PM,13,24,24,24,11,1,53,0.0,1010,28,10,306,8,Lucknow
2018-02-19,28,15,0.0,11.6,6,25,08:49 AM,09:13 PM,06:40 AM,06:01 PM,9,22,22,22,11,9,45,0.0,1012,28,10,264,7,Lucknow
2018-02-20,27,15,0.0,11.6,6,32,09:26 AM,10:09 PM,06:39 AM,06:02 PM,9,24,24,24,7,1,42,0.0,1012,27,10,273,5,Lucknow
2018-02-21,28,16,0.0,11.6,6,40,10:04 AM,11:08 PM,06:38 AM,06:02 PM,9,23,23,23,8,13,41,0.0,1010,28,10,206,5,Lucknow
2018-02-22,31,17,0.0,11.6,6,47,10:45 AM,No moonset,06:37 AM,06:03 PM,12,25,25,25,8,5,44,0.0,1009,31,10,221,5,Lucknow
