date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,12,3,0.0,8.7,3,97,05:41 PM,07:37 AM,08:38 AM,05:59 PM,2,5,8,5,24,19,65,0.0,1033,12,10,254,17,Madrid
2018-01-02,15,6,0.0,9.6,3,100,06:46 PM,08:42 AM,08:38 AM,06:00 PM,5,8,10,8,19,21,74,0.0,1033,15,10,257,13,Madrid
2018-01-03,16,8,0.0,9.6,4,89,07:56 PM,09:40 AM,08:38 AM,06:01 PM,8,11,12,11,16,26,81,0.0,1032,16,10,246,10,Madrid
2018-01-04,15,8,0.0,9.6,4,81,09:08 PM,10:29 AM,08:38 AM,06:02 PM,8,11,12,11,16,4,79,0.0,1028,15,10,250,12,Madrid
2018-01-05,10,8,0.0,4.8,2,74,10:18 PM,11:12 AM,08:38 AM,06:02 PM,6,6,9,6,27,82,82,1.8,1014,10,9,221,20,Madrid
2018-01-06,7,4,0.0,4.8,1,67,11:26 PM,11:49 AM,08:38 AM,06:03 PM,1,1,5,1,25,88,74,9.2,1000,7,9,293,18,Madrid
2018-01-07,4,2,2.1,4.8,1,59,No moonrise,12:22 PM,08:38 AM,06:04 PM,0,0,3,0,17,92,81,3.3,1002,4,7,189,13,Madrid
2018-01-08,7,1,0.0,9.7,2,52,12:30 AM,12:53 PM,08:38 AM,06:05 PM,-2,3,4,3,12,16,63,0.0,1013,7,10,88,7,Madrid
2018-01-09,4,0,0.0,8.2,1,45,01:33 AM,01:23 PM,08:37 AM,06:06 PM,-1,2,3,2,9,58,75,0.3,1020,4,10,208,7,Madrid
2018-01-10,9,2,0.0,9.7,3,38,02:33 AM,01:53 PM,08:37 AM,06:07 PM,2,3,5,3,21,43,80,0.1,1020,9,10,210,15,Madrid
2018-01-11,8,3,0.0,9.7,2,30,03:32 AM,02:25 PM,08:37 AM,06:08 PM,-1,2,5,2,24,12,66,0.1,1025,8,10,273,17,Madrid
2018-01-12,9,1,0.0,9.7,2,23,04:29 AM,02:59 PM,08:37 AM,06:09 PM,-0,5,6,5,7,35,64,0.0,1027,9,10,172,5,Madrid
2018-01-13,5,2,0.0,8.2,1,16,05:26 AM,03:37 PM,08:36 AM,06:10 PM,-0,3,4,3,9,68,74,1.1,1021,5,10,182,6,Madrid
2018-01-14,7,1,0.0,9.8,2,9,06:20 AM,04:18 PM,08:36 AM,06:11 PM,-0,2,4,2,11,40,76,0.1,1021,7,10,215,7,Madrid
2018-01-15,9,1,0.0,9.8,2,1,07:11 AM,05:04 PM,08:36 AM,06:13 PM,-1,4,5,4,11,15,64,0.0,1028,9,10,165,7,Madrid
2018-01-16,13,3,0.0,9.8,3,0,07:59 AM,05:54 PM,08:35 AM,06:14 PM,3,8,9,8,9,15,69,0.0,1029,13,10,248,6,Madrid
2018-01-17,13,5,0.0,9.8,3,0,08:42 AM,06:47 PM,08:35 AM,06:15 PM,7,11,12,11,10,0,73,0.0,1027,13,10,90,8,Madrid
2018-01-18,13,4,0.0,9.8,3,6,09:22 AM,07:44 PM,08:34 AM,06:16 PM,2,10,11,10,7,2,57,0.0,1024,13,10,94,5,Madrid
2018-01-19,14,5,0.0,9.8,3,13,09:58 AM,08:41 PM,08:34 AM,06:17 PM,2,10,11,10,13,3,57,0.0,1023,14,10,132,8,Madrid
2018-01-20,15,4,0.0,9.9,3,20,10:31 AM,09:41 PM,08:33 AM,06:18 PM,2,9,10,9,13,6,61,0.0,1028,15,10,292,9,Madrid
2018-01-21,16,6,0.0,9.9,3,28,11:02 AM,10:40 PM,08:33 AM,06:19 PM,6,11,11,11,11,7,71,0.0,1030,16,10,317,7,Madrid
2018-01-22,15,5,0.0,9.9,3,35,11:32 AM,11:42 PM,08:32 AM,06:21 PM,7,13,13,13,6,1,65,0.0,1030,15,10,127,4,Madrid
