date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,31,22,0.0,8.7,7,97,05:23 PM,05:27 AM,06:06 AM,05:32 PM,19,28,28,26,21,21,65,0.1,1015,31,10,63,15,Managua
2018-01-02,32,21,0.0,8.7,7,100,06:27 PM,06:30 AM,06:06 AM,05:33 PM,18,28,28,26,18,10,63,0.1,1013,32,10,64,13,Managua
2018-01-03,33,20,0.0,8.7,7,89,07:31 PM,07:32 AM,06:07 AM,05:33 PM,18,28,28,26,13,15,62,0.0,1012,33,10,59,9,Managua
2018-01-04,31,20,0.0,8.7,6,81,08:32 PM,08:28 AM,06:07 AM,05:34 PM,16,26,26,25,18,8,60,0.0,1014,31,10,73,13,Managua
2018-01-05,32,20,0.0,8.7,6,74,09:30 PM,09:21 AM,06:07 AM,05:34 PM,15,26,26,25,18,7,57,0.0,1016,32,10,64,12,Managua
2018-01-06,32,19,0.0,8.7,6,67,10:24 PM,10:09 AM,06:08 AM,05:35 PM,15,26,26,25,16,7,55,0.0,1015,32,10,59,11,Managua
2018-01-07,33,20,0.0,8.7,7,59,11:16 PM,10:53 AM,06:08 AM,05:35 PM,15,26,26,26,18,11,54,0.0,1014,33,10,57,12,Managua
2018-01-08,32,22,0.0,8.7,7,52,No moonrise,11:36 AM,06:08 AM,05:36 PM,18,28,28,26,13,24,63,0.0,1013,32,10,72,9,Managua
2018-01-09,31,22,0.0,7.2,7,45,12:05 AM,12:17 PM,06:08 AM,05:36 PM,20,28,28,26,15,35,71,0.3,1012,31,10,78,10,Managua
2018-01-10,32,21,0.0,7.2,7,38,12:54 AM,12:58 PM,06:09 AM,05:37 PM,20,28,28,26,10,36,70,0.2,1012,32,10,87,7,Managua
2018-01-11,32,21,0.0,8.7,7,30,01:43 AM,01:40 PM,06:09 AM,05:37 PM,20,28,28,26,8,19,72,0.0,1012,32,10,125,6,Managua
