date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,6,4,0.0,6.8,3,97,03:48 PM,07:18 AM,08:25 AM,04:00 PM,1,1,5,1,31,68,76,0.8,994,6,10,253,20,Manchester
2018-01-02,8,3,0.0,2.9,2,100,04:54 PM,08:23 AM,08:25 AM,04:01 PM,3,2,6,2,31,85,84,2.3,1000,8,9,219,20,Manchester
2018-01-03,8,7,0.0,2.9,2,89,06:09 PM,09:17 AM,08:24 AM,04:03 PM,2,3,7,3,49,91,70,2.0,989,8,10,266,33,Manchester
2018-01-04,8,5,0.0,2.9,2,81,07:29 PM,09:59 AM,08:24 AM,04:04 PM,3,3,6,3,33,95,80,1.5,990,8,9,230,23,Manchester
2018-01-05,5,2,0.0,4.9,1,74,08:49 PM,10:32 AM,08:24 AM,04:05 PM,1,2,4,2,12,79,83,0.0,992,5,10,199,7,Manchester
2018-01-06,5,2,0.0,7.8,2,67,10:07 PM,11:00 AM,08:23 AM,04:06 PM,-0,-0,3,-0,22,36,79,0.0,1013,5,10,113,14,Manchester
2018-01-07,3,1,0.0,7.9,2,59,11:22 PM,11:24 AM,08:23 AM,04:08 PM,-2,-2,2,-2,21,4,77,0.0,1030,3,10,58,13,Manchester
2018-01-08,3,0,0.0,7.9,2,52,No moonrise,11:45 AM,08:22 AM,04:09 PM,-3,-3,2,-3,26,27,71,0.0,1025,3,10,95,16,Manchester
2018-01-09,3,1,0.0,3.0,1,45,12:34 AM,12:06 PM,08:22 AM,04:11 PM,1,-1,2,-1,20,73,89,0.0,1007,3,10,129,13,Manchester
2018-01-10,6,3,0.0,4.9,1,38,01:44 AM,12:27 PM,08:21 AM,04:12 PM,4,4,5,4,10,82,96,0.8,1004,6,5,160,6,Manchester
2018-01-11,4,1,0.0,7.9,2,30,02:51 AM,12:51 PM,08:20 AM,04:14 PM,2,2,3,2,8,37,91,0.0,1019,4,8,175,5,Manchester
2018-01-12,6,3,0.0,4.9,1,23,03:57 AM,01:18 PM,08:20 AM,04:15 PM,2,2,4,2,16,66,89,0.0,1025,6,6,125,9,Manchester
2018-01-13,6,4,0.0,3.0,1,16,05:00 AM,01:49 PM,08:19 AM,04:17 PM,2,1,5,1,26,90,85,0.0,1018,6,10,145,17,Manchester
2018-01-14,4,1,0.0,4.9,1,9,05:59 AM,02:26 PM,08:18 AM,04:18 PM,0,-1,3,-1,23,72,85,0.3,1016,4,9,164,16,Manchester
2018-01-15,8,5,0.0,3.0,2,1,06:52 AM,03:11 PM,08:17 AM,04:20 PM,4,3,6,3,36,89,83,3.1,993,8,10,240,24,Manchester
2018-01-16,5,1,0.0,3.0,1,0,07:40 AM,04:02 PM,08:16 AM,04:22 PM,-1,-2,3,-2,38,82,73,1.9,990,5,10,261,25,Manchester
2018-01-17,4,2,0.2,4.9,1,0,08:20 AM,04:59 PM,08:15 AM,04:23 PM,-1,-2,3,-2,38,86,78,1.2,999,4,10,260,23,Manchester
2018-01-18,7,3,0.0,3.0,1,6,08:54 AM,06:01 PM,08:14 AM,04:25 PM,1,-0,4,-0,32,93,81,2.1,996,7,8,266,21,Manchester
2018-01-19,3,1,0.0,3.1,1,13,09:23 AM,07:07 PM,08:13 AM,04:27 PM,-1,-2,2,-2,28,68,79,1.0,1005,3,10,251,17,Manchester
2018-01-20,2,-0,0.0,3.1,1,20,09:48 AM,08:14 PM,08:12 AM,04:29 PM,-0,-1,1,-1,12,68,90,0.6,1003,2,10,209,7,Manchester
2018-01-21,6,0,1.0,3.1,1,28,10:10 AM,09:24 PM,08:10 AM,04:30 PM,1,-2,2,-2,22,97,92,4.4,1009,6,9,185,13,Manchester
2018-01-22,7,5,0.0,3.1,2,35,10:31 AM,10:34 PM,08:09 AM,04:32 PM,4,2,6,2,27,76,87,0.6,1009,7,10,260,16,Manchester
