date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,21,19,0.0,4.1,5,97,04:55 PM,05:31 AM,06:44 AM,05:34 PM,19,21,22,21,4,97,90,6.9,1013,21,9,264,3,Mandalay
2018-01-02,19,18,0.0,4.1,4,100,05:58 PM,06:35 AM,06:45 AM,05:35 PM,18,19,19,19,3,89,93,13.3,1013,19,7,158,2,Mandalay
2018-01-03,20,17,0.0,4.1,4,89,07:04 PM,07:38 AM,06:45 AM,05:35 PM,17,19,19,19,8,98,90,13.2,1012,20,9,72,5,Mandalay
2018-01-04,24,17,0.0,8.7,5,81,08:09 PM,08:35 AM,06:45 AM,05:36 PM,16,20,21,20,8,42,77,0.1,1014,24,10,195,5,Mandalay
2018-01-05,24,15,0.0,8.7,5,74,09:12 PM,09:27 AM,06:46 AM,05:37 PM,17,22,22,22,5,1,75,0.0,1013,24,10,136,4,Mandalay
2018-01-06,24,15,0.0,8.7,5,67,10:12 PM,10:13 AM,06:46 AM,05:37 PM,16,22,23,22,5,0,68,0.0,1011,24,10,157,4,Mandalay
2018-01-07,25,16,0.0,8.7,5,59,11:09 PM,10:56 AM,06:46 AM,05:38 PM,15,21,22,21,7,24,70,0.0,1012,25,10,179,5,Mandalay
2018-01-08,25,16,0.0,8.7,5,52,No moonrise,11:36 AM,06:46 AM,05:39 PM,17,22,23,22,6,10,75,0.0,1014,25,10,188,4,Mandalay
2018-01-09,25,16,0.0,8.7,5,45,12:03 AM,12:14 PM,06:46 AM,05:39 PM,18,23,24,23,5,0,74,0.0,1015,25,10,171,4,Mandalay
2018-01-10,26,16,0.0,8.7,6,38,12:55 AM,12:51 PM,06:47 AM,05:40 PM,16,22,23,22,8,10,71,0.0,1015,26,10,128,5,Mandalay
2018-01-11,25,15,0.0,8.7,5,30,01:47 AM,01:30 PM,06:47 AM,05:41 PM,15,23,23,23,8,0,62,0.0,1014,25,10,106,5,Mandalay
2018-01-12,26,15,0.0,8.7,5,23,02:38 AM,02:09 PM,06:47 AM,05:41 PM,14,22,23,22,7,2,62,0.0,1014,26,10,104,5,Mandalay
2018-01-13,25,16,0.0,7.2,5,16,03:29 AM,02:51 PM,06:47 AM,05:42 PM,13,20,20,20,13,13,64,0.0,1014,25,10,138,9,Mandalay
2018-01-14,26,16,0.0,7.2,6,9,04:19 AM,03:36 PM,06:47 AM,05:43 PM,14,21,22,21,11,26,65,0.0,1014,26,10,131,8,Mandalay
2018-01-15,26,17,0.0,7.2,6,1,05:09 AM,04:21 PM,06:47 AM,05:43 PM,15,21,22,21,9,23,67,0.0,1013,26,10,118,6,Mandalay
2018-01-16,26,16,0.0,8.7,6,0,05:57 AM,05:10 PM,06:47 AM,05:44 PM,15,22,23,22,6,5,65,0.0,1013,26,10,116,4,Mandalay
2018-01-17,25,16,0.0,8.7,5,0,06:43 AM,06:00 PM,06:47 AM,05:45 PM,15,22,23,22,7,2,64,0.0,1013,25,10,158,5,Mandalay
2018-01-18,25,15,0.0,8.7,5,6,07:28 AM,06:51 PM,06:47 AM,05:45 PM,14,22,22,22,8,1,62,0.0,1013,25,10,116,5,Mandalay
2018-01-19,27,15,0.0,8.7,6,13,08:10 AM,07:43 PM,06:47 AM,05:46 PM,15,23,24,23,6,0,62,0.0,1014,27,10,115,4,Mandalay
2018-01-20,27,15,0.0,8.7,6,20,08:50 AM,08:34 PM,06:47 AM,05:47 PM,15,24,24,24,6,0,61,0.0,1013,27,10,153,4,Mandalay
2018-01-21,27,16,0.0,8.7,6,28,09:29 AM,09:27 PM,06:47 AM,05:47 PM,14,23,24,23,7,0,56,0.0,1012,27,10,133,5,Mandalay
2018-01-22,26,15,0.0,8.7,6,35,10:07 AM,10:19 PM,06:46 AM,05:48 PM,14,23,24,23,6,0,55,0.0,1012,26,10,157,4,Mandalay
2018-01-23,27,15,0.0,8.7,6,42,10:45 AM,11:13 PM,06:46 AM,05:49 PM,14,23,24,23,7,0,56,0.0,1011,27,10,120,5,Mandalay
2018-01-24,27,15,0.0,8.7,6,49,11:25 AM,No moonset,06:46 AM,05:50 PM,13,23,24,23,7,0,53,0.0,1010,27,10,141,4,Mandalay
2018-01-25,27,15,0.0,8.7,6,57,12:06 PM,12:08 AM,06:46 AM,05:50 PM,9,24,23,24,7,0,41,0.0,1010,27,10,118,4,Mandalay
2018-01-26,27,15,0.0,8.7,6,64,12:51 PM,01:06 AM,06:46 AM,05:51 PM,10,23,24,23,7,0,42,0.0,1011,27,10,120,4,Mandalay
2018-01-27,28,15,0.0,8.7,6,71,01:41 PM,02:07 AM,06:45 AM,05:51 PM,10,24,24,24,8,0,44,0.0,1011,28,10,112,5,Mandalay
2018-01-28,26,15,0.0,8.7,5,78,02:35 PM,03:10 AM,06:45 AM,05:52 PM,10,23,23,23,7,0,44,0.0,1012,26,10,110,5,Mandalay
2018-01-29,27,14,0.0,8.7,5,86,03:36 PM,04:13 AM,06:45 AM,05:53 PM,8,23,22,23,7,0,41,0.0,1013,27,10,139,5,Mandalay
2018-01-30,26,13,0.0,8.7,5,93,04:39 PM,05:16 AM,06:45 AM,05:53 PM,5,22,22,22,8,0,33,0.0,1012,26,10,118,5,Mandalay
2018-01-31,26,14,0.0,8.7,5,97,05:45 PM,06:16 AM,06:44 AM,05:54 PM,5,22,22,22,8,0,33,0.0,1012,26,10,124,5,Mandalay
2018-02-01,27,14,0.0,8.7,6,88,06:50 PM,07:11 AM,06:44 AM,05:55 PM,7,22,22,22,10,1,37,0.0,1013,27,10,134,7,Mandalay
2018-02-02,27,16,0.0,8.7,6,81,07:53 PM,08:01 AM,06:44 AM,05:55 PM,8,22,23,22,13,4,41,0.0,1013,27,10,138,8,Mandalay
2018-02-03,28,16,0.0,8.7,6,73,08:53 PM,08:47 AM,06:43 AM,05:56 PM,8,23,23,23,13,3,42,0.0,1014,28,10,141,9,Mandalay
2018-02-04,29,17,0.0,8.7,6,66,09:51 PM,09:30 AM,06:43 AM,05:57 PM,10,24,24,24,13,0,43,0.0,1014,29,10,145,9,Mandalay
2018-02-05,29,18,0.0,8.7,6,58,10:46 PM,10:09 AM,06:42 AM,05:57 PM,13,25,25,25,8,3,49,0.0,1016,29,10,134,5,Mandalay
2018-02-06,30,18,0.0,8.7,6,51,11:39 PM,10:49 AM,06:42 AM,05:58 PM,13,25,25,25,10,4,49,0.0,1014,30,10,144,7,Mandalay
2018-02-07,29,18,0.0,8.7,6,43,No moonrise,11:28 AM,06:41 AM,05:58 PM,13,25,25,24,13,3,51,0.0,1012,29,10,149,9,Mandalay
