date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,29,24,0.0,8.7,7,97,04:53 PM,05:04 AM,06:21 AM,05:38 PM,20,29,29,27,29,33,69,0.0,1011,29,10,61,22,Manila
2018-01-02,28,26,0.0,5.7,7,100,05:57 PM,06:09 AM,06:21 AM,05:39 PM,21,29,29,27,36,69,69,0.7,1011,28,9,62,27,Manila
2018-01-03,27,25,0.0,7.2,7,89,07:01 PM,07:12 AM,06:22 AM,05:39 PM,20,28,28,26,33,52,72,0.3,1011,27,9,64,23,Manila
2018-01-04,28,26,0.0,7.2,7,81,08:05 PM,08:11 AM,06:22 AM,05:40 PM,22,30,30,27,23,53,76,0.3,1012,28,10,83,16,Manila
2018-01-05,31,25,0.0,8.7,7,74,09:05 PM,09:05 AM,06:22 AM,05:41 PM,23,31,31,28,16,34,75,0.0,1011,31,10,79,12,Manila
2018-01-06,30,25,0.0,8.7,7,67,10:03 PM,09:55 AM,06:23 AM,05:41 PM,22,31,31,28,19,15,73,0.0,1011,30,10,85,15,Manila
2018-01-07,31,25,0.0,8.7,7,59,10:57 PM,10:40 AM,06:23 AM,05:42 PM,23,32,32,28,13,21,73,0.0,1012,31,10,77,10,Manila
2018-01-08,32,25,0.0,8.7,7,52,11:49 PM,11:23 AM,06:23 AM,05:42 PM,23,33,33,29,14,12,72,0.0,1013,32,10,85,11,Manila
2018-01-09,32,25,0.0,8.7,7,45,No moonrise,12:04 PM,06:23 AM,05:43 PM,24,34,34,30,12,5,70,0.0,1013,32,10,115,10,Manila
2018-01-10,31,25,0.0,8.7,7,38,12:38 AM,12:44 PM,06:24 AM,05:43 PM,22,31,31,28,15,21,71,0.0,1013,31,10,65,12,Manila
2018-01-11,30,25,0.0,7.2,7,30,01:28 AM,01:25 PM,06:24 AM,05:44 PM,21,29,29,27,19,48,72,4.3,1013,30,10,55,14,Manila
2018-01-12,28,24,0.0,8.7,7,23,02:16 AM,02:06 PM,06:24 AM,05:45 PM,19,27,27,26,27,39,67,0.0,1014,28,10,51,21,Manila
2018-01-13,27,24,0.0,8.7,7,16,03:05 AM,02:49 PM,06:24 AM,05:45 PM,18,27,27,25,34,22,66,0.0,1014,27,10,58,26,Manila
2018-01-14,28,23,0.0,8.7,7,9,03:55 AM,03:35 PM,06:24 AM,05:46 PM,19,27,27,26,26,37,68,0.0,1014,28,10,61,20,Manila
2018-01-15,29,24,0.0,8.7,7,1,04:43 AM,04:21 PM,06:25 AM,05:46 PM,20,28,28,27,19,20,69,0.0,1012,29,10,61,15,Manila
2018-01-16,27,24,0.0,8.7,7,0,05:32 AM,05:10 PM,06:25 AM,05:47 PM,22,29,29,26,12,43,76,0.7,1010,27,10,58,9,Manila
2018-01-17,27,25,0.0,7.2,7,0,06:18 AM,05:59 PM,06:25 AM,05:47 PM,23,29,29,26,15,57,82,2.0,1010,27,10,64,11,Manila
2018-01-18,31,25,0.0,8.7,7,6,07:04 AM,06:48 PM,06:25 AM,05:48 PM,23,31,31,28,18,33,75,0.5,1011,31,10,72,14,Manila
2018-01-19,29,25,0.0,8.7,7,13,07:48 AM,07:38 PM,06:25 AM,05:49 PM,21,29,29,27,21,38,71,0.1,1012,29,10,74,16,Manila
2018-01-20,30,24,0.0,8.7,7,20,08:30 AM,08:27 PM,06:25 AM,05:49 PM,21,29,29,27,16,34,71,0.0,1011,30,10,68,13,Manila
2018-01-21,30,25,0.0,8.7,7,28,09:12 AM,09:17 PM,06:25 AM,05:50 PM,22,30,30,27,15,28,74,0.1,1010,30,10,71,12,Manila
2018-01-22,31,24,0.0,8.7,7,35,09:52 AM,10:07 PM,06:25 AM,05:50 PM,22,31,31,28,13,22,73,0.3,1010,31,10,76,10,Manila
2018-01-23,31,24,0.0,8.7,7,42,10:33 AM,10:58 PM,06:25 AM,05:51 PM,22,31,31,28,11,14,70,0.0,1009,31,10,81,9,Manila
2018-01-24,30,25,0.0,7.2,7,49,11:15 AM,11:51 PM,06:25 AM,05:51 PM,22,30,30,27,14,43,73,0.0,1009,30,10,103,11,Manila
2018-01-25,31,25,0.0,8.7,7,57,11:59 AM,No moonset,06:25 AM,05:52 PM,22,31,31,28,14,21,71,0.0,1009,31,10,74,12,Manila
2018-01-26,32,25,0.0,8.7,7,64,12:46 PM,12:46 AM,06:25 AM,05:52 PM,23,32,32,28,12,33,72,0.2,1009,32,10,102,9,Manila
2018-01-27,28,25,0.0,5.7,7,71,01:38 PM,01:44 AM,06:25 AM,05:53 PM,22,29,29,27,32,54,77,7.8,1010,28,9,73,22,Manila
2018-01-28,28,25,0.0,4.2,6,78,02:34 PM,02:44 AM,06:25 AM,05:53 PM,21,29,29,26,25,65,74,0.3,1010,28,10,87,18,Manila
2018-01-29,30,24,0.0,8.7,7,86,03:34 PM,03:47 AM,06:25 AM,05:54 PM,22,30,30,27,13,29,72,0.0,1011,30,10,74,10,Manila
2018-01-30,30,25,0.0,8.7,7,93,04:37 PM,04:50 AM,06:25 AM,05:54 PM,21,30,30,27,15,35,69,0.0,1011,30,10,74,12,Manila
2018-01-31,30,25,0.0,7.2,7,97,05:42 PM,05:51 AM,06:24 AM,05:55 PM,21,29,29,27,13,49,72,0.1,1013,30,10,74,10,Manila
2018-02-01,31,24,0.0,8.7,7,88,06:45 PM,06:48 AM,06:24 AM,05:55 PM,22,31,31,28,12,12,70,0.0,1012,31,10,94,10,Manila
2018-02-02,31,24,0.0,8.7,7,81,07:46 PM,07:41 AM,06:24 AM,05:55 PM,21,30,30,28,13,24,69,0.0,1013,31,10,101,10,Manila
2018-02-03,30,24,0.0,4.2,7,73,08:43 PM,08:30 AM,06:24 AM,05:56 PM,20,29,29,27,15,49,68,0.0,1013,30,10,98,12,Manila
2018-02-04,30,23,0.0,7.2,7,66,09:38 PM,09:15 AM,06:24 AM,05:56 PM,20,29,29,27,11,46,67,0.0,1013,30,10,94,9,Manila
2018-02-05,30,24,0.0,7.2,7,58,10:30 PM,09:58 AM,06:23 AM,05:57 PM,20,29,29,27,11,64,67,0.3,1013,30,10,127,8,Manila
2018-02-06,29,23,0.0,8.7,7,51,11:21 PM,10:40 AM,06:23 AM,05:57 PM,19,27,27,26,16,50,66,0.0,1012,29,10,58,12,Manila
2018-02-07,29,23,0.0,8.7,7,43,No moonrise,11:22 AM,06:23 AM,05:58 PM,20,28,28,26,7,38,71,0.2,1012,29,10,101,6,Manila
2018-02-08,29,22,0.0,8.7,7,36,12:11 AM,12:04 PM,06:23 AM,05:58 PM,20,28,28,26,9,27,68,0.2,1010,29,10,240,7,Manila
2018-02-09,31,23,0.0,8.7,7,28,01:00 AM,12:46 PM,06:22 AM,05:58 PM,21,31,31,28,5,18,66,0.1,1011,31,10,186,4,Manila
2018-02-10,30,24,0.0,5.7,6,20,01:50 AM,01:31 PM,06:22 AM,05:59 PM,21,30,30,27,6,52,69,0.0,1012,30,10,286,5,Manila
2018-02-11,32,24,0.0,7.2,7,13,02:38 AM,02:17 PM,06:22 AM,05:59 PM,22,31,31,28,14,30,69,0.1,1013,32,10,54,11,Manila
2018-02-12,30,25,0.0,8.7,7,5,03:27 AM,03:05 PM,06:21 AM,05:59 PM,21,30,30,27,24,28,71,0.1,1015,30,10,65,19,Manila
2018-02-13,28,25,0.0,11.6,7,0,04:14 AM,03:54 PM,06:21 AM,06:00 PM,20,28,28,27,27,37,70,0.1,1015,28,10,61,21,Manila
2018-02-14,27,25,0.0,8.8,7,0,05:01 AM,04:43 PM,06:20 AM,06:00 PM,21,28,28,26,18,64,76,0.3,1015,27,9,56,13,Manila
2018-02-15,32,24,0.0,11.6,7,0,05:46 AM,05:34 PM,06:20 AM,06:00 PM,22,31,31,28,16,18,72,0.0,1014,32,10,79,13,Manila
2018-02-16,33,25,0.0,11.6,7,2,06:29 AM,06:23 PM,06:20 AM,06:01 PM,23,34,34,30,10,17,69,0.0,1012,33,10,103,8,Manila
2018-02-17,33,26,0.0,11.6,7,10,07:11 AM,07:14 PM,06:19 AM,06:01 PM,22,32,32,29,14,16,67,0.0,1012,33,10,100,11,Manila
2018-02-18,31,25,0.0,11.6,7,17,07:52 AM,08:04 PM,06:19 AM,06:01 PM,22,32,32,28,17,12,70,0.0,1013,31,10,85,14,Manila
2018-02-19,32,25,0.0,11.6,7,25,08:33 AM,08:55 PM,06:18 AM,06:02 PM,22,32,32,29,19,1,66,0.0,1013,32,10,86,16,Manila
2018-02-20,32,25,0.0,11.6,7,32,09:15 AM,09:47 PM,06:18 AM,06:02 PM,22,31,31,28,20,18,69,0.0,1012,32,10,79,15,Manila
2018-02-21,33,25,0.0,11.6,7,40,09:58 AM,10:41 PM,06:17 AM,06:02 PM,22,32,32,29,17,18,68,0.0,1011,33,10,89,14,Manila
2018-02-22,32,25,0.0,11.6,7,47,10:43 AM,11:37 PM,06:17 AM,06:02 PM,22,32,32,29,18,5,67,0.0,1012,32,10,93,14,Manila
2018-02-23,32,25,0.0,11.6,7,55,11:32 AM,No moonset,06:16 AM,06:03 PM,21,31,31,28,21,6,65,0.0,1013,32,10,88,17,Manila
2018-02-24,33,24,0.0,11.6,7,62,12:24 PM,12:34 AM,06:16 AM,06:03 PM,20,30,30,28,18,14,63,0.0,1014,33,10,77,14,Manila
2018-02-25,31,25,0.0,11.6,7,70,01:21 PM,01:34 AM,06:15 AM,06:03 PM,21,31,31,28,16,17,68,0.0,1013,31,10,73,13,Manila
2018-02-26,32,25,0.0,11.6,7,77,02:20 PM,02:34 AM,06:15 AM,06:03 PM,22,31,31,28,17,22,69,0.0,1012,32,10,81,13,Manila
2018-02-27,31,25,0.0,11.6,7,85,03:23 PM,03:34 AM,06:14 AM,06:04 PM,21,30,30,28,21,31,68,0.0,1012,31,10,83,17,Manila
2018-02-28,33,25,0.0,11.6,7,93,04:25 PM,04:31 AM,06:14 AM,06:04 PM,22,32,32,29,16,14,67,0.0,1011,33,10,86,13,Manila
2018-03-01,33,26,0.0,11.6,7,96,05:26 PM,05:26 AM,06:13 AM,06:04 PM,22,32,32,29,18,15,68,0.0,1011,33,10,91,14,Manila
2018-03-02,33,26,0.0,11.6,7,100,06:25 PM,06:16 AM,06:12 AM,06:04 PM,22,33,33,29,18,10,66,0.0,1011,33,10,89,14,Manila
2018-03-03,33,26,0.0,11.6,7,89,07:22 PM,07:04 AM,06:12 AM,06:04 PM,22,33,33,29,19,23,67,0.0,1011,33,10,95,15,Manila
2018-03-04,33,26,0.0,11.6,7,82,08:16 PM,07:49 AM,06:11 AM,06:05 PM,22,33,33,29,20,9,68,0.0,1012,33,10,90,16,Manila
2018-03-05,33,25,0.0,11.6,7,74,09:09 PM,08:32 AM,06:11 AM,06:05 PM,23,34,34,30,17,0,65,0.0,1012,33,10,93,15,Manila
2018-03-06,33,26,0.0,11.6,7,67,10:01 PM,09:15 AM,06:10 AM,06:05 PM,23,33,33,30,17,6,67,0.0,1012,33,10,80,14,Manila
2018-03-07,32,26,0.0,11.6,7,60,10:52 PM,09:57 AM,06:09 AM,06:05 PM,22,32,32,29,17,19,67,0.0,1011,32,10,80,14,Manila
2018-03-08,33,25,0.0,11.6,7,53,11:42 PM,10:41 AM,06:09 AM,06:05 PM,22,32,32,29,12,34,68,0.0,1011,33,10,75,10,Manila
2018-03-09,31,25,0.0,11.6,7,45,No moonrise,11:26 AM,06:08 AM,06:05 PM,21,30,30,28,17,28,66,0.0,1012,31,10,82,14,Manila
2018-03-10,30,25,0.0,11.6,7,38,12:32 AM,12:11 PM,06:07 AM,06:06 PM,20,29,29,27,24,31,66,0.1,1013,30,10,67,19,Manila
2018-03-11,29,24,0.0,11.6,7,31,01:21 AM,12:58 PM,06:07 AM,06:06 PM,19,28,28,26,29,27,65,0.1,1015,29,10,73,22,Manila
2018-03-12,29,24,0.0,11.6,7,24,02:09 AM,01:47 PM,06:06 AM,06:06 PM,20,28,28,27,23,23,67,0.0,1014,29,10,77,18,Manila
2018-03-13,30,24,0.0,11.6,7,16,02:55 AM,02:36 PM,06:05 AM,06:06 PM,20,29,29,27,19,17,68,0.0,1013,30,10,82,15,Manila
2018-03-14,31,24,0.0,11.6,7,9,03:41 AM,03:26 PM,06:05 AM,06:06 PM,20,30,30,28,17,8,64,0.0,1013,31,10,92,14,Manila
2018-03-15,33,24,0.0,11.6,7,2,04:24 AM,04:16 PM,06:04 AM,06:06 PM,21,31,31,29,15,17,65,0.0,1012,33,10,83,12,Manila
2018-03-16,34,25,0.0,11.6,7,0,05:07 AM,05:07 PM,06:03 AM,06:06 PM,21,33,33,30,13,26,62,0.1,1012,34,10,133,10,Manila
2018-03-17,32,25,0.0,11.6,7,0,05:49 AM,05:58 PM,06:03 AM,06:06 PM,22,32,32,29,19,13,66,0.0,1013,32,10,85,15,Manila
2018-03-18,32,25,0.0,11.6,7,5,06:31 AM,06:50 PM,06:02 AM,06:07 PM,21,31,31,29,19,11,66,0.0,1013,32,10,87,15,Manila
2018-03-19,33,25,0.0,11.6,7,13,07:13 AM,07:43 PM,06:01 AM,06:07 PM,22,33,33,30,14,4,64,0.0,1012,33,10,98,12,Manila
2018-03-20,34,25,0.0,11.6,7,20,07:56 AM,08:36 PM,06:01 AM,06:07 PM,23,38,38,32,6,8,62,0.2,1011,34,10,118,5,Manila
2018-03-21,33,25,0.0,12.1,7,27,08:41 AM,09:32 PM,06:00 AM,06:07 PM,21,33,33,30,14,16,62,0.1,1010,33,10,55,11,Manila
2018-03-22,31,25,0.0,12.5,7,34,09:29 AM,10:29 PM,05:59 AM,06:07 PM,21,30,30,28,18,32,67,0.0,1010,31,10,66,15,Manila
2018-03-23,30,25,0.0,11.8,7,42,10:20 AM,11:29 PM,05:59 AM,06:07 PM,20,29,29,27,29,49,64,0.1,1013,30,10,74,23,Manila
2018-03-24,30,24,0.0,12.5,7,49,11:15 AM,No moonset,05:58 AM,06:07 PM,18,28,28,27,28,16,60,0.0,1015,30,10,77,22,Manila
2018-03-25,30,23,0.0,12.5,7,56,12:12 PM,12:28 AM,05:57 AM,06:07 PM,19,28,28,27,21,6,61,0.0,1015,30,10,76,17,Manila
