date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,29,25,0.0,11.3,7,97,06:24 PM,06:23 AM,07:05 AM,06:36 PM,23,31,31,27,16,42,80,7.3,1012,29,9,51,10,Maracaibo
2018-01-02,30,25,0.0,11.3,7,100,07:28 PM,07:27 AM,07:05 AM,06:36 PM,23,31,31,28,11,24,78,8.5,1011,30,9,73,7,Maracaibo
2018-01-03,31,25,0.0,11.3,7,89,08:31 PM,08:28 AM,07:06 AM,06:37 PM,24,32,32,28,10,19,77,3.7,1010,31,10,43,7,Maracaibo
2018-01-04,31,26,0.0,11.3,7,81,09:33 PM,09:26 AM,07:06 AM,06:37 PM,24,33,33,28,11,16,77,5.0,1012,31,9,190,7,Maracaibo
2018-01-05,31,25,0.0,11.3,7,74,10:30 PM,10:19 AM,07:06 AM,06:38 PM,24,32,32,28,11,20,77,2.0,1013,31,10,136,7,Maracaibo
2018-01-06,31,25,0.0,11.3,7,67,11:24 PM,11:08 AM,07:07 AM,06:38 PM,23,32,32,28,12,15,74,0.3,1013,31,10,56,8,Maracaibo
2018-01-07,30,25,0.0,11.3,7,59,No moonrise,11:53 AM,07:07 AM,06:39 PM,22,31,31,28,14,15,74,0.9,1012,30,10,57,10,Maracaibo
2018-01-08,31,25,0.0,11.3,7,52,12:15 AM,12:36 PM,07:07 AM,06:39 PM,22,31,31,28,12,21,73,2.4,1011,31,10,133,8,Maracaibo
2018-01-09,30,25,0.0,11.3,7,45,01:05 AM,01:18 PM,07:08 AM,06:40 PM,21,30,30,27,13,28,70,0.7,1012,30,10,136,9,Maracaibo
2018-01-10,31,25,0.0,11.3,7,38,01:53 AM,01:59 PM,07:08 AM,06:40 PM,22,31,31,28,13,14,69,0.3,1012,31,10,58,9,Maracaibo
2018-01-11,31,25,0.0,11.3,7,30,02:40 AM,02:41 PM,07:08 AM,06:41 PM,22,31,31,28,13,17,70,0.2,1012,31,10,62,8,Maracaibo
2018-01-12,31,26,0.0,11.3,7,23,03:29 AM,03:25 PM,07:08 AM,06:42 PM,23,32,32,29,14,16,72,1.8,1012,31,10,48,10,Maracaibo
2018-01-13,31,25,0.0,11.3,7,16,04:16 AM,04:10 PM,07:09 AM,06:42 PM,22,31,31,28,14,27,73,5.6,1012,31,9,52,9,Maracaibo
2018-01-14,30,25,0.0,11.3,7,9,05:05 AM,04:56 PM,07:09 AM,06:43 PM,22,30,30,27,17,32,73,1.3,1012,30,10,32,11,Maracaibo
2018-01-15,31,25,0.0,11.3,7,1,05:53 AM,05:44 PM,07:09 AM,06:43 PM,22,30,30,28,16,20,71,0.5,1012,31,10,38,11,Maracaibo
