date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,25,20,0.0,8.7,6,97,05:21 PM,05:55 AM,06:59 AM,05:50 PM,15,24,24,23,17,39,65,0.0,1015,25,10,330,14,Mecca
2018-01-02,27,17,0.0,8.7,6,100,06:24 PM,07:00 AM,06:59 AM,05:51 PM,9,22,22,22,15,20,45,0.0,1015,27,10,202,11,Mecca
2018-01-03,29,19,0.0,8.7,6,89,07:30 PM,08:01 AM,06:59 AM,05:51 PM,7,23,23,23,13,6,36,0.0,1014,29,10,136,9,Mecca
2018-01-04,25,20,0.0,8.7,6,81,08:35 PM,08:57 AM,06:59 AM,05:52 PM,13,24,24,22,12,25,56,0.1,1015,25,10,258,10,Mecca
2018-01-05,25,17,0.0,8.7,6,74,09:37 PM,09:49 AM,07:00 AM,05:53 PM,8,20,21,20,14,0,49,0.0,1016,25,10,212,10,Mecca
2018-01-06,26,16,0.0,8.7,6,67,10:36 PM,10:34 AM,07:00 AM,05:53 PM,5,21,21,21,15,0,39,0.0,1015,26,10,213,10,Mecca
2018-01-07,28,16,0.0,8.7,6,59,11:32 PM,11:17 AM,07:00 AM,05:54 PM,4,22,22,22,13,0,35,0.0,1017,28,10,172,8,Mecca
2018-01-08,28,18,0.0,8.7,6,52,No moonrise,11:57 AM,07:00 AM,05:55 PM,0,22,22,23,26,0,23,0.0,1018,28,10,60,18,Mecca
2018-01-09,28,18,0.0,8.7,6,45,12:26 AM,12:35 PM,07:01 AM,05:55 PM,0,22,22,23,25,0,23,0.0,1019,28,10,67,17,Mecca
2018-01-10,28,18,0.0,8.7,6,38,01:18 AM,01:13 PM,07:01 AM,05:56 PM,1,23,23,23,16,0,24,0.0,1019,28,10,132,9,Mecca
2018-01-11,28,18,0.0,8.7,6,30,02:09 AM,01:52 PM,07:01 AM,05:57 PM,1,23,23,23,14,0,26,0.0,1018,28,10,171,9,Mecca
2018-01-12,29,18,0.0,8.7,6,23,03:00 AM,02:32 PM,07:01 AM,05:57 PM,9,24,24,24,8,0,40,0.0,1017,29,10,164,6,Mecca
2018-01-13,29,19,0.0,8.7,6,16,03:51 AM,03:14 PM,07:01 AM,05:58 PM,12,25,25,24,8,1,50,0.0,1016,29,10,211,6,Mecca
2018-01-14,29,19,0.0,8.7,6,9,04:41 AM,03:58 PM,07:01 AM,05:59 PM,14,25,25,24,8,1,55,0.0,1015,29,10,217,7,Mecca
2018-01-15,29,19,0.0,8.7,6,1,05:31 AM,04:45 PM,07:01 AM,05:59 PM,12,24,24,24,14,0,50,0.0,1017,29,10,245,10,Mecca
2018-01-16,29,19,0.0,11.0,6,0,06:18 AM,05:34 PM,07:01 AM,06:00 PM,6,23,23,24,11,0,37,0.0,1016,29,10,186,8,Mecca
2018-01-17,28,18,0.0,11.0,6,0,07:05 AM,06:24 PM,07:01 AM,06:01 PM,10,24,24,23,11,4,45,0.0,1013,28,10,205,8,Mecca
2018-01-18,26,19,0.0,11.0,6,6,07:49 AM,07:15 PM,07:01 AM,06:01 PM,13,24,24,22,11,12,57,0.0,1014,26,10,189,8,Mecca
2018-01-19,25,18,0.0,11.0,6,13,08:31 AM,08:06 PM,07:01 AM,06:02 PM,11,22,22,22,10,9,52,0.0,1015,25,10,296,8,Mecca
2018-01-20,26,16,0.0,11.0,6,20,09:11 AM,08:58 PM,07:01 AM,06:03 PM,5,21,21,21,12,0,37,0.0,1017,26,10,291,9,Mecca
2018-01-21,30,19,0.0,11.0,6,28,09:50 AM,09:50 PM,07:01 AM,06:03 PM,2,23,23,24,14,0,24,0.0,1016,30,10,124,9,Mecca
2018-01-22,29,19,0.0,11.0,6,35,10:28 AM,10:42 PM,07:01 AM,06:04 PM,12,25,25,24,12,5,48,0.0,1014,29,10,223,10,Mecca
2018-01-23,27,20,0.0,11.0,6,42,11:06 AM,11:36 PM,07:01 AM,06:05 PM,15,24,24,23,10,14,62,0.0,1013,27,10,194,8,Mecca
2018-01-24,29,19,0.0,11.1,6,49,11:46 AM,No moonset,07:00 AM,06:05 PM,10,24,24,23,12,7,45,0.0,1013,29,10,225,9,Mecca
2018-01-25,24,19,0.0,11.1,6,57,12:28 PM,12:32 AM,07:00 AM,06:06 PM,12,22,23,22,9,23,54,0.0,1013,24,10,312,7,Mecca
2018-01-26,25,19,0.0,11.1,6,64,01:14 PM,01:30 AM,07:00 AM,06:07 PM,11,21,22,21,14,19,53,0.0,1015,25,10,336,11,Mecca
2018-01-27,25,16,0.0,11.1,5,71,02:05 PM,02:30 AM,07:00 AM,06:07 PM,4,20,20,20,19,0,39,0.0,1016,25,10,340,14,Mecca
2018-01-28,27,16,0.0,11.5,6,78,03:01 PM,03:34 AM,06:59 AM,06:08 PM,2,21,21,21,16,1,30,0.0,1016,27,10,170,10,Mecca
2018-01-29,28,19,0.0,11.5,6,86,04:01 PM,04:37 AM,06:59 AM,06:08 PM,1,23,23,23,17,11,25,0.0,1015,28,10,171,12,Mecca
2018-01-30,26,18,0.0,11.5,6,93,05:06 PM,05:40 AM,06:59 AM,06:09 PM,7,23,23,22,10,14,37,0.0,1015,26,10,259,8,Mecca
2018-01-31,27,19,0.0,11.5,6,97,06:11 PM,06:39 AM,06:59 AM,06:10 PM,7,23,23,23,10,13,37,0.0,1016,27,10,188,8,Mecca
2018-02-01,27,20,0.0,11.5,6,88,07:16 PM,07:33 AM,06:58 AM,06:10 PM,11,24,24,23,7,27,49,0.5,1016,27,10,211,5,Mecca
2018-02-02,29,21,0.0,11.5,6,81,08:18 PM,08:23 AM,06:58 AM,06:11 PM,8,25,25,24,12,21,37,0.1,1016,29,10,146,9,Mecca
2018-02-03,30,20,0.0,11.6,6,73,09:18 PM,09:08 AM,06:57 AM,06:12 PM,-1,24,24,24,23,2,19,0.0,1017,30,10,86,17,Mecca
2018-02-04,31,20,0.0,11.6,6,66,10:14 PM,09:51 AM,06:57 AM,06:12 PM,1,24,24,25,13,0,24,0.0,1018,31,10,139,9,Mecca
2018-02-05,31,20,0.0,11.6,6,58,11:09 PM,10:31 AM,06:57 AM,06:13 PM,-0,24,24,25,12,0,22,0.0,1017,31,10,163,8,Mecca
2018-02-06,30,19,0.0,11.6,6,51,No moonrise,11:10 AM,06:56 AM,06:13 PM,7,25,25,25,9,13,35,0.0,1016,30,10,229,7,Mecca
2018-02-07,31,20,0.0,11.6,6,43,12:02 AM,11:50 AM,06:56 AM,06:14 PM,8,25,25,25,10,6,36,0.0,1015,31,10,208,7,Mecca
2018-02-08,30,19,0.0,11.6,6,36,12:54 AM,12:29 PM,06:55 AM,06:14 PM,9,25,25,25,8,14,38,0.0,1014,30,10,195,6,Mecca
2018-02-09,30,20,0.0,11.6,7,28,01:45 AM,01:11 PM,06:55 AM,06:15 PM,11,26,26,26,8,0,41,0.0,1013,30,10,263,6,Mecca
2018-02-10,32,21,0.0,11.6,7,20,02:35 AM,01:55 PM,06:54 AM,06:16 PM,13,27,27,27,10,0,45,0.0,1012,32,10,239,8,Mecca
2018-02-11,34,22,0.0,11.6,7,13,03:26 AM,02:41 PM,06:54 AM,06:16 PM,13,28,28,28,9,3,42,0.0,1012,34,10,179,7,Mecca
2018-02-12,36,22,0.0,11.6,7,5,04:14 AM,03:29 PM,06:53 AM,06:17 PM,9,29,29,29,16,1,33,0.0,1011,36,10,208,12,Mecca
2018-02-13,36,23,0.0,11.6,7,0,05:01 AM,04:18 PM,06:53 AM,06:17 PM,6,28,28,29,18,0,27,0.0,1012,36,10,202,14,Mecca
2018-02-14,34,22,0.0,11.6,7,0,05:46 AM,05:10 PM,06:52 AM,06:18 PM,14,28,28,28,7,6,47,0.0,1014,34,10,217,6,Mecca
2018-02-15,33,22,0.0,11.6,7,0,06:29 AM,06:01 PM,06:51 AM,06:18 PM,15,28,28,27,11,0,48,0.0,1013,33,10,240,9,Mecca
2018-02-16,33,22,0.0,11.6,7,2,07:10 AM,06:53 PM,06:51 AM,06:19 PM,17,28,28,27,11,7,57,0.0,1013,33,10,276,10,Mecca
2018-02-17,31,23,0.0,11.6,7,10,07:50 AM,07:46 PM,06:50 AM,06:19 PM,16,27,27,26,16,39,59,0.3,1013,31,10,232,13,Mecca
2018-02-18,27,20,0.0,11.6,6,17,08:28 AM,08:39 PM,06:49 AM,06:20 PM,7,23,23,23,17,21,39,0.0,1014,27,10,331,14,Mecca
2018-02-19,28,19,0.0,11.6,6,25,09:07 AM,09:33 PM,06:49 AM,06:20 PM,8,24,24,24,10,4,37,0.0,1012,28,10,270,8,Mecca
2018-02-20,30,20,0.0,11.6,6,32,09:47 AM,10:27 PM,06:48 AM,06:21 PM,12,26,26,25,12,17,47,0.0,1011,30,10,230,10,Mecca
2018-02-21,29,21,0.0,11.6,6,40,10:27 AM,11:24 PM,06:47 AM,06:21 PM,17,26,26,25,11,15,62,0.0,1010,29,10,241,10,Mecca
2018-02-22,31,22,0.0,11.6,7,47,11:11 AM,No moonset,06:47 AM,06:22 PM,16,27,27,26,8,15,57,0.0,1010,31,10,232,7,Mecca
2018-02-23,33,23,0.0,11.6,7,55,11:58 AM,12:22 AM,06:46 AM,06:22 PM,15,28,28,28,10,12,48,0.0,1008,33,10,210,8,Mecca
2018-02-24,32,23,0.0,10.2,7,62,12:50 PM,01:22 AM,06:45 AM,06:23 PM,16,28,28,27,20,31,53,0.0,1007,32,10,240,16,Mecca
2018-02-25,31,22,0.0,11.6,7,70,01:47 PM,02:23 AM,06:44 AM,06:23 PM,9,26,26,27,10,0,41,0.1,1010,31,10,250,8,Mecca
2018-02-26,31,21,0.0,11.6,7,77,02:47 PM,03:24 AM,06:44 AM,06:23 PM,11,27,27,26,15,5,40,0.0,1011,31,10,234,13,Mecca
2018-02-27,32,23,0.0,11.6,7,85,03:51 PM,04:23 AM,06:43 AM,06:24 PM,13,28,28,28,8,1,44,0.0,1011,32,10,212,7,Mecca
2018-02-28,31,23,0.0,11.6,7,93,04:55 PM,05:18 AM,06:42 AM,06:24 PM,8,27,27,28,11,1,31,0.0,1010,31,10,201,9,Mecca
2018-03-01,28,21,0.0,11.6,6,96,05:58 PM,06:09 AM,06:41 AM,06:25 PM,4,24,24,24,15,1,28,0.0,1011,28,10,337,12,Mecca
2018-03-02,31,20,0.0,11.6,7,100,06:59 PM,06:57 AM,06:41 AM,06:25 PM,6,25,25,25,11,0,32,0.0,1012,31,10,138,8,Mecca
2018-03-03,31,21,0.0,11.6,7,89,07:58 PM,07:41 AM,06:40 AM,06:25 PM,6,26,26,27,11,1,29,0.0,1012,31,10,175,9,Mecca
2018-03-04,32,22,0.0,11.6,7,82,08:55 PM,08:23 AM,06:39 AM,06:26 PM,11,27,27,27,12,5,38,0.0,1012,32,10,199,10,Mecca
2018-03-05,31,23,0.0,11.6,7,74,09:50 PM,09:03 AM,06:38 AM,06:26 PM,14,27,27,27,12,12,47,0.0,1013,31,10,194,10,Mecca
2018-03-06,33,23,0.0,11.6,7,67,10:43 PM,09:44 AM,06:37 AM,06:27 PM,14,28,28,28,8,2,45,0.0,1014,33,10,191,7,Mecca
2018-03-07,36,25,0.0,11.6,7,60,11:36 PM,10:24 AM,06:36 AM,06:27 PM,9,29,29,30,11,1,29,0.0,1014,36,10,173,9,Mecca
2018-03-08,35,25,0.0,11.6,7,53,No moonrise,11:06 AM,06:36 AM,06:27 PM,10,30,30,30,9,0,31,0.0,1013,35,10,157,7,Mecca
2018-03-09,32,24,0.0,11.6,7,45,12:28 AM,11:50 AM,06:35 AM,06:28 PM,13,29,29,29,10,0,41,0.0,1012,32,10,206,8,Mecca
2018-03-10,33,23,0.0,11.6,7,38,01:19 AM,12:35 PM,06:34 AM,06:28 PM,9,28,28,29,10,0,33,0.0,1011,33,10,238,8,Mecca
2018-03-11,32,22,0.0,11.6,7,31,02:08 AM,01:23 PM,06:33 AM,06:28 PM,7,27,27,28,13,2,28,0.0,1011,32,10,237,10,Mecca
2018-03-12,31,21,0.0,11.6,7,24,02:55 AM,02:11 PM,06:32 AM,06:29 PM,4,25,25,26,13,0,25,0.0,1012,31,10,205,10,Mecca
2018-03-13,33,20,0.0,11.6,7,16,03:41 AM,03:02 PM,06:31 AM,06:29 PM,7,26,26,27,10,0,31,0.0,1013,33,10,191,8,Mecca
2018-03-14,33,22,0.0,11.6,7,9,04:25 AM,03:53 PM,06:30 AM,06:29 PM,10,28,28,28,9,0,34,0.0,1012,33,10,218,7,Mecca
2018-03-15,33,24,0.0,11.6,7,2,05:07 AM,04:45 PM,06:29 AM,06:30 PM,12,28,28,29,13,3,36,0.0,1011,33,10,198,10,Mecca
2018-03-16,32,24,0.0,11.6,7,0,05:47 AM,05:39 PM,06:28 AM,06:30 PM,13,28,28,28,11,10,40,0.0,1011,32,10,262,9,Mecca
2018-03-17,33,22,0.0,11.6,7,0,06:26 AM,06:32 PM,06:28 AM,06:30 PM,7,27,27,28,8,0,29,0.0,1011,33,10,246,7,Mecca
2018-03-18,33,23,0.0,11.6,7,5,07:06 AM,07:27 PM,06:27 AM,06:31 PM,9,28,28,29,9,1,29,0.0,1009,33,10,211,7,Mecca
2018-03-19,34,24,0.0,11.6,7,13,07:46 AM,08:22 PM,06:26 AM,06:31 PM,10,29,29,30,10,0,31,0.0,1011,34,10,224,8,Mecca
2018-03-20,36,24,0.0,11.6,7,20,08:26 AM,09:19 PM,06:25 AM,06:31 PM,13,30,30,31,9,1,36,0.0,1012,36,10,246,8,Mecca
2018-03-21,34,26,0.0,11.6,8,27,09:10 AM,10:17 PM,06:24 AM,06:32 PM,13,30,30,31,11,2,35,0.0,1013,34,10,209,9,Mecca
