date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,24,15,0.0,11.6,5,97,07:43 PM,04:58 AM,06:01 AM,08:45 PM,12,19,19,19,14,22,67,0.0,1007,24,10,203,11,Melbourne
2018-01-02,21,15,0.0,10.5,5,100,08:48 PM,05:57 AM,06:02 AM,08:45 PM,11,17,17,17,19,43,67,0.0,1009,21,10,197,14,Melbourne
2018-01-03,20,14,0.0,11.6,5,89,09:46 PM,07:03 AM,06:03 AM,08:46 PM,10,16,17,16,21,25,64,0.1,1015,20,10,196,16,Melbourne
2018-01-04,25,13,0.0,11.6,5,81,10:35 PM,08:12 AM,06:04 AM,08:46 PM,12,19,19,19,12,18,68,0.0,1016,25,10,170,9,Melbourne
2018-01-05,28,14,0.0,11.6,6,74,11:19 PM,09:23 AM,06:05 AM,08:46 PM,13,21,21,21,9,28,63,0.0,1015,28,10,166,7,Melbourne
2018-01-06,36,20,0.0,11.6,7,67,11:57 PM,10:31 AM,06:06 AM,08:46 PM,11,27,27,27,38,5,40,0.0,1009,36,10,176,20,Melbourne
2018-01-07,22,17,0.0,11.6,5,59,No moonrise,11:38 AM,06:06 AM,08:46 PM,12,19,20,19,17,9,64,0.0,1013,22,10,184,13,Melbourne
2018-01-08,23,16,0.0,11.6,5,52,12:31 AM,12:40 PM,06:07 AM,08:45 PM,12,19,19,19,14,40,67,0.4,1012,23,10,177,11,Melbourne
2018-01-09,20,14,0.0,10.5,5,45,01:03 AM,01:41 PM,06:08 AM,08:45 PM,10,17,17,17,21,20,66,0.1,1015,20,10,202,16,Melbourne
2018-01-10,25,13,0.0,10.5,5,38,01:35 AM,02:40 PM,06:09 AM,08:45 PM,11,19,19,19,13,28,62,0.0,1017,25,10,167,10,Melbourne
2018-01-11,31,16,0.0,11.6,6,30,02:06 AM,03:37 PM,06:10 AM,08:45 PM,13,25,25,25,12,11,49,0.0,1012,31,10,84,7,Melbourne
2018-01-12,26,17,0.0,8.3,5,23,02:39 AM,04:33 PM,06:11 AM,08:45 PM,16,24,24,23,25,85,66,7.5,1005,26,7,140,15,Melbourne
2018-01-13,18,13,0.0,9.4,5,16,03:15 AM,05:29 PM,06:12 AM,08:44 PM,10,15,15,15,25,65,71,0.6,1005,18,8,243,18,Melbourne
2018-01-14,18,13,0.0,10.5,5,9,03:53 AM,06:21 PM,06:13 AM,08:44 PM,8,14,15,14,28,31,63,0.0,1017,18,10,192,21,Melbourne
2018-01-15,20,14,0.0,9.4,4,1,04:35 AM,07:12 PM,06:14 AM,08:44 PM,12,16,16,16,22,50,74,0.1,1020,20,10,202,16,Melbourne
2018-01-16,24,13,0.0,11.6,5,0,05:22 AM,08:00 PM,06:15 AM,08:43 PM,11,19,19,19,17,9,65,0.0,1021,24,10,161,12,Melbourne
2018-01-17,29,13,0.0,11.6,6,0,06:12 AM,08:43 PM,06:16 AM,08:43 PM,10,21,22,21,10,9,51,0.0,1018,29,10,181,6,Melbourne
2018-01-18,34,19,0.0,11.6,7,6,07:05 AM,09:24 PM,06:17 AM,08:43 PM,8,26,26,27,28,0,34,0.0,1014,34,10,179,14,Melbourne
2018-01-19,35,21,0.0,11.6,7,13,08:00 AM,10:00 PM,06:18 AM,08:42 PM,8,27,27,28,29,1,31,0.0,1011,35,10,210,16,Melbourne
2018-01-20,25,18,0.0,11.6,6,20,08:57 AM,10:34 PM,06:20 AM,08:42 PM,16,22,23,22,13,29,71,1.7,1012,25,10,199,9,Melbourne
2018-01-21,29,20,0.0,11.6,6,28,09:55 AM,11:06 PM,06:21 AM,08:41 PM,16,25,25,25,11,39,62,1.5,1008,29,10,217,7,Melbourne
2018-01-22,28,17,0.0,11.6,6,35,10:54 AM,11:38 PM,06:22 AM,08:41 PM,16,21,22,21,15,15,74,0.0,1008,28,10,193,12,Melbourne
2018-01-23,24,16,0.0,11.6,5,42,11:54 AM,No moonset,06:23 AM,08:40 PM,12,19,19,19,17,17,67,0.0,1010,24,10,184,13,Melbourne
2018-01-24,25,15,0.0,11.6,5,49,12:55 PM,12:09 AM,06:24 AM,08:39 PM,14,19,19,19,16,15,71,0.0,1010,25,10,179,12,Melbourne
2018-01-25,30,16,0.0,11.6,6,57,01:59 PM,12:42 AM,06:25 AM,08:39 PM,16,22,22,22,12,38,73,1.0,1009,30,10,212,8,Melbourne
2018-01-26,31,19,0.0,10.5,6,64,03:05 PM,01:18 AM,06:26 AM,08:38 PM,19,24,24,23,11,37,81,12.9,1010,31,8,193,7,Melbourne
2018-01-27,30,19,0.0,11.6,6,71,04:12 PM,01:58 AM,06:27 AM,08:37 PM,19,26,26,25,10,30,74,0.0,1009,30,9,176,6,Melbourne
2018-01-28,33,23,0.0,11.6,7,78,05:20 PM,02:44 AM,06:29 AM,08:36 PM,18,29,29,28,28,9,55,0.0,1007,33,10,15,15,Melbourne
2018-01-29,28,19,0.0,10.5,6,86,06:25 PM,03:38 AM,06:30 AM,08:36 PM,18,26,26,25,41,41,66,12.2,1007,28,9,127,23,Melbourne
2018-01-30,18,15,0.0,8.2,4,93,07:27 PM,04:38 AM,06:31 AM,08:35 PM,11,16,16,16,30,78,74,9.2,1011,18,9,191,23,Melbourne
