date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,24,19,0.0,8.7,6,97,05:34 PM,06:24 AM,07:08 AM,05:42 PM,15,22,23,22,11,17,66,0.0,1019,24,10,285,9,Miami(FL)
2018-01-02,21,17,0.0,3.9,4,100,06:39 PM,07:29 AM,07:08 AM,05:42 PM,17,20,20,20,36,82,83,1.2,1018,21,10,156,28,Miami(FL)
2018-01-03,21,14,0.0,7.1,5,89,07:46 PM,08:27 AM,07:08 AM,05:43 PM,14,18,19,18,33,49,76,0.8,1014,21,10,207,27,Miami(FL)
2018-01-04,15,8,0.0,8.7,4,81,08:51 PM,09:21 AM,07:08 AM,05:44 PM,3,10,12,10,32,0,55,0.0,1020,15,10,321,27,Miami(FL)
2018-01-05,16,10,0.0,8.7,4,74,09:54 PM,10:09 AM,07:09 AM,05:44 PM,4,12,13,12,27,7,54,0.0,1025,16,10,218,21,Miami(FL)
2018-01-06,19,15,0.0,8.7,5,67,10:53 PM,10:52 AM,07:09 AM,05:45 PM,10,17,17,17,35,20,65,0.3,1026,19,10,61,27,Miami(FL)
2018-01-07,21,16,0.0,8.7,5,59,11:51 PM,11:32 AM,07:09 AM,05:46 PM,12,19,19,19,35,10,66,0.1,1025,21,10,47,27,Miami(FL)
2018-01-08,23,20,0.0,8.7,6,52,No moonrise,12:09 PM,07:09 AM,05:47 PM,17,22,23,22,33,32,77,0.9,1020,23,10,100,23,Miami(FL)
2018-01-09,23,22,0.0,8.7,6,45,12:45 AM,12:45 PM,07:09 AM,05:47 PM,20,25,25,23,16,27,83,0.6,1017,23,10,109,11,Miami(FL)
2018-01-10,24,22,0.0,8.7,6,38,01:39 AM,01:22 PM,07:09 AM,05:48 PM,20,25,25,23,12,43,82,2.0,1016,24,10,114,8,Miami(FL)
2018-01-11,24,22,0.0,8.7,6,30,02:31 AM,02:00 PM,07:09 AM,05:49 PM,20,25,25,23,21,17,81,0.6,1016,24,10,145,15,Miami(FL)
2018-01-12,25,23,0.0,8.7,6,23,03:23 AM,02:39 PM,07:09 AM,05:50 PM,21,26,26,24,32,23,84,0.4,1015,25,10,187,21,Miami(FL)
2018-01-13,23,18,0.0,8.7,6,16,04:14 AM,03:22 PM,07:09 AM,05:50 PM,16,21,23,21,24,26,72,0.0,1019,23,10,319,17,Miami(FL)
2018-01-14,20,14,0.0,7.1,5,9,05:05 AM,04:06 PM,07:09 AM,05:51 PM,13,17,17,17,37,53,76,0.2,1023,20,10,177,29,Miami(FL)
2018-01-15,21,15,0.0,7.1,5,1,05:55 AM,04:53 PM,07:09 AM,05:52 PM,15,19,19,19,36,47,79,0.2,1024,21,10,194,27,Miami(FL)
2018-01-16,22,19,0.0,8.7,6,0,06:42 AM,05:43 PM,07:09 AM,05:53 PM,14,20,21,20,35,9,66,0.0,1024,22,10,34,25,Miami(FL)
2018-01-17,22,19,0.0,7.1,4,0,07:27 AM,06:34 PM,07:09 AM,05:53 PM,13,20,20,20,26,38,65,0.1,1023,22,10,256,19,Miami(FL)
2018-01-18,16,10,0.0,8.7,4,6,08:09 AM,07:26 PM,07:09 AM,05:54 PM,7,12,14,12,33,11,62,0.0,1025,16,10,222,27,Miami(FL)
2018-01-19,19,13,0.0,5.5,4,13,08:50 AM,08:19 PM,07:09 AM,05:55 PM,11,16,17,16,22,48,66,0.0,1024,19,10,124,16,Miami(FL)
2018-01-20,22,19,0.0,3.9,5,20,09:28 AM,09:12 PM,07:09 AM,05:56 PM,15,21,23,21,21,86,72,0.0,1023,22,10,79,14,Miami(FL)
2018-01-21,23,21,0.0,8.7,6,28,10:05 AM,10:06 PM,07:08 AM,05:56 PM,18,22,24,22,29,40,81,0.0,1021,23,10,89,19,Miami(FL)
2018-01-22,24,22,0.0,8.7,6,35,10:41 AM,11:00 PM,07:08 AM,05:57 PM,19,25,25,23,25,23,81,0.0,1019,24,10,107,17,Miami(FL)
2018-01-23,25,23,0.0,8.7,6,42,11:19 AM,11:57 PM,07:08 AM,05:58 PM,21,26,26,24,22,37,87,0.1,1018,25,10,163,14,Miami(FL)
2018-01-24,24,21,0.0,8.7,6,49,11:57 AM,No moonset,07:08 AM,05:59 PM,20,25,25,23,21,53,86,1.1,1020,24,10,133,15,Miami(FL)
2018-01-25,22,21,0.0,8.7,6,57,12:39 PM,12:55 AM,07:07 AM,05:59 PM,17,21,24,21,45,73,77,0.4,1024,22,10,35,33,Miami(FL)
2018-01-26,22,21,0.0,5.5,5,64,01:25 PM,01:55 AM,07:07 AM,06:00 PM,16,22,24,22,55,85,72,0.2,1026,22,10,70,39,Miami(FL)
2018-01-27,24,22,0.0,10.9,6,71,02:15 PM,02:58 AM,07:07 AM,06:01 PM,18,25,25,23,47,54,73,0.1,1024,24,10,92,34,Miami(FL)
2018-01-28,24,23,0.0,10.1,5,78,03:13 PM,04:03 AM,07:06 AM,06:02 PM,20,26,26,24,39,51,79,0.2,1020,24,10,119,27,Miami(FL)
2018-01-29,25,23,0.0,11.0,6,86,04:15 PM,05:06 AM,07:06 AM,06:02 PM,20,26,26,24,33,39,81,0.6,1015,25,10,222,22,Miami(FL)
2018-01-30,20,17,0.0,11.0,5,93,05:21 PM,06:07 AM,07:05 AM,06:03 PM,13,19,19,19,38,40,70,0.1,1020,20,10,226,30,Miami(FL)
2018-01-31,20,16,0.0,11.0,5,97,06:27 PM,07:04 AM,07:05 AM,06:04 PM,12,19,19,19,31,41,65,0.1,1023,20,10,52,24,Miami(FL)
2018-02-01,22,20,0.0,11.0,6,88,07:33 PM,07:56 AM,07:05 AM,06:05 PM,15,21,23,21,21,28,68,0.0,1022,22,10,99,15,Miami(FL)
2018-02-02,24,21,0.0,8.6,5,81,08:36 PM,08:42 AM,07:04 AM,06:05 PM,17,25,25,22,14,43,72,0.0,1021,24,10,166,9,Miami(FL)
2018-02-03,22,20,0.0,10.1,6,73,09:36 PM,09:25 AM,07:04 AM,06:06 PM,17,21,23,21,32,47,78,0.3,1022,22,10,62,23,Miami(FL)
2018-02-04,24,21,0.0,11.0,6,66,10:34 PM,10:04 AM,07:03 AM,06:07 PM,19,25,25,23,27,41,81,0.1,1019,24,10,148,19,Miami(FL)
2018-02-05,24,22,0.0,10.1,6,58,11:30 PM,10:42 AM,07:02 AM,06:07 PM,20,25,25,23,22,46,83,0.0,1020,24,10,143,16,Miami(FL)
2018-02-06,24,22,0.0,10.1,5,51,No moonrise,11:20 AM,07:02 AM,06:08 PM,20,25,25,23,27,58,81,0.0,1023,24,10,81,19,Miami(FL)
2018-02-07,25,23,0.0,10.1,6,43,12:23 AM,11:58 AM,07:01 AM,06:09 PM,20,26,26,24,26,42,81,0.1,1023,25,10,94,18,Miami(FL)
2018-02-08,25,23,0.0,11.1,6,36,01:17 AM,12:37 PM,07:01 AM,06:09 PM,21,26,26,24,21,14,81,0.1,1023,25,10,88,15,Miami(FL)
2018-02-09,25,23,0.0,11.1,6,28,02:09 AM,01:19 PM,07:00 AM,06:10 PM,20,26,26,24,29,39,80,0.0,1023,25,10,90,21,Miami(FL)
2018-02-10,25,23,0.0,11.5,6,20,03:00 AM,02:03 PM,06:59 AM,06:11 PM,20,26,26,24,29,26,77,0.1,1021,25,10,115,21,Miami(FL)
2018-02-11,26,24,0.0,11.5,7,13,03:50 AM,02:49 PM,06:59 AM,06:11 PM,21,27,27,25,35,29,79,0.1,1021,26,10,137,25,Miami(FL)
2018-02-12,26,24,0.0,11.5,7,5,04:38 AM,03:38 PM,06:58 AM,06:12 PM,21,27,27,25,26,20,77,0.1,1024,26,10,114,19,Miami(FL)
2018-02-13,26,24,0.0,11.6,6,0,05:24 AM,04:28 PM,06:57 AM,06:13 PM,20,27,27,25,26,16,75,0.0,1027,26,10,88,18,Miami(FL)
2018-02-14,25,24,0.0,11.6,6,0,06:07 AM,05:21 PM,06:57 AM,06:13 PM,18,26,26,24,25,15,70,0.0,1027,25,10,95,18,Miami(FL)
2018-02-15,25,23,0.0,11.6,6,0,06:49 AM,06:13 PM,06:56 AM,06:14 PM,17,26,26,24,14,9,62,0.0,1025,25,10,92,11,Miami(FL)
2018-02-16,26,22,0.0,11.6,6,2,07:28 AM,07:07 PM,06:55 AM,06:15 PM,17,26,26,25,12,0,63,0.0,1023,26,10,170,9,Miami(FL)
2018-02-17,26,22,0.0,11.6,6,10,08:06 AM,08:02 PM,06:54 AM,06:15 PM,19,27,27,25,11,10,70,0.1,1022,26,10,156,9,Miami(FL)
2018-02-18,25,23,0.0,11.6,6,17,08:43 AM,08:56 PM,06:53 AM,06:16 PM,19,26,26,24,17,23,71,0.2,1023,25,10,99,12,Miami(FL)
2018-02-19,26,24,0.0,10.2,6,25,09:20 AM,09:52 PM,06:53 AM,06:17 PM,20,26,26,25,36,45,75,0.2,1024,26,10,93,26,Miami(FL)
2018-02-20,26,24,0.0,11.6,7,32,09:58 AM,10:49 PM,06:52 AM,06:17 PM,21,27,27,25,38,38,76,0.0,1025,26,10,105,27,Miami(FL)
2018-02-21,26,25,0.0,11.6,7,40,10:38 AM,11:48 PM,06:51 AM,06:18 PM,20,27,27,25,37,29,74,0.1,1027,26,10,95,27,Miami(FL)
2018-02-22,26,24,0.0,11.6,6,47,11:21 AM,No moonset,06:50 AM,06:18 PM,20,27,27,25,34,32,74,0.2,1026,26,10,90,25,Miami(FL)
2018-02-23,26,24,0.0,11.6,6,55,12:08 PM,12:48 AM,06:49 AM,06:19 PM,20,27,27,25,34,27,73,0.3,1025,26,10,94,25,Miami(FL)
2018-02-24,26,24,0.0,11.6,6,62,01:01 PM,01:50 AM,06:48 AM,06:20 PM,20,26,26,25,30,29,73,0.2,1022,26,10,108,22,Miami(FL)
2018-02-25,26,24,0.0,11.6,6,70,01:59 PM,02:52 AM,06:48 AM,06:20 PM,19,27,27,25,23,21,71,0.4,1021,26,10,126,17,Miami(FL)
2018-02-26,26,24,0.0,11.6,6,77,03:01 PM,03:52 AM,06:47 AM,06:21 PM,19,27,27,25,19,20,71,0.0,1021,26,10,155,14,Miami(FL)
2018-02-27,26,23,0.0,11.6,6,85,04:05 PM,04:49 AM,06:46 AM,06:21 PM,20,27,27,25,15,21,73,0.1,1021,26,10,170,12,Miami(FL)
2018-02-28,25,24,0.0,11.6,6,93,05:11 PM,05:42 AM,06:45 AM,06:22 PM,19,26,26,24,25,31,71,0.2,1019,25,10,83,18,Miami(FL)
2018-03-01,27,23,0.0,11.6,6,96,06:15 PM,06:30 AM,06:44 AM,06:22 PM,19,26,26,25,18,7,68,0.0,1017,27,10,176,13,Miami(FL)
2018-03-02,27,22,0.0,11.6,6,100,07:17 PM,07:15 AM,06:43 AM,06:23 PM,19,27,27,25,16,12,71,0.3,1018,27,10,204,12,Miami(FL)
2018-03-03,24,20,0.0,11.6,6,89,08:17 PM,07:56 AM,06:42 AM,06:23 PM,11,24,24,22,31,2,47,0.0,1018,24,10,224,24,Miami(FL)
2018-03-04,23,18,0.0,11.6,6,82,09:15 PM,08:35 AM,06:41 AM,06:24 PM,11,20,21,20,32,2,55,0.1,1018,23,10,224,25,Miami(FL)
2018-03-05,22,18,0.0,11.6,6,74,10:11 PM,09:14 AM,06:40 AM,06:24 PM,12,20,22,20,20,6,57,0.1,1018,22,10,129,15,Miami(FL)
2018-03-06,23,20,0.0,11.6,6,67,11:06 PM,09:53 AM,06:39 AM,06:25 PM,14,23,25,23,17,15,58,0.0,1017,23,10,179,14,Miami(FL)
2018-03-07,25,22,0.0,8.8,6,60,12:00 AM,10:32 AM,06:38 AM,06:25 PM,17,25,25,23,29,41,68,0.5,1015,25,10,247,21,Miami(FL)
2018-03-08,22,16,0.0,11.6,5,53,No moonrise,11:14 AM,06:37 AM,06:26 PM,9,19,19,19,29,9,52,0.0,1017,22,10,312,23,Miami(FL)
2018-03-09,20,14,0.0,11.6,5,45,12:52 AM,11:57 AM,06:36 AM,06:27 PM,8,17,18,17,24,19,55,0.0,1020,20,10,157,20,Miami(FL)
2018-03-10,23,19,0.0,7.4,6,38,01:43 AM,12:43 PM,06:35 AM,06:27 PM,15,21,23,21,24,45,67,0.9,1018,23,10,101,18,Miami(FL)
2018-03-11,27,22,0.0,11.6,6,31,02:32 AM,01:31 PM,06:34 AM,06:28 PM,20,27,27,25,26,31,76,0.9,1013,27,10,192,18,Miami(FL)
2018-03-12,26,21,0.0,11.6,6,24,03:19 AM,02:20 PM,06:33 AM,06:28 PM,18,26,26,24,35,28,72,1.0,1012,26,10,257,26,Miami(FL)
2018-03-13,21,14,0.0,11.6,5,16,04:03 AM,03:12 PM,06:32 AM,06:28 PM,10,18,19,18,20,2,58,0.0,1017,21,10,176,17,Miami(FL)
2018-03-14,22,16,0.0,11.6,5,9,04:45 AM,04:05 PM,06:31 AM,06:29 PM,7,19,19,19,23,7,46,0.0,1018,22,10,332,17,Miami(FL)
2018-03-15,21,15,0.0,11.6,5,2,05:26 AM,04:59 PM,06:30 AM,06:29 PM,7,19,20,19,17,0,46,0.0,1021,21,10,173,14,Miami(FL)
2018-03-16,23,18,0.0,11.6,6,0,06:04 AM,05:54 PM,06:29 AM,06:30 PM,12,23,25,23,9,0,51,0.0,1020,23,10,192,7,Miami(FL)
2018-03-17,25,21,0.0,11.6,6,0,06:41 AM,06:49 PM,06:28 AM,06:30 PM,16,25,25,23,13,3,63,0.0,1018,25,10,156,10,Miami(FL)
