date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-16,-22,0.0,8.7,2,97,04:25 PM,06:37 AM,07:23 AM,04:27 PM,-22,-29,-19,-29,23,6,80,0.0,1041,-16,10,290,17,Milwaukee(WI)
2018-01-02,-13,-19,0.0,6.9,2,100,05:32 PM,07:41 AM,07:23 AM,04:28 PM,-21,-26,-16,-26,30,35,70,0.0,1032,-13,10,252,20,Milwaukee(WI)
2018-01-03,-11,-14,0.0,3.4,1,89,06:44 PM,08:36 AM,07:23 AM,04:29 PM,-15,-20,-12,-20,24,83,81,0.0,1020,-11,10,291,17,Milwaukee(WI)
2018-01-04,-13,-18,0.0,8.7,2,81,07:57 PM,09:23 AM,07:23 AM,04:30 PM,-19,-24,-16,-24,22,2,76,0.0,1028,-13,10,328,15,Milwaukee(WI)
2018-01-05,-14,-18,0.0,8.7,2,74,09:08 PM,10:02 AM,07:23 AM,04:31 PM,-19,-24,-16,-24,22,10,75,0.0,1032,-14,10,326,15,Milwaukee(WI)
2018-01-06,-12,-18,0.0,8.7,2,67,10:16 PM,10:36 AM,07:23 AM,04:32 PM,-19,-21,-15,-21,15,20,70,0.0,1036,-12,10,285,10,Milwaukee(WI)
2018-01-07,-2,-14,0.0,3.4,1,59,11:22 PM,11:07 AM,07:23 AM,04:33 PM,-11,-15,-8,-15,30,94,74,0.0,1020,-2,10,210,20,Milwaukee(WI)
2018-01-08,1,-3,0.0,6.9,2,52,No moonrise,11:37 AM,07:23 AM,04:34 PM,-3,-6,-1,-6,26,58,87,0.0,1015,1,9,258,16,Milwaukee(WI)
2018-01-09,0,-4,0.0,8.7,2,45,12:25 AM,12:05 PM,07:23 AM,04:35 PM,-3,-5,-2,-5,15,38,88,0.0,1024,0,10,203,9,Milwaukee(WI)
2018-01-10,7,-2,0.0,3.4,1,38,01:27 AM,12:34 PM,07:22 AM,04:36 PM,2,-2,2,-2,29,92,93,0.0,1011,7,10,189,16,Milwaukee(WI)
2018-01-11,10,-3,0.0,3.4,2,30,02:27 AM,01:05 PM,07:22 AM,04:38 PM,5,3,7,3,28,98,91,0.1,1007,10,8,238,17,Milwaukee(WI)
2018-01-12,-4,-10,0.0,8.7,2,23,03:26 AM,01:39 PM,07:22 AM,04:39 PM,-14,-15,-7,-15,29,61,57,0.0,1024,-4,10,259,23,Milwaukee(WI)
2018-01-13,-11,-15,0.0,8.7,2,16,04:22 AM,02:16 PM,07:21 AM,04:40 PM,-21,-19,-13,-19,18,1,49,0.0,1037,-11,10,318,14,Milwaukee(WI)
2018-01-14,-8,-15,0.0,7.0,1,9,05:16 AM,02:58 PM,07:21 AM,04:41 PM,-19,-16,-11,-16,16,54,52,0.0,1035,-8,10,211,12,Milwaukee(WI)
2018-01-15,-5,-9,0.2,3.5,1,1,06:07 AM,03:45 PM,07:20 AM,04:42 PM,-8,-11,-7,-11,14,100,90,0.3,1024,-5,8,201,10,Milwaukee(WI)
2018-01-16,-6,-9,0.0,5.2,1,0,06:53 AM,04:36 PM,07:20 AM,04:43 PM,-10,-14,-8,-14,21,72,86,0.0,1033,-6,10,286,14,Milwaukee(WI)
2018-01-17,-6,-14,0.0,8.7,2,0,07:36 AM,05:31 PM,07:19 AM,04:45 PM,-13,-18,-10,-18,32,25,79,0.0,1031,-6,10,256,20,Milwaukee(WI)
2018-01-18,-1,-8,0.0,8.7,2,6,08:13 AM,06:28 PM,07:19 AM,04:46 PM,-8,-12,-5,-12,34,16,76,0.0,1018,-1,10,243,22,Milwaukee(WI)
2018-01-19,3,-4,0.0,8.7,2,13,08:47 AM,07:28 PM,07:18 AM,04:47 PM,-4,-6,-0,-6,34,16,78,0.0,1010,3,10,231,20,Milwaukee(WI)
