date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,31,24,0.0,10.2,7,97,06:01 PM,05:16 AM,06:14 AM,06:35 PM,22,29,29,27,21,39,77,0.1,1009,31,10,121,16,Mombasa
2018-01-02,32,23,0.0,11.6,7,100,07:05 PM,06:20 AM,06:15 AM,06:36 PM,23,30,30,27,17,36,79,0.6,1008,32,10,120,12,Mombasa
2018-01-03,32,24,0.0,11.6,7,89,08:07 PM,07:24 AM,06:15 AM,06:36 PM,22,30,30,27,23,44,76,2.1,1008,32,10,159,17,Mombasa
2018-01-04,30,25,0.0,11.6,7,81,09:05 PM,08:25 AM,06:15 AM,06:37 PM,23,30,30,27,14,61,78,5.9,1010,30,10,128,10,Mombasa
2018-01-05,30,24,0.0,11.6,7,74,09:59 PM,09:24 AM,06:16 AM,06:37 PM,23,30,30,27,16,34,79,0.7,1010,30,10,42,12,Mombasa
2018-01-06,30,24,0.0,11.6,7,67,10:49 PM,10:18 AM,06:16 AM,06:37 PM,22,28,28,26,20,20,77,0.0,1009,30,10,75,14,Mombasa
2018-01-07,31,23,0.0,11.6,7,59,11:37 PM,11:10 AM,06:17 AM,06:38 PM,21,29,29,27,21,23,74,0.0,1010,31,10,156,15,Mombasa
2018-01-08,31,23,0.0,11.6,7,52,No moonrise,11:58 AM,06:17 AM,06:38 PM,21,29,29,27,23,16,74,0.0,1010,31,10,115,16,Mombasa
2018-01-09,31,24,0.0,10.2,7,45,12:21 AM,12:45 PM,06:18 AM,06:39 PM,21,29,29,27,23,25,72,0.0,1011,31,10,117,17,Mombasa
2018-01-10,31,24,0.0,10.2,7,38,01:05 AM,01:31 PM,06:18 AM,06:39 PM,22,29,29,26,25,42,76,0.0,1011,31,10,77,18,Mombasa
2018-01-11,30,24,0.0,10.2,7,30,01:49 AM,02:17 PM,06:19 AM,06:39 PM,21,28,28,26,22,32,73,0.0,1012,30,10,124,16,Mombasa
2018-01-12,29,24,0.0,10.2,6,23,02:32 AM,03:03 PM,06:19 AM,06:40 PM,21,28,28,26,20,48,74,0.1,1012,29,10,47,15,Mombasa
2018-01-13,30,23,0.0,10.2,7,16,03:18 AM,03:51 PM,06:20 AM,06:40 PM,20,28,28,26,22,23,72,0.0,1012,30,10,83,16,Mombasa
2018-01-14,31,22,0.0,11.6,7,9,04:04 AM,04:38 PM,06:20 AM,06:40 PM,20,28,28,26,23,17,73,0.0,1011,31,10,76,16,Mombasa
2018-01-15,30,22,0.0,11.6,7,1,04:51 AM,05:26 PM,06:21 AM,06:40 PM,21,28,28,26,22,24,74,0.0,1011,30,10,75,16,Mombasa
2018-01-16,30,22,0.0,10.2,7,0,05:39 AM,06:14 PM,06:21 AM,06:41 PM,22,29,29,26,23,26,78,0.0,1011,30,10,121,17,Mombasa
2018-01-17,30,23,0.0,10.2,7,0,06:27 AM,07:01 PM,06:21 AM,06:41 PM,22,28,28,26,21,43,78,0.0,1010,30,10,79,16,Mombasa
2018-01-18,31,24,0.0,10.2,7,6,07:15 AM,07:48 PM,06:22 AM,06:41 PM,22,29,29,26,20,41,78,0.0,1010,31,10,82,15,Mombasa
2018-01-19,30,24,0.0,10.2,7,13,08:03 AM,08:33 PM,06:22 AM,06:41 PM,21,29,29,26,23,43,76,0.0,1010,30,10,32,17,Mombasa
2018-01-20,31,23,0.0,10.2,7,20,08:49 AM,09:17 PM,06:23 AM,06:42 PM,22,29,29,26,23,36,77,0.0,1011,31,10,75,17,Mombasa
2018-01-21,31,24,0.0,10.2,7,28,09:36 AM,10:01 PM,06:23 AM,06:42 PM,22,29,29,27,19,32,77,0.1,1011,31,10,39,14,Mombasa
2018-01-22,30,24,0.0,10.2,7,35,10:22 AM,10:45 PM,06:23 AM,06:42 PM,21,28,28,26,23,41,77,0.1,1011,30,10,39,16,Mombasa
2018-01-23,30,23,0.0,10.2,7,42,11:09 AM,11:30 PM,06:24 AM,06:42 PM,21,28,28,26,19,32,77,0.0,1011,30,10,86,14,Mombasa
2018-01-24,30,22,0.0,10.2,7,49,11:58 AM,No moonset,06:24 AM,06:42 PM,21,28,28,26,16,36,75,0.0,1011,30,10,87,12,Mombasa
2018-01-25,31,22,0.0,11.6,7,57,12:48 PM,12:17 AM,06:24 AM,06:43 PM,21,28,28,26,17,24,76,0.0,1010,31,10,170,13,Mombasa
2018-01-26,31,23,0.0,11.6,7,64,01:43 PM,01:07 AM,06:25 AM,06:43 PM,22,29,29,26,15,27,76,0.0,1010,31,10,173,11,Mombasa
2018-01-27,30,23,0.0,11.6,7,71,02:40 PM,02:00 AM,06:25 AM,06:43 PM,22,29,29,26,13,34,77,0.0,1011,30,10,117,10,Mombasa
2018-01-28,30,23,0.0,10.2,7,78,03:40 PM,02:57 AM,06:25 AM,06:43 PM,21,29,29,26,13,38,75,0.0,1011,30,10,111,9,Mombasa
2018-01-29,31,22,0.0,11.6,7,86,04:42 PM,03:58 AM,06:25 AM,06:43 PM,22,29,29,26,15,21,76,0.0,1010,31,10,176,11,Mombasa
2018-01-30,31,24,0.0,11.6,7,93,05:45 PM,05:01 AM,06:26 AM,06:43 PM,22,30,30,27,16,37,74,0.0,1010,31,10,91,12,Mombasa
2018-01-31,30,25,0.0,10.2,7,97,06:45 PM,06:03 AM,06:26 AM,06:43 PM,22,29,29,27,18,47,74,0.1,1012,30,10,54,14,Mombasa
2018-02-01,29,23,0.0,8.8,6,88,07:43 PM,07:04 AM,06:26 AM,06:43 PM,21,28,28,26,19,45,77,0.0,1012,29,10,44,13,Mombasa
2018-02-02,30,23,0.0,10.2,6,81,08:36 PM,08:02 AM,06:26 AM,06:43 PM,22,29,29,26,19,46,77,0.1,1012,30,10,39,14,Mombasa
2018-02-03,31,23,0.0,10.2,7,73,09:26 PM,08:57 AM,06:27 AM,06:43 PM,21,29,29,26,19,34,76,0.0,1012,31,10,81,14,Mombasa
2018-02-04,32,23,0.0,10.2,7,66,10:14 PM,09:48 AM,06:27 AM,06:43 PM,22,29,29,27,19,34,75,0.0,1011,32,10,76,14,Mombasa
2018-02-05,31,24,0.0,10.2,7,58,10:59 PM,10:37 AM,06:27 AM,06:43 PM,22,29,29,27,24,41,76,0.1,1011,31,10,34,17,Mombasa
2018-02-06,31,24,0.0,10.2,7,51,11:44 PM,11:25 AM,06:27 AM,06:43 PM,21,29,29,27,26,41,73,0.1,1011,31,10,38,19,Mombasa
2018-02-07,30,24,0.0,10.2,7,43,No moonrise,12:12 PM,06:27 AM,06:43 PM,21,29,29,26,27,32,73,0.0,1011,30,10,40,20,Mombasa
2018-02-08,29,23,0.0,10.2,7,36,12:29 AM,12:59 PM,06:27 AM,06:43 PM,21,28,28,25,21,42,76,0.0,1012,29,10,41,15,Mombasa
2018-02-09,30,23,0.0,10.2,7,28,01:14 AM,01:46 PM,06:28 AM,06:43 PM,21,28,28,26,17,37,76,0.0,1011,30,10,91,12,Mombasa
2018-02-10,29,23,0.0,8.8,6,20,02:00 AM,02:33 PM,06:28 AM,06:43 PM,22,28,28,26,15,46,77,0.1,1011,29,10,59,11,Mombasa
2018-02-11,30,23,0.0,10.2,7,13,02:47 AM,03:22 PM,06:28 AM,06:43 PM,21,29,29,26,14,42,75,0.0,1013,30,10,58,10,Mombasa
2018-02-12,31,24,0.0,10.2,7,5,03:35 AM,04:09 PM,06:28 AM,06:43 PM,22,29,29,27,13,38,75,0.1,1014,31,10,111,9,Mombasa
2018-02-13,31,24,0.0,10.2,7,0,04:22 AM,04:57 PM,06:28 AM,06:43 PM,22,30,30,27,12,35,74,0.0,1015,31,10,118,9,Mombasa
2018-02-14,31,24,0.0,11.6,7,0,05:11 AM,05:44 PM,06:28 AM,06:42 PM,23,31,31,27,14,21,76,4.7,1014,31,10,80,10,Mombasa
2018-02-15,30,25,0.0,10.2,6,0,05:59 AM,06:30 PM,06:28 AM,06:42 PM,22,31,31,28,15,44,74,0.8,1014,30,10,75,11,Mombasa
2018-02-16,30,24,0.0,10.2,6,2,06:46 AM,07:15 PM,06:28 AM,06:42 PM,22,29,29,27,16,39,76,0.0,1014,30,10,63,12,Mombasa
2018-02-17,30,24,0.0,10.2,7,10,07:34 AM,08:00 PM,06:28 AM,06:42 PM,22,30,30,27,12,37,73,0.0,1013,30,10,75,9,Mombasa
2018-02-18,31,24,0.0,10.2,7,17,08:20 AM,08:44 PM,06:28 AM,06:42 PM,22,30,30,27,13,28,75,0.0,1011,31,10,92,10,Mombasa
2018-02-19,31,24,0.0,10.2,7,25,09:08 AM,09:29 PM,06:28 AM,06:42 PM,22,31,31,28,12,29,74,0.0,1010,31,10,136,9,Mombasa
2018-02-20,32,24,0.0,10.2,7,32,09:56 AM,10:15 PM,06:28 AM,06:41 PM,23,31,31,28,11,32,74,0.0,1009,32,10,122,8,Mombasa
2018-02-21,32,25,0.0,11.6,7,40,10:45 AM,11:03 PM,06:28 AM,06:41 PM,23,32,32,28,14,32,76,0.0,1008,32,10,127,10,Mombasa
2018-02-22,32,25,0.0,10.2,7,47,11:37 AM,11:54 PM,06:28 AM,06:41 PM,22,31,31,28,16,34,73,0.0,1008,32,10,65,12,Mombasa
2018-02-23,31,26,0.0,10.2,7,55,12:31 PM,No moonset,06:28 AM,06:41 PM,22,31,31,28,16,39,73,0.0,1008,31,10,55,12,Mombasa
2018-02-24,32,25,0.0,10.2,6,62,01:29 PM,12:48 AM,06:28 AM,06:40 PM,23,31,31,28,14,39,76,0.0,1010,32,10,63,10,Mombasa
2018-02-25,32,25,0.0,10.2,7,70,02:28 PM,01:45 AM,06:28 AM,06:40 PM,23,31,31,28,13,29,73,0.0,1010,32,10,115,10,Mombasa
