date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,24,19,0.0,11.3,6,97,07:38 PM,05:02 AM,05:35 AM,08:02 PM,14,21,22,21,28,49,65,0.0,1011,24,10,118,21,Montevideo
2018-01-02,28,17,0.0,14.5,6,100,08:38 PM,06:05 AM,05:36 AM,08:02 PM,13,23,23,23,18,7,58,0.0,1006,28,10,241,12,Montevideo
2018-01-03,29,20,0.0,14.5,6,89,09:33 PM,07:13 AM,05:37 AM,08:02 PM,13,25,25,24,18,6,49,1.4,1005,29,10,235,11,Montevideo
2018-01-04,33,23,0.0,14.5,7,81,10:20 PM,08:22 AM,05:37 AM,08:02 PM,14,29,29,28,37,6,43,0.0,1004,33,10,305,20,Montevideo
2018-01-05,27,21,0.0,14.5,6,74,11:02 PM,09:30 AM,05:38 AM,08:02 PM,15,26,26,25,27,27,57,0.2,1007,27,10,255,16,Montevideo
2018-01-06,24,19,0.0,14.5,6,67,11:39 PM,10:35 AM,05:39 AM,08:02 PM,9,21,22,21,27,3,47,0.3,1016,24,10,155,20,Montevideo
2018-01-07,28,17,0.0,14.5,6,59,No moonrise,11:39 AM,05:40 AM,08:02 PM,10,23,23,23,32,6,43,0.0,1017,28,10,233,22,Montevideo
2018-01-08,30,20,0.0,14.5,7,52,12:13 AM,12:38 PM,05:41 AM,08:02 PM,13,26,26,26,26,8,46,0.0,1018,30,10,271,15,Montevideo
2018-01-09,30,20,0.0,14.5,7,45,12:46 AM,01:37 PM,05:42 AM,08:02 PM,15,27,27,26,33,4,52,0.0,1019,30,10,51,22,Montevideo
2018-01-10,30,21,0.0,14.5,7,38,01:19 AM,02:33 PM,05:43 AM,08:02 PM,19,28,28,26,27,12,68,0.0,1017,30,10,75,18,Montevideo
2018-01-11,32,24,0.0,14.5,7,30,01:53 AM,03:29 PM,05:44 AM,08:02 PM,20,30,30,28,25,9,62,0.0,1014,32,10,65,15,Montevideo
2018-01-12,31,23,0.0,14.5,7,23,02:28 AM,04:23 PM,05:45 AM,08:02 PM,21,29,29,27,27,19,70,2.0,1010,31,10,59,17,Montevideo
2018-01-13,30,23,0.0,14.5,7,16,03:06 AM,05:17 PM,05:45 AM,08:01 PM,20,28,28,26,26,33,70,1.5,1007,30,10,88,18,Montevideo
2018-01-14,24,22,0.0,9.1,5,9,03:48 AM,06:08 PM,05:46 AM,08:01 PM,20,25,25,23,42,78,86,25.2,1008,24,9,130,29,Montevideo
2018-01-15,24,21,0.0,13.4,6,1,04:32 AM,06:57 PM,05:47 AM,08:01 PM,18,24,24,23,35,57,76,1.8,1010,24,10,155,26,Montevideo
