date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-20,-26,0.0,8.7,2,97,04:17 PM,06:45 AM,07:35 AM,04:21 PM,-25,-32,-24,-32,21,50,90,0.0,1028,-20,10,256,12,Montreal
2018-01-02,-10,-26,1.5,3.3,1,100,05:25 PM,07:49 AM,07:35 AM,04:22 PM,-20,-25,-19,-25,15,93,94,1.8,1023,-10,7,213,9,Montreal
2018-01-03,-7,-13,0.2,5.1,1,89,06:37 PM,08:43 AM,07:35 AM,04:23 PM,-12,-16,-10,-16,17,92,90,0.2,1020,-7,8,186,10,Montreal
2018-01-04,-8,-12,1.9,3.3,1,81,07:51 PM,09:29 AM,07:35 AM,04:24 PM,-11,-16,-10,-16,21,95,89,2.2,1008,-8,8,172,13,Montreal
2018-01-05,-12,-22,0.9,3.3,1,74,09:04 PM,10:07 AM,07:35 AM,04:25 PM,-20,-30,-18,-30,38,100,87,1.7,1003,-12,6,271,26,Montreal
2018-01-06,-20,-24,0.1,3.3,1,67,10:15 PM,10:40 AM,07:34 AM,04:26 PM,-24,-34,-22,-34,33,81,85,0.4,1020,-20,9,268,22,Montreal
2018-01-07,-12,-27,0.7,3.4,1,59,11:22 PM,11:10 AM,07:34 AM,04:28 PM,-21,-28,-20,-28,21,64,88,0.8,1029,-12,9,215,13,Montreal
2018-01-08,0,-11,2.4,3.4,1,52,No moonrise,11:38 AM,07:34 AM,04:29 PM,-6,-11,-5,-11,22,100,93,2.8,1013,0,7,186,14,Montreal
2018-01-09,-1,-10,0.0,8.7,2,45,12:27 AM,12:04 PM,07:34 AM,04:30 PM,-6,-9,-4,-9,25,45,85,0.0,1018,-1,10,275,15,Montreal
2018-01-10,-0,-13,0.0,8.7,2,38,01:31 AM,12:32 PM,07:33 AM,04:31 PM,-8,-11,-7,-11,14,39,89,0.2,1028,-0,9,174,8,Montreal
2018-01-11,4,1,0.0,3.4,1,30,02:32 AM,01:01 PM,07:33 AM,04:32 PM,2,-1,2,-1,24,100,99,5.0,1018,4,3,179,12,Montreal
2018-01-12,9,-4,3.4,3.4,2,23,03:32 AM,01:34 PM,07:32 AM,04:33 PM,5,2,6,2,32,100,95,23.3,1007,9,8,221,17,Montreal
2018-01-13,-8,-17,11.3,3.4,1,16,04:29 AM,02:10 PM,07:32 AM,04:35 PM,-13,-18,-12,-18,18,81,91,13.3,1020,-8,8,277,12,Montreal
2018-01-14,-17,-22,0.0,8.7,2,9,05:25 AM,02:51 PM,07:31 AM,04:36 PM,-19,-22,-18,-22,8,2,88,0.0,1041,-17,10,220,6,Montreal
2018-01-15,-15,-21,0.0,5.2,2,1,06:15 AM,03:38 PM,07:31 AM,04:37 PM,-19,-25,-18,-25,17,50,89,0.0,1042,-15,10,46,10,Montreal
2018-01-16,-9,-14,0.2,3.4,1,0,07:02 AM,04:29 PM,07:30 AM,04:39 PM,-13,-16,-12,-16,11,94,94,0.2,1031,-9,7,74,7,Montreal
2018-01-17,-8,-14,0.0,5.2,1,0,07:44 AM,05:24 PM,07:30 AM,04:40 PM,-11,-13,-10,-13,13,79,94,0.0,1025,-8,5,227,7,Montreal
2018-01-18,-4,-7,0.1,3.4,1,6,08:21 AM,06:23 PM,07:29 AM,04:41 PM,-7,-12,-6,-12,28,83,89,0.1,1014,-4,10,245,18,Montreal
2018-01-19,-1,-7,0.4,3.4,1,13,08:54 AM,07:24 PM,07:28 AM,04:43 PM,-5,-9,-4,-9,21,98,92,0.5,1011,-1,8,221,13,Montreal
2018-01-20,2,-2,0.3,3.4,1,20,09:24 AM,08:25 PM,07:27 AM,04:44 PM,-0,-4,1,-4,39,94,90,0.3,1005,2,10,250,23,Montreal
2018-01-21,-2,-5,0.3,5.2,1,28,09:52 AM,09:29 PM,07:27 AM,04:45 PM,-4,-4,-3,-4,7,95,91,0.3,1021,-2,9,78,4,Montreal
2018-01-22,-3,-9,6.2,3.5,1,35,10:18 AM,10:33 PM,07:26 AM,04:47 PM,-9,-14,-7,-14,28,95,86,7.3,1024,-3,8,47,19,Montreal
2018-01-23,2,-2,0.0,3.5,1,42,10:45 AM,11:40 PM,07:25 AM,04:48 PM,0,-2,1,-2,17,96,98,8.6,1004,2,6,137,10,Montreal
2018-01-24,1,-13,0.0,5.2,1,49,11:14 AM,No moonset,07:24 AM,04:49 PM,-11,-16,-9,-16,30,56,83,0.0,1013,1,10,265,19,Montreal
2018-01-25,-10,-17,0.0,8.7,2,57,11:46 AM,12:48 AM,07:23 AM,04:51 PM,-16,-21,-14,-21,24,7,82,0.0,1030,-10,10,268,14,Montreal
2018-01-26,-9,-18,0.0,7.0,2,64,12:22 PM,01:59 AM,07:22 AM,04:52 PM,-14,-16,-12,-16,11,20,88,0.0,1037,-9,10,147,6,Montreal
2018-01-27,3,-9,0.0,5.2,2,71,01:06 PM,03:11 AM,07:21 AM,04:54 PM,-3,-6,-1,-6,25,64,89,4.4,1021,3,6,179,13,Montreal
2018-01-28,2,-7,0.1,5.2,2,78,01:58 PM,04:21 AM,07:20 AM,04:55 PM,-2,-5,-0,-5,27,41,88,0.1,1023,2,10,241,15,Montreal
2018-01-29,-9,-14,0.0,7.0,2,86,02:59 PM,05:27 AM,07:19 AM,04:57 PM,-13,-17,-11,-17,20,29,88,0.0,1029,-9,10,34,13,Montreal
2018-01-30,-9,-13,0.0,3.5,1,93,04:08 PM,06:26 AM,07:18 AM,04:58 PM,-13,-18,-12,-18,20,79,88,0.0,1021,-9,10,94,13,Montreal
2018-01-31,-6,-18,2.6,5.4,1,97,05:22 PM,07:17 AM,07:17 AM,05:00 PM,-14,-18,-12,-18,16,63,88,3.0,1019,-6,8,211,10,Montreal
2018-02-01,2,-7,0.3,5.4,1,88,06:37 PM,08:00 AM,07:16 AM,05:01 PM,-4,-6,-2,-6,21,83,87,0.3,1008,2,10,197,12,Montreal
2018-02-02,-10,-18,0.0,3.7,1,81,07:52 PM,08:36 AM,07:14 AM,05:03 PM,-17,-22,-15,-22,21,81,81,0.0,1019,-10,10,289,14,Montreal
2018-02-03,-9,-21,0.2,3.7,1,73,09:03 PM,09:08 AM,07:13 AM,05:04 PM,-16,-20,-14,-20,14,96,89,0.2,1023,-9,9,208,9,Montreal
2018-02-04,1,-7,4.9,3.7,1,66,10:11 PM,09:38 AM,07:12 AM,05:06 PM,-4,-8,-3,-8,28,100,90,5.7,1013,1,6,173,18,Montreal
2018-02-05,-1,-13,0.4,8.7,2,58,11:17 PM,10:05 AM,07:10 AM,05:07 PM,-10,-15,-8,-15,25,61,86,0.5,1014,-1,9,250,16,Montreal
2018-02-06,-5,-13,0.5,5.4,1,51,No moonrise,10:33 AM,07:09 AM,05:08 PM,-10,-14,-9,-14,20,73,88,0.7,1026,-5,8,233,13,Montreal
2018-02-07,-8,-15,3.4,3.8,1,43,12:21 AM,11:03 AM,07:08 AM,05:10 PM,-12,-16,-11,-16,14,100,95,4.0,1026,-8,5,105,9,Montreal
2018-02-08,-9,-17,0.1,7.1,2,36,01:23 AM,11:35 AM,07:06 AM,05:11 PM,-14,-18,-13,-18,18,46,91,0.1,1026,-9,9,242,10,Montreal
2018-02-09,-8,-17,0.2,5.4,1,28,02:21 AM,12:09 PM,07:05 AM,05:13 PM,-13,-16,-11,-16,15,81,91,0.2,1029,-8,8,198,9,Montreal
