date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,8,3,0.0,8.7,2,97,05:09 PM,07:09 AM,08:20 AM,05:35 PM,-4,5,5,5,5,30,50,0.2,1013,8,10,85,3,Mosul
2018-01-02,3,0,0.0,5.2,1,100,06:13 PM,08:15 AM,08:20 AM,05:36 PM,-1,2,2,2,4,58,81,6.5,1012,3,9,213,3,Mosul
2018-01-03,3,-1,0.0,8.7,2,89,07:23 PM,09:14 AM,08:20 AM,05:37 PM,-2,1,1,1,4,19,77,0.3,1017,3,10,133,3,Mosul
2018-01-04,6,-2,0.0,8.7,2,81,08:35 PM,10:04 AM,08:20 AM,05:37 PM,-5,2,2,2,4,12,58,0.0,1015,6,10,139,3,Mosul
2018-01-05,4,-2,0.0,8.7,2,74,09:46 PM,10:47 AM,08:20 AM,05:38 PM,-5,1,1,1,4,30,64,1.3,1012,4,9,219,3,Mosul
2018-01-06,3,-1,0.0,8.7,1,67,10:55 PM,11:25 AM,08:20 AM,05:39 PM,-3,1,1,1,5,30,73,1.3,1018,3,10,115,3,Mosul
2018-01-07,3,-2,0.0,8.7,2,59,No moonrise,11:57 AM,08:20 AM,05:40 PM,-4,1,1,1,5,10,70,0.2,1029,3,10,124,3,Mosul
2018-01-08,6,-2,0.0,8.7,2,52,12:00 AM,12:28 PM,08:20 AM,05:41 PM,-5,1,2,1,7,10,60,0.0,1029,6,10,174,4,Mosul
2018-01-09,3,-2,0.0,8.7,2,45,01:04 AM,12:57 PM,08:19 AM,05:42 PM,-6,0,1,0,6,27,60,1.0,1024,3,10,125,4,Mosul
2018-01-10,-2,-7,0.0,8.7,2,38,02:05 AM,01:27 PM,08:19 AM,05:43 PM,-9,-6,-4,-6,8,10,65,0.8,1029,-2,10,120,6,Mosul
2018-01-11,1,-7,0.0,8.7,2,30,03:04 AM,01:58 PM,08:19 AM,05:44 PM,-10,-3,-3,-3,4,24,56,0.0,1026,1,10,188,3,Mosul
