date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,22,0.0,11.0,6,97,05:37 PM,06:03 AM,07:12 AM,06:12 PM,17,29,29,28,11,1,53,0.0,1011,28,10,220,9,Mumbai
2018-01-02,28,21,0.0,11.0,6,100,06:41 PM,07:08 AM,07:12 AM,06:13 PM,17,30,30,29,10,0,51,0.0,1011,28,10,134,9,Mumbai
2018-01-03,29,22,0.0,11.0,7,89,07:46 PM,08:09 AM,07:13 AM,06:14 PM,18,31,31,29,9,1,54,0.0,1012,29,10,142,8,Mumbai
2018-01-04,29,23,0.0,11.0,7,81,08:50 PM,09:07 AM,07:13 AM,06:14 PM,18,29,29,28,10,3,56,0.0,1013,29,10,174,9,Mumbai
2018-01-05,28,22,0.0,11.0,7,74,09:52 PM,09:59 AM,07:13 AM,06:15 PM,17,28,28,27,12,3,54,0.0,1012,28,10,135,10,Mumbai
2018-01-06,28,23,0.0,11.0,6,67,10:50 PM,10:47 AM,07:13 AM,06:16 PM,15,28,28,27,11,5,47,0.0,1012,28,10,135,10,Mumbai
2018-01-07,27,22,0.0,11.0,6,59,11:46 PM,11:30 AM,07:14 AM,06:16 PM,14,27,27,27,14,0,46,0.0,1013,27,10,178,12,Mumbai
2018-01-08,27,21,0.0,11.0,6,52,No moonrise,12:11 PM,07:14 AM,06:17 PM,16,27,27,26,10,3,52,0.0,1013,27,10,213,9,Mumbai
2018-01-09,29,22,0.0,11.0,7,45,12:38 AM,12:50 PM,07:14 AM,06:17 PM,17,28,28,27,10,5,55,0.0,1015,29,10,142,8,Mumbai
2018-01-10,30,23,0.0,11.0,7,38,01:30 AM,01:29 PM,07:14 AM,06:18 PM,17,29,29,28,11,6,51,0.0,1015,30,10,159,8,Mumbai
2018-01-11,31,25,0.0,11.1,7,30,02:20 AM,02:08 PM,07:14 AM,06:19 PM,18,30,30,28,11,12,55,0.0,1014,31,10,150,8,Mumbai
2018-01-12,31,25,0.0,11.0,7,23,03:11 AM,02:49 PM,07:15 AM,06:19 PM,20,31,31,29,10,12,58,0.0,1013,31,10,143,7,Mumbai
