date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,12,4,0.0,8.7,3,97,04:30 PM,05:45 AM,07:06 AM,05:11 PM,-3,6,8,6,18,16,49,0.0,1026,12,10,110,12,Nanjing
2018-01-02,10,7,0.0,5.4,3,100,05:34 PM,06:51 AM,07:06 AM,05:12 PM,5,7,9,7,16,72,75,0.4,1025,10,9,76,11,Nanjing
2018-01-03,8,1,0.0,3.8,1,89,06:41 PM,07:52 AM,07:06 AM,05:13 PM,2,0,5,0,36,100,84,10.6,1032,8,8,50,25,Nanjing
2018-01-04,1,0,0.5,3.8,1,81,07:49 PM,08:47 AM,07:06 AM,05:14 PM,0,-4,1,-4,28,100,97,5.8,1028,1,8,45,18,Nanjing
2018-01-05,1,-1,0.1,7.1,1,74,08:56 PM,09:36 AM,07:06 AM,05:14 PM,-1,-3,-0,-3,13,60,94,0.1,1028,1,7,134,9,Nanjing
2018-01-06,4,-1,0.0,8.7,1,67,10:00 PM,10:18 AM,07:06 AM,05:15 PM,-1,-1,2,-1,18,56,83,0.0,1025,4,10,65,13,Nanjing
2018-01-07,5,2,0.0,3.8,1,59,11:02 PM,10:57 AM,07:07 AM,05:16 PM,2,1,4,1,18,100,90,1.1,1020,5,9,206,13,Nanjing
2018-01-08,3,-1,0.0,8.7,2,52,No moonrise,11:33 AM,07:07 AM,05:17 PM,-4,-4,1,-4,31,30,72,0.0,1024,3,10,291,22,Nanjing
2018-01-09,5,-2,0.0,8.7,2,45,12:00 AM,12:07 PM,07:07 AM,05:18 PM,-5,-3,1,-3,25,0,62,0.0,1026,5,10,273,16,Nanjing
2018-01-10,4,-1,0.0,8.7,2,38,12:57 AM,12:41 PM,07:07 AM,05:19 PM,-5,-2,1,-2,15,2,63,0.0,1030,4,10,295,11,Nanjing
2018-01-11,4,-2,0.0,8.7,2,30,01:53 AM,01:16 PM,07:07 AM,05:19 PM,-6,-0,2,-0,11,3,54,0.0,1034,4,10,294,8,Nanjing
2018-01-12,1,-4,0.0,8.7,2,23,02:47 AM,01:52 PM,07:06 AM,05:20 PM,-13,-0,1,-0,6,0,34,0.0,1036,1,10,110,5,Nanjing
2018-01-13,6,-2,0.0,5.4,2,16,03:41 AM,02:31 PM,07:06 AM,05:21 PM,-10,1,3,1,13,42,38,0.0,1032,6,10,127,9,Nanjing
2018-01-14,11,2,0.0,8.7,3,9,04:33 AM,03:13 PM,07:06 AM,05:22 PM,-5,5,6,5,12,26,45,0.0,1025,11,10,161,8,Nanjing
2018-01-15,15,4,0.0,8.7,3,1,05:24 AM,03:58 PM,07:06 AM,05:23 PM,-2,9,10,9,13,28,44,0.0,1022,15,10,101,8,Nanjing
2018-01-16,9,5,0.0,5.4,2,0,06:13 AM,04:47 PM,07:06 AM,05:24 PM,4,6,7,6,10,75,78,1.4,1018,9,10,293,7,Nanjing
2018-01-17,10,3,0.0,8.7,3,0,06:59 AM,05:38 PM,07:06 AM,05:25 PM,3,7,8,7,6,5,73,0.0,1020,10,10,193,5,Nanjing
2018-01-18,10,4,0.0,8.7,3,6,07:42 AM,06:31 PM,07:05 AM,05:26 PM,3,6,7,6,12,21,75,0.0,1025,10,10,59,9,Nanjing
2018-01-19,7,5,0.0,7.1,2,13,08:21 AM,07:25 PM,07:05 AM,05:27 PM,3,6,7,6,6,48,78,0.1,1025,7,10,135,4,Nanjing
2018-01-20,10,4,0.0,8.7,3,20,08:58 AM,08:20 PM,07:05 AM,05:27 PM,3,7,8,7,8,19,72,0.0,1023,10,10,75,6,Nanjing
2018-01-21,9,5,0.0,3.8,2,28,09:34 AM,09:16 PM,07:04 AM,05:28 PM,2,6,7,6,10,91,73,0.5,1021,9,9,76,7,Nanjing
2018-01-22,10,4,0.0,8.7,3,35,10:08 AM,10:13 PM,07:04 AM,05:29 PM,3,7,8,7,11,4,74,0.0,1021,10,10,212,8,Nanjing
2018-01-23,5,1,0.0,3.8,1,42,10:42 AM,11:11 PM,07:04 AM,05:30 PM,-1,-0,4,-0,21,69,71,0.0,1026,5,10,51,16,Nanjing
2018-01-24,2,-1,0.0,7.1,2,49,11:17 AM,No moonset,07:03 AM,05:31 PM,-8,-5,0,-5,26,59,53,0.0,1029,2,10,68,19,Nanjing
2018-01-25,-1,-3,1.7,3.9,1,57,11:54 AM,12:10 AM,07:03 AM,05:32 PM,-3,-8,-2,-8,32,100,91,3.2,1031,-1,7,52,22,Nanjing
