date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,14,12,0.0,6.9,4,97,04:25 PM,06:23 AM,07:28 AM,04:46 PM,9,11,13,11,30,48,78,1.0,1016,14,10,230,20,Naples
2018-01-02,13,10,0.0,8.7,3,100,05:30 PM,07:29 AM,07:28 AM,04:47 PM,6,10,12,10,26,38,68,3.7,1012,13,10,221,18,Naples
2018-01-03,14,8,0.0,6.9,4,89,06:40 PM,08:26 AM,07:28 AM,04:47 PM,6,11,12,11,16,29,68,0.2,1014,14,10,154,11,Naples
2018-01-04,14,11,0.0,8.7,4,81,07:52 PM,09:17 AM,07:28 AM,04:48 PM,9,13,13,13,11,20,75,0.0,1011,14,10,143,8,Naples
2018-01-05,15,12,0.0,3.5,3,74,09:02 PM,09:59 AM,07:28 AM,04:49 PM,12,14,14,14,10,68,88,0.3,1011,15,10,205,7,Naples
2018-01-06,15,12,0.0,5.2,4,67,10:10 PM,10:36 AM,07:28 AM,04:50 PM,11,13,14,13,14,36,84,0.0,1014,15,10,126,9,Naples
2018-01-07,17,12,0.0,3.5,3,59,11:16 PM,11:09 AM,07:28 AM,04:51 PM,5,14,15,14,23,57,55,0.0,1018,17,10,99,12,Naples
2018-01-08,18,13,0.0,7.0,4,52,No moonrise,11:40 AM,07:28 AM,04:52 PM,5,15,15,15,25,29,49,0.0,1021,18,10,103,13,Naples
2018-01-09,16,14,0.0,3.5,3,45,12:18 AM,12:09 PM,07:27 AM,04:53 PM,9,14,15,14,17,90,69,0.3,1021,16,10,129,10,Naples
2018-01-10,13,11,0.0,8.7,4,38,01:19 AM,12:39 PM,07:27 AM,04:54 PM,8,12,13,12,13,44,74,4.1,1016,13,10,308,10,Naples
2018-01-11,13,10,0.0,3.5,3,30,02:18 AM,01:11 PM,07:27 AM,04:55 PM,7,11,12,11,13,55,75,3.2,1012,13,10,166,10,Naples
2018-01-12,12,10,0.0,5.2,3,23,03:16 AM,01:45 PM,07:27 AM,04:56 PM,6,9,11,9,23,74,74,5.4,1012,12,9,61,17,Naples
2018-01-13,13,9,0.0,8.7,4,16,04:12 AM,02:22 PM,07:26 AM,04:58 PM,4,10,11,10,17,16,64,0.0,1017,13,10,44,12,Naples
2018-01-14,13,9,0.0,7.0,4,9,05:07 AM,03:03 PM,07:26 AM,04:59 PM,5,11,11,11,10,52,67,0.4,1020,13,10,151,7,Naples
2018-01-15,13,10,0.0,8.7,4,1,05:58 AM,03:49 PM,07:26 AM,05:00 PM,8,11,12,11,8,47,76,4.2,1022,13,9,181,6,Naples
2018-01-16,13,10,0.0,3.7,3,0,06:46 AM,04:38 PM,07:25 AM,05:01 PM,8,10,12,10,30,77,78,2.3,1017,13,10,260,20,Naples
2018-01-17,15,11,0.0,8.7,4,0,07:30 AM,05:32 PM,07:25 AM,05:02 PM,7,12,14,12,48,41,67,0.8,1008,15,10,279,32,Naples
2018-01-18,12,8,0.0,8.7,4,6,08:09 AM,06:28 PM,07:24 AM,05:03 PM,-0,11,12,11,15,23,44,0.2,1019,12,10,215,12,Naples
2018-01-19,14,12,0.0,8.7,4,13,08:45 AM,07:26 PM,07:24 AM,05:04 PM,8,11,13,11,20,66,75,1.0,1015,14,10,228,14,Naples
2018-01-20,15,11,0.0,8.7,4,20,09:18 AM,08:25 PM,07:23 AM,05:06 PM,9,13,13,13,13,18,74,0.3,1012,15,10,252,9,Naples
