date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-17,-23,0.0,1.9,1,97,04:45 PM,08:27 AM,09:54 AM,05:10 PM,-20,-23,-20,-23,9,96,96,0.1,1050,-17,3,214,5,Novosibirsk
2018-01-02,-14,-18,0.0,1.9,1,100,05:49 PM,09:36 AM,09:53 AM,05:12 PM,-17,-18,-16,-18,7,83,93,0.0,1050,-14,8,140,4,Novosibirsk
2018-01-03,-17,-22,0.0,5.8,2,89,07:03 PM,10:32 AM,09:53 AM,05:13 PM,-20,-23,-18,-23,12,3,82,0.0,1047,-17,10,66,7,Novosibirsk
2018-01-04,-19,-24,0.0,5.8,2,81,08:23 PM,11:16 AM,09:53 AM,05:14 PM,-22,-25,-20,-25,10,3,83,0.0,1042,-19,10,27,6,Novosibirsk
2018-01-05,-21,-26,0.0,5.8,2,74,09:46 PM,11:49 AM,09:52 AM,05:15 PM,-24,-25,-22,-25,7,6,85,0.0,1043,-21,10,191,4,Novosibirsk
2018-01-06,-19,-25,0.0,1.9,1,67,11:06 PM,12:16 PM,09:52 AM,05:17 PM,-23,-30,-22,-30,19,60,88,0.0,1042,-19,10,221,11,Novosibirsk
2018-01-07,-18,-22,0.0,1.9,1,59,No moonrise,12:39 PM,09:51 AM,05:18 PM,-22,-28,-20,-28,19,100,86,0.0,1041,-18,10,223,12,Novosibirsk
2018-01-08,-15,-21,0.0,5.8,2,52,12:23 AM,12:59 PM,09:51 AM,05:20 PM,-19,-23,-17,-23,17,13,83,0.0,1037,-15,10,173,9,Novosibirsk
2018-01-09,-8,-15,0.3,3.9,2,45,01:38 AM,01:19 PM,09:50 AM,05:21 PM,-15,-21,-13,-21,30,46,85,0.4,1026,-8,9,191,17,Novosibirsk
2018-01-10,-1,-7,2.2,1.9,1,38,02:49 AM,01:39 PM,09:49 AM,05:23 PM,-5,-9,-3,-9,29,100,91,2.6,1022,-1,8,203,18,Novosibirsk
2018-01-11,-1,-7,1.9,1.9,1,30,03:59 AM,02:00 PM,09:49 AM,05:25 PM,-6,-10,-3,-10,41,100,84,2.5,1010,-1,6,195,27,Novosibirsk
2018-01-12,-6,-12,0.4,1.9,1,23,05:06 AM,02:25 PM,09:48 AM,05:26 PM,-12,-18,-10,-18,41,100,85,1.0,1017,-6,7,223,27,Novosibirsk
2018-01-13,-13,-24,0.1,2.0,1,16,06:11 AM,02:54 PM,09:47 AM,05:28 PM,-20,-24,-19,-24,14,96,96,0.1,1024,-13,2,255,8,Novosibirsk
2018-01-14,-21,-27,1.2,2.0,1,9,07:12 AM,03:29 PM,09:46 AM,05:30 PM,-25,-35,-24,-35,28,100,96,1.4,1026,-21,4,231,17,Novosibirsk
2018-01-15,-17,-25,1.2,2.0,1,1,08:07 AM,04:11 PM,09:45 AM,05:31 PM,-22,-30,-21,-30,23,100,95,1.4,1024,-17,5,229,15,Novosibirsk
2018-01-16,-11,-16,3.3,2.0,1,0,08:56 AM,05:00 PM,09:44 AM,05:33 PM,-15,-24,-14,-24,34,100,93,3.8,1017,-11,6,234,23,Novosibirsk
2018-01-17,-8,-10,2.3,2.0,1,0,09:38 AM,05:57 PM,09:43 AM,05:35 PM,-10,-17,-9,-17,32,100,92,2.7,1020,-8,6,245,21,Novosibirsk
2018-01-18,-9,-15,1.1,2.0,1,6,10:12 AM,06:59 PM,09:41 AM,05:37 PM,-12,-18,-11,-18,21,100,94,1.3,1031,-9,5,240,14,Novosibirsk
2018-01-19,-16,-28,0.1,3.9,2,13,10:41 AM,08:05 PM,09:40 AM,05:39 PM,-20,-25,-19,-25,14,65,93,0.1,1039,-16,8,86,8,Novosibirsk
2018-01-20,-30,-35,0.0,5.8,2,20,11:06 AM,09:14 PM,09:39 AM,05:41 PM,-33,-42,-31,-42,20,10,88,0.0,1048,-30,10,38,12,Novosibirsk
2018-01-21,-32,-38,0.0,5.8,2,28,11:28 AM,10:24 PM,09:38 AM,05:43 PM,-36,-48,-35,-48,25,49,92,0.0,1051,-32,9,32,15,Novosibirsk
2018-01-22,-27,-35,0.0,5.8,2,35,11:47 AM,11:37 PM,09:36 AM,05:44 PM,-33,-44,-32,-44,30,19,88,0.0,1053,-27,10,35,18,Novosibirsk
2018-01-23,-28,-34,0.1,2.0,1,42,12:07 PM,No moonset,09:35 AM,05:46 PM,-32,-40,-31,-40,16,97,97,0.1,1053,-28,3,215,9,Novosibirsk
2018-01-24,-30,-34,0.0,2.0,1,49,12:27 PM,12:50 AM,09:33 AM,05:48 PM,-32,-40,-32,-40,14,95,97,0.0,1054,-30,1,34,8,Novosibirsk
2018-01-25,-29,-34,0.0,2.0,1,57,12:49 PM,02:06 AM,09:32 AM,05:50 PM,-32,-41,-32,-41,19,91,97,0.0,1056,-29,3,23,11,Novosibirsk
2018-01-26,-24,-30,0.0,2.1,1,64,01:16 PM,03:24 AM,09:30 AM,05:52 PM,-28,-36,-28,-36,16,94,97,0.0,1058,-24,1,28,9,Novosibirsk
2018-01-27,-23,-29,0.0,5.8,2,71,01:49 PM,04:43 AM,09:29 AM,05:54 PM,-27,-31,-26,-31,11,45,94,0.0,1058,-23,6,128,6,Novosibirsk
2018-01-28,-20,-25,0.6,2.1,1,78,02:31 PM,06:01 AM,09:27 AM,05:56 PM,-23,-33,-22,-33,30,99,93,0.7,1048,-20,7,206,19,Novosibirsk
2018-01-29,-13,-20,1.6,2.1,1,86,03:25 PM,07:13 AM,09:25 AM,05:58 PM,-18,-26,-16,-26,33,96,91,1.9,1035,-13,8,222,22,Novosibirsk
2018-01-30,-15,-20,0.2,3.3,1,93,04:32 PM,08:15 AM,09:24 AM,06:00 PM,-18,-25,-17,-25,20,94,96,0.2,1039,-15,6,239,12,Novosibirsk
