date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,16,7,0.0,3.8,3,97,05:33 PM,06:35 AM,07:18 AM,05:41 PM,9,11,12,11,21,95,81,1.4,1022,16,8,129,16,Orlando(FL)
2018-01-02,11,8,0.0,3.8,2,100,06:38 PM,07:39 AM,07:19 AM,05:41 PM,7,6,9,6,34,100,82,1.3,1024,11,6,54,24,Orlando(FL)
2018-01-03,11,4,0.0,7.1,2,89,07:46 PM,08:37 AM,07:19 AM,05:42 PM,6,6,9,6,26,73,81,6.3,1017,11,10,324,19,Orlando(FL)
2018-01-04,11,1,0.0,8.7,3,81,08:52 PM,09:30 AM,07:19 AM,05:43 PM,-5,3,6,3,18,0,45,0.0,1020,11,10,290,14,Orlando(FL)
2018-01-05,12,1,0.0,7.1,3,74,09:56 PM,10:16 AM,07:19 AM,05:43 PM,-9,5,7,5,13,26,34,0.0,1027,12,10,335,10,Orlando(FL)
2018-01-06,13,4,0.0,8.7,3,67,10:57 PM,10:58 AM,07:19 AM,05:44 PM,-5,6,8,6,15,25,41,0.0,1030,13,10,182,11,Orlando(FL)
2018-01-07,17,6,0.0,8.7,4,59,11:55 PM,11:37 AM,07:19 AM,05:45 PM,5,10,12,10,20,10,67,0.0,1029,17,10,76,14,Orlando(FL)
2018-01-08,22,12,0.0,3.8,4,52,No moonrise,12:13 PM,07:20 AM,05:46 PM,14,17,18,17,16,53,81,0.1,1022,22,10,90,10,Orlando(FL)
2018-01-09,24,15,0.0,7.1,4,45,12:51 AM,12:48 PM,07:20 AM,05:46 PM,17,19,20,19,18,49,86,2.9,1018,24,7,66,11,Orlando(FL)
2018-01-10,24,19,0.0,7.1,5,38,01:46 AM,01:24 PM,07:20 AM,05:47 PM,18,21,21,21,16,60,87,6.3,1017,24,9,77,10,Orlando(FL)
2018-01-11,26,18,0.0,7.1,6,30,02:39 AM,02:01 PM,07:20 AM,05:48 PM,18,22,23,22,13,44,81,2.3,1016,26,7,117,9,Orlando(FL)
2018-01-12,26,19,0.0,8.7,6,23,03:32 AM,02:40 PM,07:20 AM,05:49 PM,18,22,23,22,24,51,80,1.1,1013,26,8,204,17,Orlando(FL)
2018-01-13,18,8,0.0,8.7,4,16,04:24 AM,03:21 PM,07:20 AM,05:50 PM,8,13,14,13,18,21,66,0.1,1020,18,10,295,14,Orlando(FL)
2018-01-14,14,5,0.0,8.7,3,9,05:15 AM,04:06 PM,07:20 AM,05:50 PM,3,8,10,8,20,33,65,0.0,1027,14,10,222,15,Orlando(FL)
2018-01-15,17,9,0.0,8.7,4,1,06:05 AM,04:53 PM,07:19 AM,05:51 PM,7,11,12,11,21,29,71,0.0,1028,17,10,145,16,Orlando(FL)
2018-01-16,20,10,0.0,8.7,4,0,06:52 AM,05:43 PM,07:19 AM,05:52 PM,10,15,15,15,15,5,73,0.0,1027,20,10,75,11,Orlando(FL)
2018-01-17,20,7,0.0,8.7,4,0,07:37 AM,06:34 PM,07:19 AM,05:53 PM,8,13,14,13,17,25,69,0.0,1025,20,7,274,13,Orlando(FL)
2018-01-18,11,-2,0.0,8.7,2,6,08:18 AM,07:27 PM,07:19 AM,05:54 PM,-7,3,6,3,14,0,39,0.0,1028,11,10,180,12,Orlando(FL)
2018-01-19,18,5,0.0,8.7,4,13,08:58 AM,08:20 PM,07:19 AM,05:54 PM,2,12,13,12,7,6,48,0.0,1026,18,10,200,5,Orlando(FL)
2018-01-20,20,10,0.0,8.7,4,20,09:36 AM,09:15 PM,07:18 AM,05:55 PM,11,16,16,16,7,39,71,0.0,1025,20,10,112,5,Orlando(FL)
2018-01-21,24,14,0.0,8.7,5,28,10:11 AM,10:10 PM,07:18 AM,05:56 PM,15,18,19,18,13,51,81,0.0,1023,24,10,65,9,Orlando(FL)
2018-01-22,26,16,0.0,7.1,6,35,10:47 AM,11:05 PM,07:18 AM,05:57 PM,17,21,22,21,17,58,81,0.1,1020,26,7,125,11,Orlando(FL)
2018-01-23,27,19,0.0,8.7,6,42,11:23 AM,No moonset,07:18 AM,05:58 PM,18,22,23,22,17,36,78,2.3,1017,27,10,233,12,Orlando(FL)
2018-01-24,21,11,0.0,8.7,5,49,12:00 PM,12:03 AM,07:17 AM,05:59 PM,5,16,17,16,15,10,49,0.0,1022,21,10,170,10,Orlando(FL)
2018-01-25,19,11,0.0,8.7,4,57,12:41 PM,01:02 AM,07:17 AM,05:59 PM,6,13,14,13,26,37,58,0.0,1028,19,10,28,18,Orlando(FL)
2018-01-26,20,14,0.0,7.0,4,64,01:26 PM,02:04 AM,07:16 AM,06:00 PM,11,17,17,17,26,65,69,0.1,1030,20,10,75,17,Orlando(FL)
2018-01-27,23,17,0.0,8.5,5,71,02:16 PM,03:08 AM,07:16 AM,06:01 PM,14,19,20,19,22,58,71,0.2,1027,23,10,100,15,Orlando(FL)
2018-01-28,25,18,0.0,7.0,6,78,03:12 PM,04:12 AM,07:16 AM,06:02 PM,17,21,22,21,20,68,80,15.3,1020,25,9,126,12,Orlando(FL)
2018-01-29,22,15,0.0,5.4,4,86,04:14 PM,05:17 AM,07:15 AM,06:03 PM,17,20,20,20,21,80,84,5.3,1015,22,10,275,14,Orlando(FL)
2018-01-30,16,9,0.0,10.9,4,93,05:21 PM,06:17 AM,07:15 AM,06:03 PM,2,12,13,12,21,2,48,0.0,1023,16,10,182,15,Orlando(FL)
2018-01-31,19,8,0.0,10.9,4,97,06:28 PM,07:14 AM,07:14 AM,06:04 PM,6,13,14,13,17,5,60,0.0,1025,19,10,51,12,Orlando(FL)
2018-02-01,22,12,0.0,8.5,5,88,07:35 PM,08:04 AM,07:14 AM,06:05 PM,12,17,18,17,8,42,71,0.0,1023,22,10,111,5,Orlando(FL)
2018-02-02,23,15,0.0,7.0,4,81,08:39 PM,08:49 AM,07:13 AM,06:06 PM,12,18,19,18,14,68,68,0.0,1023,23,10,203,10,Orlando(FL)
2018-02-03,19,13,0.0,5.5,4,73,09:41 PM,09:31 AM,07:12 AM,06:07 PM,10,15,16,15,20,59,67,0.0,1025,19,10,61,13,Orlando(FL)
2018-02-04,24,16,0.0,8.5,4,66,10:39 PM,10:09 AM,07:12 AM,06:07 PM,17,20,21,20,22,55,84,6.1,1018,24,8,173,15,Orlando(FL)
2018-02-05,23,15,0.0,11.0,5,58,11:36 PM,10:46 AM,07:11 AM,06:08 PM,14,19,19,19,15,33,75,0.1,1021,23,8,176,10,Orlando(FL)
2018-02-06,26,14,0.0,11.0,5,51,No moonrise,11:23 AM,07:11 AM,06:09 PM,15,20,21,20,14,15,74,0.0,1025,26,9,100,10,Orlando(FL)
2018-02-07,27,17,0.0,10.1,6,43,12:31 AM,12:00 PM,07:10 AM,06:10 PM,17,22,23,22,15,33,76,1.1,1023,27,10,195,10,Orlando(FL)
2018-02-08,26,17,0.0,7.0,6,36,01:26 AM,12:38 PM,07:09 AM,06:11 PM,18,21,21,21,11,74,82,1.2,1024,26,10,205,8,Orlando(FL)
2018-02-09,27,18,0.0,11.0,6,28,02:18 AM,01:19 PM,07:08 AM,06:11 PM,18,22,23,22,16,56,79,1.0,1024,27,9,90,11,Orlando(FL)
2018-02-10,28,19,0.0,11.0,6,20,03:10 AM,02:02 PM,07:08 AM,06:12 PM,18,24,24,23,16,39,77,0.0,1022,28,8,132,11,Orlando(FL)
2018-02-11,29,20,0.0,11.1,6,13,04:00 AM,02:48 PM,07:07 AM,06:13 PM,19,25,25,24,18,30,75,0.0,1021,29,9,168,12,Orlando(FL)
2018-02-12,29,20,0.0,10.1,6,5,04:48 AM,03:38 PM,07:06 AM,06:14 PM,20,26,26,25,11,37,76,1.9,1025,29,10,161,8,Orlando(FL)
2018-02-13,27,21,0.0,10.1,6,0,05:34 AM,04:28 PM,07:05 AM,06:14 PM,19,25,25,24,13,47,79,3.5,1029,27,10,96,9,Orlando(FL)
2018-02-14,25,18,0.0,10.1,6,0,06:17 AM,05:21 PM,07:05 AM,06:15 PM,17,21,21,21,13,55,80,0.1,1029,25,10,32,11,Orlando(FL)
2018-02-15,27,16,0.0,11.1,6,0,06:57 AM,06:15 PM,07:04 AM,06:16 PM,17,22,23,22,4,32,75,0.0,1025,27,9,153,3,Orlando(FL)
2018-02-16,27,18,0.0,11.1,6,2,07:36 AM,07:10 PM,07:03 AM,06:16 PM,17,25,25,24,10,11,69,0.0,1022,27,10,254,8,Orlando(FL)
2018-02-17,28,18,0.0,11.2,6,10,08:12 AM,08:05 PM,07:02 AM,06:17 PM,17,26,26,24,10,1,65,0.0,1022,28,10,258,8,Orlando(FL)
