date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,9,7,0.0,3.2,3,97,04:49 PM,07:39 AM,08:44 AM,05:05 PM,3,4,8,4,40,56,74,0.1,1005,9,10,239,26,Paris
2018-01-02,11,5,0.0,3.2,2,100,05:54 PM,08:44 AM,08:44 AM,05:06 PM,5,5,8,5,30,71,85,1.0,1014,11,10,230,19,Paris
2018-01-03,15,9,0.0,5.1,3,89,07:07 PM,09:40 AM,08:44 AM,05:07 PM,5,8,11,8,46,89,68,1.6,1005,15,9,254,31,Paris
2018-01-04,14,9,0.0,3.2,3,81,08:23 PM,10:25 AM,08:44 AM,05:08 PM,8,9,11,9,35,78,83,9.2,1002,14,8,244,23,Paris
2018-01-05,11,7,0.0,5.1,2,74,09:40 PM,11:03 AM,08:44 AM,05:09 PM,6,7,10,7,23,67,81,0.6,1001,11,9,222,16,Paris
2018-01-06,7,6,0.0,3.3,2,67,10:53 PM,11:35 AM,08:43 AM,05:10 PM,5,5,7,5,11,84,90,0.5,1007,7,8,124,8,Paris
2018-01-07,7,6,0.0,3.3,2,59,No moonrise,12:02 PM,08:43 AM,05:11 PM,3,2,6,2,31,100,83,1.4,1016,7,9,45,22,Paris
2018-01-08,8,4,0.0,8.7,3,52,12:04 AM,12:27 PM,08:43 AM,05:12 PM,3,3,6,3,21,65,85,0.0,1017,8,10,60,14,Paris
2018-01-09,8,4,0.0,3.3,2,45,01:12 AM,12:52 PM,08:42 AM,05:14 PM,4,4,6,4,14,85,89,0.0,1010,8,9,147,9,Paris
2018-01-10,8,6,0.0,3.3,2,38,02:17 AM,01:17 PM,08:42 AM,05:15 PM,5,5,7,5,16,84,86,1.0,1009,8,9,189,11,Paris
2018-01-11,7,5,0.0,3.3,2,30,03:22 AM,01:44 PM,08:41 AM,05:16 PM,5,5,6,5,9,84,91,1.1,1016,7,6,114,6,Paris
2018-01-12,5,3,0.0,6.9,1,23,04:24 AM,02:14 PM,08:41 AM,05:18 PM,4,4,5,4,8,62,90,0.0,1025,5,9,160,6,Paris
2018-01-13,6,2,0.0,8.7,2,16,05:24 AM,02:48 PM,08:40 AM,05:19 PM,2,2,4,2,15,47,86,0.0,1021,6,8,98,10,Paris
2018-01-14,7,1,0.0,6.9,2,9,06:21 AM,03:27 PM,08:39 AM,05:20 PM,2,3,4,3,9,62,86,0.0,1018,7,10,133,5,Paris
2018-01-15,9,3,0.0,3.3,2,1,07:14 AM,04:12 PM,08:39 AM,05:22 PM,4,2,6,2,35,70,87,9.6,1010,9,9,219,22,Paris
2018-01-16,10,7,0.0,3.3,3,0,08:01 AM,05:02 PM,08:38 AM,05:23 PM,4,5,8,5,39,71,74,3.1,1002,10,10,258,26,Paris
2018-01-17,7,4,0.0,8.7,3,0,08:43 AM,05:58 PM,08:37 AM,05:25 PM,-0,2,6,2,38,61,65,0.7,1010,7,10,265,25,Paris
2018-01-18,11,6,0.0,3.3,2,6,09:20 AM,06:57 PM,08:36 AM,05:26 PM,5,6,9,6,38,82,79,4.6,1007,11,10,253,24,Paris
2018-01-19,7,4,0.0,8.7,3,13,09:52 AM,08:00 PM,08:36 AM,05:28 PM,2,2,6,2,23,37,76,0.1,1013,7,10,255,16,Paris
2018-01-20,10,4,0.0,3.4,2,20,10:20 AM,09:04 PM,08:35 AM,05:29 PM,5,4,7,4,30,95,86,4.0,1005,10,9,238,19,Paris
2018-01-21,10,5,0.0,3.4,2,28,10:46 AM,10:09 PM,08:34 AM,05:31 PM,5,5,7,5,17,93,87,6.0,1014,10,8,156,12,Paris
2018-01-22,12,8,0.0,5.1,3,35,11:11 AM,11:16 PM,08:33 AM,05:32 PM,9,9,11,9,27,85,87,4.0,1013,12,8,275,17,Paris
2018-01-23,11,6,0.0,5.2,2,42,11:36 AM,No moonset,08:32 AM,05:34 PM,7,7,9,7,23,74,87,0.3,1024,11,9,212,15,Paris
2018-01-24,12,11,0.0,3.4,3,49,12:01 PM,12:24 AM,08:31 AM,05:35 PM,9,9,11,9,34,85,84,0.2,1019,12,10,205,22,Paris
2018-01-25,11,7,0.0,3.4,2,57,12:29 PM,01:35 AM,08:30 AM,05:37 PM,7,7,9,7,20,93,86,4.2,1014,11,10,216,13,Paris
2018-01-26,9,4,0.0,8.7,3,64,01:03 PM,02:47 AM,08:28 AM,05:39 PM,4,6,7,6,8,42,83,0.0,1019,9,10,233,5,Paris
2018-01-27,8,3,0.0,8.7,2,71,01:43 PM,04:01 AM,08:27 AM,05:40 PM,3,4,6,4,12,26,82,0.0,1032,8,10,172,9,Paris
2018-01-28,10,5,0.0,3.4,2,78,02:31 PM,05:14 AM,08:26 AM,05:42 PM,6,6,8,6,20,95,89,0.5,1036,10,7,226,14,Paris
2018-01-29,11,8,0.0,3.4,2,86,03:30 PM,06:22 AM,08:25 AM,05:43 PM,7,8,10,8,19,96,87,0.3,1033,11,9,241,12,Paris
