date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,22,11,0.0,8.7,5,97,04:34 PM,05:23 AM,06:36 AM,05:10 PM,9,18,19,18,10,6,54,0.0,1014,22,10,286,7,Patna
2018-01-02,22,10,0.0,8.7,5,100,05:38 PM,06:28 AM,06:36 AM,05:11 PM,6,18,18,18,13,1,47,0.0,1014,22,10,296,10,Patna
2018-01-03,21,9,0.0,8.7,4,89,06:44 PM,07:30 AM,06:36 AM,05:12 PM,6,17,17,17,15,0,49,0.0,1014,21,10,273,11,Patna
2018-01-04,22,10,0.0,8.7,4,81,07:50 PM,08:26 AM,06:36 AM,05:12 PM,7,19,19,19,7,0,46,0.0,1016,22,10,288,6,Patna
2018-01-05,21,10,0.0,8.7,4,74,08:54 PM,09:16 AM,06:37 AM,05:13 PM,7,18,19,18,9,0,48,0.0,1015,21,10,279,7,Patna
2018-01-06,20,8,0.0,8.7,4,67,09:55 PM,10:01 AM,06:37 AM,05:14 PM,6,16,16,16,13,0,51,0.0,1014,20,10,275,10,Patna
2018-01-07,20,7,0.0,8.7,4,59,10:53 PM,10:42 AM,06:37 AM,05:15 PM,7,16,17,16,10,0,55,0.0,1015,20,10,272,8,Patna
2018-01-08,20,8,0.0,8.7,4,52,11:49 PM,11:21 AM,06:37 AM,05:15 PM,8,18,18,18,8,0,54,0.0,1017,20,10,270,6,Patna
2018-01-09,20,8,0.0,8.7,4,45,No moonrise,11:57 AM,06:37 AM,05:16 PM,8,17,17,17,12,0,56,0.0,1018,20,10,279,9,Patna
2018-01-10,20,8,0.0,8.7,4,38,12:43 AM,12:34 PM,06:37 AM,05:17 PM,7,17,17,17,11,0,55,0.0,1018,20,10,283,9,Patna
2018-01-11,20,7,0.0,8.7,4,30,01:36 AM,01:11 PM,06:37 AM,05:18 PM,8,17,17,17,8,0,55,0.0,1016,20,10,268,7,Patna
2018-01-12,20,8,0.0,8.7,4,23,02:28 AM,01:50 PM,06:37 AM,05:18 PM,8,18,19,18,7,0,53,0.0,1016,20,10,256,6,Patna
