date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-8,-13,0.0,8.7,2,97,04:41 PM,06:35 AM,07:23 AM,04:46 PM,-16,-15,-9,-15,17,15,57,0.0,1030,-8,10,300,14,Philadelphia(PA)
2018-01-02,-6,-11,0.0,8.7,2,100,05:47 PM,07:39 AM,07:23 AM,04:47 PM,-14,-14,-8,-14,21,8,59,0.0,1031,-6,10,268,15,Philadelphia(PA)
2018-01-03,-3,-9,0.0,7.0,2,89,06:58 PM,08:35 AM,07:23 AM,04:48 PM,-13,-7,-5,-7,9,56,54,0.0,1025,-3,10,161,6,Philadelphia(PA)
2018-01-04,-4,-9,0.0,3.5,1,81,08:09 PM,09:24 AM,07:23 AM,04:49 PM,-8,-13,-5,-13,37,92,82,0.0,1003,-4,10,326,24,Philadelphia(PA)
2018-01-05,-9,-13,0.0,3.5,1,74,09:18 PM,10:05 AM,07:23 AM,04:50 PM,-15,-20,-11,-20,33,50,74,0.0,1015,-9,10,279,22,Philadelphia(PA)
2018-01-06,-10,-15,0.0,7.0,2,67,10:25 PM,10:41 AM,07:23 AM,04:51 PM,-16,-20,-12,-20,25,27,74,0.0,1027,-10,10,282,18,Philadelphia(PA)
2018-01-07,-9,-16,0.0,8.7,2,59,11:29 PM,11:15 AM,07:23 AM,04:52 PM,-13,-15,-10,-15,11,25,77,0.0,1035,-9,10,264,9,Philadelphia(PA)
2018-01-08,0,-10,0.0,7.0,1,52,No moonrise,11:45 AM,07:23 AM,04:53 PM,-7,-9,-4,-9,18,65,83,0.3,1024,0,8,217,12,Philadelphia(PA)
2018-01-09,4,-3,0.0,8.7,2,45,12:30 AM,12:15 PM,07:22 AM,04:54 PM,0,-1,1,-1,13,17,91,0.0,1023,4,7,282,8,Philadelphia(PA)
2018-01-10,4,-3,0.0,8.7,2,38,01:31 AM,12:46 PM,07:22 AM,04:55 PM,-1,0,2,0,8,29,83,0.0,1031,4,10,113,5,Philadelphia(PA)
2018-01-11,8,2,0.0,7.0,1,30,02:29 AM,01:19 PM,07:22 AM,04:56 PM,5,4,6,4,13,56,96,0.0,1027,8,3,173,6,Philadelphia(PA)
2018-01-12,16,10,0.0,3.5,3,23,03:26 AM,01:53 PM,07:22 AM,04:57 PM,13,13,14,13,29,100,97,2.6,1011,16,6,171,15,Philadelphia(PA)
2018-01-13,15,-5,0.0,8.7,2,16,04:21 AM,02:31 PM,07:21 AM,04:58 PM,-4,-1,3,-1,26,51,60,1.6,1014,15,9,289,20,Philadelphia(PA)
2018-01-14,-4,-9,0.0,8.7,2,9,05:15 AM,03:14 PM,07:21 AM,04:59 PM,-18,-10,-5,-10,16,6,35,0.0,1037,-4,10,223,14,Philadelphia(PA)
2018-01-15,-1,-8,0.0,5.3,1,1,06:05 AM,04:01 PM,07:21 AM,05:00 PM,-12,-8,-4,-8,14,67,56,0.0,1036,-1,10,50,11,Philadelphia(PA)
2018-01-16,4,-3,0.0,3.7,1,0,06:52 AM,04:51 PM,07:20 AM,05:01 PM,-2,-1,1,-1,7,94,81,0.0,1031,4,9,84,5,Philadelphia(PA)
2018-01-17,1,-5,0.0,3.7,1,0,07:35 AM,05:46 PM,07:20 AM,05:02 PM,-4,-6,-2,-6,19,91,82,1.4,1026,1,9,280,14,Philadelphia(PA)
2018-01-18,-0,-7,0.0,8.7,2,6,08:14 AM,06:41 PM,07:19 AM,05:04 PM,-8,-7,-2,-7,15,1,67,0.0,1019,-0,10,302,12,Philadelphia(PA)
2018-01-19,4,-4,0.0,8.7,2,13,08:50 AM,07:40 PM,07:19 AM,05:05 PM,-4,-1,1,-1,12,8,69,0.0,1018,4,10,234,8,Philadelphia(PA)
2018-01-20,9,1,0.0,8.7,2,20,09:23 AM,08:38 PM,07:18 AM,05:06 PM,-1,3,5,3,19,8,64,0.0,1015,9,10,256,10,Philadelphia(PA)
2018-01-21,10,2,0.0,5.4,3,28,09:53 AM,09:39 PM,07:18 AM,05:07 PM,3,6,7,6,9,52,79,0.0,1021,10,10,242,5,Philadelphia(PA)
2018-01-22,11,5,0.0,7.0,2,35,10:23 AM,10:40 PM,07:17 AM,05:08 PM,6,7,8,7,10,49,90,0.1,1020,11,8,147,5,Philadelphia(PA)
2018-01-23,16,7,0.0,3.7,3,42,10:54 AM,11:43 PM,07:16 AM,05:09 PM,7,9,11,9,26,55,79,1.7,1008,16,8,232,15,Philadelphia(PA)
