date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,21,12,0.0,8.7,5,97,05:31 PM,06:54 AM,07:33 AM,05:32 PM,-10,19,19,19,8,3,13,0.0,1021,21,10,141,5,Phoenix-Mesa(AZ)
2018-01-02,22,13,0.0,7.1,4,100,06:37 PM,07:57 AM,07:33 AM,05:33 PM,-11,18,18,18,9,41,13,0.0,1020,22,10,127,5,Phoenix-Mesa(AZ)
2018-01-03,24,14,0.0,8.7,5,89,07:46 PM,08:54 AM,07:33 AM,05:33 PM,-11,19,19,19,19,19,12,0.0,1019,24,10,63,11,Phoenix-Mesa(AZ)
2018-01-04,23,16,0.0,8.7,5,81,08:54 PM,09:45 AM,07:33 AM,05:34 PM,-9,21,21,21,10,28,13,0.0,1019,23,10,112,6,Phoenix-Mesa(AZ)
2018-01-05,22,15,0.0,8.7,5,74,10:00 PM,10:28 AM,07:33 AM,05:35 PM,-1,21,20,21,7,7,23,0.0,1021,22,10,139,5,Phoenix-Mesa(AZ)
2018-01-06,22,15,0.0,8.7,5,67,11:03 PM,11:08 AM,07:33 AM,05:36 PM,-3,20,20,20,7,25,22,0.0,1020,22,10,117,4,Phoenix-Mesa(AZ)
2018-01-07,23,15,0.0,8.7,5,59,No moonrise,11:44 AM,07:33 AM,05:37 PM,1,20,20,20,6,11,27,0.0,1017,23,10,127,4,Phoenix-Mesa(AZ)
2018-01-08,23,16,0.0,5.4,4,52,12:03 AM,12:17 PM,07:33 AM,05:38 PM,-1,20,20,20,10,59,26,0.0,1017,23,10,76,6,Phoenix-Mesa(AZ)
2018-01-09,23,18,0.0,8.7,6,45,01:01 AM,12:51 PM,07:33 AM,05:38 PM,5,21,22,21,23,23,35,1.3,1011,23,10,141,16,Phoenix-Mesa(AZ)
2018-01-10,16,12,0.0,8.7,4,38,01:57 AM,01:25 PM,07:33 AM,05:39 PM,7,14,14,14,13,48,62,0.0,1014,16,10,248,11,Phoenix-Mesa(AZ)
2018-01-11,19,12,0.0,8.7,5,30,02:53 AM,02:00 PM,07:33 AM,05:40 PM,9,18,18,18,3,5,57,0.0,1022,19,10,247,3,Phoenix-Mesa(AZ)
2018-01-12,20,13,0.0,8.7,5,23,03:47 AM,02:37 PM,07:33 AM,05:41 PM,4,19,19,19,6,3,39,0.0,1022,20,10,150,5,Phoenix-Mesa(AZ)
2018-01-13,24,14,0.0,8.7,5,16,04:40 AM,03:18 PM,07:33 AM,05:42 PM,-1,21,20,21,10,0,25,0.0,1022,24,10,76,8,Phoenix-Mesa(AZ)
2018-01-14,24,14,0.0,8.7,5,9,05:33 AM,04:02 PM,07:33 AM,05:43 PM,-5,20,19,20,15,22,19,0.0,1021,24,10,117,9,Phoenix-Mesa(AZ)
2018-01-15,22,15,0.0,8.7,5,1,06:22 AM,04:49 PM,07:33 AM,05:44 PM,-5,19,19,19,8,19,19,0.0,1019,22,10,187,5,Phoenix-Mesa(AZ)
2018-01-16,22,15,0.0,8.7,5,0,07:09 AM,05:40 PM,07:32 AM,05:45 PM,-4,19,19,19,10,35,22,0.0,1020,22,10,122,7,Phoenix-Mesa(AZ)
2018-01-17,20,12,0.0,8.7,5,0,07:53 AM,06:32 PM,07:32 AM,05:46 PM,-5,17,18,17,12,9,21,0.0,1022,20,10,168,9,Phoenix-Mesa(AZ)
2018-01-18,21,13,0.0,8.7,5,6,08:33 AM,07:27 PM,07:32 AM,05:47 PM,-4,20,19,20,7,4,21,0.0,1020,21,10,143,6,Phoenix-Mesa(AZ)
2018-01-19,22,14,0.0,8.7,5,13,09:11 AM,08:22 PM,07:31 AM,05:48 PM,-3,20,20,20,9,2,21,0.0,1015,22,10,90,7,Phoenix-Mesa(AZ)
2018-01-20,18,12,0.0,7.1,5,20,09:46 AM,09:19 PM,07:31 AM,05:49 PM,-1,15,15,15,21,35,33,0.7,1012,18,9,211,15,Phoenix-Mesa(AZ)
2018-01-21,13,8,0.0,8.7,4,28,10:20 AM,10:15 PM,07:31 AM,05:49 PM,-5,10,12,10,18,5,31,0.0,1022,13,10,276,14,Phoenix-Mesa(AZ)
2018-01-22,15,8,0.0,8.7,4,35,10:53 AM,11:14 PM,07:30 AM,05:50 PM,-9,11,12,11,9,32,23,0.0,1024,15,10,171,6,Phoenix-Mesa(AZ)
2018-01-23,19,9,0.0,8.7,4,42,11:27 AM,No moonset,07:30 AM,05:51 PM,-11,16,16,16,9,0,15,0.0,1022,19,10,143,8,Phoenix-Mesa(AZ)
2018-01-24,22,11,0.0,8.7,5,49,12:03 PM,12:13 AM,07:29 AM,05:52 PM,-9,17,18,17,18,0,17,0.0,1022,22,10,69,12,Phoenix-Mesa(AZ)
2018-01-25,22,12,0.0,8.7,5,57,12:41 PM,01:15 AM,07:29 AM,05:53 PM,-11,17,17,17,18,18,14,0.0,1016,22,10,141,11,Phoenix-Mesa(AZ)
2018-01-26,18,11,0.0,8.7,5,64,01:25 PM,02:19 AM,07:28 AM,05:54 PM,-2,16,16,16,7,24,29,0.0,1018,18,10,253,5,Phoenix-Mesa(AZ)
2018-01-27,21,11,0.0,8.7,5,71,02:14 PM,03:25 AM,07:28 AM,05:55 PM,-7,18,18,18,10,2,18,0.0,1022,21,10,174,8,Phoenix-Mesa(AZ)
2018-01-28,26,13,0.0,8.7,5,78,03:10 PM,04:31 AM,07:27 AM,05:56 PM,-10,19,19,19,20,1,13,0.0,1023,26,10,69,12,Phoenix-Mesa(AZ)
2018-01-29,26,15,0.0,8.7,6,86,04:12 PM,05:36 AM,07:27 AM,05:57 PM,-6,21,21,21,22,0,17,0.0,1023,26,10,58,14,Phoenix-Mesa(AZ)
2018-01-30,25,16,0.0,8.7,6,93,05:20 PM,06:35 AM,07:26 AM,05:58 PM,-5,21,21,21,16,14,17,0.0,1019,25,10,125,10,Phoenix-Mesa(AZ)
2018-01-31,24,15,0.0,8.7,5,97,06:28 PM,07:30 AM,07:25 AM,05:59 PM,-6,22,21,22,8,29,15,0.0,1016,24,10,147,5,Phoenix-Mesa(AZ)
2018-02-01,24,15,0.0,10.8,5,88,07:37 PM,08:17 AM,07:24 AM,06:00 PM,-6,23,22,23,6,0,15,0.0,1017,24,10,135,4,Phoenix-Mesa(AZ)
2018-02-02,24,16,0.0,10.8,5,81,08:43 PM,09:00 AM,07:24 AM,06:01 PM,-7,21,21,21,7,6,15,0.0,1020,24,10,155,5,Phoenix-Mesa(AZ)
2018-02-03,24,16,0.0,10.8,5,73,09:48 PM,09:39 AM,07:23 AM,06:02 PM,-7,22,22,22,5,2,13,0.0,1018,24,10,199,4,Phoenix-Mesa(AZ)
2018-02-04,25,16,0.0,10.8,5,66,10:48 PM,10:15 AM,07:22 AM,06:03 PM,-2,23,22,23,7,1,18,0.0,1017,25,10,159,5,Phoenix-Mesa(AZ)
2018-02-05,25,16,0.0,10.8,6,58,11:47 PM,10:50 AM,07:21 AM,06:04 PM,-2,23,22,23,7,5,19,0.0,1014,25,10,169,5,Phoenix-Mesa(AZ)
2018-02-06,25,16,0.0,10.8,5,51,No moonrise,11:24 AM,07:21 AM,06:05 PM,-1,22,22,22,13,0,21,0.0,1014,25,10,172,10,Phoenix-Mesa(AZ)
2018-02-07,24,14,0.0,10.9,5,43,12:44 AM,11:59 AM,07:20 AM,06:06 PM,-7,21,21,21,13,0,16,0.0,1022,24,10,120,10,Phoenix-Mesa(AZ)
2018-02-08,27,15,0.0,10.9,6,36,01:40 AM,12:36 PM,07:19 AM,06:07 PM,-8,23,22,23,12,0,13,0.0,1020,27,10,142,8,Phoenix-Mesa(AZ)
2018-02-09,26,16,0.0,10.9,6,28,02:34 AM,01:16 PM,07:18 AM,06:07 PM,-7,24,23,24,8,0,13,0.0,1015,26,10,174,6,Phoenix-Mesa(AZ)
2018-02-10,25,16,0.0,10.1,6,20,03:27 AM,01:59 PM,07:17 AM,06:08 PM,-6,22,22,22,7,30,14,0.0,1009,25,10,201,5,Phoenix-Mesa(AZ)
2018-02-11,22,14,0.0,10.9,5,13,04:17 AM,02:45 PM,07:16 AM,06:09 PM,-4,20,20,20,15,5,20,0.0,1011,22,10,164,11,Phoenix-Mesa(AZ)
2018-02-12,19,15,0.0,10.1,5,5,05:05 AM,03:34 PM,07:15 AM,06:10 PM,5,17,17,17,18,29,48,0.3,1011,19,10,196,14,Phoenix-Mesa(AZ)
2018-02-13,21,14,0.0,10.1,5,0,05:50 AM,04:26 PM,07:14 AM,06:11 PM,7,18,18,18,10,38,50,0.3,1018,21,10,161,8,Phoenix-Mesa(AZ)
2018-02-14,17,13,0.0,8.5,4,0,06:32 AM,05:21 PM,07:13 AM,06:12 PM,8,16,16,16,5,51,61,3.0,1020,17,10,203,4,Phoenix-Mesa(AZ)
2018-02-15,18,12,0.0,10.1,4,0,07:11 AM,06:16 PM,07:12 AM,06:13 PM,9,15,15,15,6,62,69,0.0,1019,18,10,147,5,Phoenix-Mesa(AZ)
2018-02-16,18,14,0.0,11.0,5,2,07:47 AM,07:13 PM,07:11 AM,06:14 PM,7,17,17,17,5,29,54,0.0,1019,18,10,258,4,Phoenix-Mesa(AZ)
2018-02-17,20,13,0.0,10.1,5,10,08:22 AM,08:10 PM,07:10 AM,06:15 PM,7,18,18,18,3,36,51,0.0,1019,20,10,143,2,Phoenix-Mesa(AZ)
2018-02-18,22,15,0.0,11.1,5,17,08:56 AM,09:08 PM,07:09 AM,06:16 PM,7,20,20,20,7,21,44,0.0,1013,22,10,142,5,Phoenix-Mesa(AZ)
2018-02-19,18,13,0.0,10.1,5,25,09:30 AM,10:08 PM,07:08 AM,06:16 PM,3,15,16,15,28,27,45,0.3,1007,18,10,231,22,Phoenix-Mesa(AZ)
2018-02-20,13,8,0.0,11.1,4,32,10:04 AM,11:08 PM,07:07 AM,06:17 PM,-12,13,13,13,8,3,16,0.0,1017,13,10,263,7,Phoenix-Mesa(AZ)
2018-02-21,14,8,0.0,11.1,4,40,10:41 AM,No moonset,07:06 AM,06:18 PM,-12,13,14,13,8,5,16,0.0,1019,14,10,226,7,Phoenix-Mesa(AZ)
2018-02-22,15,8,0.0,11.1,4,47,11:22 AM,12:10 AM,07:05 AM,06:19 PM,-11,13,13,13,10,5,18,0.0,1022,15,10,230,8,Phoenix-Mesa(AZ)
2018-02-23,14,9,0.0,11.2,4,55,12:07 PM,01:14 AM,07:04 AM,06:20 PM,-3,12,13,12,13,18,33,0.1,1020,14,10,244,11,Phoenix-Mesa(AZ)
2018-02-24,14,7,0.0,11.2,4,62,12:58 PM,02:17 AM,07:02 AM,06:21 PM,-7,12,13,12,8,1,24,0.0,1023,14,10,233,7,Phoenix-Mesa(AZ)
2018-02-25,16,8,0.0,11.2,4,70,01:56 PM,03:21 AM,07:01 AM,06:22 PM,-8,16,16,16,4,0,19,0.0,1022,16,10,225,4,Phoenix-Mesa(AZ)
2018-02-26,19,9,0.0,11.2,4,77,02:59 PM,04:20 AM,07:00 AM,06:22 PM,-10,17,17,17,6,0,15,0.0,1017,19,10,95,5,Phoenix-Mesa(AZ)
2018-02-27,18,11,0.0,10.2,4,85,04:05 PM,05:16 AM,06:59 AM,06:23 PM,-5,16,16,16,13,17,25,1.9,1012,18,10,181,11,Phoenix-Mesa(AZ)
2018-02-28,15,9,0.0,11.6,4,93,05:14 PM,06:05 AM,06:58 AM,06:24 PM,1,11,12,11,12,26,49,0.0,1019,15,10,271,11,Phoenix-Mesa(AZ)
2018-03-01,19,10,0.0,11.6,4,96,06:21 PM,06:50 AM,06:56 AM,06:25 PM,-0,16,16,16,8,5,35,0.0,1021,19,10,135,7,Phoenix-Mesa(AZ)
2018-03-02,23,12,0.0,11.6,5,100,07:27 PM,07:31 AM,06:55 AM,06:26 PM,-3,20,20,20,6,0,21,0.0,1017,23,10,166,5,Phoenix-Mesa(AZ)
2018-03-03,23,14,0.0,11.6,5,89,08:30 PM,08:08 AM,06:54 AM,06:27 PM,-5,21,21,21,7,4,17,0.0,1015,23,10,183,5,Phoenix-Mesa(AZ)
2018-03-04,18,13,0.0,11.6,5,82,09:32 PM,08:44 AM,06:53 AM,06:27 PM,-0,16,16,16,14,26,34,0.0,1017,18,10,245,11,Phoenix-Mesa(AZ)
2018-03-05,21,11,0.0,11.6,5,74,10:31 PM,09:20 AM,06:51 AM,06:28 PM,-11,17,17,17,9,8,15,0.0,1019,21,10,202,7,Phoenix-Mesa(AZ)
2018-03-06,25,13,0.0,8.7,4,67,11:29 PM,09:56 AM,06:50 AM,06:29 PM,-16,19,18,19,11,55,9,0.0,1018,25,10,149,8,Phoenix-Mesa(AZ)
2018-03-07,25,16,0.0,11.6,6,60,No moonrise,10:32 AM,06:49 AM,06:30 PM,-12,21,21,21,13,20,10,0.0,1016,25,10,143,8,Phoenix-Mesa(AZ)
2018-03-08,26,17,0.0,11.6,6,53,12:24 AM,11:12 AM,06:48 AM,06:31 PM,-10,22,22,22,7,29,12,0.0,1015,26,10,207,5,Phoenix-Mesa(AZ)
2018-03-09,27,17,0.0,11.6,6,45,01:19 AM,11:54 AM,06:46 AM,06:31 PM,-10,23,22,23,9,24,10,0.0,1013,27,10,183,7,Phoenix-Mesa(AZ)
2018-03-10,23,18,0.0,5.9,5,38,02:10 AM,12:39 PM,06:45 AM,06:32 PM,0,21,21,21,7,71,28,0.0,1014,23,10,199,5,Phoenix-Mesa(AZ)
2018-03-11,23,16,0.0,10.2,5,31,03:00 AM,01:27 PM,06:44 AM,06:33 PM,10,20,20,20,6,45,54,0.3,1016,23,9,166,5,Phoenix-Mesa(AZ)
2018-03-12,26,18,0.0,11.6,6,24,03:46 AM,02:18 PM,06:42 AM,06:34 PM,7,23,23,23,9,6,38,0.0,1017,26,10,87,7,Phoenix-Mesa(AZ)
