date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-11,-16,0.0,5.3,1,97,05:00 PM,06:57 AM,07:44 AM,05:04 PM,-16,-20,-13,-20,17,63,83,0.0,1035,-11,10,277,12,Pittsburgh(PA)
2018-01-02,-10,-16,0.0,5.3,1,100,06:06 PM,08:00 AM,07:44 AM,05:05 PM,-16,-20,-13,-20,17,64,83,0.1,1036,-10,10,235,12,Pittsburgh(PA)
2018-01-03,-6,-15,0.0,8.7,2,89,07:17 PM,08:56 AM,07:44 AM,05:06 PM,-14,-14,-10,-14,11,18,72,0.0,1024,-6,10,210,8,Pittsburgh(PA)
2018-01-04,-9,-14,0.0,3.6,1,81,08:28 PM,09:45 AM,07:44 AM,05:07 PM,-14,-17,-11,-17,20,95,79,0.0,1017,-9,10,298,15,Pittsburgh(PA)
2018-01-05,-13,-18,0.0,3.6,1,74,09:38 PM,10:26 AM,07:44 AM,05:08 PM,-19,-24,-16,-24,23,92,74,0.1,1024,-13,10,281,18,Pittsburgh(PA)
2018-01-06,-12,-17,0.1,3.6,1,67,10:45 PM,11:02 AM,07:44 AM,05:09 PM,-18,-23,-15,-23,19,83,76,0.1,1034,-12,10,288,14,Pittsburgh(PA)
2018-01-07,-6,-17,0.0,5.3,2,59,11:49 PM,11:35 AM,07:44 AM,05:10 PM,-15,-15,-11,-15,11,46,73,0.0,1033,-6,10,186,7,Pittsburgh(PA)
2018-01-08,1,-4,3.7,3.6,1,52,No moonrise,12:05 PM,07:43 AM,05:11 PM,-3,-5,-1,-5,22,100,85,4.3,1020,1,8,217,13,Pittsburgh(PA)
2018-01-09,1,-3,0.1,3.6,1,45,12:51 AM,12:34 PM,07:43 AM,05:12 PM,-1,-3,-0,-3,11,78,92,0.1,1026,1,8,211,7,Pittsburgh(PA)
2018-01-10,5,-4,0.0,3.6,2,38,01:51 AM,01:05 PM,07:43 AM,05:13 PM,0,-0,1,-0,13,55,93,0.0,1025,5,7,132,6,Pittsburgh(PA)
2018-01-11,12,3,0.0,7.0,2,30,02:50 AM,01:37 PM,07:43 AM,05:14 PM,7,7,8,7,15,63,93,12.8,1019,12,7,153,7,Pittsburgh(PA)
2018-01-12,14,-2,0.0,3.6,2,23,03:47 AM,02:12 PM,07:42 AM,05:15 PM,6,5,7,5,21,96,94,20.4,1008,14,5,228,13,Pittsburgh(PA)
2018-01-13,-6,-11,0.0,3.7,1,16,04:43 AM,02:50 PM,07:42 AM,05:16 PM,-11,-15,-9,-15,21,85,87,0.0,1026,-6,10,326,16,Pittsburgh(PA)
2018-01-14,-8,-15,0.0,7.0,2,9,05:36 AM,03:33 PM,07:42 AM,05:17 PM,-13,-14,-11,-14,7,37,85,0.0,1040,-8,10,200,5,Pittsburgh(PA)
2018-01-15,-3,-11,0.4,3.7,1,1,06:27 AM,04:19 PM,07:41 AM,05:18 PM,-9,-11,-7,-11,13,93,85,0.5,1032,-3,7,131,9,Pittsburgh(PA)
2018-01-16,-3,-13,0.3,3.7,1,0,07:14 AM,05:10 PM,07:41 AM,05:19 PM,-6,-9,-5,-9,11,100,95,0.3,1031,-3,5,246,8,Pittsburgh(PA)
2018-01-17,-9,-18,0.0,3.7,1,0,07:56 AM,06:04 PM,07:41 AM,05:21 PM,-15,-19,-14,-19,11,84,93,0.0,1034,-9,4,246,7,Pittsburgh(PA)
2018-01-18,-4,-14,0.0,8.7,2,6,08:35 AM,07:01 PM,07:40 AM,05:22 PM,-11,-16,-9,-16,23,44,88,0.0,1025,-4,10,227,16,Pittsburgh(PA)
2018-01-19,1,-7,0.0,8.7,2,13,09:10 AM,07:59 PM,07:40 AM,05:23 PM,-5,-8,-3,-8,23,9,87,0.0,1020,1,10,217,14,Pittsburgh(PA)
2018-01-20,5,-0,0.0,3.7,1,20,09:43 AM,08:58 PM,07:39 AM,05:24 PM,1,-2,2,-2,23,64,90,0.1,1018,5,7,231,13,Pittsburgh(PA)
2018-01-21,6,3,0.0,3.7,1,28,10:13 AM,09:59 PM,07:38 AM,05:25 PM,4,3,4,3,15,100,99,0.6,1020,6,0,205,7,Pittsburgh(PA)
2018-01-22,14,6,0.0,8.7,3,35,10:43 AM,11:00 PM,07:38 AM,05:26 PM,8,8,9,8,18,68,91,1.4,1014,14,5,166,9,Pittsburgh(PA)
