date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,29,19,0.0,8.7,6,97,05:14 PM,05:39 AM,06:22 AM,05:25 PM,17,25,25,24,8,17,66,0.0,1017,29,10,159,5,Port-au-Prince
2018-01-02,28,20,0.0,8.7,6,100,06:18 PM,06:43 AM,06:22 AM,05:25 PM,18,25,25,24,8,27,70,0.9,1015,28,10,199,6,Port-au-Prince
2018-01-03,26,21,0.0,8.7,6,89,07:24 PM,07:44 AM,06:22 AM,05:26 PM,19,26,26,24,6,46,74,2.7,1014,26,9,146,4,Port-au-Prince
2018-01-04,26,21,0.0,5.7,6,81,08:26 PM,08:39 AM,06:22 AM,05:26 PM,19,26,26,23,6,47,77,1.6,1015,26,10,180,5,Port-au-Prince
2018-01-05,26,21,0.0,5.7,5,74,09:27 PM,09:29 AM,06:23 AM,05:27 PM,19,25,25,23,9,62,79,0.7,1017,26,9,34,7,Port-au-Prince
2018-01-06,28,21,0.0,8.7,6,67,10:24 PM,10:15 AM,06:23 AM,05:28 PM,19,26,26,24,6,28,73,0.2,1017,28,10,121,4,Port-au-Prince
2018-01-07,28,20,0.0,8.7,6,59,11:18 PM,10:57 AM,06:23 AM,05:28 PM,18,26,26,24,9,19,72,0.1,1016,28,10,128,6,Port-au-Prince
2018-01-08,26,21,0.0,8.7,6,52,No moonrise,11:38 AM,06:23 AM,05:29 PM,18,25,25,23,18,29,74,0.0,1015,26,10,110,13,Port-au-Prince
2018-01-09,28,20,0.0,8.7,6,45,12:10 AM,12:17 PM,06:24 AM,05:30 PM,16,25,25,24,15,11,64,0.0,1016,28,10,116,10,Port-au-Prince
2018-01-10,28,20,0.0,8.7,6,38,01:01 AM,12:56 PM,06:24 AM,05:30 PM,18,26,26,24,12,14,68,0.2,1015,28,10,117,9,Port-au-Prince
2018-01-11,27,21,0.0,8.7,6,30,01:51 AM,01:36 PM,06:24 AM,05:31 PM,18,26,26,24,17,24,71,0.3,1016,27,10,113,12,Port-au-Prince
2018-01-12,27,21,0.0,8.7,6,23,02:41 AM,02:17 PM,06:24 AM,05:31 PM,19,26,26,24,18,28,74,1.0,1016,27,10,116,13,Port-au-Prince
2018-01-13,29,21,0.0,8.7,6,16,03:31 AM,03:01 PM,06:24 AM,05:32 PM,18,26,26,25,11,12,67,0.0,1016,29,10,114,8,Port-au-Prince
2018-01-14,29,20,0.0,8.7,6,9,04:20 AM,03:46 PM,06:24 AM,05:33 PM,17,26,26,24,7,11,65,0.0,1016,29,10,135,5,Port-au-Prince
2018-01-15,29,20,0.0,8.7,6,1,05:09 AM,04:34 PM,06:24 AM,05:33 PM,17,26,26,24,7,16,67,0.0,1016,29,10,168,5,Port-au-Prince
2018-01-16,29,20,0.0,8.7,6,0,05:57 AM,05:23 PM,06:24 AM,05:34 PM,17,26,26,24,8,9,65,0.0,1016,29,10,103,6,Port-au-Prince
2018-01-17,29,20,0.0,8.7,6,0,06:42 AM,06:13 PM,06:25 AM,05:35 PM,17,26,26,24,8,20,66,0.1,1017,29,10,142,6,Port-au-Prince
2018-01-18,28,20,0.0,7.2,6,6,07:27 AM,07:03 PM,06:25 AM,05:35 PM,18,26,26,24,8,30,69,1.2,1016,28,10,159,5,Port-au-Prince
2018-01-19,28,21,0.0,8.7,6,13,08:09 AM,07:54 PM,06:25 AM,05:36 PM,18,26,26,24,8,29,71,0.2,1017,28,10,170,6,Port-au-Prince
2018-01-20,29,21,0.0,8.7,6,20,08:49 AM,08:45 PM,06:25 AM,05:37 PM,18,26,26,25,13,16,67,0.0,1017,29,10,100,10,Port-au-Prince
2018-01-21,29,20,0.0,8.7,6,28,09:29 AM,09:36 PM,06:24 AM,05:37 PM,17,26,26,24,12,14,67,0.1,1016,29,10,101,9,Port-au-Prince
2018-01-22,30,20,0.0,8.7,6,35,10:08 AM,10:27 PM,06:24 AM,05:38 PM,17,26,26,25,12,7,64,0.0,1015,30,10,103,9,Port-au-Prince
2018-01-23,29,20,0.0,8.7,6,42,10:48 AM,11:21 PM,06:24 AM,05:38 PM,17,26,26,24,10,14,67,0.0,1015,29,10,165,7,Port-au-Prince
2018-01-24,30,20,0.0,8.7,6,49,11:29 AM,No moonset,06:24 AM,05:39 PM,17,27,27,25,7,12,65,0.2,1016,30,10,119,5,Port-au-Prince
2018-01-25,30,20,0.0,8.7,6,57,12:13 PM,12:16 AM,06:24 AM,05:40 PM,17,26,26,24,8,20,67,0.6,1016,30,10,165,6,Port-au-Prince
2018-01-26,27,20,0.0,5.7,6,64,01:02 PM,01:14 AM,06:24 AM,05:40 PM,17,24,24,23,11,34,69,0.0,1017,27,10,81,8,Port-au-Prince
2018-01-27,28,20,0.0,8.7,6,71,01:55 PM,02:14 AM,06:24 AM,05:41 PM,16,24,24,23,13,19,63,0.0,1016,28,10,100,9,Port-au-Prince
2018-01-28,28,19,0.0,8.7,6,78,02:53 PM,03:18 AM,06:24 AM,05:41 PM,16,24,24,23,17,20,67,0.0,1015,28,10,91,12,Port-au-Prince
2018-01-29,29,19,0.0,8.7,6,86,03:55 PM,04:20 AM,06:23 AM,05:42 PM,17,25,25,24,15,12,67,0.0,1014,29,10,101,11,Port-au-Prince
2018-01-30,29,20,0.0,8.7,6,93,04:59 PM,05:23 AM,06:23 AM,05:42 PM,17,26,26,25,10,10,67,0.1,1014,29,10,152,7,Port-au-Prince
