date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,34,21,0.0,14.0,7,97,07:06 PM,04:52 AM,05:27 AM,07:30 PM,21,30,30,27,10,37,70,0.2,1007,34,10,121,7,Porto
2018-01-02,27,21,0.0,14.0,6,100,08:07 PM,05:55 AM,05:28 AM,07:30 PM,21,26,26,24,13,49,81,11.4,1003,27,9,221,9,Porto
2018-01-03,30,18,0.0,14.0,6,89,09:03 PM,07:02 AM,05:29 AM,07:30 PM,17,25,25,24,13,30,68,0.1,1007,30,9,239,9,Porto
2018-01-04,35,19,0.0,14.0,7,81,09:53 PM,08:09 AM,05:30 AM,07:30 PM,15,29,29,28,10,2,50,0.0,1011,35,10,188,7,Porto
2018-01-05,35,21,0.0,14.0,7,74,10:36 PM,09:16 AM,05:30 AM,07:31 PM,16,30,30,29,12,14,49,0.0,1010,35,10,184,8,Porto
2018-01-06,28,20,0.0,13.4,6,67,11:16 PM,10:19 AM,05:31 AM,07:31 PM,17,26,26,25,16,37,62,0.0,1013,28,10,222,12,Porto
2018-01-07,27,17,0.0,14.0,6,59,11:53 PM,11:19 AM,05:32 AM,07:31 PM,13,22,23,22,16,21,60,0.0,1018,27,10,130,12,Porto
2018-01-08,29,18,0.0,14.0,6,52,No moonrise,12:17 PM,05:33 AM,07:31 PM,15,24,24,23,19,1,60,0.0,1020,29,10,108,15,Porto
2018-01-09,30,18,0.0,14.0,6,45,12:28 AM,01:13 PM,05:34 AM,07:31 PM,18,26,26,25,19,7,66,0.0,1020,30,10,99,14,Porto
2018-01-10,33,21,0.0,14.0,7,38,01:03 AM,02:07 PM,05:34 AM,07:31 PM,20,29,29,27,13,30,67,0.2,1018,33,10,75,10,Porto
