date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,8,3,0.0,4.9,2,97,03:54 PM,06:52 AM,08:01 AM,04:10 PM,2,3,6,3,25,45,76,0.0,1007,8,10,216,14,Prague
2018-01-02,6,3,0.0,3.0,1,100,04:59 PM,07:59 AM,08:01 AM,04:11 PM,0,1,4,1,26,86,75,0.7,1009,6,9,247,17,Prague
2018-01-03,7,2,0.0,4.9,1,89,06:12 PM,08:54 AM,08:01 AM,04:12 PM,1,0,4,0,36,67,77,5.9,1000,7,10,221,22,Prague
2018-01-04,7,4,0.0,8.1,3,81,07:29 PM,09:40 AM,08:01 AM,04:14 PM,1,2,5,2,29,58,75,2.7,1000,7,10,228,18,Prague
2018-01-05,9,5,0.0,4.9,2,74,08:46 PM,10:16 AM,08:00 AM,04:15 PM,4,4,7,4,26,56,80,0.4,1001,9,10,221,16,Prague
2018-01-06,9,5,0.0,8.2,3,67,10:01 PM,10:47 AM,08:00 AM,04:16 PM,5,6,7,6,11,55,89,0.2,1009,9,9,161,7,Prague
2018-01-07,5,3,0.0,3.1,1,59,11:13 PM,11:13 AM,08:00 AM,04:17 PM,3,2,4,2,15,100,88,0.1,1022,5,9,54,10,Prague
2018-01-08,3,2,0.0,3.2,1,52,No moonrise,11:38 AM,07:59 AM,04:18 PM,-0,-1,3,-1,20,97,81,0.1,1028,3,10,76,14,Prague
2018-01-09,10,4,0.0,8.6,3,45,12:22 AM,12:01 PM,07:59 AM,04:20 PM,3,4,7,4,21,57,80,0.1,1019,10,10,115,13,Prague
2018-01-10,6,3,0.0,3.2,1,38,01:29 AM,12:26 PM,07:58 AM,04:21 PM,3,4,5,4,6,81,91,0.1,1014,6,10,128,4,Prague
2018-01-11,5,1,0.0,8.6,2,30,02:33 AM,12:52 PM,07:58 AM,04:22 PM,1,2,3,2,6,41,87,0.0,1017,5,8,268,4,Prague
2018-01-12,4,1,0.0,3.3,1,23,03:37 AM,01:21 PM,07:57 AM,04:24 PM,1,2,3,2,6,94,89,0.3,1026,4,10,146,4,Prague
2018-01-13,1,-1,0.0,8.7,2,16,04:37 AM,01:54 PM,07:57 AM,04:25 PM,-4,-4,-0,-4,16,57,78,0.0,1029,1,10,73,12,Prague
2018-01-14,1,-2,0.1,5.1,2,9,05:35 AM,02:32 PM,07:56 AM,04:27 PM,-5,-5,-1,-5,21,60,74,0.1,1027,1,10,101,14,Prague
2018-01-15,1,-2,0.0,8.7,2,1,06:28 AM,03:17 PM,07:55 AM,04:28 PM,-6,-5,-1,-5,20,42,69,0.0,1020,1,10,152,15,Prague
2018-01-16,5,-1,0.6,5.1,2,0,07:16 AM,04:07 PM,07:55 AM,04:30 PM,-2,-3,2,-3,33,64,78,2.0,999,5,9,214,21,Prague
2018-01-17,3,-1,0.8,3.3,1,0,07:58 AM,05:03 PM,07:54 AM,04:31 PM,-2,-3,1,-3,27,78,78,0.9,999,3,8,251,18,Prague
2018-01-18,6,0,0.4,3.3,1,6,08:33 AM,06:03 PM,07:53 AM,04:33 PM,-1,-2,3,-2,39,58,77,1.0,1002,6,8,246,24,Prague
2018-01-19,2,-1,1.2,3.3,1,13,09:05 AM,07:06 PM,07:52 AM,04:34 PM,-1,-3,1,-3,20,80,86,1.4,1008,2,8,255,12,Prague
2018-01-20,2,-2,0.7,6.9,1,20,09:33 AM,08:11 PM,07:51 AM,04:36 PM,-2,-4,-0,-4,18,84,88,0.8,1009,2,9,205,11,Prague
