date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,33,18,0.0,13.8,7,97,06:25 PM,04:29 AM,05:19 AM,07:02 PM,4,27,27,28,17,0,26,0.0,1006,33,10,170,11,Pretoria
2018-01-02,31,19,0.0,13.8,6,100,07:29 PM,05:32 AM,05:20 AM,07:03 PM,5,24,24,25,21,7,35,1.0,1011,31,10,148,15,Pretoria
2018-01-03,27,15,0.0,13.8,6,89,08:26 PM,06:37 AM,05:21 AM,07:03 PM,9,21,21,21,14,10,49,0.0,1019,27,10,78,11,Pretoria
2018-01-04,29,16,0.0,13.8,6,81,09:19 PM,07:44 AM,05:22 AM,07:03 PM,6,22,22,22,15,3,38,0.0,1019,29,10,94,11,Pretoria
2018-01-05,32,16,0.0,13.8,6,74,10:05 PM,08:49 AM,05:22 AM,07:03 PM,5,25,25,25,14,2,31,0.0,1013,32,10,163,10,Pretoria
2018-01-06,34,19,0.0,13.8,7,67,10:47 PM,09:51 AM,05:23 AM,07:03 PM,6,28,28,29,9,7,26,0.0,1008,34,10,177,6,Pretoria
2018-01-07,34,20,0.0,13.8,7,59,11:27 PM,10:50 AM,05:24 AM,07:03 PM,4,27,27,28,13,12,23,0.0,1008,34,10,172,9,Pretoria
2018-01-08,35,22,0.0,13.8,7,52,No moonrise,11:47 AM,05:24 AM,07:04 PM,3,27,27,28,24,19,22,0.0,1007,35,10,239,16,Pretoria
2018-01-09,29,19,0.0,13.8,6,45,12:04 AM,12:41 PM,05:25 AM,07:04 PM,13,24,24,24,24,16,55,5.4,1012,29,10,78,17,Pretoria
2018-01-10,25,17,0.0,13.8,6,38,12:40 AM,01:35 PM,05:26 AM,07:04 PM,13,21,21,21,18,38,62,0.2,1019,25,10,49,14,Pretoria
2018-01-11,26,16,0.0,13.8,6,30,01:17 AM,02:26 PM,05:27 AM,07:04 PM,12,22,22,22,13,24,54,0.0,1019,26,10,50,10,Pretoria
2018-01-12,31,16,0.0,13.8,6,23,01:55 AM,03:19 PM,05:27 AM,07:04 PM,11,24,24,24,8,10,46,0.0,1016,31,10,240,6,Pretoria
2018-01-13,33,19,0.0,13.8,7,16,02:35 AM,04:10 PM,05:28 AM,07:04 PM,9,27,27,27,9,4,36,0.0,1013,33,10,98,6,Pretoria
2018-01-14,33,19,0.0,13.8,7,9,03:18 AM,05:00 PM,05:29 AM,07:04 PM,8,26,26,27,12,2,31,0.0,1012,33,10,109,8,Pretoria
2018-01-15,33,19,0.0,13.7,7,1,04:03 AM,05:49 PM,05:30 AM,07:04 PM,11,27,27,27,15,7,39,2.8,1012,33,10,129,11,Pretoria
2018-01-16,29,20,0.0,13.7,6,0,04:51 AM,06:36 PM,05:31 AM,07:04 PM,11,25,25,24,17,20,47,2.8,1017,29,10,62,13,Pretoria
2018-01-17,32,17,0.0,13.7,6,0,05:41 AM,07:21 PM,05:31 AM,07:03 PM,9,25,25,26,10,5,40,0.0,1016,32,10,89,7,Pretoria
2018-01-18,31,20,0.0,13.7,6,6,06:32 AM,08:03 PM,05:32 AM,07:03 PM,6,25,25,26,16,3,31,0.0,1015,31,10,78,11,Pretoria
2018-01-19,31,18,0.0,13.7,6,13,07:25 AM,08:42 PM,05:33 AM,07:03 PM,2,24,24,25,11,4,24,0.0,1014,31,10,52,7,Pretoria
2018-01-20,31,18,0.0,13.7,6,20,08:17 AM,09:21 PM,05:34 AM,07:03 PM,5,25,25,25,12,7,28,0.0,1012,31,10,174,9,Pretoria
2018-01-21,31,20,0.0,13.7,7,28,09:11 AM,09:57 PM,05:34 AM,07:03 PM,9,26,26,26,15,8,37,0.0,1013,31,10,165,12,Pretoria
2018-01-22,29,19,0.0,13.7,6,35,10:04 AM,10:34 PM,05:35 AM,07:02 PM,12,25,25,24,20,14,50,0.3,1013,29,10,147,15,Pretoria
2018-01-23,28,19,0.0,13.7,6,42,10:59 AM,11:11 PM,05:36 AM,07:02 PM,13,23,23,23,14,25,56,1.4,1012,28,10,159,11,Pretoria
2018-01-24,27,19,0.0,13.7,6,49,11:56 AM,11:51 PM,05:37 AM,07:02 PM,14,22,23,22,12,15,61,1.8,1013,27,10,168,9,Pretoria
2018-01-25,29,18,0.0,13.6,6,57,12:54 PM,No moonset,05:38 AM,07:02 PM,13,25,25,25,12,12,50,1.0,1013,29,10,120,8,Pretoria
2018-01-26,27,18,0.0,13.6,6,64,01:55 PM,12:33 AM,05:38 AM,07:01 PM,14,24,24,23,15,20,58,1.8,1014,27,10,82,10,Pretoria
2018-01-27,28,18,0.0,12.1,6,71,02:59 PM,01:20 AM,05:39 AM,07:01 PM,14,23,23,22,15,30,60,2.2,1014,28,9,183,11,Pretoria
2018-01-28,30,18,0.0,13.6,6,78,04:03 PM,02:12 AM,05:40 AM,07:00 PM,12,24,24,24,17,10,47,0.7,1013,30,10,151,13,Pretoria
2018-01-29,25,17,0.0,13.6,6,86,05:07 PM,03:10 AM,05:41 AM,07:00 PM,14,21,21,21,16,19,64,2.0,1016,25,10,125,12,Pretoria
2018-01-30,27,16,0.0,13.3,6,93,06:07 PM,04:13 AM,05:41 AM,07:00 PM,14,21,22,21,13,29,65,1.2,1013,27,10,162,10,Pretoria
2018-01-31,28,18,0.0,13.2,6,97,07:03 PM,05:19 AM,05:42 AM,06:59 PM,12,24,24,23,7,13,52,0.0,1011,28,10,182,5,Pretoria
2018-02-01,30,19,0.0,13.2,6,88,07:53 PM,06:25 AM,05:43 AM,06:59 PM,13,24,24,24,14,13,52,0.0,1011,30,10,218,11,Pretoria
2018-02-02,31,20,0.0,13.1,7,81,08:38 PM,07:31 AM,05:44 AM,06:58 PM,14,26,26,26,13,12,50,1.7,1012,31,10,151,9,Pretoria
2018-02-03,29,20,0.0,13.1,6,73,09:21 PM,08:33 AM,05:44 AM,06:58 PM,14,25,25,24,14,32,56,4.6,1014,29,10,111,10,Pretoria
2018-02-04,29,18,0.0,13.1,6,66,10:00 PM,09:33 AM,05:45 AM,06:57 PM,15,24,24,24,10,20,62,1.4,1014,29,10,159,7,Pretoria
2018-02-05,30,20,0.0,13.1,6,58,10:37 PM,10:30 AM,05:46 AM,06:56 PM,15,26,26,25,11,12,55,0.3,1013,30,10,123,8,Pretoria
2018-02-06,30,19,0.0,13.1,7,51,11:15 PM,11:26 AM,05:47 AM,06:56 PM,15,26,26,26,8,17,54,0.0,1012,30,10,199,6,Pretoria
2018-02-07,28,19,0.0,13.1,6,43,11:54 PM,12:19 PM,05:47 AM,06:55 PM,15,25,25,24,18,36,60,12.4,1013,28,9,105,14,Pretoria
2018-02-08,25,18,0.0,13.1,6,36,No moonrise,01:12 PM,05:48 AM,06:55 PM,16,22,23,22,9,31,69,7.5,1014,25,9,76,7,Pretoria
2018-02-09,27,17,0.0,13.1,6,28,12:33 AM,02:04 PM,05:49 AM,06:54 PM,15,24,24,23,9,23,60,1.0,1012,27,10,134,7,Pretoria
2018-02-10,26,20,0.0,13.0,6,20,01:15 AM,02:55 PM,05:49 AM,06:53 PM,15,24,24,23,12,33,59,0.9,1011,26,10,126,8,Pretoria
2018-02-11,27,19,0.0,13.0,6,13,01:59 AM,03:45 PM,05:50 AM,06:53 PM,14,24,24,23,19,25,61,3.7,1015,27,10,84,14,Pretoria
2018-02-12,28,17,0.0,13.0,6,5,02:46 AM,04:32 PM,05:51 AM,06:52 PM,12,23,23,23,11,12,51,0.0,1018,28,10,75,8,Pretoria
2018-02-13,29,18,0.0,13.0,6,0,03:36 AM,05:18 PM,05:51 AM,06:51 PM,10,23,23,23,18,8,46,0.0,1019,29,10,85,13,Pretoria
2018-02-14,27,16,0.0,13.0,6,0,04:26 AM,06:01 PM,05:52 AM,06:50 PM,11,23,23,23,12,13,50,0.0,1018,27,10,169,8,Pretoria
2018-02-15,26,18,0.0,13.0,6,0,05:19 AM,06:42 PM,05:53 AM,06:50 PM,11,22,22,22,10,18,53,0.1,1014,26,10,158,7,Pretoria
2018-02-16,28,18,0.0,13.0,6,2,06:12 AM,07:21 PM,05:53 AM,06:49 PM,10,24,24,24,8,10,44,0.0,1012,28,10,186,5,Pretoria
2018-02-17,30,19,0.0,12.9,6,10,07:06 AM,07:58 PM,05:54 AM,06:48 PM,10,26,26,26,14,7,40,0.1,1012,30,10,106,9,Pretoria
2018-02-18,29,19,0.0,12.9,6,17,08:00 AM,08:35 PM,05:55 AM,06:47 PM,14,25,25,25,12,17,52,0.0,1012,29,10,125,9,Pretoria
2018-02-19,27,21,0.0,12.9,6,25,08:55 AM,09:13 PM,05:55 AM,06:46 PM,15,25,25,23,7,42,61,4.5,1013,27,10,217,5,Pretoria
2018-02-20,28,20,0.0,12.9,6,32,09:51 AM,09:51 PM,05:56 AM,06:46 PM,15,25,25,24,13,29,60,1.0,1013,28,10,110,10,Pretoria
2018-02-21,25,19,0.0,12.9,6,40,10:48 AM,10:31 PM,05:57 AM,06:45 PM,16,22,23,22,16,48,69,5.0,1014,25,10,87,12,Pretoria
