date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-11,-17,0.0,8.7,2,97,04:20 PM,06:24 AM,07:13 AM,04:25 PM,-20,-22,-14,-22,23,3,58,0.0,1025,-11,10,308,17,Providence(RI)
2018-01-02,-8,-14,0.0,8.7,2,100,05:27 PM,07:29 AM,07:13 AM,04:26 PM,-16,-17,-10,-17,21,27,64,0.0,1026,-8,10,274,14,Providence(RI)
2018-01-03,-2,-11,0.0,6.9,2,89,06:37 PM,08:24 AM,07:13 AM,04:27 PM,-12,-9,-6,-9,12,42,63,0.0,1024,-2,10,216,8,Providence(RI)
2018-01-04,1,-4,0.0,3.4,1,81,07:50 PM,09:12 AM,07:13 AM,04:28 PM,-5,-9,-2,-9,47,100,82,4.8,994,1,6,132,32,Providence(RI)
2018-01-05,-6,-15,0.0,6.9,2,74,09:00 PM,09:53 AM,07:13 AM,04:29 PM,-15,-21,-11,-21,39,48,72,0.0,1001,-6,10,279,28,Providence(RI)
2018-01-06,-12,-16,0.0,8.7,2,67,10:08 PM,10:28 AM,07:13 AM,04:30 PM,-19,-24,-14,-24,35,14,70,0.0,1017,-12,10,282,24,Providence(RI)
2018-01-07,-10,-19,0.0,8.7,2,59,11:13 PM,11:00 AM,07:13 AM,04:31 PM,-18,-21,-14,-21,20,17,72,0.0,1030,-10,10,273,13,Providence(RI)
2018-01-08,1,-7,0.0,6.9,2,52,No moonrise,11:30 AM,07:13 AM,04:32 PM,-6,-8,-2,-8,30,60,74,0.0,1021,1,10,230,19,Providence(RI)
2018-01-09,4,-3,0.0,8.7,2,45,12:16 AM,11:59 AM,07:13 AM,04:33 PM,-3,-4,0,-4,24,13,82,0.0,1019,4,10,273,15,Providence(RI)
2018-01-10,2,-6,0.0,8.7,2,38,01:17 AM,12:28 PM,07:13 AM,04:34 PM,-3,-3,-0,-3,13,9,79,0.0,1031,2,10,245,8,Providence(RI)
