date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,16,8,0.0,11.0,4,97,06:01 PM,06:28 AM,07:06 AM,06:07 PM,6,11,12,11,17,16,67,5.7,1023,16,10,80,11,Puebla
2018-01-02,17,6,0.0,11.0,4,100,07:06 PM,07:32 AM,07:07 AM,06:07 PM,4,10,11,10,12,11,65,0.0,1022,17,10,114,8,Puebla
2018-01-03,17,7,0.0,11.0,4,89,08:11 PM,08:31 AM,07:07 AM,06:08 PM,6,12,12,12,11,11,65,0.1,1021,17,10,89,8,Puebla
2018-01-04,17,7,0.0,11.0,4,81,09:14 PM,09:27 AM,07:07 AM,06:09 PM,6,12,12,12,9,13,67,0.0,1021,17,10,111,6,Puebla
2018-01-05,18,7,0.0,11.0,4,74,10:14 PM,10:16 AM,07:07 AM,06:09 PM,7,13,13,13,8,16,68,0.3,1021,18,10,146,6,Puebla
2018-01-06,19,8,0.0,11.0,4,67,11:11 PM,11:02 AM,07:08 AM,06:10 PM,6,13,14,13,7,18,64,0.0,1021,19,10,157,5,Puebla
2018-01-07,18,6,0.0,11.0,4,59,No moonrise,11:44 AM,07:08 AM,06:10 PM,4,12,13,12,12,5,56,0.0,1019,18,10,156,8,Puebla
2018-01-08,20,8,0.0,11.0,4,52,12:05 AM,12:24 PM,07:08 AM,06:11 PM,2,13,14,13,16,2,47,0.0,1018,20,10,143,11,Puebla
2018-01-09,20,6,0.0,11.0,4,45,12:57 AM,01:03 PM,07:08 AM,06:12 PM,-0,13,14,13,12,3,44,0.0,1019,20,10,112,7,Puebla
2018-01-10,19,7,0.0,11.0,4,38,01:48 AM,01:42 PM,07:09 AM,06:12 PM,1,15,15,15,10,1,42,0.0,1016,19,10,225,7,Puebla
2018-01-11,21,8,0.0,11.0,4,30,02:38 AM,02:21 PM,07:09 AM,06:13 PM,6,15,15,15,6,5,60,0.0,1014,21,10,146,4,Puebla
2018-01-12,18,7,0.0,11.1,4,23,03:29 AM,03:03 PM,07:09 AM,06:14 PM,4,12,13,12,18,11,59,0.0,1020,18,10,124,12,Puebla
2018-01-13,19,7,0.0,11.1,4,16,04:18 AM,03:47 PM,07:09 AM,06:14 PM,3,11,12,11,15,6,56,0.0,1023,19,10,82,10,Puebla
2018-01-14,17,3,0.0,11.1,3,9,05:08 AM,04:32 PM,07:09 AM,06:15 PM,-1,8,10,8,13,5,49,0.0,1026,17,10,88,9,Puebla
2018-01-15,17,4,0.0,11.1,3,1,05:57 AM,05:20 PM,07:09 AM,06:16 PM,-0,9,10,9,15,4,51,0.0,1023,17,10,121,10,Puebla
2018-01-16,18,4,0.0,11.1,4,0,06:44 AM,06:09 PM,07:09 AM,06:16 PM,-0,11,12,11,13,7,47,0.0,1023,18,10,147,8,Puebla
2018-01-17,16,5,0.0,11.1,3,0,07:30 AM,06:59 PM,07:09 AM,06:17 PM,2,9,10,9,15,9,61,0.0,1025,16,10,74,11,Puebla
2018-01-18,17,5,0.0,11.1,3,6,08:14 AM,07:50 PM,07:09 AM,06:17 PM,2,9,10,9,14,10,59,0.0,1024,17,10,127,10,Puebla
2018-01-19,17,5,0.0,11.1,4,13,08:56 AM,08:40 PM,07:09 AM,06:18 PM,2,11,11,11,13,7,56,0.0,1020,17,10,102,9,Puebla
2018-01-20,18,7,0.0,11.1,4,20,09:36 AM,09:32 PM,07:09 AM,06:19 PM,4,12,12,12,10,8,60,0.0,1018,18,10,117,8,Puebla
2018-01-21,20,8,0.0,11.1,4,28,10:15 AM,10:23 PM,07:09 AM,06:19 PM,4,14,14,14,10,5,55,0.0,1016,20,10,122,7,Puebla
