date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,16,0.0,11.0,6,97,05:34 PM,05:58 AM,07:07 AM,06:09 PM,9,23,24,23,8,3,41,0.0,1011,28,10,191,5,Pune
2018-01-02,28,16,0.0,11.0,6,100,06:37 PM,07:02 AM,07:07 AM,06:10 PM,9,23,23,23,6,3,42,0.0,1011,28,10,186,4,Pune
2018-01-03,28,16,0.0,11.0,6,89,07:43 PM,08:04 AM,07:08 AM,06:10 PM,9,23,23,23,9,3,41,0.0,1012,28,10,150,6,Pune
2018-01-04,28,16,0.0,11.0,6,81,08:46 PM,09:02 AM,07:08 AM,06:11 PM,9,23,23,23,9,4,42,0.0,1013,28,10,101,6,Pune
2018-01-05,28,16,0.0,11.0,6,74,09:48 PM,09:55 AM,07:08 AM,06:12 PM,10,24,24,24,6,4,42,0.0,1012,28,10,216,4,Pune
2018-01-06,27,16,0.0,11.0,6,67,10:46 PM,10:42 AM,07:08 AM,06:12 PM,9,23,23,23,8,6,43,0.0,1012,27,10,244,5,Pune
2018-01-07,26,16,0.0,11.0,6,59,11:42 PM,11:26 AM,07:09 AM,06:13 PM,9,22,22,22,6,6,43,0.0,1013,26,10,198,4,Pune
2018-01-08,28,15,0.0,11.0,6,52,No moonrise,12:07 PM,07:09 AM,06:13 PM,9,22,22,22,8,4,43,0.0,1013,28,10,140,6,Pune
2018-01-09,28,16,0.0,11.1,6,45,12:34 AM,12:46 PM,07:09 AM,06:14 PM,8,22,22,22,13,4,40,0.0,1015,28,10,109,9,Pune
2018-01-10,28,16,0.0,11.1,6,38,01:26 AM,01:25 PM,07:09 AM,06:15 PM,9,23,23,23,14,6,43,0.0,1016,28,10,91,10,Pune
2018-01-11,30,18,0.0,11.1,6,30,02:16 AM,02:05 PM,07:09 AM,06:15 PM,11,25,25,24,10,10,43,0.0,1015,30,10,118,7,Pune
2018-01-12,30,20,0.0,11.1,6,23,03:06 AM,02:45 PM,07:10 AM,06:16 PM,12,26,26,25,12,20,46,0.0,1014,30,10,121,8,Pune
2018-01-13,30,21,0.0,11.1,6,16,03:56 AM,03:28 PM,07:10 AM,06:17 PM,12,26,26,25,12,13,44,0.0,1013,30,10,83,8,Pune
2018-01-14,31,20,0.0,11.1,7,9,04:45 AM,04:13 PM,07:10 AM,06:17 PM,12,27,27,26,9,16,42,0.0,1014,31,10,154,6,Pune
2018-01-15,31,21,0.0,11.1,7,1,05:35 AM,04:59 PM,07:10 AM,06:18 PM,12,27,27,26,9,27,43,0.0,1014,31,10,155,6,Pune
2018-01-16,30,21,0.0,11.1,7,0,06:22 AM,05:48 PM,07:10 AM,06:18 PM,11,26,26,26,8,19,40,0.0,1013,30,10,197,5,Pune
2018-01-17,30,20,0.0,11.1,6,0,07:10 AM,06:37 PM,07:10 AM,06:19 PM,9,26,26,26,9,7,36,0.0,1012,30,10,174,6,Pune
2018-01-18,29,19,0.0,11.1,6,6,07:54 AM,07:28 PM,07:10 AM,06:20 PM,8,25,25,25,11,3,35,0.0,1013,29,10,63,7,Pune
2018-01-19,29,18,0.0,11.1,6,13,08:37 AM,08:18 PM,07:10 AM,06:20 PM,9,25,25,25,9,4,38,0.0,1014,29,10,111,7,Pune
2018-01-20,28,17,0.0,11.1,6,20,09:18 AM,09:09 PM,07:10 AM,06:21 PM,7,25,25,25,8,0,35,0.0,1014,28,10,126,6,Pune
2018-01-21,29,16,0.0,11.1,6,28,09:58 AM,10:00 PM,07:10 AM,06:22 PM,6,25,25,26,7,0,30,0.0,1012,29,10,118,5,Pune
2018-01-22,29,16,0.0,11.1,6,35,10:37 AM,10:51 PM,07:10 AM,06:22 PM,8,25,25,25,8,1,36,0.0,1011,29,10,168,6,Pune
2018-01-23,29,17,0.0,11.1,6,42,11:17 AM,11:44 PM,07:10 AM,06:23 PM,10,23,23,23,12,3,47,0.0,1011,29,10,275,9,Pune
2018-01-24,28,15,0.0,11.1,6,49,11:57 AM,No moonset,07:10 AM,06:23 PM,11,24,23,24,6,2,49,0.0,1012,28,10,207,5,Pune
2018-01-25,29,16,0.0,11.1,6,57,12:40 PM,12:38 AM,07:10 AM,06:24 PM,7,25,25,25,6,0,34,0.0,1011,29,10,132,5,Pune
2018-01-26,29,16,0.0,11.2,6,64,01:27 PM,01:36 AM,07:10 AM,06:25 PM,5,25,25,25,8,0,29,0.0,1012,29,10,97,6,Pune
2018-01-27,29,16,0.0,11.2,6,71,02:17 PM,02:35 AM,07:09 AM,06:25 PM,7,26,25,26,6,0,33,0.0,1012,29,10,172,4,Pune
2018-01-28,29,17,0.0,11.2,6,78,03:14 PM,03:37 AM,07:09 AM,06:26 PM,8,26,26,26,6,0,33,0.0,1013,29,10,163,4,Pune
2018-01-29,30,17,0.0,11.2,6,86,04:14 PM,04:40 AM,07:09 AM,06:26 PM,7,26,26,26,8,0,31,0.0,1014,30,10,69,6,Pune
2018-01-30,30,18,0.0,11.2,6,93,05:18 PM,05:43 AM,07:09 AM,06:27 PM,4,24,24,25,13,1,28,0.0,1015,30,10,82,9,Pune
