date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-1,-7,0.0,8.7,2,97,04:45 PM,06:31 AM,07:56 AM,05:25 PM,-12,-4,-2,-4,5,2,48,0.0,1027,-1,10,255,4,Pyongyang
2018-01-02,-4,-8,0.0,8.7,2,100,05:48 PM,07:38 AM,07:56 AM,05:26 PM,-14,-10,-6,-10,18,11,54,0.0,1030,-4,10,299,11,Pyongyang
2018-01-03,-5,-10,0.0,8.7,2,89,06:57 PM,08:39 AM,07:56 AM,05:27 PM,-14,-13,-7,-13,16,5,61,0.0,1032,-5,10,318,11,Pyongyang
2018-01-04,-6,-10,0.0,5.3,2,81,08:07 PM,09:32 AM,07:56 AM,05:28 PM,-13,-10,-8,-10,7,48,66,0.0,1029,-6,10,264,5,Pyongyang
2018-01-05,-5,-9,0.0,5.3,1,74,09:18 PM,10:17 AM,07:56 AM,05:29 PM,-12,-8,-6,-8,5,45,66,0.0,1022,-5,10,294,4,Pyongyang
2018-01-06,-3,-9,0.0,8.7,2,67,10:25 PM,10:57 AM,07:56 AM,05:30 PM,-10,-6,-4,-6,6,1,64,0.0,1024,-3,10,294,5,Pyongyang
2018-01-07,-2,-8,0.0,3.7,1,59,11:31 PM,11:32 AM,07:56 AM,05:30 PM,-11,-6,-5,-6,5,75,63,0.0,1023,-2,10,168,3,Pyongyang
2018-01-08,-2,-5,1.0,3.7,1,52,No moonrise,12:04 PM,07:56 AM,05:31 PM,-8,-5,-3,-5,12,94,71,1.2,1012,-2,9,184,8,Pyongyang
2018-01-09,-6,-9,0.0,8.7,2,45,12:32 AM,12:35 PM,07:56 AM,05:32 PM,-13,-13,-7,-13,24,29,66,0.0,1012,-6,10,288,16,Pyongyang
2018-01-10,-9,-12,0.0,8.7,2,38,01:33 AM,01:06 PM,07:56 AM,05:33 PM,-16,-17,-10,-17,23,15,64,0.0,1019,-9,10,302,15,Pyongyang
2018-01-11,-12,-15,0.0,8.7,2,30,02:31 AM,01:38 PM,07:56 AM,05:34 PM,-18,-22,-13,-22,26,3,66,0.0,1027,-12,10,315,17,Pyongyang
2018-01-12,-11,-17,0.0,8.7,2,23,03:29 AM,02:11 PM,07:56 AM,05:35 PM,-18,-17,-13,-17,9,12,63,0.0,1031,-11,10,230,6,Pyongyang
2018-01-13,-4,-12,0.0,8.7,2,16,04:25 AM,02:48 PM,07:55 AM,05:36 PM,-14,-9,-8,-9,7,51,62,0.0,1031,-4,10,83,4,Pyongyang
2018-01-14,1,-7,0.0,3.7,1,9,05:20 AM,03:29 PM,07:55 AM,05:37 PM,-5,-7,-3,-7,23,58,85,0.3,1027,1,10,135,12,Pyongyang
2018-01-15,1,-4,0.0,8.7,2,1,06:11 AM,04:13 PM,07:55 AM,05:39 PM,-3,-1,-0,-1,7,29,80,0.6,1023,1,10,248,5,Pyongyang
2018-01-16,1,-3,0.1,3.7,1,0,07:00 AM,05:02 PM,07:54 AM,05:40 PM,-4,-2,-1,-2,8,75,80,0.2,1019,1,9,107,5,Pyongyang
2018-01-17,3,-3,0.0,8.7,2,0,07:46 AM,05:54 PM,07:54 AM,05:41 PM,-2,0,1,0,6,37,79,0.0,1018,3,10,158,4,Pyongyang
2018-01-18,0,-4,0.0,8.7,2,6,08:27 AM,06:48 PM,07:54 AM,05:42 PM,-6,-3,-1,-3,9,24,72,0.0,1023,0,10,286,7,Pyongyang
2018-01-19,2,-5,0.0,8.7,2,13,09:05 AM,07:45 PM,07:53 AM,05:43 PM,-8,-2,-1,-2,9,28,59,0.0,1025,2,10,149,6,Pyongyang
2018-01-20,1,-3,0.0,8.7,2,20,09:40 AM,08:43 PM,07:53 AM,05:44 PM,-4,-2,-0,-2,9,19,78,0.0,1022,1,10,263,6,Pyongyang
2018-01-21,-1,-6,0.0,8.7,2,28,10:11 AM,09:42 PM,07:52 AM,05:45 PM,-15,-5,-3,-5,8,43,41,0.0,1025,-1,10,213,6,Pyongyang
2018-01-22,-3,-9,0.8,3.7,1,35,10:42 AM,10:42 PM,07:51 AM,05:46 PM,-11,-8,-4,-8,14,87,64,1.0,1018,-3,9,176,10,Pyongyang
2018-01-23,-12,-15,0.0,8.7,2,42,11:13 AM,11:44 PM,07:51 AM,05:47 PM,-25,-24,-14,-24,32,1,39,0.0,1024,-12,10,318,24,Pyongyang
2018-01-24,-15,-17,0.0,8.7,2,49,11:45 AM,No moonset,07:50 AM,05:48 PM,-27,-26,-16,-26,29,2,40,0.0,1030,-15,10,321,22,Pyongyang
2018-01-25,-14,-17,0.0,8.7,2,57,12:18 PM,12:47 AM,07:50 AM,05:50 PM,-24,-26,-16,-26,31,14,50,0.0,1032,-14,10,322,22,Pyongyang
2018-01-26,-14,-20,0.0,8.7,2,64,12:56 PM,01:52 AM,07:49 AM,05:51 PM,-24,-26,-17,-26,27,0,54,0.0,1032,-14,10,325,20,Pyongyang
2018-01-27,-9,-17,0.0,8.7,2,71,01:39 PM,03:00 AM,07:48 AM,05:52 PM,-19,-16,-13,-16,7,24,60,0.0,1030,-9,10,277,5,Pyongyang
2018-01-28,-7,-12,0.0,8.7,2,78,02:28 PM,04:08 AM,07:47 AM,05:53 PM,-17,-13,-9,-13,14,40,55,0.0,1024,-7,10,287,10,Pyongyang
2018-01-29,-9,-14,0.0,8.7,2,86,03:26 PM,05:15 AM,07:47 AM,05:54 PM,-18,-16,-11,-16,16,5,55,0.0,1024,-9,10,299,12,Pyongyang
2018-01-30,-4,-13,0.0,8.7,2,93,04:30 PM,06:18 AM,07:46 AM,05:55 PM,-14,-11,-8,-11,10,11,61,0.0,1025,-4,10,165,7,Pyongyang
2018-01-31,-4,-9,0.0,8.7,2,97,05:40 PM,07:15 AM,07:45 AM,05:56 PM,-13,-8,-5,-8,10,8,58,0.0,1027,-4,10,289,7,Pyongyang
2018-02-01,-3,-10,0.0,8.7,2,88,06:51 PM,08:05 AM,07:44 AM,05:58 PM,-13,-4,-3,-4,3,1,47,0.0,1030,-3,10,228,3,Pyongyang
2018-02-02,-1,-8,0.0,7.1,2,81,08:02 PM,08:49 AM,07:43 AM,05:59 PM,-12,-6,-4,-6,9,43,56,0.0,1030,-1,10,198,6,Pyongyang
2018-02-03,-7,-11,0.0,10.6,2,73,09:11 PM,09:27 AM,07:42 AM,06:00 PM,-19,-17,-9,-17,29,4,44,0.0,1029,-7,10,305,21,Pyongyang
2018-02-04,-9,-14,0.0,10.6,2,66,10:17 PM,10:02 AM,07:41 AM,06:01 PM,-20,-19,-11,-19,27,0,50,0.0,1029,-9,10,312,19,Pyongyang
2018-02-05,-9,-13,0.0,10.6,2,58,11:20 PM,10:34 AM,07:40 AM,06:02 PM,-19,-19,-11,-19,26,4,52,0.0,1028,-9,10,319,18,Pyongyang
2018-02-06,-10,-14,0.0,10.6,2,51,No moonrise,11:06 AM,07:39 AM,06:03 PM,-20,-20,-12,-20,25,1,52,0.0,1026,-10,10,315,18,Pyongyang
2018-02-07,-6,-14,0.0,6.9,2,43,12:21 AM,11:38 AM,07:38 AM,06:04 PM,-19,-13,-10,-13,7,44,49,0.0,1027,-6,10,264,5,Pyongyang
