date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-3,-7,0.0,8.7,2,97,05:06 PM,06:39 AM,07:25 AM,05:12 PM,-19,-10,-5,-10,20,9,31,0.0,1033,-3,10,185,15,Raleigh(NC)
2018-01-02,-2,-9,0.0,8.7,2,100,06:12 PM,07:43 AM,07:25 AM,05:13 PM,-19,-7,-4,-7,11,0,31,0.0,1035,-2,10,262,8,Raleigh(NC)
2018-01-03,0,-6,0.9,5.4,1,89,07:21 PM,08:40 AM,07:25 AM,05:14 PM,-17,-6,-3,-6,15,70,35,1.1,1023,0,9,172,11,Raleigh(NC)
2018-01-04,-0,-6,0.0,8.7,2,81,08:30 PM,09:31 AM,07:25 AM,05:15 PM,-13,-9,-3,-9,31,11,49,0.0,1012,-0,10,309,21,Raleigh(NC)
2018-01-05,-1,-8,0.0,8.7,2,74,09:38 PM,10:14 AM,07:25 AM,05:15 PM,-17,-11,-5,-11,21,2,40,0.0,1024,-1,10,304,15,Raleigh(NC)
2018-01-06,-3,-9,0.0,8.7,2,67,10:42 PM,10:52 AM,07:25 AM,05:16 PM,-18,-11,-6,-11,17,2,37,0.0,1033,-3,10,328,12,Raleigh(NC)
2018-01-07,-3,-10,0.0,8.7,2,59,11:44 PM,11:28 AM,07:25 AM,05:17 PM,-17,-9,-6,-9,9,10,40,0.0,1037,-3,10,137,7,Raleigh(NC)
2018-01-08,6,-6,0.0,7.0,2,52,No moonrise,12:00 PM,07:25 AM,05:18 PM,-8,-2,-0,-2,11,46,57,0.3,1028,6,9,211,7,Raleigh(NC)
2018-01-09,14,2,0.0,8.7,3,45,12:43 AM,12:32 PM,07:25 AM,05:19 PM,6,6,7,6,13,43,90,0.1,1025,14,7,166,7,Raleigh(NC)
2018-01-10,13,3,0.0,8.7,3,38,01:41 AM,01:05 PM,07:25 AM,05:20 PM,4,6,7,6,15,52,82,0.0,1029,13,7,81,9,Raleigh(NC)
2018-01-11,18,7,0.0,3.7,3,30,02:37 AM,01:40 PM,07:25 AM,05:21 PM,12,12,13,12,19,93,95,0.0,1024,18,5,102,11,Raleigh(NC)
2018-01-12,21,17,0.0,5.4,4,23,03:33 AM,02:16 PM,07:25 AM,05:22 PM,17,19,19,19,27,79,92,12.5,1009,21,8,171,16,Raleigh(NC)
2018-01-13,13,1,0.0,8.7,3,16,04:26 AM,02:56 PM,07:25 AM,05:23 PM,2,5,8,5,24,53,69,0.2,1016,13,10,303,17,Raleigh(NC)
2018-01-14,1,-4,0.0,8.7,2,9,05:19 AM,03:39 PM,07:24 AM,05:24 PM,-16,-6,-2,-6,20,0,33,0.0,1035,1,10,25,15,Raleigh(NC)
2018-01-15,3,-6,0.0,8.7,2,1,06:09 AM,04:26 PM,07:24 AM,05:25 PM,-13,-5,-2,-5,14,8,41,0.0,1034,3,10,97,10,Raleigh(NC)
2018-01-16,7,-3,0.0,5.4,2,0,06:56 AM,05:16 PM,07:24 AM,05:26 PM,-6,2,2,2,6,42,56,0.0,1030,7,10,196,4,Raleigh(NC)
2018-01-17,2,-5,3.8,3.8,1,0,07:40 AM,06:09 PM,07:24 AM,05:27 PM,-3,-4,-0,-4,20,92,84,6.2,1025,2,8,107,13,Raleigh(NC)
2018-01-18,1,-11,0.0,8.7,2,6,08:20 AM,07:04 PM,07:23 AM,05:28 PM,-6,-9,-4,-9,21,6,85,0.0,1025,1,10,288,13,Raleigh(NC)
2018-01-19,8,-3,0.0,8.7,2,13,08:57 AM,08:00 PM,07:23 AM,05:29 PM,-0,1,3,1,16,0,79,0.0,1023,8,10,252,9,Raleigh(NC)
2018-01-20,11,0,0.0,8.7,3,20,09:32 AM,08:57 PM,07:22 AM,05:30 PM,3,4,6,4,18,0,80,0.0,1021,11,10,252,10,Raleigh(NC)
2018-01-21,17,4,0.0,8.7,4,28,10:04 AM,09:55 PM,07:22 AM,05:31 PM,7,10,11,10,12,11,80,0.0,1023,17,10,255,7,Raleigh(NC)
2018-01-22,16,8,0.0,8.7,4,35,10:37 AM,10:54 PM,07:21 AM,05:32 PM,8,11,12,11,16,21,80,0.3,1021,16,10,186,9,Raleigh(NC)
2018-01-23,20,10,0.0,7.1,5,42,11:10 AM,11:55 PM,07:21 AM,05:33 PM,11,16,16,16,35,47,73,2.6,1010,20,9,230,22,Raleigh(NC)
2018-01-24,11,4,0.0,8.7,3,49,11:44 AM,No moonset,07:20 AM,05:34 PM,0,6,8,6,15,10,60,0.0,1021,11,10,313,10,Raleigh(NC)
