date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,31,24,0.0,8.7,7,97,05:03 PM,05:22 AM,06:34 AM,05:44 PM,18,29,29,28,12,31,58,0.0,1010,31,10,117,8,Rangoon
2018-01-02,30,22,0.0,8.7,7,100,06:07 PM,06:26 AM,06:34 AM,05:44 PM,19,28,28,26,13,16,65,0.0,1010,30,10,151,9,Rangoon
2018-01-03,30,22,0.0,8.7,6,89,07:12 PM,07:29 AM,06:35 AM,05:45 PM,19,27,27,25,15,52,68,0.1,1010,30,10,178,11,Rangoon
2018-01-04,29,23,0.0,8.7,7,81,08:15 PM,08:27 AM,06:35 AM,05:45 PM,21,27,27,25,15,59,76,0.3,1011,29,10,254,11,Rangoon
2018-01-05,30,22,0.0,8.7,7,74,09:17 PM,09:20 AM,06:35 AM,05:46 PM,19,27,27,25,18,44,71,0.0,1010,30,10,298,12,Rangoon
2018-01-06,32,22,0.0,7.2,7,67,10:14 PM,10:09 AM,06:36 AM,05:47 PM,19,29,29,27,11,29,64,0.0,1009,32,10,241,8,Rangoon
2018-01-07,32,23,0.0,8.7,7,59,11:09 PM,10:53 AM,06:36 AM,05:47 PM,20,30,30,28,10,30,64,0.0,1010,32,10,195,7,Rangoon
2018-01-08,31,24,0.0,5.7,7,52,No moonrise,11:35 AM,06:36 AM,05:48 PM,21,30,30,28,9,45,66,0.0,1011,31,10,221,6,Rangoon
2018-01-09,33,24,0.0,8.7,7,45,12:01 AM,12:15 PM,06:36 AM,05:48 PM,22,32,32,29,10,16,66,0.0,1012,33,10,186,7,Rangoon
2018-01-10,33,24,0.0,8.7,7,38,12:52 AM,12:55 PM,06:37 AM,05:49 PM,20,31,31,29,11,7,60,0.0,1012,33,10,303,8,Rangoon
2018-01-11,33,23,0.0,8.7,7,30,01:42 AM,01:35 PM,06:37 AM,05:50 PM,15,29,29,28,11,6,45,0.0,1012,33,10,267,7,Rangoon
2018-01-12,30,20,0.0,8.7,6,23,02:31 AM,02:16 PM,06:37 AM,05:50 PM,16,27,27,26,12,15,54,0.0,1013,30,10,234,8,Rangoon
2018-01-13,29,22,0.0,7.2,5,16,03:21 AM,02:59 PM,06:37 AM,05:51 PM,17,27,27,25,15,39,61,0.0,1013,29,10,145,11,Rangoon
2018-01-14,28,22,0.0,7.2,6,9,04:10 AM,03:44 PM,06:37 AM,05:51 PM,19,27,27,25,11,41,68,0.0,1013,28,10,160,8,Rangoon
2018-01-15,30,20,0.0,8.7,6,1,04:59 AM,04:30 PM,06:37 AM,05:52 PM,18,28,28,26,11,6,64,0.0,1012,30,10,250,8,Rangoon
2018-01-16,30,20,0.0,8.7,6,0,05:48 AM,05:19 PM,06:38 AM,05:53 PM,19,29,29,27,7,2,62,0.0,1011,30,10,230,6,Rangoon
2018-01-17,31,20,0.0,8.7,6,0,06:34 AM,06:08 PM,06:38 AM,05:53 PM,19,30,30,28,8,0,59,0.0,1011,31,10,220,6,Rangoon
2018-01-18,31,19,0.0,8.7,6,6,07:20 AM,06:58 PM,06:38 AM,05:54 PM,17,28,28,27,10,0,56,0.0,1011,31,10,286,8,Rangoon
2018-01-19,32,19,0.0,8.7,7,13,08:03 AM,07:48 PM,06:38 AM,05:54 PM,15,28,28,27,12,0,48,0.0,1012,32,10,213,9,Rangoon
2018-01-20,32,19,0.0,8.7,6,20,08:45 AM,08:38 PM,06:38 AM,05:55 PM,13,27,27,26,16,0,44,0.0,1011,32,10,208,10,Rangoon
2018-01-21,32,20,0.0,8.7,7,28,09:25 AM,09:29 PM,06:38 AM,05:55 PM,11,27,27,27,17,2,39,0.0,1010,32,10,292,11,Rangoon
2018-01-22,32,19,0.0,8.7,7,35,10:05 AM,10:19 PM,06:38 AM,05:56 PM,10,27,27,27,16,0,36,0.0,1010,32,10,209,10,Rangoon
2018-01-23,33,19,0.0,8.7,7,42,10:45 AM,11:11 PM,06:38 AM,05:57 PM,11,27,27,27,15,1,38,0.0,1010,33,10,287,10,Rangoon
2018-01-24,33,20,0.0,8.7,7,49,11:26 AM,No moonset,06:38 AM,05:57 PM,10,27,27,27,13,3,35,0.0,1009,33,10,189,8,Rangoon
2018-01-25,33,21,0.0,8.7,7,57,12:09 PM,12:05 AM,06:38 AM,05:58 PM,13,28,28,27,11,13,41,0.0,1008,33,10,276,7,Rangoon
2018-01-26,33,23,0.0,8.7,7,64,12:56 PM,01:01 AM,06:37 AM,05:58 PM,14,29,29,28,10,19,43,0.0,1009,33,10,280,7,Rangoon
2018-01-27,33,23,0.0,8.7,7,71,01:48 PM,02:00 AM,06:37 AM,05:59 PM,14,29,29,28,11,21,43,0.0,1009,33,10,281,7,Rangoon
2018-01-28,33,23,0.0,8.7,7,78,02:43 PM,03:01 AM,06:37 AM,05:59 PM,14,29,29,28,12,13,41,0.0,1010,33,10,274,8,Rangoon
2018-01-29,33,21,0.0,11.6,7,86,03:44 PM,04:04 AM,06:37 AM,06:00 PM,9,27,27,27,15,2,32,0.0,1011,33,10,300,10,Rangoon
2018-01-30,32,17,0.0,11.6,6,93,04:48 PM,05:07 AM,06:37 AM,06:00 PM,6,26,26,26,12,0,29,0.0,1011,32,10,294,8,Rangoon
2018-01-31,31,16,0.0,11.6,6,97,05:53 PM,06:07 AM,06:37 AM,06:01 PM,9,25,25,25,12,0,39,0.0,1012,31,10,266,8,Rangoon
2018-02-01,31,17,0.0,11.6,6,88,06:56 PM,07:04 AM,06:36 AM,06:01 PM,12,25,25,25,12,0,47,0.0,1013,31,10,272,8,Rangoon
2018-02-02,31,18,0.0,11.6,6,81,07:57 PM,07:56 AM,06:36 AM,06:02 PM,16,28,28,27,9,0,55,0.0,1013,31,10,243,7,Rangoon
2018-02-03,31,19,0.0,11.6,7,73,08:55 PM,08:43 AM,06:36 AM,06:02 PM,15,28,28,27,10,3,49,0.0,1013,31,10,152,7,Rangoon
2018-02-04,32,21,0.0,11.6,7,66,09:51 PM,09:28 AM,06:36 AM,06:03 PM,17,28,28,27,12,5,54,0.0,1013,32,10,168,8,Rangoon
2018-02-05,32,21,0.0,11.6,7,58,10:43 PM,10:10 AM,06:35 AM,06:03 PM,19,30,30,28,10,2,58,0.0,1015,32,10,193,8,Rangoon
2018-02-06,32,21,0.0,11.6,7,51,11:35 PM,10:51 AM,06:35 AM,06:04 PM,16,28,28,27,13,5,54,0.0,1014,32,10,167,9,Rangoon
2018-02-07,32,20,0.0,11.6,7,43,No moonrise,11:32 AM,06:35 AM,06:04 PM,16,28,28,27,13,0,56,0.0,1013,32,10,215,10,Rangoon
2018-02-08,31,19,0.0,11.6,6,36,12:25 AM,12:13 PM,06:34 AM,06:05 PM,18,28,28,27,13,0,61,0.0,1012,31,10,228,10,Rangoon
2018-02-09,31,20,0.0,11.6,6,28,01:16 AM,12:56 PM,06:34 AM,06:05 PM,17,27,27,26,15,3,60,0.0,1012,31,10,227,11,Rangoon
2018-02-10,32,20,0.0,11.6,7,20,02:05 AM,01:40 PM,06:34 AM,06:05 PM,18,29,29,28,10,1,60,0.0,1013,32,10,231,8,Rangoon
2018-02-11,34,21,0.0,11.6,7,13,02:55 AM,02:26 PM,06:33 AM,06:06 PM,16,29,29,28,14,0,50,0.0,1014,34,10,156,10,Rangoon
2018-02-12,34,22,0.0,11.6,7,5,03:43 AM,03:14 PM,06:33 AM,06:06 PM,15,29,29,29,13,5,46,0.0,1015,34,10,153,9,Rangoon
2018-02-13,34,23,0.0,11.6,7,0,04:30 AM,04:03 PM,06:32 AM,06:07 PM,16,30,30,29,16,8,47,0.0,1015,34,10,162,11,Rangoon
2018-02-14,34,23,0.0,11.6,7,0,05:17 AM,04:53 PM,06:32 AM,06:07 PM,16,30,30,29,12,7,48,0.0,1015,34,10,271,8,Rangoon
2018-02-15,35,21,0.0,11.6,7,0,06:01 AM,05:44 PM,06:31 AM,06:07 PM,15,30,30,29,12,1,46,0.0,1014,35,10,233,8,Rangoon
2018-02-16,35,21,0.0,11.6,7,2,06:43 AM,06:34 PM,06:31 AM,06:08 PM,14,30,30,29,13,0,43,0.0,1012,35,10,145,9,Rangoon
2018-02-17,34,21,0.0,11.6,7,10,07:25 AM,07:25 PM,06:30 AM,06:08 PM,9,29,29,29,15,0,31,0.0,1011,34,10,164,9,Rangoon
2018-02-18,34,20,0.0,11.6,7,17,08:05 AM,08:16 PM,06:30 AM,06:09 PM,12,29,29,28,13,1,39,0.0,1011,34,10,260,8,Rangoon
2018-02-19,35,20,0.0,11.6,7,25,08:45 AM,09:08 PM,06:29 AM,06:09 PM,11,29,29,29,12,1,32,0.0,1011,35,10,228,8,Rangoon
2018-02-20,35,22,0.0,11.6,7,32,09:26 AM,10:01 PM,06:29 AM,06:09 PM,9,29,29,29,14,10,30,0.0,1010,35,10,249,9,Rangoon
2018-02-21,35,24,0.0,11.6,7,40,10:08 AM,10:55 PM,06:28 AM,06:10 PM,13,29,29,29,14,15,37,0.0,1009,35,10,263,9,Rangoon
2018-02-22,35,24,0.0,11.6,7,47,10:53 AM,11:52 PM,06:28 AM,06:10 PM,12,29,29,29,14,12,34,0.0,1009,35,10,263,9,Rangoon
2018-02-23,35,24,0.0,11.6,7,55,11:42 AM,No moonset,06:27 AM,06:10 PM,13,30,30,29,13,13,38,0.0,1010,35,10,203,9,Rangoon
2018-02-24,35,24,0.0,11.6,7,62,12:34 PM,12:51 AM,06:26 AM,06:10 PM,16,31,31,30,13,11,44,0.0,1012,35,10,200,9,Rangoon
2018-02-25,36,24,0.0,11.6,7,70,01:30 PM,01:51 AM,06:26 AM,06:11 PM,17,32,32,31,13,3,45,0.0,1011,36,10,179,9,Rangoon
2018-02-26,36,23,0.0,11.6,7,77,02:30 PM,02:51 AM,06:25 AM,06:11 PM,13,31,31,31,15,6,36,0.0,1010,36,10,160,10,Rangoon
2018-02-27,36,24,0.0,11.6,7,85,03:33 PM,03:51 AM,06:25 AM,06:11 PM,12,30,30,30,16,6,35,0.0,1010,36,10,234,10,Rangoon
2018-02-28,35,22,0.0,11.6,7,93,04:35 PM,04:48 AM,06:24 AM,06:12 PM,18,31,31,30,14,3,50,0.0,1010,35,10,160,11,Rangoon
2018-03-01,35,23,0.0,11.6,7,96,05:38 PM,05:41 AM,06:23 AM,06:12 PM,15,30,30,30,13,4,44,0.0,1009,35,10,219,8,Rangoon
2018-03-02,35,21,0.0,11.6,7,100,06:37 PM,06:30 AM,06:23 AM,06:12 PM,15,29,29,28,15,7,49,0.0,1009,35,10,235,10,Rangoon
2018-03-03,35,21,0.0,11.6,7,89,07:35 PM,07:17 AM,06:22 AM,06:12 PM,17,30,30,29,14,0,53,0.0,1008,35,10,229,10,Rangoon
2018-03-04,34,21,0.0,11.6,7,82,08:29 PM,08:01 AM,06:21 AM,06:13 PM,19,31,31,29,13,0,57,0.0,1010,34,10,194,9,Rangoon
2018-03-05,36,22,0.0,11.6,7,74,09:23 PM,08:43 AM,06:21 AM,06:13 PM,18,32,32,30,14,0,50,0.0,1009,36,10,158,10,Rangoon
2018-03-06,36,23,0.0,11.6,7,67,10:15 PM,09:26 AM,06:20 AM,06:13 PM,18,33,33,32,11,0,48,0.0,1010,36,10,168,8,Rangoon
2018-03-07,37,23,0.0,11.6,7,60,11:07 PM,10:07 AM,06:19 AM,06:13 PM,18,34,34,32,12,0,47,0.0,1009,37,10,206,9,Rangoon
2018-03-08,36,24,0.0,11.6,7,53,11:58 PM,10:50 AM,06:19 AM,06:14 PM,18,33,33,31,15,0,47,0.0,1009,36,10,161,11,Rangoon
2018-03-09,36,25,0.0,11.6,7,45,No moonrise,11:35 AM,06:18 AM,06:14 PM,19,33,33,32,15,3,47,0.0,1009,36,10,173,11,Rangoon
2018-03-10,34,26,0.0,11.6,7,38,12:48 AM,12:20 PM,06:17 AM,06:14 PM,20,32,32,30,18,12,55,0.5,1011,34,10,174,13,Rangoon
2018-03-11,35,25,0.0,11.6,7,31,01:37 AM,01:08 PM,06:16 AM,06:14 PM,19,32,32,30,15,12,55,0.0,1011,35,10,233,11,Rangoon
2018-03-12,36,22,0.0,11.6,7,24,02:25 AM,01:56 PM,06:16 AM,06:14 PM,14,29,29,29,17,4,43,0.0,1011,36,10,249,12,Rangoon
2018-03-13,35,22,0.0,11.6,7,16,03:11 AM,02:46 PM,06:15 AM,06:15 PM,17,30,30,29,14,3,54,0.0,1011,35,10,195,10,Rangoon
2018-03-14,36,24,0.0,11.6,7,9,03:56 AM,03:36 PM,06:14 AM,06:15 PM,13,31,31,31,13,2,36,0.0,1009,36,10,223,9,Rangoon
2018-03-15,36,23,0.0,11.6,7,2,04:39 AM,04:27 PM,06:13 AM,06:15 PM,15,31,31,31,13,0,40,0.0,1009,36,10,220,10,Rangoon
2018-03-16,35,23,0.0,11.6,7,0,05:22 AM,05:18 PM,06:13 AM,06:15 PM,19,32,32,30,15,1,54,0.0,1009,35,10,207,12,Rangoon
2018-03-17,35,24,0.0,11.6,7,0,06:02 AM,06:10 PM,06:12 AM,06:15 PM,18,31,31,29,17,4,52,0.0,1010,35,10,204,13,Rangoon
2018-03-18,36,25,0.0,11.6,7,5,06:43 AM,07:03 PM,06:11 AM,06:16 PM,20,32,32,30,16,5,58,0.0,1011,36,10,199,13,Rangoon
2018-03-19,36,24,0.0,11.6,7,13,07:25 AM,07:56 PM,06:10 AM,06:16 PM,20,34,34,31,15,1,57,0.0,1010,36,10,204,12,Rangoon
2018-03-20,35,25,0.0,11.6,7,20,08:07 AM,08:51 PM,06:10 AM,06:16 PM,20,33,33,30,14,4,57,0.0,1009,35,10,191,11,Rangoon
2018-03-21,35,25,0.0,11.6,7,27,08:52 AM,09:48 PM,06:09 AM,06:16 PM,20,33,33,31,14,2,55,0.0,1009,35,10,203,11,Rangoon
2018-03-22,35,23,0.0,11.6,7,34,09:39 AM,10:46 PM,06:08 AM,06:16 PM,18,31,31,30,15,1,54,0.0,1008,35,10,207,12,Rangoon
2018-03-23,35,23,0.0,11.6,7,42,10:30 AM,11:45 PM,06:07 AM,06:17 PM,19,32,32,30,14,4,55,0.0,1009,35,10,219,10,Rangoon
2018-03-24,36,24,0.0,11.6,7,49,11:25 AM,No moonset,06:07 AM,06:17 PM,18,32,32,31,14,12,49,0.0,1011,36,10,197,10,Rangoon
2018-03-25,36,26,0.0,11.6,8,56,12:22 PM,12:45 AM,06:06 AM,06:17 PM,17,32,32,31,17,22,45,0.0,1012,36,10,247,12,Rangoon
2018-03-26,37,25,0.0,11.6,8,63,01:22 PM,01:43 AM,06:05 AM,06:17 PM,18,33,33,31,17,6,48,0.0,1011,37,10,230,13,Rangoon
2018-03-27,37,25,0.0,11.6,8,71,02:23 PM,02:39 AM,06:04 AM,06:17 PM,18,32,32,30,18,5,51,0.0,1010,37,10,242,13,Rangoon
2018-03-28,37,24,0.0,11.6,8,78,03:23 PM,03:32 AM,06:04 AM,06:17 PM,19,33,33,31,16,4,52,0.0,1009,37,10,243,12,Rangoon
2018-03-29,36,25,0.0,11.6,8,85,04:22 PM,04:21 AM,06:03 AM,06:18 PM,20,33,33,31,16,6,57,0.0,1009,36,10,236,12,Rangoon
2018-03-30,36,25,0.0,11.6,7,93,05:20 PM,05:08 AM,06:02 AM,06:18 PM,21,33,33,30,18,12,60,0.0,1009,36,10,211,13,Rangoon
2018-03-31,36,25,0.0,11.6,8,96,06:15 PM,05:52 AM,06:01 AM,06:18 PM,20,34,34,31,16,2,56,0.0,1009,36,10,197,12,Rangoon
2018-04-01,36,26,0.0,11.6,8,89,07:10 PM,06:35 AM,06:01 AM,06:18 PM,20,34,34,31,16,6,56,0.0,1009,36,10,199,12,Rangoon
2018-04-02,35,26,0.0,12.2,8,81,08:03 PM,07:17 AM,06:00 AM,06:18 PM,21,33,33,31,15,17,58,0.0,1009,35,10,228,12,Rangoon
2018-04-03,36,27,0.0,12.6,8,74,08:56 PM,08:00 AM,05:59 AM,06:18 PM,20,34,34,31,14,38,52,0.0,1009,36,10,207,10,Rangoon
2018-04-04,36,27,0.0,12.6,8,66,09:48 PM,08:43 AM,05:58 AM,06:19 PM,20,34,34,31,15,31,53,2.0,1008,36,10,231,11,Rangoon
