date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-4,-9,0.0,8.7,2,97,04:57 PM,06:38 AM,07:25 AM,05:02 PM,-19,-11,-6,-11,15,7,37,0.0,1033,-4,10,300,12,Richmond(VA)
2018-01-02,-3,-10,0.0,8.7,2,100,06:03 PM,07:43 AM,07:25 AM,05:03 PM,-20,-9,-6,-9,9,0,33,0.0,1034,-3,10,210,7,Richmond(VA)
2018-01-03,1,-7,0.0,3.7,1,89,07:13 PM,08:39 AM,07:25 AM,05:04 PM,-17,-5,-3,-5,9,56,31,0.0,1023,1,10,176,7,Richmond(VA)
2018-01-04,-2,-8,0.4,7.0,2,81,08:22 PM,09:29 AM,07:25 AM,05:05 PM,-9,-11,-4,-11,29,53,70,2.8,1009,-2,8,281,20,Richmond(VA)
2018-01-05,-4,-11,0.0,8.7,2,74,09:31 PM,10:11 AM,07:25 AM,05:06 PM,-16,-13,-8,-13,20,4,54,0.0,1022,-4,10,292,13,Richmond(VA)
2018-01-06,-6,-11,0.0,8.7,2,67,10:36 PM,10:49 AM,07:25 AM,05:07 PM,-17,-14,-9,-14,16,0,51,0.0,1032,-6,10,303,11,Richmond(VA)
2018-01-07,-4,-13,0.0,8.7,2,59,11:39 PM,11:23 AM,07:25 AM,05:08 PM,-15,-9,-7,-9,7,8,55,0.0,1037,-4,10,175,5,Richmond(VA)
2018-01-08,5,-8,0.0,8.7,2,52,No moonrise,11:55 AM,07:25 AM,05:09 PM,-7,-5,-1,-5,19,39,67,1.7,1026,5,10,218,12,Richmond(VA)
2018-01-09,8,0,0.0,8.7,2,45,12:39 AM,12:26 PM,07:25 AM,05:10 PM,3,3,4,3,11,30,92,0.0,1025,8,5,199,5,Richmond(VA)
2018-01-10,5,0,0.0,5.4,1,38,01:38 AM,12:58 PM,07:25 AM,05:11 PM,2,3,3,3,6,79,91,0.0,1030,5,6,116,3,Richmond(VA)
2018-01-11,15,2,0.0,3.7,2,30,02:34 AM,01:32 PM,07:25 AM,05:12 PM,8,9,9,9,12,77,95,0.1,1026,15,5,153,6,Richmond(VA)
2018-01-12,19,15,0.0,3.7,4,23,03:31 AM,02:08 PM,07:25 AM,05:13 PM,16,17,17,17,23,97,94,8.0,1010,19,7,175,13,Richmond(VA)
2018-01-13,15,-3,0.0,5.4,2,16,04:25 AM,02:47 PM,07:24 AM,05:14 PM,-1,2,5,2,26,49,64,0.0,1015,15,10,281,19,Richmond(VA)
2018-01-14,-2,-7,0.0,8.7,2,9,05:19 AM,03:30 PM,07:24 AM,05:15 PM,-19,-10,-5,-10,18,3,31,0.0,1036,-2,10,16,14,Richmond(VA)
2018-01-15,1,-7,0.0,5.4,2,1,06:09 AM,04:16 PM,07:24 AM,05:16 PM,-11,-6,-3,-6,10,30,54,0.0,1035,1,10,72,7,Richmond(VA)
2018-01-16,4,-3,0.0,8.7,2,0,06:56 AM,05:07 PM,07:23 AM,05:17 PM,-5,0,1,0,5,23,67,0.0,1030,4,10,177,3,Richmond(VA)
2018-01-17,1,-5,1.9,3.7,1,0,07:39 AM,06:00 PM,07:23 AM,05:18 PM,-7,-7,-2,-7,18,95,73,2.4,1027,1,7,81,13,Richmond(VA)
2018-01-18,3,-7,0.0,8.7,2,6,08:18 AM,06:56 PM,07:23 AM,05:19 PM,-8,-6,-2,-6,16,4,65,0.0,1022,3,10,240,10,Richmond(VA)
2018-01-19,9,-2,0.0,8.7,2,13,08:55 AM,07:53 PM,07:22 AM,05:20 PM,-4,0,3,0,17,0,63,0.0,1020,9,10,249,9,Richmond(VA)
2018-01-20,13,0,0.0,8.7,3,20,09:29 AM,08:51 PM,07:22 AM,05:21 PM,1,4,7,4,19,0,69,0.0,1019,13,10,249,11,Richmond(VA)
2018-01-21,15,4,0.0,8.7,3,28,10:01 AM,09:50 PM,07:21 AM,05:22 PM,6,9,9,9,12,16,80,0.0,1022,15,10,223,7,Richmond(VA)
2018-01-22,17,8,0.0,8.7,4,35,10:32 AM,10:49 PM,07:21 AM,05:23 PM,8,11,12,11,16,17,81,0.0,1020,17,9,193,9,Richmond(VA)
2018-01-23,21,9,0.0,8.7,4,42,11:04 AM,11:51 PM,07:20 AM,05:24 PM,9,14,15,14,27,47,72,4.6,1009,21,9,239,17,Richmond(VA)
2018-01-24,10,4,0.0,8.7,3,49,11:38 AM,No moonset,07:19 AM,05:25 PM,-1,6,7,6,13,36,57,0.5,1019,10,10,289,9,Richmond(VA)
2018-01-25,7,-0,0.0,8.7,2,57,12:14 PM,12:55 AM,07:19 AM,05:26 PM,-5,2,4,2,8,7,52,0.0,1032,7,10,246,6,Richmond(VA)
2018-01-26,11,-0,0.0,8.7,3,64,12:55 PM,02:01 AM,07:18 AM,05:28 PM,-3,4,6,4,12,18,56,0.0,1038,11,10,180,8,Richmond(VA)
2018-01-27,15,3,0.0,8.7,3,71,01:42 PM,03:08 AM,07:17 AM,05:29 PM,4,8,9,8,19,24,72,0.0,1033,15,10,194,11,Richmond(VA)
2018-01-28,12,10,0.0,3.8,3,78,02:36 PM,04:15 AM,07:17 AM,05:30 PM,11,11,11,11,12,100,96,11.1,1024,12,6,187,8,Richmond(VA)
2018-01-29,9,4,0.0,3.8,2,86,03:38 PM,05:21 AM,07:16 AM,05:31 PM,4,4,6,4,18,91,84,6.5,1019,9,8,111,13,Richmond(VA)
2018-01-30,3,-3,0.1,8.7,2,93,04:45 PM,06:20 AM,07:15 AM,05:32 PM,-7,-3,1,-3,21,36,57,0.3,1021,3,10,318,16,Richmond(VA)
2018-01-31,4,-4,0.0,7.1,2,97,05:56 PM,07:14 AM,07:14 AM,05:33 PM,-14,-3,0,-3,15,37,35,0.0,1026,4,10,203,10,Richmond(VA)
2018-02-01,13,2,0.0,8.7,3,88,07:07 PM,08:01 AM,07:14 AM,05:34 PM,-1,5,7,5,23,18,60,0.0,1017,13,10,214,14,Richmond(VA)
2018-02-02,8,-4,0.0,8.7,2,81,08:15 PM,08:42 AM,07:13 AM,05:35 PM,-7,-2,2,-2,21,28,55,4.4,1023,8,10,279,16,Richmond(VA)
2018-02-03,3,-6,0.0,8.7,2,73,09:22 PM,09:19 AM,07:12 AM,05:36 PM,-17,-5,-2,-5,12,19,30,0.0,1032,3,10,132,9,Richmond(VA)
2018-02-04,7,0,0.0,3.9,1,66,10:25 PM,09:53 AM,07:11 AM,05:38 PM,-4,-1,2,-1,14,88,70,9.1,1018,7,9,188,9,Richmond(VA)
2018-02-05,5,-0,0.0,8.7,2,58,11:27 PM,10:26 AM,07:10 AM,05:39 PM,-3,-0,2,-0,15,17,70,0.0,1020,5,8,220,10,Richmond(VA)
2018-02-06,10,-1,0.0,7.1,2,51,No moonrise,10:58 AM,07:09 AM,05:40 PM,-2,2,4,2,13,23,68,0.0,1028,10,10,183,9,Richmond(VA)
2018-02-07,13,0,0.0,5.5,3,43,12:25 AM,11:32 AM,07:08 AM,05:41 PM,3,4,5,4,13,75,84,2.7,1023,13,9,127,9,Richmond(VA)
2018-02-08,5,-1,0.0,7.1,2,36,01:23 AM,12:07 PM,07:07 AM,05:42 PM,-5,-1,2,-1,14,40,59,0.0,1030,5,10,127,10,Richmond(VA)
2018-02-09,10,-1,0.0,8.7,2,28,02:18 AM,12:45 PM,07:06 AM,05:43 PM,-2,3,5,3,11,18,64,0.0,1032,10,10,177,7,Richmond(VA)
2018-02-10,11,3,0.0,3.9,2,20,03:13 AM,01:27 PM,07:05 AM,05:44 PM,6,6,7,6,10,89,96,8.2,1023,11,6,197,5,Richmond(VA)
2018-02-11,20,14,0.0,3.9,4,13,04:04 AM,02:12 PM,07:04 AM,05:45 PM,16,18,18,18,29,94,92,7.0,1016,20,9,203,16,Richmond(VA)
2018-02-12,17,6,0.0,5.5,4,5,04:52 AM,03:01 PM,07:03 AM,05:46 PM,7,9,10,9,20,75,81,14.6,1027,17,7,103,13,Richmond(VA)
2018-02-13,4,2,0.0,5.5,2,0,05:37 AM,03:54 PM,07:01 AM,05:47 PM,-3,1,3,1,11,46,64,0.0,1040,4,10,75,8,Richmond(VA)
2018-02-14,13,1,0.0,8.7,3,0,06:17 AM,04:49 PM,07:00 AM,05:48 PM,3,5,6,5,14,30,79,0.0,1029,13,10,215,9,Richmond(VA)
2018-02-15,22,11,0.0,5.6,5,0,06:55 AM,05:46 PM,06:59 AM,05:49 PM,13,16,16,16,24,58,85,2.4,1015,22,9,228,15,Richmond(VA)
2018-02-16,19,9,0.0,4.1,5,2,07:31 AM,06:44 PM,06:58 AM,05:50 PM,13,15,16,15,24,48,81,1.2,1012,19,10,236,14,Richmond(VA)
2018-02-17,8,2,0.0,7.2,2,10,08:03 AM,07:44 PM,06:57 AM,05:52 PM,-0,3,5,3,12,47,71,2.6,1025,8,10,97,9,Richmond(VA)
2018-02-18,12,2,0.0,8.7,3,17,08:35 AM,08:44 PM,06:56 AM,05:53 PM,1,5,7,5,12,14,69,0.0,1027,12,10,117,8,Richmond(VA)
2018-02-19,11,4,0.0,4.1,2,25,09:07 AM,09:45 PM,06:54 AM,05:54 PM,4,5,6,5,12,77,84,2.2,1031,11,9,184,8,Richmond(VA)
2018-02-20,22,9,0.0,8.7,4,32,09:40 AM,10:47 PM,06:53 AM,05:55 PM,12,14,15,14,17,37,85,0.0,1030,22,6,211,10,Richmond(VA)
2018-02-21,24,16,0.0,5.7,4,40,10:14 AM,11:52 PM,06:52 AM,05:56 PM,16,19,20,19,19,54,84,0.0,1029,24,8,207,12,Richmond(VA)
2018-02-22,20,9,0.0,4.2,4,47,10:53 AM,No moonset,06:50 AM,05:57 PM,13,15,16,15,13,84,86,0.4,1031,20,7,193,9,Richmond(VA)
2018-02-23,14,6,0.0,5.7,2,55,11:36 AM,12:57 AM,06:49 AM,05:58 PM,6,9,9,9,9,73,79,0.3,1032,14,9,118,6,Richmond(VA)
2018-02-24,23,10,0.0,5.7,5,62,12:25 PM,02:02 AM,06:48 AM,05:59 PM,12,15,16,15,14,76,83,1.5,1021,23,7,180,9,Richmond(VA)
2018-02-25,18,10,0.0,8.7,4,70,01:22 PM,03:06 AM,06:46 AM,06:00 PM,13,15,15,15,16,73,89,0.7,1016,18,8,188,9,Richmond(VA)
2018-02-26,14,7,0.0,7.2,3,77,02:25 PM,04:06 AM,06:45 AM,06:01 PM,7,11,11,11,9,70,74,0.6,1023,14,8,207,6,Richmond(VA)
2018-02-27,16,5,0.0,11.6,3,85,03:33 PM,05:01 AM,06:44 AM,06:02 PM,-0,10,10,10,9,7,53,0.0,1029,16,10,205,6,Richmond(VA)
2018-02-28,17,6,0.0,8.7,3,93,04:42 PM,05:50 AM,06:42 AM,06:03 PM,2,9,11,9,20,59,56,0.1,1020,17,10,211,13,Richmond(VA)
2018-03-01,12,10,0.0,5.8,3,96,05:52 PM,06:33 AM,06:41 AM,06:04 PM,9,10,11,10,10,87,90,4.2,1008,12,8,220,7,Richmond(VA)
2018-03-02,11,5,0.0,11.6,3,100,07:00 PM,07:12 AM,06:40 AM,06:05 PM,-3,4,8,4,44,25,44,0.0,1008,11,10,311,31,Richmond(VA)
2018-03-03,11,2,0.0,11.6,3,89,08:05 PM,07:48 AM,06:38 AM,06:06 PM,-5,2,6,2,31,16,44,0.0,1019,11,10,344,23,Richmond(VA)
2018-03-04,11,1,0.0,11.6,3,82,09:09 PM,08:21 AM,06:37 AM,06:07 PM,-5,2,5,2,25,14,49,0.0,1023,11,10,308,18,Richmond(VA)
2018-03-05,9,-1,0.0,11.6,2,74,10:11 PM,08:55 AM,06:35 AM,06:07 PM,-9,1,4,1,17,5,40,0.0,1021,9,10,269,12,Richmond(VA)
2018-03-06,7,1,0.0,7.3,1,67,11:11 PM,09:29 AM,06:34 AM,06:08 PM,-3,3,4,3,9,63,62,8.4,1016,7,8,148,7,Richmond(VA)
2018-03-07,11,3,0.0,10.2,3,60,No moonrise,10:04 AM,06:32 AM,06:09 PM,1,3,6,3,18,59,71,0.3,1008,11,10,307,13,Richmond(VA)
2018-03-08,7,0,0.0,10.2,2,53,12:08 AM,10:41 AM,06:31 AM,06:10 PM,-7,1,4,1,16,28,47,0.0,1012,7,10,291,11,Richmond(VA)
