date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,25,12,0.0,8.7,5,97,04:45 PM,05:32 AM,06:37 AM,05:16 PM,-8,18,18,18,18,0,19,0.0,1014,25,10,192,10,Riyadh
2018-01-02,19,12,0.0,8.7,5,100,05:50 PM,06:36 AM,06:37 AM,05:17 PM,-1,15,16,15,26,21,35,0.0,1016,19,10,206,18,Riyadh
2018-01-03,17,9,0.0,8.7,4,89,06:56 PM,07:38 AM,06:38 AM,05:17 PM,-3,12,13,12,20,0,35,0.0,1020,17,10,264,13,Riyadh
2018-01-04,21,8,0.0,8.7,4,81,08:02 PM,08:33 AM,06:38 AM,05:18 PM,-2,14,14,14,14,2,34,0.0,1018,21,10,142,8,Riyadh
2018-01-05,22,13,0.0,8.7,5,74,09:05 PM,09:24 AM,06:38 AM,05:19 PM,-2,16,17,16,21,2,29,0.0,1015,22,10,227,13,Riyadh
2018-01-06,21,14,0.0,8.7,5,67,10:05 PM,10:08 AM,06:38 AM,05:19 PM,-2,17,17,17,24,1,27,0.0,1015,21,10,238,15,Riyadh
2018-01-07,19,11,0.0,8.7,4,59,11:03 PM,10:49 AM,06:38 AM,05:20 PM,-0,14,15,14,22,5,37,0.0,1020,19,10,302,15,Riyadh
2018-01-08,16,9,0.0,8.7,4,52,11:58 PM,11:28 AM,06:39 AM,05:21 PM,-0,10,12,10,29,3,44,0.0,1024,16,10,332,21,Riyadh
2018-01-09,16,7,0.0,8.7,4,45,No moonrise,12:05 PM,06:39 AM,05:21 PM,-6,10,12,10,26,0,28,0.0,1025,16,10,335,16,Riyadh
2018-01-10,16,7,0.0,8.7,4,38,12:51 AM,12:42 PM,06:39 AM,05:22 PM,-10,10,11,10,12,0,23,0.0,1025,16,10,294,7,Riyadh
2018-01-11,18,6,0.0,8.7,4,30,01:44 AM,01:20 PM,06:39 AM,05:23 PM,-10,12,12,12,7,0,22,0.0,1025,18,10,124,4,Riyadh
2018-01-12,21,8,0.0,8.7,4,23,02:35 AM,01:59 PM,06:39 AM,05:24 PM,-10,13,14,13,13,0,19,0.0,1023,21,10,175,7,Riyadh
2018-01-13,22,9,0.0,8.7,4,16,03:27 AM,02:40 PM,06:39 AM,05:24 PM,-13,15,15,15,11,0,15,0.0,1021,22,10,177,7,Riyadh
2018-01-14,24,10,0.0,8.7,5,9,04:17 AM,03:24 PM,06:39 AM,05:25 PM,-16,15,16,15,16,0,10,0.0,1018,24,10,195,10,Riyadh
2018-01-15,23,11,0.0,8.7,5,1,05:07 AM,04:10 PM,06:39 AM,05:26 PM,-12,16,16,16,20,0,15,0.0,1019,23,10,139,12,Riyadh
2018-01-16,18,10,0.0,8.7,4,0,05:56 AM,04:59 PM,06:39 AM,05:27 PM,-2,13,14,13,22,0,34,0.0,1023,18,10,95,14,Riyadh
2018-01-17,19,8,0.0,8.7,4,0,06:41 AM,05:50 PM,06:39 AM,05:27 PM,-3,13,13,13,14,1,34,0.0,1018,19,10,101,8,Riyadh
2018-01-18,23,10,0.0,8.7,5,6,07:25 AM,06:41 PM,06:39 AM,05:28 PM,-4,15,16,15,23,0,27,0.0,1016,23,10,182,14,Riyadh
2018-01-19,23,12,0.0,8.7,5,13,08:06 AM,07:34 PM,06:39 AM,05:29 PM,-6,17,17,17,34,3,21,0.0,1015,23,10,166,21,Riyadh
2018-01-20,17,11,0.0,8.7,4,20,08:45 AM,08:26 PM,06:38 AM,05:30 PM,-4,13,14,13,25,1,28,0.0,1020,17,10,150,17,Riyadh
2018-01-21,16,7,0.0,8.7,4,28,09:23 AM,09:20 PM,06:38 AM,05:30 PM,-5,10,11,10,21,0,34,0.0,1024,16,10,259,14,Riyadh
2018-01-22,19,6,0.0,8.7,4,35,10:00 AM,10:13 PM,06:38 AM,05:31 PM,-8,12,12,12,14,1,26,0.0,1020,19,10,103,8,Riyadh
2018-01-23,25,11,0.0,8.7,5,42,10:37 AM,11:08 PM,06:38 AM,05:32 PM,-5,17,17,17,19,0,22,0.0,1015,25,10,191,11,Riyadh
2018-01-24,25,13,0.0,8.7,5,49,11:16 AM,No moonset,06:38 AM,05:33 PM,-3,19,19,19,12,4,23,0.0,1014,25,10,157,7,Riyadh
2018-01-25,25,15,0.0,8.7,5,57,11:57 AM,12:05 AM,06:37 AM,05:33 PM,-11,20,19,20,28,0,12,0.0,1013,25,10,158,17,Riyadh
2018-01-26,25,15,0.0,8.7,5,64,12:41 PM,01:05 AM,06:37 AM,05:34 PM,-2,20,20,20,19,4,23,0.0,1014,25,10,215,12,Riyadh
2018-01-27,23,14,0.0,8.7,5,71,01:31 PM,02:06 AM,06:37 AM,05:35 PM,-3,17,18,17,21,11,25,0.0,1015,23,10,191,15,Riyadh
2018-01-28,17,8,0.0,8.7,4,78,02:26 PM,03:10 AM,06:36 AM,05:36 PM,-4,11,12,11,31,0,33,0.0,1020,17,10,340,22,Riyadh
2018-01-29,15,7,0.0,8.7,4,86,03:27 PM,04:14 AM,06:36 AM,05:36 PM,-4,10,11,10,17,2,36,0.0,1022,15,10,266,11,Riyadh
2018-01-30,15,7,0.0,8.7,4,93,04:31 PM,05:17 AM,06:36 AM,05:37 PM,-6,11,11,11,12,6,31,0.0,1023,15,10,64,7,Riyadh
2018-01-31,17,7,0.0,8.7,4,97,05:38 PM,06:15 AM,06:35 AM,05:38 PM,-6,12,12,12,8,0,29,0.0,1024,17,10,68,5,Riyadh
2018-02-01,18,7,0.0,8.7,4,88,06:43 PM,07:09 AM,06:35 AM,05:38 PM,-6,13,13,13,13,12,27,0.0,1024,18,10,84,8,Riyadh
2018-02-02,19,8,0.0,8.7,4,81,07:47 PM,07:57 AM,06:34 AM,05:39 PM,-7,13,14,13,17,3,25,0.0,1024,19,10,110,11,Riyadh
2018-02-03,18,8,0.0,8.7,4,73,08:48 PM,08:41 AM,06:34 AM,05:40 PM,-7,12,13,12,22,0,26,0.0,1025,18,10,347,14,Riyadh
2018-02-04,19,8,0.0,8.7,4,66,09:46 PM,09:23 AM,06:33 AM,05:40 PM,-9,13,13,13,19,0,21,0.0,1024,19,10,289,12,Riyadh
2018-02-05,21,10,0.0,8.7,5,58,10:41 PM,10:02 AM,06:33 AM,05:41 PM,-10,15,16,15,10,3,17,0.0,1022,21,10,192,6,Riyadh
2018-02-06,24,12,0.0,8.7,5,51,11:36 PM,10:39 AM,06:32 AM,05:42 PM,-10,18,18,18,9,12,14,0.0,1021,24,10,180,5,Riyadh
2018-02-07,26,14,0.0,8.7,5,43,No moonrise,11:18 AM,06:32 AM,05:42 PM,-11,20,19,20,16,4,12,0.0,1019,26,10,201,10,Riyadh
2018-02-08,25,13,0.0,8.7,5,36,12:29 AM,11:57 AM,06:31 AM,05:43 PM,-11,19,19,19,12,18,13,0.0,1017,25,10,55,7,Riyadh
2018-02-09,24,12,0.0,8.7,5,28,01:21 AM,12:38 PM,06:31 AM,05:44 PM,-9,18,18,18,12,1,15,0.0,1016,24,10,213,7,Riyadh
2018-02-10,26,13,0.0,7.2,5,20,02:12 AM,01:21 PM,06:30 AM,05:44 PM,-10,19,19,19,8,21,14,0.0,1015,26,10,181,5,Riyadh
2018-02-11,30,18,0.0,8.7,6,13,03:02 AM,02:06 PM,06:29 AM,05:45 PM,-6,22,22,23,15,48,13,0.0,1014,30,10,212,9,Riyadh
