date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-10,-18,0.1,5.2,1,97,04:42 PM,06:54 AM,07:43 AM,04:46 PM,-15,-22,-13,-22,31,81,85,0.4,1030,-10,7,271,21,Rochester(NY)
2018-01-02,-7,-13,0.2,5.2,1,100,05:49 PM,07:58 AM,07:43 AM,04:47 PM,-12,-19,-10,-19,40,89,84,0.3,1027,-7,7,260,28,Rochester(NY)
2018-01-03,-6,-13,0.0,5.2,1,89,07:00 PM,08:54 AM,07:43 AM,04:48 PM,-13,-17,-9,-17,33,55,75,0.1,1020,-6,10,221,20,Rochester(NY)
2018-01-04,-7,-14,0.0,3.4,1,81,08:13 PM,09:41 AM,07:43 AM,04:49 PM,-12,-18,-10,-18,31,89,88,0.8,1012,-7,6,283,23,Rochester(NY)
2018-01-05,-15,-18,0.0,3.4,1,74,09:25 PM,10:20 AM,07:43 AM,04:50 PM,-18,-29,-17,-29,42,100,90,0.9,1017,-15,5,291,33,Rochester(NY)
2018-01-06,-16,-18,0.0,3.4,1,67,10:33 PM,10:54 AM,07:42 AM,04:51 PM,-18,-28,-17,-28,37,95,89,0.4,1029,-16,8,296,27,Rochester(NY)
2018-01-07,-3,-20,0.0,6.9,2,59,11:39 PM,11:26 AM,07:42 AM,04:52 PM,-15,-20,-12,-20,27,61,80,0.0,1030,-3,10,222,16,Rochester(NY)
2018-01-08,2,-2,2.5,3.4,1,52,No moonrise,11:54 AM,07:42 AM,04:53 PM,-2,-5,0,-5,36,94,86,3.0,1014,2,6,231,22,Rochester(NY)
2018-01-09,0,-6,0.3,5.2,1,45,12:43 AM,12:22 PM,07:42 AM,04:54 PM,-4,-7,-2,-7,29,63,86,0.4,1023,0,9,272,18,Rochester(NY)
2018-01-10,4,-6,0.0,5.2,2,38,01:44 AM,12:52 PM,07:42 AM,04:55 PM,-3,-5,-1,-5,29,45,89,0.2,1026,4,8,170,15,Rochester(NY)
