date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,16,7,0.0,8.7,4,97,04:58 PM,06:45 AM,07:24 AM,04:56 PM,5,12,12,12,6,17,63,0.0,1023,16,10,258,3,Sacramento(CA)
2018-01-02,16,8,0.0,7.0,4,100,06:05 PM,07:49 AM,07:24 AM,04:57 PM,6,13,12,13,5,28,64,0.0,1023,16,10,261,4,Sacramento(CA)
2018-01-03,14,9,0.0,8.7,4,89,07:15 PM,08:44 AM,07:24 AM,04:57 PM,7,12,12,12,5,40,70,0.0,1019,14,10,255,3,Sacramento(CA)
2018-01-04,18,10,0.0,5.2,4,81,08:25 PM,09:32 AM,07:24 AM,04:58 PM,10,14,14,14,8,60,80,1.6,1020,18,10,191,5,Sacramento(CA)
2018-01-05,15,13,0.0,3.5,3,74,09:34 PM,10:13 AM,07:24 AM,04:59 PM,13,14,14,14,11,72,93,1.0,1022,15,7,175,6,Sacramento(CA)
2018-01-06,15,9,0.0,8.7,4,67,10:39 PM,10:50 AM,07:24 AM,05:00 PM,9,12,12,12,9,29,83,2.8,1022,15,10,227,6,Sacramento(CA)
2018-01-07,12,8,0.0,3.7,3,59,11:43 PM,11:24 AM,07:24 AM,05:01 PM,7,10,10,10,8,64,79,0.0,1020,12,9,300,5,Sacramento(CA)
2018-01-08,13,9,0.0,3.7,3,52,No moonrise,11:55 AM,07:24 AM,05:02 PM,10,11,11,11,8,97,91,2.7,1011,13,7,116,5,Sacramento(CA)
2018-01-09,14,12,0.0,3.7,3,45,12:43 AM,12:25 PM,07:24 AM,05:03 PM,12,12,13,12,14,98,93,12.5,1006,14,7,224,9,Sacramento(CA)
2018-01-10,13,9,0.0,3.7,3,38,01:42 AM,12:57 PM,07:24 AM,05:04 PM,9,10,11,10,13,66,85,0.2,1020,13,10,152,9,Sacramento(CA)
2018-01-11,14,8,0.0,7.0,4,30,02:39 AM,01:31 PM,07:24 AM,05:05 PM,10,11,12,11,8,38,89,0.0,1026,14,7,206,5,Sacramento(CA)
2018-01-12,15,8,0.0,8.7,4,23,03:36 AM,02:06 PM,07:23 AM,05:06 PM,9,11,12,11,10,26,84,0.0,1027,15,8,257,7,Sacramento(CA)
2018-01-13,13,8,0.0,7.0,3,16,04:30 AM,02:45 PM,07:23 AM,05:07 PM,8,10,10,10,5,51,87,0.1,1025,13,8,172,4,Sacramento(CA)
2018-01-14,14,7,0.0,7.0,3,9,05:24 AM,03:29 PM,07:23 AM,05:08 PM,7,10,10,10,4,39,81,0.0,1023,14,10,292,3,Sacramento(CA)
2018-01-15,14,8,0.0,7.0,3,1,06:13 AM,04:16 PM,07:22 AM,05:09 PM,7,11,11,11,5,44,81,0.0,1021,14,10,222,3,Sacramento(CA)
2018-01-16,14,10,0.0,3.7,4,0,07:00 AM,05:07 PM,07:22 AM,05:10 PM,9,12,12,12,8,68,83,0.0,1023,14,10,273,6,Sacramento(CA)
2018-01-17,14,9,0.0,7.0,4,0,07:43 AM,06:01 PM,07:22 AM,05:11 PM,10,11,11,11,6,55,91,0.0,1024,14,7,183,4,Sacramento(CA)
2018-01-18,16,9,0.0,5.4,3,6,08:21 AM,06:57 PM,07:21 AM,05:13 PM,9,10,12,10,17,87,87,2.0,1018,16,7,179,12,Sacramento(CA)
2018-01-19,14,8,0.0,7.0,4,13,08:57 AM,07:55 PM,07:21 AM,05:14 PM,5,10,11,10,13,25,70,0.0,1019,14,10,259,8,Sacramento(CA)
2018-01-20,13,5,0.0,8.7,3,20,09:30 AM,08:53 PM,07:20 AM,05:15 PM,1,7,9,7,13,14,60,0.0,1021,13,10,289,9,Sacramento(CA)
2018-01-21,12,5,0.0,7.0,3,28,10:02 AM,09:53 PM,07:20 AM,05:16 PM,3,7,9,7,15,58,68,0.0,1027,12,10,142,10,Sacramento(CA)
2018-01-22,12,7,0.0,3.7,2,35,10:32 AM,10:53 PM,07:19 AM,05:17 PM,6,7,10,7,21,84,77,1.5,1027,12,10,219,14,Sacramento(CA)
2018-01-23,13,7,0.0,3.8,2,42,11:04 AM,11:56 PM,07:18 AM,05:18 PM,7,10,10,10,7,65,86,0.0,1025,13,7,179,4,Sacramento(CA)
2018-01-24,13,7,0.0,7.1,3,49,11:37 AM,No moonset,07:18 AM,05:19 PM,7,8,10,8,18,57,85,4.0,1018,13,8,170,12,Sacramento(CA)
2018-01-25,12,6,0.0,7.1,3,57,12:13 PM,01:00 AM,07:17 AM,05:20 PM,5,7,9,7,18,32,78,1.0,1020,12,10,176,11,Sacramento(CA)
2018-01-26,12,5,0.0,8.7,3,64,12:54 PM,02:06 AM,07:16 AM,05:22 PM,4,8,8,8,8,29,77,0.0,1028,12,10,186,5,Sacramento(CA)
2018-01-27,14,6,0.0,8.7,3,71,01:42 PM,03:15 AM,07:16 AM,05:23 PM,4,9,10,9,14,26,67,0.0,1030,14,10,294,9,Sacramento(CA)
2018-01-28,15,6,0.0,8.7,4,78,02:37 PM,04:22 AM,07:15 AM,05:24 PM,7,11,11,11,5,20,79,0.0,1028,15,10,136,3,Sacramento(CA)
2018-01-29,14,8,0.0,7.1,4,86,03:40 PM,05:27 AM,07:14 AM,05:25 PM,7,11,11,11,6,43,78,0.0,1025,14,10,210,4,Sacramento(CA)
2018-01-30,16,7,0.0,8.7,4,93,04:48 PM,06:26 AM,07:13 AM,05:26 PM,8,12,12,12,5,9,76,0.0,1021,16,9,267,3,Sacramento(CA)
2018-01-31,18,8,0.0,8.7,4,97,05:59 PM,07:19 AM,07:12 AM,05:27 PM,7,13,13,13,9,15,65,0.0,1019,18,10,333,6,Sacramento(CA)
2018-02-01,19,8,0.0,8.7,4,88,07:10 PM,08:04 AM,07:12 AM,05:28 PM,8,14,14,14,8,11,66,0.0,1020,19,10,247,5,Sacramento(CA)
2018-02-02,20,9,0.0,8.7,4,81,08:19 PM,08:44 AM,07:11 AM,05:30 PM,11,16,16,16,6,7,74,0.0,1022,20,10,170,4,Sacramento(CA)
2018-02-03,21,10,0.0,8.7,5,73,09:26 PM,09:20 AM,07:10 AM,05:31 PM,12,18,19,18,5,0,69,0.0,1021,21,10,108,4,Sacramento(CA)
2018-02-04,21,11,0.0,7.1,5,66,10:29 PM,09:53 AM,07:09 AM,05:32 PM,11,16,16,16,6,31,73,0.0,1020,21,10,181,4,Sacramento(CA)
2018-02-05,21,11,0.0,8.7,5,58,11:31 PM,10:25 AM,07:08 AM,05:33 PM,10,17,18,17,5,5,65,0.0,1017,21,10,210,3,Sacramento(CA)
2018-02-06,21,12,0.0,8.7,5,51,No moonrise,10:57 AM,07:07 AM,05:34 PM,4,15,16,15,26,4,47,0.0,1019,21,10,305,15,Sacramento(CA)
2018-02-07,21,11,0.0,8.7,5,43,12:30 AM,11:31 AM,07:06 AM,05:35 PM,9,18,18,18,7,0,58,0.0,1025,21,10,171,5,Sacramento(CA)
2018-02-08,21,11,0.0,8.7,5,36,01:28 AM,12:06 PM,07:05 AM,05:36 PM,8,19,19,19,4,0,50,0.0,1022,21,10,215,3,Sacramento(CA)
2018-02-09,22,11,0.0,7.1,5,28,02:23 AM,12:44 PM,07:04 AM,05:38 PM,9,18,18,18,5,11,57,0.0,1018,22,10,141,3,Sacramento(CA)
2018-02-10,19,11,0.0,7.1,4,20,03:18 AM,01:26 PM,07:02 AM,05:39 PM,2,15,15,15,28,22,45,0.0,1015,19,10,298,18,Sacramento(CA)
2018-02-11,15,6,0.0,8.7,4,13,04:08 AM,02:11 PM,07:01 AM,05:40 PM,-1,10,11,10,18,18,44,0.0,1012,15,10,249,12,Sacramento(CA)
2018-02-12,15,5,0.0,8.7,3,5,04:56 AM,03:01 PM,07:00 AM,05:41 PM,1,9,10,9,18,13,57,0.0,1013,15,10,310,11,Sacramento(CA)
2018-02-13,17,6,0.0,8.7,4,0,05:41 AM,03:54 PM,06:59 AM,05:42 PM,-1,11,12,11,15,0,41,0.0,1022,17,10,239,9,Sacramento(CA)
2018-02-14,17,6,0.0,7.2,4,0,06:20 AM,04:50 PM,06:58 AM,05:43 PM,2,11,11,11,12,15,54,0.0,1022,17,10,179,8,Sacramento(CA)
2018-02-15,16,6,0.0,8.7,4,0,06:58 AM,05:48 PM,06:57 AM,05:44 PM,-0,9,11,9,23,1,50,0.0,1025,16,10,330,15,Sacramento(CA)
