date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,30,26,0.0,12.9,7,97,05:42 PM,04:29 AM,05:12 AM,06:04 PM,22,30,30,27,22,24,75,0.0,1013,30,10,67,17,Salvador
2018-01-02,29,26,0.0,10.6,6,100,06:45 PM,05:33 AM,05:12 AM,06:04 PM,23,30,30,27,22,50,77,0.1,1010,29,10,54,16,Salvador
2018-01-03,31,26,0.0,11.9,6,89,07:45 PM,06:37 AM,05:13 AM,06:05 PM,23,31,31,28,23,39,76,0.0,1010,31,10,68,17,Salvador
2018-01-04,30,26,0.0,12.9,7,81,08:39 PM,07:40 AM,05:13 AM,06:05 PM,23,31,31,28,27,34,77,0.0,1012,30,10,58,20,Salvador
2018-01-05,29,27,0.0,12.9,7,74,09:30 PM,08:40 AM,05:14 AM,06:05 PM,23,31,31,28,29,35,74,0.0,1015,29,10,71,21,Salvador
2018-01-06,29,26,0.0,12.9,7,67,10:16 PM,09:38 AM,05:14 AM,06:06 PM,22,30,30,27,22,27,73,2.9,1014,29,10,95,16,Salvador
2018-01-07,29,26,0.0,12.9,7,59,10:59 PM,10:31 AM,05:15 AM,06:06 PM,22,30,30,27,22,18,72,5.8,1013,29,10,82,16,Salvador
2018-01-08,28,26,0.0,12.9,7,52,11:41 PM,11:22 AM,05:16 AM,06:06 PM,22,30,30,27,22,31,71,0.0,1014,28,10,110,17,Salvador
2018-01-09,29,26,0.0,12.9,6,45,No moonrise,12:12 PM,05:16 AM,06:06 PM,22,30,30,27,24,29,75,1.8,1015,29,10,106,18,Salvador
2018-01-10,28,26,0.0,12.9,7,38,12:22 AM,01:00 PM,05:17 AM,06:07 PM,22,30,30,27,25,30,74,7.0,1015,28,10,107,18,Salvador
2018-01-11,28,26,0.0,12.9,7,30,01:03 AM,01:49 PM,05:17 AM,06:07 PM,22,30,30,27,22,28,72,2.9,1015,28,10,113,16,Salvador
2018-01-12,29,25,0.0,12.9,7,23,01:45 AM,02:37 PM,05:18 AM,06:07 PM,22,29,29,27,16,23,72,4.5,1014,29,10,144,12,Salvador
2018-01-13,28,26,0.0,12.9,7,16,02:28 AM,03:26 PM,05:18 AM,06:07 PM,22,30,30,27,20,46,72,0.0,1014,28,10,78,15,Salvador
2018-01-14,29,26,0.0,12.9,7,9,03:14 AM,04:15 PM,05:19 AM,06:07 PM,23,31,31,27,23,37,75,2.3,1014,29,10,75,17,Salvador
2018-01-15,29,26,0.0,12.9,7,1,04:00 AM,05:03 PM,05:20 AM,06:08 PM,22,30,30,28,24,17,71,0.2,1015,29,10,88,18,Salvador
2018-01-16,29,27,0.0,12.9,7,0,04:48 AM,05:50 PM,05:20 AM,06:08 PM,22,30,30,28,25,10,70,1.2,1016,29,10,93,18,Salvador
