date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-4,-7,0.2,2.9,1,97,04:11 PM,07:36 AM,08:54 AM,04:32 PM,-5,-7,-4,-7,9,98,96,0.2,1021,-4,4,147,6,Samara
2018-01-02,-4,-6,0.0,2.9,1,100,05:16 PM,08:43 AM,08:54 AM,04:33 PM,-5,-6,-4,-6,8,89,95,0.0,1024,-4,2,190,5,Samara
2018-01-03,-3,-5,0.0,2.9,1,89,06:29 PM,09:39 AM,08:53 AM,04:34 PM,-5,-7,-4,-7,10,95,94,0.0,1027,-3,6,136,7,Samara
2018-01-04,-7,-12,0.0,7.8,2,81,07:49 PM,10:23 AM,08:53 AM,04:36 PM,-11,-15,-9,-15,22,7,87,0.0,1027,-7,10,108,12,Samara
2018-01-05,-13,-16,0.0,7.8,2,74,09:09 PM,10:58 AM,08:53 AM,04:37 PM,-16,-20,-14,-20,22,3,83,0.0,1028,-13,10,129,12,Samara
2018-01-06,-7,-17,0.0,2.9,1,67,10:27 PM,11:27 AM,08:52 AM,04:38 PM,-11,-16,-10,-16,17,77,95,0.0,1027,-7,3,144,10,Samara
2018-01-07,-4,-8,0.4,3.0,1,59,11:42 PM,11:51 AM,08:52 AM,04:40 PM,-7,-13,-6,-13,28,99,94,0.4,1022,-4,9,201,19,Samara
2018-01-08,1,-7,1.2,7.9,2,52,No moonrise,12:12 PM,08:51 AM,04:41 PM,-5,-10,-3,-10,36,53,87,3.9,1013,1,8,251,22,Samara
2018-01-09,-7,-9,0.0,3.0,1,45,12:54 AM,12:34 PM,08:51 AM,04:42 PM,-9,-14,-8,-14,24,76,93,0.0,1013,-7,6,250,13,Samara
2018-01-10,-6,-9,0.2,3.0,1,38,02:04 AM,12:55 PM,08:50 AM,04:44 PM,-8,-13,-7,-13,23,100,92,0.2,1016,-6,9,297,13,Samara
2018-01-11,-5,-8,0.1,3.0,1,30,03:11 AM,01:19 PM,08:50 AM,04:45 PM,-8,-12,-7,-12,21,100,93,0.1,1020,-5,8,289,11,Samara
2018-01-12,-8,-18,0.1,3.0,1,23,04:17 AM,01:45 PM,08:49 AM,04:47 PM,-11,-15,-10,-15,17,76,94,0.1,1030,-8,6,166,10,Samara
2018-01-13,-17,-20,0.0,8.0,2,16,05:20 AM,02:16 PM,08:48 AM,04:49 PM,-20,-25,-19,-25,15,38,95,0.0,1040,-17,7,173,8,Samara
2018-01-14,-12,-19,0.0,3.0,1,9,06:19 AM,02:52 PM,08:47 AM,04:50 PM,-15,-19,-15,-19,13,96,97,0.0,1037,-12,2,257,7,Samara
2018-01-15,-9,-13,0.0,3.0,1,1,07:14 AM,03:36 PM,08:46 AM,04:52 PM,-12,-12,-11,-12,5,91,96,0.0,1039,-9,3,211,3,Samara
2018-01-16,-6,-12,0.0,3.0,1,0,08:02 AM,04:25 PM,08:45 AM,04:54 PM,-9,-12,-8,-12,10,96,96,0.0,1035,-6,3,308,6,Samara
2018-01-17,-6,-12,0.3,3.0,1,0,08:44 AM,05:22 PM,08:44 AM,04:55 PM,-8,-11,-8,-11,10,94,97,0.4,1026,-6,4,183,6,Samara
2018-01-18,-11,-19,0.2,4.9,1,6,09:19 AM,06:23 PM,08:43 AM,04:57 PM,-16,-22,-15,-22,19,78,95,0.2,1028,-11,4,156,11,Samara
2018-01-19,-17,-20,0.0,8.2,2,13,09:49 AM,07:29 PM,08:42 AM,04:59 PM,-20,-26,-19,-26,21,34,94,0.0,1030,-17,7,101,11,Samara
2018-01-20,-13,-20,0.0,6.9,2,20,10:14 AM,08:35 PM,08:41 AM,05:01 PM,-18,-25,-17,-25,25,46,91,0.0,1029,-13,10,110,15,Samara
2018-01-21,-9,-13,0.0,3.2,1,28,10:37 AM,09:45 PM,08:40 AM,05:02 PM,-12,-18,-11,-18,25,98,94,0.0,1026,-9,9,135,17,Samara
2018-01-22,-5,-9,0.7,3.2,1,35,10:59 AM,10:55 PM,08:38 AM,05:04 PM,-8,-14,-7,-14,30,100,93,0.8,1023,-5,7,145,20,Samara
2018-01-23,-8,-11,2.5,3.3,1,42,11:20 AM,No moonset,08:37 AM,05:06 PM,-11,-18,-10,-18,30,100,92,2.9,1026,-8,7,119,21,Samara
2018-01-24,-9,-11,2.9,3.3,1,49,11:42 AM,12:07 AM,08:36 AM,05:08 PM,-12,-18,-10,-18,31,100,88,3.4,1029,-9,6,127,21,Samara
2018-01-25,-10,-13,0.4,3.3,1,57,12:07 PM,01:21 AM,08:34 AM,05:10 PM,-13,-19,-11,-19,26,100,87,0.4,1039,-10,8,138,17,Samara
2018-01-26,-13,-19,0.0,8.7,2,64,12:35 PM,02:37 AM,08:33 AM,05:12 PM,-18,-25,-17,-25,25,33,88,0.0,1048,-13,10,145,15,Samara
2018-01-27,-17,-21,0.0,8.7,2,71,01:11 PM,03:54 AM,08:32 AM,05:14 PM,-21,-28,-19,-28,27,1,86,0.0,1054,-17,10,164,14,Samara
2018-01-28,-17,-22,0.0,8.7,2,78,01:55 PM,05:10 AM,08:30 AM,05:15 PM,-22,-30,-20,-30,32,4,86,0.0,1048,-17,10,188,18,Samara
2018-01-29,-15,-21,0.0,8.7,2,86,02:52 PM,06:20 AM,08:29 AM,05:17 PM,-20,-28,-18,-28,32,8,88,0.0,1038,-15,10,170,18,Samara
2018-01-30,-13,-17,0.0,8.7,2,93,04:00 PM,07:22 AM,08:27 AM,05:19 PM,-18,-25,-16,-25,39,4,83,0.0,1030,-13,10,161,22,Samara
2018-01-31,-13,-17,0.1,3.4,1,97,05:17 PM,08:12 AM,08:25 AM,05:21 PM,-17,-26,-15,-26,39,69,87,0.1,1015,-13,9,136,25,Samara
2018-02-01,-5,-12,0.4,3.4,1,88,06:38 PM,08:52 AM,08:24 AM,05:23 PM,-9,-13,-8,-13,16,100,96,0.5,1012,-5,5,115,10,Samara
2018-02-02,-7,-10,0.1,3.4,1,81,07:59 PM,09:24 AM,08:22 AM,05:25 PM,-9,-11,-8,-11,9,97,95,0.1,1024,-7,3,301,6,Samara
2018-02-03,-7,-11,0.0,3.4,1,73,09:18 PM,09:51 AM,08:20 AM,05:27 PM,-10,-15,-9,-15,25,87,94,0.0,1027,-7,8,175,16,Samara
2018-02-04,-4,-7,0.1,3.4,1,66,10:34 PM,10:15 AM,08:19 AM,05:29 PM,-6,-13,-5,-13,43,99,91,0.2,1024,-4,8,167,28,Samara
2018-02-05,-3,-5,0.0,3.4,1,58,11:48 PM,10:37 AM,08:17 AM,05:31 PM,-6,-13,-4,-13,56,99,89,1.7,1018,-3,8,162,37,Samara
2018-02-06,-4,-6,1.0,3.4,1,51,No moonrise,10:59 AM,08:15 AM,05:33 PM,-5,-11,-4,-11,29,99,93,1.2,1030,-4,6,160,19,Samara
2018-02-07,-5,-15,0.0,7.0,2,43,12:58 AM,11:23 AM,08:13 AM,05:35 PM,-11,-14,-9,-14,17,42,90,0.1,1043,-5,10,149,10,Samara
2018-02-08,-7,-10,0.1,3.5,1,36,02:05 AM,11:48 AM,08:11 AM,05:37 PM,-10,-14,-9,-14,18,85,94,0.1,1041,-7,5,141,11,Samara
2018-02-09,-10,-14,0.0,3.5,1,28,03:10 AM,12:17 PM,08:10 AM,05:39 PM,-12,-17,-11,-17,17,74,94,0.0,1039,-10,6,124,10,Samara
2018-02-10,-9,-16,0.0,8.7,2,20,04:11 AM,12:52 PM,08:08 AM,05:41 PM,-14,-16,-12,-16,11,22,86,0.0,1035,-9,10,62,6,Samara
